# iterator, reward, timestamp 
1,-79.4747629579,1570773229.363985
2,-25.2290896741,1570773232.3680017
3,-26.3761022643,1570773235.3725734
4,-25.2324382186,1570773238.3749561
5,-24.8358145067,1570773241.3779545
6,-25.5460300765,1570773244.3828537
7,-25.3141072073,1570773247.3871067
8,-25.348031674,1570773250.3908298
9,-25.0318564011,1570773253.3945775
10,-24.8253852345,1570773256.3969407
11,-25.1021188012,1570773259.400257
12,-25.5020569788,1570773262.4028916
13,-25.2368710736,1570773265.4064364
14,-25.3412143317,1570773268.411247
15,-25.3048888882,1570773271.413814
16,-24.6429230872,1570773274.4174795
17,-25.5962189853,1570773277.4216485
18,-26.274734154,1570773280.4254615
19,-24.6622571432,1570773283.4280996
20,-24.8954988271,1570773286.4309876
21,-25.25512348,1570773289.434354
22,-25.4926328433,1570773292.4375231
23,-25.4209411995,1570773295.4415035
24,-25.2712925596,1570773298.4446125
25,-24.6366093887,1570773301.4478338
26,-25.0559976382,1570773304.450277
27,-25.4687633677,1570773307.453732
28,-25.1282790368,1570773310.4572523
29,-24.8820129881,1570773313.4611292
30,-25.6475190095,1570773316.4639578
31,-25.6000296187,1570773319.4678702
32,-25.3610210508,1570773322.4709792
33,-25.8103541448,1570773325.4741838
34,-25.1693485552,1570773328.477337
35,-25.2212482804,1570773331.4796238
36,-25.6966443756,1570773334.4826934
37,-25.4004962582,1570773337.4855754
38,-25.0013376853,1570773340.4890213
39,-25.8042846711,1570773343.492745
40,-25.6574754396,1570773346.4980187
41,-26.6298900108,1570773349.5036027
42,-25.0254447848,1570773352.5079756
43,-25.2317538132,1570773355.5122628
44,-25.1239608056,1570773358.5183077
45,-26.733464787,1570773361.5267696
46,-25.7199661614,1570773364.5334258
47,-26.0752894794,1570773367.5382886
48,-25.1245911817,1570773370.5440898
49,-25.5297454324,1570773373.550606
50,-26.1469978988,1570773376.5547433
51,-25.9784725923,1570773379.5594554
52,-25.5564772015,1570773382.5656617
53,-25.7376077501,1570773385.5711868
54,-25.7420914509,1570773388.5778959
55,-25.939092754,1570773391.5834737
56,-25.8718874286,1570773394.5891178
57,-25.0395272848,1570773397.596189
58,-25.7695002952,1570773400.6020217
59,-25.5691546864,1570773403.6075964
60,-25.7479897938,1570773406.6127703
61,-25.842036353,1570773409.618098
62,-24.6850771111,1570773412.6227317
63,-24.9676623467,1570773415.6276226
64,-25.1155201273,1570773418.63419
65,-25.7595565353,1570773421.6407418
66,-25.5189525831,1570773424.6474767
67,-25.2158656242,1570773427.6532598
68,-26.3356839658,1570773430.6609075
69,-25.5661907638,1570773433.6659148
70,-25.8247435403,1570773436.6701548
71,-25.15839008,1570773439.676386
72,-25.7665255327,1570773442.682876
73,-25.3740614524,1570773445.688819
74,-25.225058244,1570773448.6947901
75,-24.9789195356,1570773451.701462
76,-24.8759720503,1570773454.710163
77,-24.767292118,1570773457.7153459
78,-24.7503744744,1570773460.7223742
79,-25.4144333859,1570773463.7271304
80,-25.5858961732,1570773466.7317276
81,-25.4914517345,1570773469.7379124
82,-26.3335930991,1570773472.7424767
83,-25.8108935346,1570773475.7498121
84,-25.3015323658,1570773478.755621
85,-25.3984104029,1570773481.762367
86,-26.0058489854,1570773484.7688165
87,-26.3027477054,1570773487.7742527
88,-24.9898415934,1570773490.7803805
89,-24.9772105338,1570773493.7865345
90,-24.9881643045,1570773496.791638
91,-25.3586832431,1570773499.7974293
92,-24.9485087788,1570773502.8019476
93,-25.8927775082,1570773505.8077555
94,-25.3342506672,1570773508.814412
95,-25.3670953559,1570773511.8197844
96,-24.8781825553,1570773514.8258371
97,-24.6638898265,1570773517.832554
98,-25.667302455,1570773520.8382974
99,-26.0833079823,1570773523.8423662
100,-25.7659242501,1570773526.8490517
101,-25.7088523331,1570773529.8550053
102,-24.5051534613,1570773532.8604438
103,-25.6805777274,1570773535.864863
104,-25.3912750797,1570773538.871778
105,-25.4749054552,1570773541.877137
106,-25.6534441695,1570773544.8823898
107,-25.2630267316,1570773547.8878632
108,-25.8402182774,1570773550.894712
109,-25.488172224,1570773553.9006472
110,-25.6249764134,1570773556.906671
111,-24.4411102286,1570773559.9100685
112,-24.7441256687,1570773562.9166703
113,-25.2337002694,1570773565.9229264
114,-25.5893457758,1570773568.9312644
115,-25.5223181885,1570773571.9351482
116,-24.986555515,1570773574.9406722
117,-24.4344787758,1570773577.9459085
118,-25.0971807627,1570773580.9519188
119,-25.4049593994,1570773583.9582624
120,-25.8835278707,1570773586.965753
121,-24.0114522295,1570773589.9721644
122,-25.4319312022,1570773592.979616
123,-25.6860630362,1570773595.9859674
124,-25.3789624221,1570773598.992413
125,-24.9757089194,1570773601.9981854
126,-24.7609486044,1570773605.0035112
127,-24.6441523756,1570773608.0094657
128,-24.9706618464,1570773611.015189
129,-25.4353001974,1570773614.021325
130,-25.8140790286,1570773617.026283
131,-25.2298674135,1570773620.031346
132,-24.9214546777,1570773623.039443
133,-24.8661712563,1570773626.0458984
134,-24.1783102889,1570773629.0521748
135,-24.7161396239,1570773632.058627
136,-25.198562633,1570773635.0638862
137,-25.0565292367,1570773638.0693684
138,-25.9064399324,1570773641.076329
139,-23.4433299253,1570773644.082482
140,-24.4713002384,1570773647.0875454
141,-24.1253507419,1570773650.0936608
142,-24.5831100574,1570773653.1005845
143,-25.152733198,1570773656.1068375
144,-25.6150216298,1570773659.113923
145,-25.4393249981,1570773662.1199238
146,-25.2610406633,1570773665.1254246
147,-25.3584246858,1570773668.1320722
148,-23.798767195,1570773671.138885
149,-25.6391865842,1570773674.1460564
150,-25.3736333074,1570773677.1500769
151,-25.5558849122,1570773680.1555898
152,-24.2473978084,1570773683.1620119
153,-26.3142440173,1570773686.1660013
154,-24.522577027,1570773689.170837
155,-24.6647163287,1570773692.174201
156,-26.1433680601,1570773695.1788738
157,-23.0762072565,1570773698.184946
158,-23.128331317,1570773701.1913433
159,-23.1738766201,1570773704.1961427
160,-22.947246264,1570773707.2026982
161,-22.1695414365,1570773710.209105
162,-22.3550946658,1570773713.2153685
163,-22.2140657857,1570773716.222347
164,-22.8212833827,1570773719.228221
165,-21.9470878332,1570773722.2343874
166,-22.7592606599,1570773725.2391424
167,-22.1020836002,1570773728.2454255
168,-23.1224197176,1570773731.249355
169,-21.4563639639,1570773734.255532
170,-22.6576664523,1570773737.2612312
171,-21.8219210278,1570773740.2673929
172,-22.0157270908,1570773743.2725675
173,-21.7068054875,1570773746.2783499
174,-22.6140003219,1570773749.2851186
175,-22.0880581763,1570773752.2904406
176,-21.9332039538,1570773755.2973826
177,-21.338502933,1570773758.3019085
178,-22.0658831575,1570773761.3084736
179,-23.0142678941,1570773764.313904
180,-22.268170565,1570773767.3196003
181,-22.313696725,1570773770.3247216
182,-19.1712675429,1570773773.33121
183,-22.1674109439,1570773776.3366106
184,-22.0136393097,1570773779.3437815
185,-20.9757761387,1570773782.350773
186,-22.5841823496,1570773785.3547404
187,-22.0337881014,1570773788.3601556
188,-22.1499382631,1570773791.3674057
189,-22.4134778204,1570773794.3737116
190,-22.2320466516,1570773797.3801603
191,-21.890725036,1570773800.3847451
192,-22.3301884569,1570773803.391565
193,-21.1361419121,1570773806.3988996
194,-22.4126507535,1570773809.4048991
195,-20.2379715941,1570773812.4111621
196,-21.7680159158,1570773815.4200928
197,-21.6739585231,1570773818.4251173
198,-21.9797044739,1570773821.4302866
199,-22.7163718726,1570773824.436558
200,-22.3050196676,1570773827.443275
201,-21.6275085572,1570773830.4506052
202,-21.4289241012,1570773833.4577198
203,-22.7025761021,1570773836.4638004
204,-22.3865476464,1570773839.4707336
205,-21.2337631598,1570773842.4778666
206,-21.8984484548,1570773845.4849513
207,-21.918406457,1570773848.491837
208,-22.0247871496,1570773851.497192
209,-22.9713205061,1570773854.5046198
210,-22.5379954526,1570773857.5102024
211,-22.8664819372,1570773860.5171268
212,-21.2348138083,1570773863.5221586
213,-21.3739664131,1570773866.5267556
214,-21.2856814418,1570773869.5331707
215,-22.1191588388,1570773872.5391114
216,-22.1795158879,1570773875.5455885
217,-20.246657604,1570773878.5502987
218,-21.8157158523,1570773881.5568454
219,-21.6480535007,1570773884.5636592
220,-22.2809070411,1570773887.5678954
221,-22.7982863877,1570773890.573696
222,-21.9678366523,1570773893.5795097
223,-22.4979576256,1570773896.585175
224,-22.0345996776,1570773899.5908167
225,-21.3574727176,1570773902.5972815
226,-22.1096582597,1570773905.6021404
227,-21.2415425221,1570773908.6083443
228,-20.8348330349,1570773911.6122663
229,-22.4907474744,1570773914.6191885
230,-21.959530155,1570773917.624353
231,-22.8277490923,1570773920.6303437
232,-19.5399916731,1570773923.6362798
233,-22.6378337228,1570773926.642465
234,-22.6523949982,1570773929.6487048
235,-22.8672115141,1570773932.6543803
236,-21.984812884,1570773935.6604617
