# iterator, reward, timestamp 
1,-252.183333207,1567181043.628759
2,-54.5128821805,1567181047.241592
3,-55.9652870738,1567181050.8534079
4,-55.3209037454,1567181054.470469
5,-47.1097128371,1567181058.0824826
6,-51.6205281999,1567181061.6982183
7,-53.9769740822,1567181065.3086226
8,-52.1498450338,1567181068.9172196
9,-52.240559332,1567181072.531203
10,-50.8482588673,1567181076.1469731
11,-53.322787368,1567181079.7573912
12,-53.1590304296,1567181083.371487
13,-118.82599235,1567181086.989598
14,-53.9494172068,1567181090.6067007
15,-52.9617156279,1567181094.2260983
16,-58.3186304034,1567181097.8402405
17,-51.403223236,1567181101.4541001
18,-65.9528872894,1567181105.0708425
19,-47.3239387125,1567181108.6861706
20,-51.5705509283,1567181110.6853492
21,-53.1521835167,1567181112.6929295
22,-53.254448936,1567181114.6909885
23,-51.3220839259,1567181116.7003813
24,-50.8332600832,1567181118.6987522
25,-50.7362259958,1567181120.7058144
26,-56.083531128,1567181122.7074203
27,-53.8070949446,1567181124.712494
28,-49.4375284544,1567181126.7198615
29,-54.1266953419,1567181128.7195125
30,-54.2858394419,1567181130.728167
31,-53.9627657021,1567181132.7304544
32,-52.3223166355,1567181134.736554
33,-57.1860053296,1567181136.7412488
34,-54.1656162357,1567181138.745359
35,-52.3393668956,1567181140.751443
36,-57.6578131783,1567181142.7536638
37,-54.8680654421,1567181144.75776
38,-55.0164882651,1567181146.7620473
39,-52.6408866151,1567181148.7654762
40,-51.320209206,1567181152.381561
41,-51.1287115518,1567181155.9963582
42,-53.1538231305,1567181159.6109326
43,-56.359850267,1567181163.2259016
44,-53.4508046539,1567181166.838222
45,-53.6836377572,1567181168.8416135
46,-433.771133423,1567181174.4580314
47,-58.033585464,1567181178.0715425
48,-47.5371204079,1567181180.0736835
49,-60.0559163698,1567181182.0778818
50,-52.8318645413,1567181185.693832
51,-52.2754833169,1567181189.3092308
52,-51.7568091791,1567181192.9230876
53,-367.487228866,1567181197.5387871
54,-58.7306886242,1567181201.1534579
55,-47.0284307445,1567181204.7704117
56,-50.2786570746,1567181208.3863566
57,-282.215787444,1567181211.9989603
58,-50.5499688656,1567181215.6089313
59,-282.182137414,1567181219.2215357
60,-60.6621452165,1567181222.8346386
61,-52.9868175441,1567181226.4469664
62,-57.102902726,1567181228.4499543
63,-59.2787676367,1567181232.0665996
64,-55.6942750898,1567181235.6766908
65,-53.9425122289,1567181237.6814556
66,-51.7791262489,1567181239.6831279
67,-50.3028487261,1567181241.6826382
68,-54.8728337029,1567181243.6912193
69,-47.4737289252,1567181245.691073
70,-51.6822293983,1567181247.6946738
71,-57.8236791196,1567181249.6958408
72,-46.9317956934,1567181251.699514
73,-48.6327134226,1567181253.6967366
74,-49.9781572715,1567181255.7006595
75,-50.0923158941,1567181257.7043777
76,-55.9921709191,1567181259.7081792
77,-40.4050962495,1567181261.7095866
78,-49.3484104223,1567181263.7127264
79,-44.6947316822,1567181265.715492
80,-57.5334536137,1567181269.325365
81,-55.3972206487,1567181271.3313012
