# iterator, reward, timestamp 
1,100.828886032,1566483249.6045656
2,47.0591187477,1566483251.6079547
3,46.4911460876,1566483253.6115413
4,50.3341555595,1566483255.6143446
5,44.5042848587,1566483257.6178942
6,47.2382903099,1566483259.620968
7,121.685862541,1566483261.625475
8,122.451484203,1566483263.628335
9,121.824085712,1566483265.6311078
10,121.943831444,1566483267.634377
11,122.081935406,1566483269.6368895
12,122.107982635,1566483271.6396542
13,119.119346142,1566483273.6427224
14,120.568275452,1566483275.6455982
15,123.088002205,1566483277.64892
16,164.971232414,1566483282.959509
17,118.827939034,1566483286.2744625
18,161.986112595,1566483289.5840898
19,161.573767662,1566483291.587346
20,216.488480568,1566483296.8996646
21,218.346476555,1566483298.9021842
22,215.449690819,1566483300.9049082
23,216.891884804,1566483302.9072998
24,218.527913094,1566483304.9091315
25,216.992974281,1566483306.9117222
26,212.697863579,1566483308.9141471
27,218.369603157,1566483310.9172482
28,215.329170227,1566483312.9194741
29,216.900110245,1566483314.9227235
30,218.815207481,1566483316.9249227
31,217.258930206,1566483318.9286308
32,218.946218491,1566483320.930687
33,220.600247383,1566483322.932629
34,218.333601952,1566483324.934457
35,219.826340675,1566483326.9373467
36,220.832705498,1566483328.9399598
37,218.744039536,1566483330.942793
38,220.872044563,1566483332.9456086
39,218.843579292,1566483334.949082
40,220.109224319,1566483336.9512975
41,223.861813545,1566483338.9536824
42,221.656560898,1566483340.9571252
43,220.536470413,1566483342.9597144
44,223.247528076,1566483344.96279
45,220.209121704,1566483346.9655406
46,222.180008888,1566483348.9676077
47,216.524243355,1566483350.9702713
48,219.330906868,1566483352.9730012
49,224.737644196,1566483354.976408
50,221.535205841,1566483356.9793935
51,224.396109581,1566483358.9813101
52,222.373604774,1566483360.9832857
53,223.369240761,1566483362.9851713
54,220.886826515,1566483364.9877665
