# iterator, reward, timestamp 
1,-50.6218852533,1567080548.748998
2,-45.5060989941,1567080552.3656378
3,-50.1893076342,1567080555.979552
4,-73.7779278324,1567080559.5992296
5,-53.1296590211,1567080563.2142236
6,-58.7989989864,1567080566.8289769
7,-51.3746674691,1567080570.4398956
8,-115.177614249,1567080574.0580506
9,-53.6530433438,1567080577.676155
10,-53.0344112976,1567080581.291505
11,-53.1216828292,1567080584.903358
12,-58.4140800865,1567080588.5170557
13,-440.981626511,1567080598.1420827
14,-65.7941205105,1567080601.757653
15,-46.5415433617,1567080605.380805
16,-52.9614132783,1567080608.9979308
17,-45.8919733398,1567080612.6112168
18,-49.113418334,1567080616.2256682
19,-53.6948584681,1567080619.8416276
20,-49.6446630536,1567080623.4542727
21,-42.1382446557,1567080627.074221
22,-50.2177017954,1567080630.6867068
23,-48.3342490762,1567080634.3009624
24,-43.4957368316,1567080637.915769
25,-41.777304171,1567080641.5334837
26,-47.7149220361,1567080645.147485
27,-40.6042939592,1567080648.7622077
28,-53.3515459141,1567080652.378982
29,-51.2659192415,1567080655.992633
30,-48.2489790072,1567080659.6079526
31,-51.3771977774,1567080663.2263734
32,-50.3918776827,1567080666.8402855
33,-49.6845831408,1567080670.4576902
34,-51.1675512655,1567080674.0781775
35,-50.1417279844,1567080677.687912
36,-48.856533895,1567080681.305236
37,-53.8463703975,1567080684.919481
38,-53.087575547,1567080688.5344465
39,-50.8074254515,1567080692.150507
40,-52.686056118,1567080695.764948
41,-50.7802559808,1567080699.3790362
42,-43.9275366061,1567080702.9957016
43,-51.2652508125,1567080706.6111946
44,-50.2303360757,1567080710.224224
45,-375.319542873,1567080713.841208
46,-51.0516737402,1567080717.4555254
47,-51.2300621162,1567080721.0715413
48,-48.5930364581,1567080724.686495
49,-48.9811509219,1567080728.2974463
50,-52.1484081259,1567080731.9108849
51,-47.3140776802,1567080735.523796
52,-43.2355204809,1567080739.1353219
53,-51.284731315,1567080742.748877
54,-51.7563986144,1567080746.361294
55,-44.7318990557,1567080749.9733353
56,-54.2814327301,1567080753.585725
57,-55.6569733205,1567080757.2015233
