# iterator, reward, timestamp 
1,126.771807671,1566913038.5204961
2,218.95468235,1566913040.5254507
3,114.372909069,1566913046.6398294
4,212.556004524,1566913051.7525299
5,119.494259357,1566913055.8614058
6,214.326381683,1566913062.9746487
7,120.176672935,1566913066.0855422
8,118.245780468,1566913068.0874293
9,116.253137589,1566913070.0939782
10,120.743274689,1566913072.0974233
11,121.069014072,1566913074.099603
12,119.716644287,1566913076.1038868
13,127.937853336,1566913078.1077182
14,115.662753582,1566913083.2193227
15,167.567968369,1566913086.3269284
16,123.522043228,1566913089.4358594
17,217.04018116,1566913094.5433235
18,36.8951559067,1566913097.6526997
19,163.677453995,1566913100.7586598
20,26.1117219925,1566913103.866434
21,25.1661539078,1566913105.868233
22,24.3762731552,1566913107.8707945
23,28.2114744186,1566913109.873142
24,32.1440696716,1566913111.8798692
25,29.7615528107,1566913113.881423
26,28.302192688,1566913115.8849962
27,25.3036022186,1566913117.8876147
28,158.351063728,1566913120.9946651
29,164.146542549,1566913123.0002284
30,28.3434391022,1566913126.1068122
31,24.307012558,1566913128.1080217
32,21.285533905,1566913130.1102254
33,22.7326154709,1566913132.1141715
34,34.1143608093,1566913134.1156623
35,25.5553722382,1566913136.1204853
36,212.19098568,1566913139.228529
37,28.0511379242,1566913142.336839
38,38.3913516998,1566913144.3407137
39,38.7427806854,1566913146.3459942
40,209.279179573,1566913151.4621482
41,209.351420403,1566913153.4673817
42,218.777656555,1566913155.4695947
43,36.4979505539,1566913158.5803888
44,18.737077713,1566913160.5836663
45,24.5895385742,1566913162.5872116
46,14.4186019897,1566913164.5920525
47,25.1431465149,1566913166.594979
48,28.2311439514,1566913168.5966644
49,19.6324586868,1566913170.6005788
50,23.7240791321,1566913172.603641
51,30.6752920151,1566913174.6040475
52,21.6056108475,1566913176.6072903
53,24.9508619308,1566913178.6113865
54,32.7359437943,1566913180.6184323
55,22.8725671768,1566913182.6218731
56,24.6109962463,1566913184.6243303
57,18.1435346603,1566913186.6257613
58,20.6357240677,1566913188.630823
59,36.1799001694,1566913190.6313818
60,25.5997180939,1566913192.6348472
61,25.9312391281,1566913194.636418
62,32.5534343719,1566913197.7425451
63,23.561835289,1566913200.850803
64,22.8629112244,1566913202.8526337
65,22.2206115723,1566913204.8548632
66,24.4715213776,1566913206.8578773
67,29.2103290558,1566913208.8615696
68,24.9501466751,1566913210.86316
69,31.0598611832,1566913212.866426
70,31.133890152,1566913214.8697104
71,26.7961025238,1566913216.872254
72,214.108347893,1566913221.984565
73,27.0031690598,1566913225.0964448
74,24.0604877472,1566913227.0992641
75,25.8781909943,1566913229.1018553
76,25.4548788071,1566913231.1049585
77,23.152589798,1566913233.1074076
78,28.5621881485,1566913235.1123097
79,26.8186330795,1566913237.1175494
80,26.9557237625,1566913239.122467
81,26.4253616333,1566913241.1267862
82,37.9326343536,1566913243.1291685
83,24.9274969101,1566913245.1323996
84,24.2887735367,1566913247.136355
85,28.7271738052,1566913249.1388419
86,32.6743125916,1566913251.1418512
87,27.3659229279,1566913253.1465394
88,33.3088636398,1566913255.1495764
89,21.3367938995,1566913257.1528943
90,26.2080430984,1566913259.1561124
91,24.5267152786,1566913261.157786
92,27.4677276611,1566913263.1610632
93,28.6657810211,1566913265.1641703
94,29.634475708,1566913267.1671216
95,26.6317129135,1566913269.1698246
96,22.0811367035,1566913271.1730947
97,28.6858081818,1566913273.1758454
98,22.0679044724,1566913275.1805067
99,19.5137262344,1566913277.1958683
100,26.109457016,1566913279.1925888
101,215.031385422,1566913286.311227
102,220.831394196,1566913288.311685
103,28.3924341202,1566913291.4173877
104,30.4135084152,1566913293.4196103
105,162.654399872,1566913296.5285256
106,29.1160345078,1566913299.6386843
107,24.30164814,1566913301.642873
108,21.754026413,1566913303.6464899
109,23.1621265411,1566913305.6485639
110,21.4676856995,1566913307.652437
111,18.6502933502,1566913309.6548765
112,21.6077566147,1566913311.6571493
113,24.5176553726,1566913313.6590319
114,24.9418020248,1566913315.661593
115,23.9977836609,1566913317.6632915
116,29.4423103333,1566913319.6665196
117,29.119849205,1566913321.6708748
118,32.7048301697,1566913323.672969
119,36.9046926498,1566913325.682151
120,25.5863666534,1566913327.6857438
121,24.0434408188,1566913329.6891558
122,26.0107517242,1566913331.6914558
123,22.6780176163,1566913333.6944923
