# iterator, reward, timestamp 
1,-130.56335635676552,1566934110.4148765
2,-227.52099514157115,1566934112.417855
3,-225.5835888092224,1566934114.4210093
4,-224.8241025990561,1566934116.4232428
5,-229.29908638654877,1566934118.425315
6,-227.32290495356997,1566934123.5324838
7,-102.60369881328795,1566934126.6400769
8,-226.7431329054541,1566934130.748675
9,-63.67539671265294,1566934133.8552346
10,-302.7902089602066,1566934136.9616737
11,-52.957042239029185,1566934140.0683897
12,-33.51971534204251,1566934142.071002
13,-32.93567548246111,1566934144.0746992
14,-32.19515392692208,1566934146.0780172
15,-32.60361404411782,1566934148.081485
16,-33.89918586200821,1566934150.0848718
17,-32.326944705778516,1566934152.0881574
18,-33.69760386959233,1566934154.0910163
19,-33.17715879793384,1566934156.0942142
20,-31.930798887304803,1566934158.0972958
21,-303.46506429856305,1566934161.2057753
22,-71.45460096928363,1566934164.3129804
23,-31.68329059416603,1566934166.3169706
24,-31.754232502740194,1566934168.3198082
25,-33.700971063654364,1566934170.3227336
26,-32.27511523084156,1566934172.3266745
27,-31.635347034966827,1566934174.3293998
28,-32.80068024834322,1566934176.3332953
29,-32.475038394701784,1566934178.336925
30,-33.642857025690695,1566934180.3404186
31,-33.94961265278789,1566934182.3441792
32,-33.686952790374356,1566934184.3467085
33,-32.2385533796363,1566934186.3494246
34,-32.33082257534411,1566934188.3531654
35,-32.259400861508595,1566934190.3561254
36,-32.867117023739425,1566934192.3596208
37,-34.07949682910228,1566934194.3631215
38,-32.86830119731405,1566934196.3666034
39,-32.63498759229524,1566934198.3694198
40,-31.43626837268585,1566934200.3721983
41,-32.25885455919187,1566934202.3757343
42,-31.933430963815514,1566934204.379071
43,-32.39643349147746,1566934206.3823678
44,-32.91448604599212,1566934208.3863688
45,-31.84228349905637,1566934210.390249
46,-31.484270026622124,1566934212.394474
47,-31.727595936610808,1566934214.3981137
48,-31.525359452373962,1566934216.4014258
49,-32.52171480454341,1566934218.4053156
50,-31.882777056154527,1566934220.4088864
51,-32.66293382428936,1566934222.4111922
52,-33.2758268751431,1566934224.414272
53,-32.86701191931055,1566934226.417001
54,-34.17211969995689,1566934228.4199626
55,-32.8792390238021,1566934230.423755
56,-31.81860649239381,1566934232.4282253
