# iterator, reward, timestamp 
1,91.7112708092,1568006449.9911678
2,86.5446090698,1568006454.096157
3,103.712034225,1568006462.2090673
4,101.162958145,1568006466.3125749
5,86.1835718155,1568006475.454599
6,104.123425484,1568006481.534024
7,85.8935117722,1568006484.6392758
8,98.4912872314,1568006489.7457848
9,115.295433998,1568006507.8685608
10,98.5973596573,1568006514.97724
11,88.007068634,1568006522.0826693
12,98.5761404037,1568006525.175702
13,88.8692378998,1568006529.2942839
14,95.5552577972,1568006537.41002
15,88.502240181,1568006544.516445
16,88.5257482529,1568006546.5194967
17,88.4171485901,1568006548.5235898
18,96.1257696152,1568006554.632269
19,85.5474710464,1568006570.7511652
20,78.3119440079,1568006575.8570158
21,85.7219696045,1568006580.9669135
22,101.715493202,1568006586.071505
23,87.394618988,1568006596.1825926
24,70.5463409424,1568006604.3165472
25,55.8302879333,1568006612.409032
26,50.0952243805,1568006615.513978
27,58.8366746902,1568006617.5159245
28,96.5120792389,1568006621.6231208
29,79.124379158,1568006628.733549
30,69.1227197647,1568006634.8401113
31,85.6074333191,1568006642.951587
32,68.7853097916,1568006649.0591326
33,85.0837945938,1568006655.1661725
34,93.7570333481,1568006668.2799087
35,87.4158859253,1568006677.3916955
36,114.19711113,1568006684.5018058
37,122.787714005,1568006710.6362274
38,150.252461433,1568006718.7495744
39,121.588420868,1568006723.8551462
40,147.277832031,1568006742.9771373
41,121.370911598,1568006783.1186352
42,114.510035515,1568006787.2204552
43,121.156573296,1568006793.350348
44,116.849946976,1568006802.4383097
45,98.8091945648,1568006813.555789
46,113.977432251,1568006817.6637983
47,98.3532428741,1568006823.7702458
48,88.3929014206,1568006830.8816104
49,105.059885979,1568006833.9830055
50,95.2105998993,1568006841.0927951
51,87.3563528061,1568006851.2037454
52,70.7392454147,1568006858.314774
53,67.6291942596,1568006874.439741
54,94.1991567612,1568006877.541635
55,67.4836158752,1568006884.6521282
56,72.1974134445,1568006888.7551265
57,70.7791090012,1568006890.761784
58,72.6381778717,1568006892.7608924
59,71.3029623032,1568006895.866262
60,70.8452224731,1568006906.9792743
61,70.7607507706,1568006908.9835389
62,82.1345329285,1568006913.1185277
63,98.6820220947,1568006916.1960382
64,82.7249288559,1568006920.2994015
65,66.0582780838,1568006930.4133656
66,72.1541881561,1568006943.5327146
67,73.2122421265,1568006947.6407688
68,72.8380203247,1568006951.746024
69,88.9471292496,1568006959.856903
70,72.8247404099,1568006963.961987
71,81.8633079529,1568006970.0712504
72,72.095990181,1568006979.1898108
73,71.6185092926,1568006982.2952793
74,72.5381612778,1568006988.4032304
75,78.2298088074,1568006993.508036
76,72.2921133041,1568007000.618957
77,73.8240242004,1568007004.7209563
78,73.3493804932,1568007009.8289046
79,88.8065576553,1568007019.9403992
80,71.4566469193,1568007024.0465777
81,81.9273948669,1568007045.197556
82,79.9915075302,1568007064.2955303
83,82.035279274,1568007073.401136
84,71.5256214142,1568007076.5049427
85,79.5079231262,1568007085.6158144
86,67.1197652817,1568007096.7321362
87,71.0383176804,1568007102.8418868
88,79.4867038727,1568007110.953239
89,57.7636957169,1568007114.0501063
90,79.2239427567,1568007121.1624656
91,58.9401483536,1568007124.267161
92,79.0953159332,1568007128.3738904
93,67.172908783,1568007140.4871998
94,79.8224687576,1568007144.5900247
95,62.5967979431,1568007148.6964142
96,80.0800800323,1568007154.8037412
97,67.0913219452,1568007165.9194376
98,55.9011936188,1568007169.0249014
99,87.9002094269,1568007173.1295362
100,73.71134758,1568007179.265817
101,76.3381481171,1568007184.341038
102,74.8515129089,1568007190.4526083
103,75.6641149521,1568007194.5605612
104,73.5835075378,1568007198.6661866
105,70.1372861862,1568007201.7714193
106,73.0202198029,1568007205.8773315
107,69.1647291183,1568007208.9840434
108,105.814433098,1568007215.0922945
109,89.9129152298,1568007224.2020729
110,105.570578575,1568007230.3102777
111,97.931599617,1568007235.4200344
112,82.6983451843,1568007239.5262728
113,99.417424202,1568007244.6328151
114,83.1593751907,1568007248.736641
115,99.0280389786,1568007255.8478422
116,83.3310604095,1568007264.9607284
117,99.7283697128,1568007274.069983
118,83.2335233688,1568007279.1802669
119,89.8378610611,1568007284.3138611
120,105.633401871,1568007289.392111
121,103.586173058,1568007305.5128994
122,77.8954982758,1568007310.6208127
123,104.794549942,1568007321.7318976
124,52.0770311356,1568007333.8470678
125,93.6549901962,1568007339.9544454
126,75.5382537842,1568007350.0683346
127,104.750800133,1568007358.1656795
128,88.5472536087,1568007370.2955017
129,104.700875282,1568007376.40447
130,79.4215917587,1568007385.4995325
131,106.656575203,1568007405.6385622
132,80.4982185364,1568007410.7428005
133,80.5072069168,1568007412.746673
134,80.7145357132,1568007414.748611
135,81.1098098755,1568007416.7507923
136,80.94394207,1568007418.7520206
137,80.7676315308,1568007420.7565024
138,80.3438901901,1568007422.7845786
139,80.780339241,1568007424.7584767
140,81.0552120209,1568007426.7641134
141,81.2220573425,1568007428.7637396
142,80.6138038635,1568007430.7658074
143,80.7122468948,1568007432.7675502
144,80.7255983353,1568007434.7697618
145,81.2085866928,1568007436.773147
146,80.5680274963,1568007438.7743337
147,80.7931184769,1568007440.7770545
148,81.0947656631,1568007442.780479
149,81.2296628952,1568007444.7823048
150,81.9198608398,1568007446.7858462
151,81.6729068756,1568007448.7869816
152,81.4044237137,1568007450.7897387
153,81.246471405,1568007452.792105
154,81.290769577,1568007454.7955909
155,81.2478303909,1568007456.7972548
156,100.255560875,1568007460.9042654
157,126.183748245,1568007469.0348744
158,99.3740081787,1568007478.1224844
159,100.147080421,1568007480.125508
160,126.986122131,1568007485.2313204
161,94.8499202728,1568007490.340024
162,99.379324913,1568007492.3451912
163,99.7017621994,1568007494.3463068
164,96.1238145828,1568007499.4552898
165,103.74455452,1568007505.5624897
166,96.338891983,1568007509.6668599
167,103.000950813,1568007513.77366
168,96.3373422623,1568007521.8830035
169,103.187537193,1568007531.9966626
170,96.6750860214,1568007535.1010585
171,80.4216623306,1568007542.20987
172,80.594587326,1568007546.3166976
173,80.5573701859,1568007556.4301338
174,97.2385883331,1568007566.5386221
175,80.8218479156,1568007575.6485221
176,79.6613693237,1568007579.7836459
177,80.0058364868,1568007584.8620555
178,78.3560276031,1568007587.9669867
179,81.6605806351,1568007598.0799873
180,97.2887277603,1568007605.1903749
181,81.796169281,1568007608.2964077
182,96.6914653778,1568007615.3971162
183,82.0113897324,1568007623.5183258
184,81.596326828,1568007627.6230445
