# iterator, reward, timestamp 
1,877.318898837,1568042567.6507716
2,506.672342618,1568042570.7571638
3,397.563457489,1568042574.8642473
4,160.171866417,1568042577.9685986
5,243.529677391,1568042581.0748754
6,289.779543877,1568042584.1800482
7,247.445185979,1568042587.2847736
8,259.276469549,1568042590.3900087
9,254.894097646,1568042593.4949815
10,336.938858032,1568042595.4978724
11,858.034014702,1568042598.605373
12,1019.81838544,1568042602.7128592
13,707.751631737,1568042606.820443
14,615.109443665,1568042611.9277742
15,394.815762838,1568042616.034139
16,536.753575007,1568042619.1383762
17,279.467940331,1568042621.1415575
18,475.214560827,1568042623.1433876
19,669.544696808,1568042625.145331
20,1518.37623119,1568042630.2530038
21,1020.47244708,1568042634.3585634
22,523.374040922,1568042638.4648225
23,389.605323474,1568042641.5695016
24,276.373227437,1568042644.6731176
25,279.168009758,1568042647.7779944
26,357.908129692,1568042651.8840082
27,438.527067502,1568042654.9882178
28,919.615507126,1568042658.0930834
29,1023.66813024,1568042661.1985984
30,1510.89012623,1568042665.306064
31,1022.3197937,1568042668.4112947
32,889.616131783,1568042672.5167658
33,452.70717144,1568042675.6213107
34,443.219383558,1568042677.6233158
35,540.031949679,1568042679.6250358
36,621.149460475,1568042682.7303622
37,488.975246747,1568042685.8337984
38,672.574559848,1568042688.9379396
39,1524.03187752,1568042692.043017
40,1359.41183567,1568042697.1500082
41,841.16367499,1568042700.2560136
42,764.559626579,1568042704.363918
43,764.379024506,1568042706.365957
44,720.879356066,1568042711.473515
45,215.143879255,1568042714.5783336
46,897.611061732,1568042716.5812318
47,616.312503815,1568042721.690625
48,692.014217377,1568042724.7968764
49,881.261150042,1568042727.9029381
50,689.371625582,1568042732.0099962
51,2035.30621529,1568042741.1223145
52,2032.4921608,1568042743.1244662
53,1360.67461967,1568042751.234029
54,843.01284949,1568042754.3385918
55,743.917226791,1568042756.3422306
56,255.361715953,1568042759.4473858
57,621.731201808,1568042762.5532782
58,514.483888944,1568042764.558439
59,493.638356527,1568042767.6633406
60,534.259835879,1568042770.768715
61,484.825293223,1568042772.7710297
62,528.080701828,1568042774.7731786
63,502.279957136,1568042778.87805
64,212.367892265,1568042782.9843628
65,678.460915883,1568042787.0892968
66,525.105198224,1568042790.1953204
67,1038.42163086,1568042794.2996254
68,1038.70201111,1568042796.301563
69,1039.12377357,1568042798.3029442
70,1022.70674706,1568042803.4101856
71,726.582845052,1568042807.5176787
72,447.276115417,1568042810.6225772
73,309.67493852,1568042813.7268856
74,993.733048439,1568042817.832327
75,1360.84846656,1568042821.9384496
76,877.328515053,1568042826.046072
77,489.995400111,1568042829.1522205
78,1238.10255527,1568042832.2563388
79,1359.30466652,1568042836.3621871
80,673.321604729,1568042841.468756
81,284.974813461,1568042844.5740216
82,1023.67881934,1568042847.6794124
83,563.205043475,1568042851.7858324
84,728.878299395,1568042856.8931775
85,406.048893929,1568042859.9974663
86,209.587653478,1568042864.1049807
87,1125.59807301,1568042867.210048
88,1023.1659015,1568042871.315788
89,562.307874362,1568042874.420878
90,473.812103271,1568042877.5258968
91,427.582820257,1568042880.6307323
92,246.162215869,1568042884.7384686
93,441.616853078,1568042886.7405841
94,541.806260745,1568042888.744603
95,589.071353277,1568042891.850119
96,375.390728315,1568042894.9545155
97,441.052873929,1568042896.9567626
98,539.350867271,1568042898.9598792
99,1083.74047279,1568042902.0648928
100,1517.56131649,1568042904.0673976
101,1023.3373642,1568042907.17159
102,665.075143178,1568042911.2761223
103,678.926467896,1568042914.3813114
104,690.504868825,1568042917.487558
105,751.97605292,1568042921.5926464
106,245.477954547,1568042924.6984692
107,949.740449588,1568042926.700577
108,726.348956426,1568042931.8074627
109,550.521890322,1568042934.9126446
110,862.54354318,1568042936.9156158
111,733.746528625,1568042942.0238178
112,404.749274254,1568042945.130154
113,205.217639605,1568042949.2362285
114,164.99765714,1568042952.3420088
115,245.041370392,1568042955.448168
116,297.766486804,1568042958.553469
117,251.040061315,1568042961.658868
118,261.752327283,1568042964.7641473
119,256.945093473,1568042967.8687081
120,250.134746234,1568042970.9753504
121,261.560122172,1568042974.0813715
122,363.016208013,1568042978.186636
123,1050.37724972,1568042981.2917635
124,1360.9855175,1568042986.4004395
125,850.43656826,1568042990.5076957
126,959.671020508,1568042993.6133153
127,956.889390945,1568042995.6163218
128,1023.91370138,1568042998.7218747
129,1021.51890596,1568043000.7240543
130,753.773808479,1568043003.830543
131,579.829692841,1568043006.935503
132,473.519961039,1568043011.042054
133,322.755138079,1568043015.1489642
134,356.800079346,1568043019.255047
135,443.059961001,1568043022.359566
136,151.942531268,1568043025.4630802
137,248.762369156,1568043028.567541
138,289.531985919,1568043031.6727612
139,253.399729729,1568043034.778652
140,260.482827822,1568043037.8840282
141,423.399806023,1568043039.8865905
142,515.299399694,1568043042.992352
143,359.839280446,1568043046.0990365
144,319.345156352,1568043049.2046432
145,353.270610174,1568043053.310966
146,700.660745303,1568043055.313015
147,1556.21695518,1568043059.4200556
148,1360.31357447,1568043064.5285962
149,2028.88476849,1568043068.6348782
150,1360.61692238,1568043071.7410228
151,827.049573263,1568043074.8458767
152,809.152563413,1568043078.9524841
153,809.338927269,1568043080.9543216
154,1156.3236316,1568043082.957256
155,727.136492729,1568043088.0649135
156,553.675731023,1568043090.0660577
157,629.308223724,1568043092.068444
158,481.194853783,1568043096.1747298
159,760.225335757,1568043098.1769662
160,611.508488655,1568043103.2852125
161,410.347263018,1568043106.3904855
162,532.573898633,1568043111.4969652
163,616.064588229,1568043115.6040294
164,647.070725759,1568043118.7095218
165,717.168609301,1568043121.8152077
166,562.753756841,1568043124.9207418
167,808.640360832,1568043129.0271757
168,1023.24807644,1568043134.1347728
169,1023.21588993,1568043136.1369848
170,709.553519885,1568043139.2422824
171,817.521214485,1568043142.348873
172,1360.02850533,1568043146.4547005
173,862.584352493,1568043150.5598197
174,576.012134552,1568043153.6652164
175,2029.8486948,1568043160.781063
176,2029.63137627,1568043162.7846072
177,1359.47954655,1568043168.892823
178,725.255489349,1568043174.0002472
179,919.481754303,1568043178.1049547
180,918.96212101,1568043180.107609
181,1480.80420494,1568043182.1101496
182,1019.26934719,1568043190.2224612
183,703.66303126,1568043193.3301666
184,644.45010821,1568043197.4371543
185,392.168839773,1568043200.5418777
186,533.989071846,1568043205.6483693
187,246.556003888,1568043208.752431
188,486.83599631,1568043211.8572686
189,898.442029953,1568043215.9641814
190,1022.52705892,1568043223.073133
191,951.704581579,1568043226.1783087
192,522.620995839,1568043229.2837727
193,355.15387853,1568043232.3896656
194,612.564404806,1568043237.4975052
195,733.770529429,1568043241.6036696
196,2021.71254158,1568043245.7104027
197,1359.71375306,1568043249.817125
198,688.943823179,1568043252.9226582
199,264.70708847,1568043256.0288382
200,1009.26947594,1568043259.1346881
201,556.944211324,1568043263.2415764
202,733.94326369,1568043268.3491971
203,514.949878057,1568043271.45471
204,408.088525136,1568043274.5605423
205,991.817235947,1568043278.666786
206,616.708517075,1568043283.7719882
207,655.798951785,1568043287.87711
208,672.942598661,1568043292.9858127
209,255.256652832,1568043296.091267
210,1003.68412336,1568043299.1965399
211,1021.4445591,1568043301.198598
212,552.271922429,1568043305.3047562
213,791.920423508,1568043307.3077915
214,791.877508163,1568043310.4133136
215,594.287077586,1568043313.5185475
216,930.473168691,1568043315.5210273
217,931.562622388,1568043317.5231347
218,688.257813454,1568043321.6293097
219,1111.96327209,1568043325.7371244
220,1023.03008238,1568043330.8448317
221,1520.28083801,1568043333.9514804
222,1017.95935631,1568043337.0577
223,648.693879445,1568043340.1629105
224,558.865149816,1568043343.2666156
225,566.555500031,1568043346.3712497
226,1021.48381869,1568043351.4796963
227,1517.72856712,1568043355.585769
228,1022.13700612,1568043359.6919184
229,654.111941655,1568043363.7989292
230,662.877003352,1568043366.9052966
231,699.801286062,1568043370.0122535
232,1129.17474906,1568043372.0150568
233,724.047223727,1568043377.122935
234,453.898827235,1568043379.1248105
235,648.211320241,1568043381.1269875
236,1520.20609379,1568043385.233813
237,1023.46837521,1568043390.3428962
238,1018.54979992,1568043392.345132
239,921.338955561,1568043395.4508238
240,496.85994784,1568043398.5562298
241,506.755749385,1568043401.6609085
242,404.12179629,1568043405.7688754
243,159.041364988,1568043408.8738334
244,246.746102969,1568043411.9797912
245,287.491401037,1568043415.086531
246,1306.84840679,1568043418.1924133
247,1356.53384527,1568043425.301516
248,808.892885844,1568043428.4076588
249,631.983319918,1568043431.5131004
250,515.880187352,1568043435.6194494
251,261.11749808,1568043438.72516
252,307.621518771,1568043441.8304589
253,145.801345507,1568043444.9358978
254,490.801731745,1568043446.9382575
255,581.097364426,1568043450.0421457
256,221.385359764,1568043453.1478512
257,308.003385862,1568043456.252168
258,257.326563199,1568043459.357526
259,256.883541743,1568043462.4634085
260,241.670449575,1568043465.5691097
261,216.457684835,1568043469.6754293
262,349.130153656,1568043473.7826257
263,429.829875628,1568043476.8879204
264,139.138539632,1568043479.9938009
265,246.487696966,1568043483.1
266,277.095794678,1568043486.2060275
267,253.736257553,1568043489.310578
268,256.296475728,1568043492.4164886
269,255.500157674,1568043495.5205479
270,401.355067889,1568043498.6254184
271,752.402385076,1568043500.6276438
272,878.033161163,1568043504.73396
273,492.141127586,1568043507.8388875
274,497.866153717,1568043510.9440742
275,221.718509992,1568043514.0490165
276,289.592345556,1568043517.154817
277,273.742079735,1568043520.261026
278,249.315500259,1568043523.3658202
279,256.607651711,1568043526.4710758
280,259.015440941,1568043529.5768666
281,241.505384445,1568043532.6827462
282,211.52929465,1568043536.7900913
283,341.828902562,1568043540.8972356
284,686.569968859,1568043542.9001362
285,500.973264376,1568043547.005828
286,190.15343984,1568043550.1114297
287,266.295115153,1568043553.2161915
288,1368.53194237,1568043557.32248
289,1021.47690455,1568043561.4287324
290,738.511959712,1568043564.5347319
291,579.82313633,1568043567.640084
292,517.188549042,1568043570.744507
293,640.13560613,1568043574.8491397
294,395.887374878,1568043577.9540148
295,535.432338715,1568043583.0623047
296,244.431098302,1568043586.1685057
297,632.412513097,1568043589.2726018
298,846.508026123,1568043593.3782334
299,722.347656886,1568043598.4868188
300,420.078078906,1568043601.5915363
301,296.972473462,1568043604.6954787
302,236.971616745,1568043607.8009794
303,207.070231438,1568043611.9080608
304,335.88774999,1568043616.0151918
305,453.11208566,1568043619.1208076
306,126.466075579,1568043622.2255726
307,245.957771937,1568043625.3294773
308,266.17149512,1568043628.435083
309,245.284120242,1568043632.5423603
310,299.22747612,1568043635.6483753
311,259.692072868,1568043638.7540784
312,237.470944722,1568043641.8600707
313,204.293171565,1568043645.9662948
314,333.785573641,1568043650.0724707
315,453.753789266,1568043653.178542
316,122.837861379,1568043656.2844155
317,247.891823451,1568043659.3901494
318,264.728148778,1568043662.4963758
319,253.633101781,1568043665.6014233
320,247.906764348,1568043668.7074916
321,261.984467506,1568043671.8125966
322,362.944205602,1568043675.9186168
323,1053.38156223,1568043679.0240102
324,1353.36001714,1568043682.1284978
325,848.611593246,1568043685.2322488
326,683.818062147,1568043689.3374448
327,1030.23560842,1568043691.3395758
328,828.705588977,1568043694.4448009
329,817.466338476,1568043698.5505748
330,713.220675786,1568043701.6544352
331,569.078763326,1568043703.6561677
332,435.608506203,1568043705.6580372
333,572.643200556,1568043708.7627895
334,399.933854739,1568043711.866828
335,910.215298335,1568043715.9722161
336,1357.87204901,1568043717.9746063
337,685.402750969,1568043722.0825257
338,1160.73656082,1568043725.1875787
339,616.176923116,1568043730.2945008
340,475.032885869,1568043732.2975595
341,1391.25669003,1568043735.4023914
342,1020.97940445,1568043739.5097659
343,890.168388685,1568043743.6153276
344,450.984080633,1568043746.7199557
345,427.744110425,1568043749.8256583
346,494.07740434,1568043752.932811
347,674.780448278,1568043756.0378435
348,602.915644646,1568043759.1433587
