# iterator, reward, timestamp 
1,-705.1358415538189,1568061676.2070785
2,-524.7310718180172,1568061679.314284
3,-573.4257524619559,1568061684.4241498
4,-742.8277472053608,1568061688.5329492
5,-695.7503190295748,1568061693.6423771
6,-449.4610812395172,1568061696.7501504
7,-1355.6467294692993,1568061699.8571048
8,-1654.4641303153205,1568061707.9725988
9,-2027.0013809204102,1568061712.0808995
10,-1654.067090680201,1568061718.189643
11,-2025.8777141571045,1568061721.2964535
12,-2021.034359931946,1568061723.2984858
13,-1654.22590372906,1568061730.4098332
14,-2027.7397632598877,1568061733.5174794
15,-2022.6540565490723,1568061735.5202746
16,-2022.7670669555664,1568061737.523233
17,-1654.6934892131703,1568061742.6315536
18,-2026.033878326416,1568061745.7377598
19,-1650.9512658424478,1568061748.8433073
20,-2018.2901620864868,1568061751.9497871
21,-1655.9910121866187,1568061759.0617256
22,-2027.66489982605,1568061762.1680584
23,-1648.133861954356,1568061765.2752092
24,-2024.8397588729858,1568061771.385692
25,-1653.337330314515,1568061774.4936664
26,-2026.7993211746216,1568061780.6041892
27,-1654.327379016981,1568061783.710325
28,-1653.8658816597258,1568061785.713536
29,-1211.1161376364385,1568061789.821712
30,-1014.237431548535,1568061793.9297051
31,-788.4509182574473,1568061799.0387473
32,-629.1371935595209,1568061802.1467257
33,-748.0408421078845,1568061805.2558713
34,-637.0078325271606,1568061809.3641896
35,-1197.9354394379143,1568061814.475107
36,-1239.3909692764282,1568061818.5838308
37,-1521.2067365646362,1568061820.5870845
38,-1237.498287146355,1568061825.6967692
39,-745.703655519701,1568061828.8026907
40,-822.2541746251246,1568061831.9097538
41,-497.6628941237594,1568061835.0175703
42,-1125.2610683441162,1568061838.1245737
43,-1655.2342288947825,1568061844.2352734
44,-1654.3458943049623,1568061846.2370625
45,-1162.8923267628886,1568061851.3480566
46,-613.2910251617433,1568061855.4561234
47,-1201.9837778007852,1568061860.564286
48,-1245.2709674835205,1568061863.6715
