# iterator, reward, timestamp 
1,419.574181239,1568080960.6015983
2,788.21293513,1568080964.7101357
3,651.948213577,1568080969.8194585
4,904.601414998,1568080973.924855
5,570.039550463,1568080979.03459
6,1304.72779274,1568080983.1421483
7,1021.34672801,1568080986.2482698
8,1519.8045969,1568080991.3581328
9,1014.28461075,1568080995.4662042
10,359.547376633,1568080999.5744362
11,966.835618019,1568081001.5750282
12,478.183428446,1568081006.6853585
13,967.762589455,1568081009.7907772
14,1015.82709948,1568081012.8969984
15,548.219760259,1568081017.0065672
16,205.118497213,1568081020.1120884
17,167.476852735,1568081023.218648
18,483.532468478,1568081026.3258898
19,224.112351735,1568081029.431885
20,498.189489047,1568081032.5383492
21,583.386619886,1568081035.6465845
22,455.682078997,1568081038.7547839
23,932.130098343,1568081042.863746
24,655.327121417,1568081047.97078
25,359.512448311,1568081051.0766401
26,904.872775078,1568081053.0785158
27,1449.15032387,1568081055.0788293
28,1024.60968494,1568081065.1948233
29,1023.24962616,1568081067.197859
30,793.897827466,1568081071.306031
31,218.487580617,1568081074.4112158
32,189.55719471,1568081077.518417
33,150.897065798,1568081080.623775
34,163.525422414,1568081083.7310278
35,143.515427907,1568081087.838433
36,137.144684792,1568081090.9452496
37,132.137775421,1568081094.050812
38,1182.56103992,1568081098.1580973
39,1022.64281114,1568081102.267113
40,800.040006638,1568081106.378322
41,188.602964083,1568081110.4866123
42,180.626392365,1568081113.5926185
43,153.526345889,1568081116.699094
44,288.869818052,1568081120.80707
45,99.6938149134,1568081123.9128714
46,129.943728447,1568081127.0177493
47,128.245155017,1568081130.1238852
48,193.386316299,1568081132.1282666
49,313.117861748,1568081134.1306307
50,268.000761668,1568081137.2352731
51,124.958435694,1568081140.3431594
52,208.128372828,1568081143.450095
53,140.58927695,1568081146.5559793
54,226.736028989,1568081148.5586903
55,380.741238594,1568081151.6654694
56,1019.12069321,1568081154.7709444
57,1363.20984364,1568081157.8778965
58,2032.18090534,1568081161.9867148
59,1363.76539866,1568081171.0999768
60,795.759598414,1568081174.2055094
61,739.78749911,1568081178.313086
62,605.825980504,1568081181.4195685
63,429.755528768,1568081184.526769
64,563.272118568,1568081186.5286753
65,695.867737134,1568081188.5286357
66,719.048778216,1568081192.6385105
67,257.149418195,1568081195.7452333
68,523.249824842,1568081197.7481065
69,258.478959401,1568081201.8547668
70,285.418351491,1568081205.9627042
71,105.320652326,1568081209.0701811
72,122.474551201,1568081212.1772761
73,1302.63102055,1568081215.2841756
74,1361.40298843,1568081221.3921666
75,777.868151665,1568081224.4982955
76,712.587316831,1568081226.4984734
77,666.868209839,1568081229.606118
78,1023.30827713,1568081233.713039
79,556.115070979,1568081237.8175921
80,248.113870621,1568081240.9264011
81,605.495532354,1568081245.035006
82,1357.93113708,1568081248.1432006
83,1362.88531621,1568081251.2492821
84,566.208680471,1568081256.358614
85,310.013214747,1568081258.3619685
86,173.213680585,1568081261.468723
87,1164.45553303,1568081264.573567
88,1361.60624027,1568081269.6829915
89,690.849820773,1568081273.7925577
90,603.535652161,1568081277.9009802
91,1021.59249783,1568081282.0084488
92,1021.24428749,1568081284.0112295
93,554.681022962,1568081288.1197925
94,191.118399302,1568081291.2280154
95,249.348640442,1568081294.3347194
96,122.455318769,1568081297.441731
97,222.833037376,1568081300.549124
98,135.047793388,1568081303.6564472
