# iterator, reward, timestamp 
1,-25.7308641755,1568083362.0015497
2,-495.773676956,1568083365.1092343
3,-624.704149886,1568083368.216449
4,-881.246209145,1568083371.324186
5,-1163.62259717,1568083374.4309897
6,-715.024123309,1568083378.5396717
7,-783.013617033,1568083381.6446753
8,-1200.93262196,1568083385.7533967
9,-1114.425173,1568083389.858895
10,-1163.02466393,1568083392.9677732
11,-1524.44493771,1568083394.9693024
12,-1238.68516422,1568083399.0773575
13,-1239.69244441,1568083401.0798318
14,-1240.91097651,1568083403.0823882
15,-1516.25442505,1568083406.1900365
16,-1245.12944296,1568083409.2943442
17,-1150.5256665,1568083411.2990642
18,-1024.47259426,1568083415.4062388
19,-1239.95811244,1568083419.5146098
20,-1243.41904317,1568083421.5145316
21,-1240.8085396,1568083423.5172024
22,-1520.49314976,1568083426.624467
23,-1246.78539579,1568083432.7363575
24,-626.987887091,1568083436.845283
25,-406.39312481,1568083441.955578
26,-251.764374647,1568083445.063028
27,-415.569538035,1568083447.0660367
28,-742.638023179,1568083449.0691302
29,-907.457057767,1568083451.0718467
30,-1233.76413543,1568083453.073189
31,-1562.66684114,1568083455.0762913
32,-1176.0543559,1568083458.18252
33,-673.02308505,1568083461.289967
34,-373.453492406,1568083465.3981702
35,-350.675205563,1568083469.5061004
36,-104.419081086,1568083472.6150048
37,-151.170506848,1568083475.7209637
38,-148.022983669,1568083478.828403
39,-284.42859208,1568083481.9352753
40,-448.629435304,1568083483.9376361
41,-295.80594344,1568083487.0431986
42,-246.863247617,1568083490.150802
43,-140.804481234,1568083493.2579243
44,-265.929470553,1568083495.2601452
45,-579.746365547,1568083498.3662946
46,-1241.01965655,1568083502.47471
47,-749.977563944,1568083506.582544
48,-796.015678019,1568083509.6896095
49,-660.11794191,1568083512.7957292
50,-713.385022303,1568083515.9018507
51,-295.409685564,1568083517.904065
52,-369.164552014,1568083519.906414
53,-973.200559616,1568083523.0143692
54,-1238.79874248,1568083528.1203249
55,-1243.55888312,1568083530.1238182
56,-911.722859987,1568083533.230367
57,-437.926053482,1568083536.337591
58,-579.377672075,1568083538.3393276
59,-469.512094187,1568083541.4463646
60,-840.24103705,1568083544.5529764
61,-514.389964159,1568083547.656741
62,-238.948571326,1568083552.7664719
63,-662.194373043,1568083556.8741121
64,-576.715602939,1568083561.9840024
65,-210.461600352,1568083565.090863
66,-688.794492863,1568083568.196832
67,-278.185045859,1568083571.3028693
68,-733.796712295,1568083574.4097383
69,-902.432084084,1568083577.516053
70,-1183.62651748,1568083580.6240618
71,-726.958335974,1568083584.7322087
72,-777.569526911,1568083587.8405929
73,-1034.77591273,1568083589.8430288
74,-998.612423507,1568083592.9500031
75,-1121.61157763,1568083596.057253
76,-1351.50234035,1568083600.1646068
77,-679.179894041,1568083605.2745097
78,-232.911565989,1568083608.3799498
79,-558.018923484,1568083610.38269
80,-354.676399727,1568083613.4893575
81,-416.478662886,1568083616.5951889
82,-823.128010059,1568083620.7028246
83,-719.351782985,1568083623.8079002
84,-1181.41374071,1568083627.9208374
85,-311.232994808,1568083629.9230533
86,-454.888956072,1568083631.9254713
87,-259.31247468,1568083635.033187
88,-713.221366484,1568083638.1385694
89,-983.632799866,1568083642.2469354
90,-1145.38593754,1568083647.3555822
