# iterator, reward, timestamp 
1,358.285208543,1568108937.5110667
2,1177.08647251,1568108939.5136087
3,1025.13229847,1568108943.6191647
4,642.718553543,1568108947.7251148
5,536.020239194,1568108950.830965
6,401.287357012,1568108952.83336
7,610.956430435,1568108956.9402812
8,671.459277471,1568108962.0465777
9,1051.33223534,1568108966.1535225
10,726.679007212,1568108971.2610075
11,421.541770299,1568108974.3665757
12,482.100566228,1568108976.3688633
13,534.829338392,1568108979.4751854
14,415.176033974,1568108981.477485
15,457.686940829,1568108984.582663
16,1110.31973362,1568108987.6860785
17,1359.19225216,1568108992.7932222
18,2032.28032589,1568108999.9014077
19,1361.79351807,1568109004.0087147
20,1354.45936521,1568109006.0113976
21,622.080405553,1568109011.118193
22,250.015974045,1568109014.2227952
23,487.01218764,1568109017.3275084
24,561.388532321,1568109019.3297625
25,926.240603129,1568109023.435909
26,797.837297122,1568109026.5388258
27,489.072203636,1568109029.643376
28,989.415725072,1568109034.7534485
29,1246.30749226,1568109038.8601863
30,1023.70838324,1568109046.9716313
31,1524.04439449,1568109053.081621
32,1522.5840807,1568109055.0839646
33,1025.24201075,1568109058.188381
34,1021.96188768,1568109060.1911902
35,726.946353912,1568109064.2980113
36,451.686461767,1568109067.403174
37,452.686349551,1568109070.5075493
38,1196.45416737,1568109073.6118712
39,2028.55265141,1568109075.614419
40,1361.55502001,1568109080.7219589
41,1361.25723521,1568109082.7244
42,614.541014036,1568109087.8324995
43,733.684380849,1568109091.938367
44,854.952216148,1568109096.04544
45,619.286338488,1568109100.1515887
46,716.669281324,1568109104.2590818
47,324.012358983,1568109107.3654196
48,447.091976802,1568109109.3680468
49,533.311804136,1568109112.473422
50,212.510267893,1568109115.5766277
51,1365.44299126,1568109118.682803
52,1360.7066075,1568109124.7910576
53,1361.33829753,1568109126.7935536
54,875.101248423,1568109130.8996255
55,586.753726006,1568109132.9018176
56,651.547352473,1568109137.007985
57,512.038588524,1568109140.1141758
58,666.303634644,1568109142.116472
59,1039.14447625,1568109146.223691
60,692.067623138,1568109150.3293965
61,246.628522873,1568109153.4342923
62,998.968521754,1568109156.5388916
63,664.676904678,1568109160.645222
64,429.275711377,1568109164.7514532
65,363.139033318,1568109168.857619
66,449.840585391,1568109171.962396
67,158.655325572,1568109175.0670233
68,247.489134471,1568109178.171715
69,296.746651332,1568109181.277316
70,253.062009811,1568109184.382455
71,263.144890467,1568109187.487911
72,261.662244797,1568109190.5934932
73,249.175945918,1568109193.6998107
74,263.551910718,1568109196.8050861
75,360.552827517,1568109200.9117055
76,445.687452952,1568109204.0175686
77,153.183897336,1568109207.123268
78,247.933228811,1568109210.228129
79,293.05211703,1568109213.3347266
80,252.582669258,1568109216.4397554
81,260.962208112,1568109219.54486
82,257.407466571,1568109222.6499019
83,246.874451637,1568109225.7524626
84,265.969435374,1568109228.8581886
85,357.954859734,1568109232.9644184
86,442.179481188,1568109236.0698085
87,152.106126149,1568109239.1745112
88,248.393495878,1568109242.2810779
89,287.970026334,1568109245.3853748
90,255.236426989,1568109248.4897053
91,260.45191288,1568109251.5941992
92,258.596142133,1568109254.6980329
93,249.297857285,1568109257.8034196
94,265.346606572,1568109260.9085538
95,355.94578584,1568109265.0138855
96,437.622825305,1568109268.1197526
97,148.978114128,1568109271.2252307
98,248.656988144,1568109274.330636
99,284.330566724,1568109277.4365423
100,255.570093791,1568109280.5433278
101,259.967009226,1568109283.648867
102,260.879596074,1568109286.7535737
103,245.517214139,1568109289.858732
104,218.042771022,1568109293.965467
105,350.90649128,1568109298.0713542
106,432.392517726,1568109301.1764038
107,142.828941345,1568109304.281424
108,249.835848808,1568109307.3857741
109,282.991607984,1568109310.4915047
110,256.494005521,1568109313.5967965
111,258.302648862,1568109316.7019808
112,259.761134783,1568109319.8062973
113,243.625919024,1568109322.9110284
114,215.096314748,1568109327.0178607
115,346.432725588,1568109331.1248016
116,429.024020831,1568109334.231364
117,138.751665751,1568109337.336582
118,250.125606855,1568109340.4416895
119,276.965220769,1568109343.548304
120,254.788478216,1568109347.6547992
121,307.618697484,1568109350.7615633
122,261.400222778,1568109353.8674734
123,245.225111643,1568109356.9724312
124,212.854464849,1568109361.077807
125,342.619379361,1568109365.1838417
126,524.571299553,1568109368.2897763
127,135.971387227,1568109371.3966799
128,249.908407529,1568109374.5017483
129,273.847619692,1568109377.6078525
130,250.098466873,1568109381.7143636
131,304.288546244,1568109384.8203833
132,263.035694758,1568109387.9254854
133,243.733962377,1568109391.0314355
134,211.929162343,1568109395.1377158
135,340.126276016,1568109399.2450986
136,457.51106739,1568109402.3511653
137,131.454745928,1568109405.456591
138,251.065135002,1568109408.562248
139,266.721367836,1568109411.6684384
140,248.387138049,1568109415.7751083
141,302.320162455,1568109418.8806474
142,262.407104174,1568109421.9853806
143,198.57664903,1568109425.0903847
144,210.013349851,1568109429.1974862
145,165.539264679,1568109432.302787
146,246.634205182,1568109435.4092681
147,298.744638761,1568109438.5147495
148,252.6679039,1568109441.6204376
149,266.547759374,1568109444.7242072
150,258.700450261,1568109447.828759
151,251.86085701,1568109450.9328115
152,262.740135193,1568109454.0382185
153,365.00175794,1568109458.1421423
154,206.223567327,1568109462.247625
155,167.88315773,1568109465.3531146
156,248.061180115,1568109468.4580808
157,298.355340958,1568109471.5628252
158,253.908753395,1568109474.6684952
159,263.81735007,1568109477.7743814
160,256.988008817,1568109480.8778028
161,250.87082386,1568109483.9827492
162,263.314565023,1568109487.0876164
163,363.872766495,1568109491.1932683
164,445.019920667,1568109494.2985697
165,154.88700072,1568109497.4033484
166,248.759031296,1568109500.5094295
167,289.675513903,1568109503.6154768
168,253.258824348,1568109506.7208848
169,262.865344683,1568109509.8259761
170,261.160095533,1568109512.931794
171,250.707348188,1568109516.037418
172,264.440496763,1568109519.1426513
173,358.086546262,1568109523.25012
174,443.164070447,1568109526.3561184
175,151.32188797,1568109529.4617565
176,248.388171196,1568109532.567701
177,287.970503171,1568109535.6739957
178,253.23176384,1568109538.7785037
179,259.345094363,1568109541.8846748
180,257.743199666,1568109544.9901812
181,248.180349668,1568109548.0950346
182,264.382958412,1568109551.2009716
183,354.969739914,1568109555.3067195
184,436.103423436,1568109558.4126596
185,147.612094879,1568109561.5174646
186,249.786496162,1568109564.6216762
187,285.558978717,1568109567.7281334
188,255.096435547,1568109570.8337595
189,259.428699811,1568109573.9389303
190,259.870847066,1568109577.044165
191,249.919136365,1568109580.150052
192,215.906182925,1568109584.2551556
193,349.465370178,1568109588.3629014
194,434.731801351,1568109591.469309
195,143.894871076,1568109594.5750318
196,249.659895897,1568109597.6801097
197,280.063986778,1568109600.7854762
198,256.183306376,1568109603.8900094
199,257.428566615,1568109606.996311
200,261.009335518,1568109610.1017966
201,247.634092967,1568109613.2065635
202,216.552654902,1568109617.3116126
203,345.305720965,1568109621.4177842
204,428.083539009,1568109624.5245924
205,137.566526731,1568109627.629883
206,250.905076663,1568109630.7341025
207,280.485947927,1568109633.8403325
208,251.7242829,1568109637.946666
209,306.193232536,1568109641.0518239
210,259.419083595,1568109644.157121
211,243.829727173,1568109647.2606344
212,211.750547091,1568109651.3677502
213,342.72869428,1568109655.474873
214,523.02134037,1568109658.5807438
215,134.152928988,1568109661.6868691
216,248.457113902,1568109664.7924135
217,271.298209826,1568109667.8971112
218,251.716295878,1568109672.003326
219,302.898605665,1568109675.1090255
220,261.382261912,1568109678.2150524
221,244.761268298,1568109681.3195026
222,208.780924479,1568109685.4262538
223,337.746699651,1568109689.5324557
224,519.838571548,1568109692.6375668
225,129.819393158,1568109695.7424414
226,251.216848691,1568109698.8482578
227,269.616484642,1568109701.9542627
228,250.713388125,1568109706.0604742
229,301.725228628,1568109709.1658065
230,262.92526722,1568109712.2710364
231,240.426460902,1568109715.3769524
232,208.043336868,1568109719.4821703
233,337.202231089,1568109723.589164
234,456.353068352,1568109726.6950147
235,131.260116895,1568109729.8012156
236,254.062930743,1568109732.907088
237,263.675729434,1568109736.0122943
238,258.169015249,1568109739.117505
239,253.05946668,1568109742.223065
240,262.230992317,1568109745.3282433
241,369.414846102,1568109749.4347968
242,204.137881597,1568109753.5421321
243,165.94183445,1568109756.6477828
244,248.122056325,1568109759.7538836
245,295.982877413,1568109762.8598392
246,252.893050512,1568109765.9651036
247,264.284054438,1568109769.0689518
248,259.003400803,1568109772.1733098
249,251.948714256,1568109775.277793
250,262.175997098,1568109778.3818514
251,363.411784172,1568109782.4882424
252,447.524865468,1568109785.592629
253,156.531771024,1568109788.6983242
254,247.813542684,1568109791.8021815
255,294.344226519,1568109794.907194
256,249.581019084,1568109798.011346
257,262.35862573,1568109801.1179001
258,258.301695188,1568109804.2220843
259,249.976595243,1568109807.3265622
260,262.645880381,1568109810.4318879
261,360.769271851,1568109814.5365424
262,445.826689402,1568109817.64178
263,151.487112045,1568109820.748374
264,248.928070068,1568109823.8528423
265,292.893091838,1568109826.958121
266,254.092892011,1568109830.0638645
267,259.758591652,1568109833.169633
268,259.8092556,1568109836.2750282
269,248.606363932,1568109839.3794656
270,263.660947482,1568109842.4845388
271,360.882043839,1568109846.5925066
272,440.494855245,1568109849.696691
273,149.743199348,1568109852.8019323
274,247.945189476,1568109855.9079127
275,288.906931877,1568109859.012665
276,254.082640012,1568109862.1182623
277,262.11531957,1568109865.2231374
278,257.115999858,1568109868.3283212
279,249.022642771,1568109871.433019
280,262.511571248,1568109874.5376832
281,354.338248571,1568109878.6441636
282,438.67067496,1568109881.7495863
283,145.974079768,1568109884.8557096
284,251.417239507,1568109887.9612505
285,284.962852796,1568109891.0656862
286,256.169557571,1568109894.1709406
287,258.426904678,1568109897.2769744
288,258.797168732,1568109900.3826444
289,248.857140541,1568109903.4873466
290,237.056096395,1568109907.5927997
291,349.405566851,1568109911.6992452
292,433.414459229,1568109914.8046482
293,144.743522008,1568109917.9103494
294,248.927553495,1568109921.01647
295,282.117724419,1568109924.1231267
296,253.686944644,1568109927.2280207
297,257.362604141,1568109930.3339384
298,257.459719976,1568109933.4385707
299,245.346943537,1568109936.5445368
300,216.619054476,1568109940.650708
301,345.907688141,1568109944.7559228
302,429.873506228,1568109947.8600686
303,141.123533249,1568109950.9654763
304,251.521507899,1568109954.0705774
305,276.409268379,1568109957.1777165
306,255.384763082,1568109961.2845974
307,307.03385671,1568109964.389254
308,260.041554769,1568109967.4937253
309,244.656642278,1568109970.6002662
310,213.949720065,1568109974.7063112
311,343.549966812,1568109978.8126001
312,426.306207975,1568109981.9183366
313,136.977791786,1568109985.0248597
314,252.350846926,1568109988.1306002
315,275.011658669,1568109991.2366989
316,249.888539314,1568109995.34331
317,304.72723643,1568109998.4490385
318,261.055469513,1568110001.553835
319,242.748419444,1568110004.6593676
320,211.635231972,1568110008.7655706
321,342.667460442,1568110012.8712606
322,518.482764562,1568110015.9766955
323,133.971850077,1568110019.0828989
324,249.367038409,1568110022.1887908
325,269.233942032,1568110025.2946355
326,250.065286954,1568110029.4008782
327,300.635099411,1568110032.507416
328,261.887113253,1568110035.6134107
329,241.033315659,1568110038.719348
330,208.10675621,1568110042.827015
331,337.854464849,1568110046.9324162
332,455.430547396,1568110050.0383358
333,130.280693372,1568110053.143945
334,250.008980433,1568110056.2495778
335,264.0153567,1568110059.3553777
336,257.687966029,1568110062.4614372
337,248.757044474,1568110065.5670583
338,262.840072314,1568110068.6727629
339,368.300954501,1568110072.7786546
340,206.54797554,1568110076.8855264
341,164.848566055,1568110079.9913323
342,247.49370416,1568110083.095877
343,297.298113505,1568110086.2007742
344,252.124269803,1568110089.3052182
345,266.870419184,1568110092.4108276
346,257.014393806,1568110095.5153952
347,252.912640572,1568110098.6210742
348,261.469165484,1568110101.725637
349,364.875078201,1568110105.83059
350,446.433067322,1568110108.9373019
351,154.285868009,1568110112.0418975
352,248.193740845,1568110115.1468801
353,292.563160261,1568110118.2521427
354,251.456658045,1568110121.357274
355,263.358155886,1568110124.461801
356,260.025302569,1568110127.566336
357,251.113176346,1568110130.6717405
