# iterator, reward, timestamp 
1,-626.5973830984673,1568106389.7297318
2,-694.376391752581,1568106394.838875
3,-1083.3755731582642,1568106397.9453993
4,-1242.166931502764,1568106401.0516708
5,-1244.2529305293276,1568106403.0547764
6,-611.4692429977378,1568106407.1633577
7,-1016.3588060765885,1568106409.1660233
8,-1655.0882308743392,1568106411.1691632
9,-2028.3241271972659,1568106415.2778723
10,-1657.2551705410888,1568106419.3848805
11,-1114.3376800266676,1568106424.4944952
12,-1245.9416264231727,1568106428.602443
13,-2031.5450429916382,1568106431.7099895
14,-2031.777024269104,1568106433.7142248
15,-1658.3835632822534,1568106438.8241363
16,-1172.4774290552994,1568106442.9315786
17,-1021.5289250706775,1568106444.9341238
18,-903.3120948181021,1568106446.9367619
19,-934.4865083694458,1568106451.0444791
20,-1243.3074156566158,1568106456.1523955
21,-970.3730309561639,1568106460.259995
22,-719.3127418253216,1568106462.2629826
23,-540.7577009629466,1568106466.3712215
24,-332.327898709186,1568106469.4777534
25,-255.8930048794311,1568106473.584717
26,-601.7783880233765,1568106476.6923897
27,-1208.144333288009,1568106481.8016818
28,-1254.8123598098755,1568106484.9077737
29,-1256.4504146575928,1568106486.9097438
30,-1523.6127376556396,1568106488.912698
31,-1243.1975223478569,1568106494.0226843
32,-938.9433962975215,1568106497.1289964
33,-1229.604959487915,1568106501.2370315
34,-1658.4465350989594,1568106506.3491082
35,-1183.136259563781,1568106509.4571202
36,-634.5563482230071,1568106511.4603436
37,-569.469740432977,1568106514.5672665
38,-863.7888359945186,1568106518.6734366
39,-565.431937926655,1568106521.7786531
40,-996.3683741042117,1568106523.781216
41,-1653.0032447115227,1568106525.7845619
42,-684.6114701723457,1568106530.8951833
43,-1149.9274969100952,1568106534.002298
44,-1242.1251771346945,1568106541.1154928
45,-1240.6901852183983,1568106543.1179056
46,-1239.2260482753668,1568106545.1198537
47,-651.4987515669623,1568106549.2266617
48,-792.6367900853252,1568106554.3374982
49,-424.0516233128966,1568106557.4430432
50,-336.92297379338925,1568106560.5491877
51,-457.32531017788375,1568106563.6568494
52,-498.960380541217,1568106568.7662973
53,-796.3997000317404,1568106572.8761563
54,-894.5774946717831,1568106575.9828115
55,-839.8667388148688,1568106579.0894206
56,-919.1351547306617,1568106583.1973374
57,-1475.5260944366455,1568106587.3064072
58,-1229.6891342104184,1568106591.4160044
59,-534.7309535277457,1568106595.523662
60,-1166.9506024982843,1568106600.6317763
61,-1238.2642823379292,1568106604.7392325
62,-664.1171622828798,1568106609.8494706
63,-869.8230887082996,1568106613.9575222
64,-689.4729603034347,1568106619.0679307
65,-271.80784338401054,1568106622.174239
66,-648.3267453069749,1568106624.1766946
67,-863.1103268399233,1568106626.180046
68,-1281.3060212092053,1568106628.1831825
69,-1212.1038661516147,1568106632.2906778
70,-494.5317191823834,1568106635.3976521
71,-1111.6633415222168,1568106638.5040994
72,-1660.1745397370441,1568106643.6140075
73,-1178.80555658299,1568106646.7199585
74,-735.1965635055832,1568106649.8262396
75,-623.811100574582,1568106653.933495
76,-490.5572952767128,1568106658.0408485
77,-679.0757154131121,1568106661.1475446
78,-372.1325322884372,1568106664.2541318
79,-273.0884122378762,1568106667.3606966
80,-302.1923279696178,1568106670.4679222
81,-273.7480205721702,1568106673.5747705
82,-267.1114292932573,1568106676.6823313
83,-298.00997976530863,1568106679.7925088
84,-422.8533865116439,1568106683.8999662
85,-608.1987173047648,1568106687.0061154
86,-170.8663189345657,1568106690.1129704
87,-249.7425508435879,1568106693.2194493
88,-339.9844025830321,1568106696.3265417
89,-259.74038806891326,1568106699.4335473
90,-295.9678661916567,1568106702.5408084
91,-277.95065766389376,1568106705.6475334
92,-261.6414363787609,1568106708.755263
93,-255.83734782624649,1568106712.8626564
94,-416.3806517026327,1568106716.9701915
95,-603.9433398762801,1568106720.0767112
96,-168.97321392921103,1568106723.1835566
97,-250.41397759208314,1568106726.291235
98,-330.7431902059679,1568106729.3974843
99,-298.7632327604176,1568106733.505789
100,-313.424175073467,1568106736.6116507
101,-280.5733337937379,1568106739.7194684
102,-256.88050401643864,1568106742.826443
103,-252.59231313035863,1568106746.9339247
104,-410.9762119342258,1568106751.0413198
105,-630.5499835400896,1568106754.1491766
106,-158.34729221849557,1568106757.2566872
107,-254.2984083091913,1568106760.3631194
108,-322.57462561036147,1568106763.469911
109,-296.90263257001305,1568106767.5789716
110,-307.3942706125782,1568106770.6863286
111,-284.55645637865524,1568106773.793165
112,-251.7510630908214,1568106776.9015918
113,-247.9346129858338,1568106781.0097654
114,-403.4373169822142,1568106785.117199
115,-527.0765743558346,1568106788.223966
116,-147.1524325104139,1568106791.3310955
117,-254.80884353075731,1568106794.4384875
118,-317.01452757804947,1568106797.545571
119,-264.32196963281154,1568106800.6521144
120,-278.32810329135145,1568106803.7588959
121,-289.59901681025394,1568106806.8651516
122,-437.02669361796217,1568106810.9751816
123,-241.490798126357,1568106815.0838501
124,-187.1730696814223,1568106818.190211
125,-249.85032535475915,1568106821.2969275
126,-351.96071020343885,1568106824.404465
127,-255.05679299319254,1568106827.51118
128,-308.6683726038159,1568106830.618165
129,-270.99912052775863,1568106833.7260585
130,-271.64294889396035,1568106836.8340852
131,-293.9800524235812,1568106839.9409814
132,-433.34902462419876,1568106844.0488038
133,-614.3951701363811,1568106847.1547275
134,-177.47362798257214,1568106850.261464
135,-249.4870652575823,1568106853.3680038
136,-343.5645902695934,1568106856.474595
137,-257.3019897310014,1568106859.5793564
138,-305.8695774638971,1568106862.6879365
139,-272.93411587211244,1568106865.7943418
140,-265.68248196543226,1568106868.901143
141,-298.4085412484813,1568106872.0086038
142,-428.3894014218469,1568106876.116495
143,-607.992599760998,1568106879.224051
144,-172.45325266493836,1568106882.3296635
145,-250.18902140549483,1568106885.4370246
146,-340.6494767784776,1568106888.543657
147,-260.6995666265045,1568106891.652035
148,-294.45700207671587,1568106894.7591836
149,-276.8438941534178,1568106897.8668485
150,-264.94487129762854,1568106900.973272
