# iterator, reward, timestamp 
1,90.6168699265,1567899785.901729
2,113.773417473,1567899796.009054
3,85.9901666641,1567899800.1164775
4,87.2375011444,1567899803.2204354
5,77.6769638062,1567899812.3309693
6,88.6663913727,1567899819.466063
7,82.9651594162,1567899831.5548747
8,71.8654632568,1567899836.6634762
9,96.9339847565,1567899841.7686894
10,104.038691521,1567899847.8771079
11,96.0531949997,1567899851.9851322
12,104.055309296,1567899858.0936785
13,96.8289613724,1567899868.2066472
14,93.4114933014,1567899875.313668
15,96.015381813,1567899879.418879
16,88.8491630554,1567899887.532045
17,99.5445728302,1567899891.6362903
18,84.4440460205,1567899895.7436016
19,82.7786684036,1567899905.858309
20,99.6256828308,1567899911.9665675
21,115.545392036,1567899918.0735514
22,98.5204935074,1567899924.1829143
23,89.3554925919,1567899929.2903757
24,72.6582288742,1567899936.397737
25,82.9979419708,1567899945.5314505
26,72.4366664886,1567899953.621931
27,54.3810606003,1567899962.7324004
28,65.2915239334,1567899972.8465605
29,55.5066585541,1567899977.952391
30,55.1528215408,1567899979.9577725
31,79.3892860413,1567899990.069483
32,79.7695159912,1567899992.0749898
33,80.0627946854,1567899994.075184
34,56.7669868469,1567899999.185819
35,88.9902591705,1567900004.290926
36,79.8262357712,1567900011.3996067
37,67.3304796219,1567900018.506815
38,68.1466341019,1567900020.5106373
39,68.2065248489,1567900022.5129037
40,79.6013355255,1567900028.6201537
41,73.291683197,1567900037.7311852
42,80.0289154053,1567900042.838107
43,87.0153903961,1567900045.9456034
44,88.4553670883,1567900052.0837042
45,96.2953567505,1567900054.0561657
46,94.2516803741,1567900066.170729
47,96.310710907,1567900076.284362
48,79.8664331436,1567900080.388424
49,72.9012489319,1567900090.5014791
50,79.5181035995,1567900095.6088376
51,55.2102088928,1567900101.7154157
52,66.1574602127,1567900104.8203607
53,55.4613828659,1567900110.9294934
54,66.1426782608,1567900122.0436573
55,75.1823425293,1567900128.1537087
56,65.7075643539,1567900135.2611454
57,55.3606033325,1567900139.3666523
58,54.8186063766,1567900141.3675222
59,54.993057251,1567900143.373418
60,66.2977695465,1567900148.4798098
61,54.7883033752,1567900155.5884724
62,54.6726703644,1567900157.588021
63,79.48179245,1567900163.7198617
64,60.9375715256,1567900168.8041966
65,55.5842876434,1567900178.9151194
66,79.9886703491,1567900182.0190806
67,50.4918813705,1567900185.1243715
68,79.7774553299,1567900190.2335613
69,68.8788175583,1567900198.3450127
70,82.830786705,1567900202.4522176
71,65.7987594604,1567900212.5654821
72,54.2068481445,1567900215.6706185
73,54.5792102814,1567900217.6702535
74,55.7253837585,1567900219.6775367
75,55.7093381882,1567900221.6773784
76,71.9594717026,1567900227.7845259
77,71.4631557465,1567900229.7864904
78,82.6622247696,1567900234.895735
79,70.7669019699,1567900238.0010197
80,79.0758371353,1567900247.1127143
81,55.4450750351,1567900252.2187843
82,55.0543785095,1567900254.250005
83,66.0879611969,1567900257.3280597
84,55.471777916,1567900263.4376817
85,55.2679300308,1567900265.4369352
86,54.3976783752,1567900267.443954
87,56.0448169708,1567900269.4424653
88,53.8196563721,1567900273.5503767
89,78.8470745087,1567900276.6567392
90,66.1673545837,1567900283.7602608
91,67.7331447601,1567900287.8675332
92,54.8043489456,1567900290.972019
93,55.6901693344,1567900292.9735007
94,54.7820806503,1567900294.9779696
95,71.6580867767,1567900299.0815582
96,96.2536096573,1567900304.1915176
97,89.8274183273,1567900308.2961395
98,71.0072755814,1567900323.4150198
99,77.4888515472,1567900327.5215364
100,66.1488056183,1567900338.6388667
101,77.2144794464,1567900345.775776
102,52.102804184,1567900351.856509
103,64.0865564346,1567900354.9611087
104,52.0210266113,1567900362.0692277
105,51.7777681351,1567900364.0743506
106,52.5984525681,1567900366.0754132
107,52.8848171234,1567900368.0770779
108,53.7768125534,1567900370.0807757
109,53.1760215759,1567900372.0814493
110,52.892947197,1567900374.088479
111,51.982665062,1567900376.088951
112,52.8928995132,1567900378.0901835
113,52.2409677505,1567900380.0947623
114,52.6854753494,1567900382.096526
115,67.7970409393,1567900389.2078664
