# iterator, reward, timestamp 
1,-154.96424350206271,1568418305.2086842
2,-186.70639225583037,1568418307.2111592
3,-186.78021224765746,1568418313.3182137
4,-123.80652094921784,1568418320.4284809
5,-184.93082230378184,1568418323.534075
6,-186.34316084635023,1568418325.5373852
7,-123.35568435723827,1568418334.6504993
8,-164.0427855972444,1568418337.7568393
9,-200.52599906921387,1568418340.862694
10,-162.38535726625983,1568418345.9701736
11,-199.3492841720581,1568418357.0848708
12,-162.76313231405916,1568418362.1938715
13,-163.37237503918735,1568418364.196366
14,-198.57847690582275,1568418367.3031266
15,-162.98366468629138,1568418371.40928
16,-162.64290314712224,1568418373.4119213
17,-162.77722182036302,1568418375.4140341
18,-163.93187660133995,1568418377.416725
19,-198.07159900665283,1568418380.5219111
20,-163.8189704215761,1568418384.6288311
21,-168.0441316306555,1568418387.7360458
22,-162.7527302531522,1568418402.8579364
23,-198.25482368469238,1568418406.9648871
24,-163.14442201280232,1568418414.0753303
25,-166.98753841990117,1568418427.1905155
26,-164.81504228455702,1568418436.3053255
27,-201.66337490081787,1568418439.4116247
28,-164.94023517204545,1568418448.523422
29,-164.93112571854363,1568418450.526482
30,-200.75511932373047,1568418454.633561
31,-164.42232077488902,1568418458.7411284
32,-164.61962194276103,1568418460.7430995
33,-125.6718004732753,1568418463.8499434
34,-164.67500087459422,1568418472.9647074
35,-117.56198917254666,1568418480.0754323
36,-163.891958625209,1568418492.1908247
37,-162.66541154487848,1568418494.1930687
38,-167.48911143830168,1568418497.2986336
39,-164.08054165297716,1568418500.4041443
40,-163.31375809317115,1568418502.4060767
41,-203.8365602493286,1568418515.5282283
42,-166.76074881006477,1568418518.6340358
43,-168.49967813134154,1568418520.6357
44,-203.2907009124756,1568418526.7457263
45,-166.7388104905159,1568418529.8523452
46,-203.10688018798828,1568418532.9582553
47,-174.07861707021064,1568418538.0664983
48,-113.88866854611432,1568418541.1732056
49,-168.41967087076432,1568418548.2828455
50,-171.37498706255175,1568418551.3883529
51,-166.63153098091107,1568418555.4961722
52,-172.01865575415286,1568418564.6081872
53,-167.25810023709002,1568418571.7197025
54,-172.4351897110752,1568418574.825143
55,-166.69283589014327,1568418581.9360685
56,-166.46330435280672,1568418583.9395723
57,-82.64623617661768,1568418587.0464783
58,-187.3007769646252,1568418591.153406
59,-202.90350914001465,1568418594.2599158
60,-168.2742134418287,1568418597.3652356
61,-176.08823643979412,1568418599.3671978
62,-124.07226308615788,1568418602.4733975
63,-124.7090119939897,1568418604.4761343
64,-185.92162864407936,1568418608.5833535
65,-122.9909696469055,1568418611.6890352
66,-187.1625312762623,1568418617.7971246
67,-124.00176699653872,1568418624.906533
68,-123.8643401032158,1568418626.909178
69,-186.2548645949799,1568418631.0159838
70,-128.6054792587501,1568418634.122374
71,-124.11329730062812,1568418636.1253679
72,-123.5432620558582,1568418638.1289263
73,-123.8343338272799,1568418640.131663
74,-187.1513773559162,1568418645.2421951
75,-123.96755462081147,1568418648.3486993
76,-123.6547145073459,1568418650.3507178
77,-123.29402436435345,1568418652.3529334
78,-186.82756065387312,1568418657.459909
79,-186.37080906225904,1568418659.4614675
80,-202.58033275604248,1568418663.5682726
81,-171.57726550103695,1568418667.6757479
82,-124.99457621197104,1568418670.7809157
83,-151.84009075164795,1568418673.8878741
84,-124.83432872159109,1568418676.9933772
85,-187.48303479730774,1568418682.1014233
86,-122.80563055825529,1568418688.2116237
87,-123.35681558437852,1568418690.2151518
88,-149.79422092437744,1568418695.3226502
89,-124.31076667802294,1568418712.4390423
90,-150.5206823348999,1568418715.5461721
91,-124.25882029539318,1568418718.6521313
92,-152.124285697937,1568418722.7593355
93,-168.16682024323262,1568418725.8644235
94,-166.94589257177918,1568418731.9743896
95,-125.57995590513463,1568418735.080797
96,-126.33867522647257,1568418737.0825703
97,-126.16304039215605,1568418739.085464
98,-89.63095583153664,1568418742.1905682
99,-128.97589567855135,1568418745.296194
100,-188.30763721594388,1568418749.4035423
101,-125.27576248906338,1568418755.513791
102,-125.4501112748125,1568418757.5157003
103,-167.775706753836,1568418760.6214712
104,-171.39046966981235,1568418767.7321875
105,-171.66530827709215,1568418769.7341092
106,-171.9074547306207,1568418771.736544
107,-165.73402430218746,1568418775.8432038
