# iterator, reward, timestamp 
1,-185.02884670909305,1568410687.7707086
2,-203.54032516479492,1568410689.7730038
3,-166.18446173484588,1568410694.8830094
4,-153.8350570828764,1568410697.9890099
5,-102.98487910435837,1568410703.0965073
6,-202.93617248535156,1568410719.2158082
7,-204.4825553894043,1568410727.325749
8,-165.549240313865,1568410730.432157
9,-202.7815580368042,1568410736.5410569
10,-202.4930715560913,1568410738.5435424
11,-170.50430327635522,1568410741.6495433
12,-128.9863935208742,1568410746.7567801
13,-167.02027564472834,1568410752.8660464
14,-131.91856352072395,1568410759.9766917
15,-132.91520772545388,1568410761.9795096
16,-166.26959712949093,1568410766.086919
17,-124.79282462774428,1568410774.1979444
18,-187.93341909061917,1568410779.306102
19,-188.93817858047115,1568410781.308493
20,-103.12973902801646,1568410785.4155354
21,-183.5468586045378,1568410789.5209806
22,-147.45022689645455,1568410792.6259308
23,-127.61534840530233,1568410794.6288452
24,-153.2304286956787,1568410800.737507
25,-151.88634395599365,1568410802.7399514
26,-126.10488215822507,1568410808.848654
27,-152.11427211761475,1568410816.9596634
28,-125.18142641508226,1568410820.0650723
29,-151.76892280578613,1568410827.1754274
30,-170.88151042877152,1568410833.2832856
31,-152.71425247192383,1568410836.3903813
32,-152.6702642440796,1568410838.39248
33,-125.72362791213673,1568410841.498584
34,-188.37893512422482,1568410846.6057158
35,-203.31740379333496,1568410849.7124777
36,-167.04682378529748,1568410856.8212705
37,-129.10521111422426,1568410861.9296882
38,-124.42754516322235,1568410863.9313803
39,-165.3258962252455,1568410869.0391567
40,-202.7897834777832,1568410874.148739
41,-164.7777482556047,1568410878.254622
42,-164.97887704650142,1568410880.2575836
43,-168.10723845086918,1568410887.3648763
44,-165.84176713141255,1568410891.4726932
45,-169.60300351621143,1568410900.5831726
46,-169.47548503550817,1568410902.5856054
47,-152.31800079345703,1568410913.701057
48,-123.66049017637947,1568410918.8127744
49,-185.29858003765136,1568410922.9192665
50,-148.63080469139638,1568410926.0267498
51,-127.75946520306012,1568410928.0288873
52,-150.46429634094238,1568410931.134896
53,-170.44582163066414,1568410936.2426016
54,-165.18818909361232,1568410946.3517406
55,-165.11828933315581,1568410948.353612
56,-123.65692057676374,1568410955.4630432
57,-152.1579027175903,1568410962.5719447
58,-151.77381038665771,1568410964.5738478
59,-123.06907491336722,1568410967.680081
60,-164.88966697982818,1568410973.7891033
61,-165.4863344638193,1568410975.7916825
62,-169.03507696496075,1568410983.9025664
63,-145.3021718231289,1568410985.9054894
64,-164.94797761765685,1568410995.019533
65,-202.81803607940674,1568411006.1322503
66,-185.72189376398373,1568411014.243092
67,-186.10343577626446,1568411016.2458959
68,-201.96306705474854,1568411022.353375
69,-163.41565407293842,1568411032.4639084
70,-128.97403555121622,1568411036.5691302
71,-122.61237105100918,1568411038.5723195
72,-121.62939755198657,1568411040.5739415
73,-186.13164869720535,1568411049.6860108
74,-121.65375332556046,1568411061.8011801
75,-122.00859062117017,1568411063.8035538
76,-148.9279270172119,1568411069.9128592
77,-123.27510530058575,1568411073.0180204
78,-163.55153229983722,1568411078.1275892
79,-171.13627247016325,1568411080.130962
80,-167.97813063668158,1568411085.2395682
81,-162.77282114273405,1568411093.350883
82,-197.7325677871704,1568411098.4591134
83,-199.249267578125,1568411100.4600797
84,-162.34099806110007,1568411103.5655494
85,-127.88251963763909,1568411107.6715577
86,-122.6231992431573,1568411109.6737015
87,-152.10239979045633,1568411113.7814286
88,-141.85607048203215,1568411116.8867924
89,-147.53401279449463,1568411121.9937959
90,-122.85490487226066,1568411125.0994947
91,-184.99306535310464,1568411130.2096756
92,-122.21860663852524,1568411136.3175216
93,-162.26953407836794,1568411139.4232297
94,-151.55070829841574,1568411142.5303264
95,-125.9516358809254,1568411144.5325868
96,-147.90987968444824,1568411151.6424115
97,-122.06130512624055,1568411155.7502317
98,-183.06788510755578,1568411159.8565204
99,-183.96226221051447,1568411161.8588126
100,-202.11637020111084,1568411185.9871926
101,-183.79473047000135,1568411193.0984395
102,-145.98001834360272,1568411196.2037299
103,-164.1026558818525,1568411199.3093688
104,-200.33013820648193,1568411208.4231112
105,-163.8461671834621,1568411211.5294485
106,-167.99375235415252,1568411218.6396658
107,-149.41680431365964,1568411227.7522278
108,-148.12171459197995,1568411229.754368
109,-167.7324919002461,1568411235.8643544
110,-165.5563396072544,1568411242.9744742
111,-121.63852563472747,1568411249.0837748
112,-123.41569924122014,1568411251.0853908
113,-124.00937291677393,1568411253.087437
114,-150.9385108947754,1568411270.2068224
115,-123.61267266988166,1568411274.3136668
116,-123.66333536919255,1568411276.31595
117,-184.33797347139654,1568411280.42359
118,-133.32158488431838,1568411284.5304692
119,-121.52501278251464,1568411286.5335054
120,-147.37725257873535,1568411289.6391826
121,-121.71645758039283,1568411295.7463071
122,-164.04489983180645,1568411300.8561125
123,-163.75730422234537,1568411302.8582857
124,-168.4999755229066,1568411317.9762821
125,-162.75550624197177,1568411321.0817456
126,-162.23097590843943,1568411323.0846083
127,-200.5765438079834,1568411337.201708
128,-198.96280765533447,1568411339.2031732
129,-163.68856966107575,1568411344.3105655
130,-167.53921355615054,1568411348.4182312
131,-166.95074116137695,1568411350.4212
132,-147.78947830200195,1568411356.528831
133,-149.3178606033325,1568411358.532401
134,-134.2979099820124,1568411361.6391761
135,-167.0944366868102,1568411363.6413422
136,-161.9319090972634,1568411366.747215
137,-122.84620000846957,1568411376.8596675
138,-184.27936098560556,1568411381.9665587
139,-183.9040022668088,1568411383.9692001
140,-129.8731591050259,1568411388.0764148
141,-163.74314564930899,1568411395.186111
142,-122.0858024623671,1568411401.2951
143,-123.39750895086927,1568411403.297021
144,-148.41377735137937,1568411406.4033976
145,-123.01827578711705,1568411410.5106254
146,-183.2942387378444,1568411418.6211321
147,-121.84184021616005,1568411425.7330616
148,-121.7468241932779,1568411427.7357328
149,-148.3126878738403,1568411431.8410683
150,-121.55407480459571,1568411439.952222
151,-164.0578026596357,1568411456.0724463
152,-121.88832025144137,1568411467.1871119
153,-122.27561823609089,1568411469.191215
154,-163.4859136627812,1568411474.2994535
155,-163.1004927144648,1568411476.3024087
156,-200.21653175354004,1568411482.4083986
157,-162.06087895555783,1568411491.5208564
158,-167.32478682889192,1568411495.6282406
159,-162.67167595347377,1568411504.7419329
160,-163.27444525230928,1568411506.7444642
161,-150.46255117360025,1568411509.8512855
162,-151.71468257904053,1568411512.955971
163,-126.29973100446988,1568411523.0699704
164,-152.13406085968018,1568411526.176407
165,-171.88588259448292,1568411532.285031
166,-168.18588183979645,1568411536.390904
167,-172.87573125589896,1568411542.4992495
168,-154.78873252868652,1568411560.619185
169,-153.66482734680176,1568411562.6225832
170,-125.3065515281417,1568411566.7291965
171,-166.77052884487978,1568411569.8353236
172,-201.66373252868652,1568411573.9440382
173,-186.20888330400044,1568411582.0531142
174,-201.72524452209473,1568411586.159098
175,-164.62116453908126,1568411589.2638218
176,-166.2068057311392,1568411591.2665262
177,-124.8584366893324,1568411598.3771973
178,-124.95397301688624,1568411600.3797204
179,-151.56328678131104,1568411608.4926128
180,-124.07098454487426,1568411611.5981133
181,-165.38201161142425,1568411615.7051444
182,-169.92569411113593,1568411618.8102357
183,-164.3365787490222,1568411625.9189196
184,-168.58883624528585,1568411630.0291975
185,-169.54188078700946,1568411632.0309548
186,-165.4303267702691,1568411635.1371307
187,-124.99356840350134,1568411640.2434645
188,-124.61045273662172,1568411642.2454524
189,-185.64565578354464,1568411645.351576
190,-131.8104467568649,1568411649.4567487
191,-62.65804757053666,1568411651.4600017
192,-62.45816435172325,1568411653.4617352
193,-124.71317247404065,1568411655.4652894
194,-124.7814500945309,1568411657.4675574
195,-124.68398604633188,1568411659.4713583
196,-124.36497039049733,1568411661.473193
197,-150.79832077026367,1568411665.5794866
198,-149.57082271575928,1568411667.5815017
199,-124.34458866633973,1568411671.6885846
200,-124.03334009272426,1568411673.6912844
201,-123.838313135176,1568411675.6950305
202,-185.63044542210852,1568411679.8034928
203,-126.82867612033836,1568411684.9104009
204,-164.57539888661316,1568411688.0171154
