# iterator, reward, timestamp 
1,-26.78793178503584,1568475105.8758626
2,-26.96766888021174,1568475107.8783097
3,-27.38676206298331,1568475110.9846478
4,-27.798537074671316,1568475114.0895452
5,-30.612090568991878,1568475116.0936034
6,-28.997953889036495,1568475118.0978184
7,-29.62806974233352,1568475120.1014905
8,-28.566526904768224,1568475122.1047206
9,-25.353884024330437,1568475125.2108798
10,-29.350849860869367,1568475128.3156965
11,-25.79799582193343,1568475131.4242654
12,-27.944675757214927,1568475134.5313687
13,-43.12431812286377,1568475137.639864
14,-27.945679073886897,1568475140.743244
15,-26.017131602734406,1568475143.8508706
16,-130.66589832305908,1568475148.9601927
17,-24.731900765508993,1568475152.0684414
18,-25.824773143905254,1568475154.070811
19,-136.64650917053223,1568475159.1825662
20,-132.970929145813,1568475161.1861138
21,-74.24536082949727,1568475164.293122
22,-29.350173057345707,1568475167.4006503
23,-42.551636695861816,1568475170.5070043
24,-28.781359766957713,1568475173.6152284
25,-26.347557807451068,1568475176.723112
26,-27.333450427214917,1568475179.8278236
27,-29.991396382369462,1568475181.830291
28,-28.222790704230395,1568475183.8318837
29,-26.10551736723287,1568475186.9394245
30,-30.0521821591753,1568475190.0476294
31,-28.138697235433796,1568475192.0509603
32,-49.382686614990234,1568475195.158885
33,-27.644759990750373,1568475198.2671828
34,-26.509527733858047,1568475201.3746116
35,-27.05700940698533,1568475204.4822226
36,-23.754655936690874,1568475207.589917
37,-26.238465950228743,1568475210.6978402
38,-39.35694694519043,1568475213.8058133
39,-25.699971816623417,1568475216.910553
40,-25.235562269411254,1568475220.0180187
41,-26.280796632181374,1568475223.127677
42,-24.393057430104236,1568475226.235819
43,-26.787245077490365,1568475229.3436162
44,-26.895680873147448,1568475232.449741
45,-26.592573164849465,1568475235.5569093
46,-24.776942318823316,1568475238.6645923
47,-25.10681025968243,1568475240.6673772
48,-24.39035980960446,1568475242.670853
49,-28.305087658921977,1568475245.777907
50,-27.485887164306085,1568475247.7814202
51,-37.54901885986328,1568475250.8898828
52,-26.32292038523823,1568475253.9947207
53,-53.354501724243164,1568475257.1018345
54,-27.30884571579174,1568475260.2096114
55,-25.36605523558898,1568475263.3178
56,-25.839891538138616,1568475265.3211617
57,-25.398674497642762,1568475267.32332
58,-25.686488033639286,1568475269.3263817
59,-24.997605246280198,1568475271.329099
60,-24.527958392866182,1568475273.332491
61,-23.69013751627845,1568475275.3361588
62,-28.239824160329373,1568475278.443718
63,-44.54517364501953,1568475281.5505009
64,-28.568596735300993,1568475284.656733
65,-25.963070542647777,1568475287.7644074
66,-27.840565891690577,1568475290.871652
67,-24.99303468910661,1568475293.9785182
68,-24.688545941955066,1568475295.980704
69,-24.587900460213493,1568475297.9832463
70,-24.983673684844266,1568475299.9856114
71,-27.25597125065979,1568475303.0914886
72,-48.45702648162842,1568475306.1996996
73,-27.309474299632743,1568475309.308001
74,-25.16662441083573,1568475312.4160633
75,-26.80794280154868,1568475315.5241194
76,-24.46985675783222,1568475318.6300852
77,-25.431363078658233,1568475320.632866
78,-23.209362499499118,1568475322.6337621
79,-27.721477911247987,1568475325.7405136
80,-27.726397658954102,1568475327.7434626
81,-26.87012508903427,1568475329.7472906
82,-43.02823543548584,1568475332.8545547
83,-64.87905979156494,1568475334.8576791
84,-27.99619277508647,1568475337.9663885
85,-50.214529037475586,1568475341.071329
86,-28.13372256232004,1568475344.1758797
87,-25.945873537898176,1568475347.2837
88,-27.638485771152205,1568475350.3908958
89,-27.13079518403313,1568475352.3934805
90,-26.655123665178916,1568475354.3967478
91,-24.9593604428012,1568475357.5051184
92,-26.804038158071364,1568475360.6123416
93,-26.90652761828462,1568475362.616736
94,-25.361338024688525,1568475365.721689
95,-24.21972340140266,1568475367.7248876
96,-23.90767542078829,1568475369.7273507
97,-27.95576311417668,1568475372.833812
98,-28.30564814011444,1568475374.8374412
99,-25.575251573623273,1568475377.9452357
100,-27.190026578977495,1568475381.0512104
101,-24.75133331260306,1568475384.1586545
102,-26.774613439289617,1568475387.2654338
103,-49.61884021759033,1568475390.3729835
104,-27.430190652454193,1568475393.4817996
105,-24.41792425454492,1568475396.5897217
106,-26.79156937801035,1568475399.6970263
107,-24.820901954990536,1568475402.8025172
108,-26.92703197893232,1568475405.9094331
109,-23.373205485496225,1568475409.0171857
110,-25.736156928521353,1568475412.1238065
111,-25.216160588753656,1568475415.2310977
112,-26.305240029761993,1568475418.3366318
113,-46.33069038391113,1568475421.4440944
114,-26.741167277892625,1568475424.5513191
115,-27.0126988973224,1568475426.554041
116,-26.549316132830164,1568475428.5576406
117,-25.809872630668,1568475431.6660283
118,-25.103830584036388,1568475433.669514
119,-27.00347983709182,1568475436.7774136
120,-25.54922278475058,1568475439.8832421
121,-27.132024734634495,1568475442.9908602
122,-24.61873279744354,1568475446.0974944
123,-28.54782076088459,1568475449.202087
124,-25.134984760542245,1568475452.3090186
125,-26.011212935385,1568475454.3122714
126,-128.4571886062622,1568475458.4193885
127,-67.87479194218183,1568475461.5288413
128,-25.15496430434823,1568475463.5311718
129,-26.446630434011766,1568475466.639483
130,-25.076443174650397,1568475469.746805
131,-24.158594803486015,1568475471.749162
132,-26.669413798861335,1568475474.8581903
133,-24.121707628942545,1568475477.9631386
134,-23.983242323785934,1568475479.965231
135,-25.763117082535416,1568475483.073655
136,-23.829880163306463,1568475486.1802788
137,-26.889049787215814,1568475489.2867095
138,-51.99861526489258,1568475492.3945713
139,-27.014846665345036,1568475495.5015004
140,-46.163082122802734,1568475498.6096554
141,-73.51696491241455,1568475500.613732
142,-26.536183121957567,1568475503.7209904
143,-47.25682735443115,1568475506.8289618
144,-27.620016248876063,1568475509.9371433
145,-26.930743604050345,1568475511.9416027
146,-24.955209441281188,1568475515.0479653
147,-26.56964259116541,1568475518.1556168
148,-24.978292411766322,1568475521.2630727
149,-27.29893067032295,1568475524.3697598
150,-24.66202793413622,1568475527.4770732
151,-27.709848279035715,1568475530.5846171
152,-26.61569777314128,1568475532.58699
153,-45.56727409362793,1568475535.6941278
154,-26.193082554533483,1568475538.8009093
155,-24.354777614393797,1568475541.908768
156,-26.448145174443177,1568475545.0167496
157,-26.38697747203671,1568475547.0205386
158,-28.20287670579491,1568475549.0241182
159,-23.678141564810197,1568475552.1307037
160,-25.383344884115523,1568475554.132968
161,-27.193721883854828,1568475557.2399473
162,-25.92557643245349,1568475560.3461254
163,-24.38068498812205,1568475562.3476841
164,-22.612260634596645,1568475564.3491263
165,-24.757479988507825,1568475566.351506
166,-29.505825384719575,1568475569.4598887
167,-24.527430233951048,1568475572.5682416
168,-27.330218480140832,1568475575.6739054
169,-25.438420841587902,1568475578.779889
170,-27.76538586860692,1568475581.8878994
171,-26.768067620549704,1568475584.9949765
172,-111.46366596221924,1568475588.1031713
173,-81.82564898351224,1568475591.2103996
174,-29.093088843364107,1568475594.3182557
175,-26.104565296818944,1568475597.4233017
176,-27.356237327737603,1568475599.425553
177,-27.36056051130359,1568475602.533268
178,-23.373005248303826,1568475605.640699
179,-25.035711869388027,1568475607.6436093
180,-27.067299492378922,1568475610.7507317
181,-26.275048463850187,1568475613.8565197
182,-27.541060302026313,1568475616.9636354
183,-28.4575006177018,1568475618.9670434
184,-24.39614924866732,1568475622.0760167
185,-24.97938951789887,1568475624.0793142
186,-24.039427618949308,1568475626.0823853
187,-26.185599753243192,1568475629.1906064
188,-25.07417862892888,1568475632.2984262
189,-27.197718620300293,1568475635.406221
190,-25.41158829983478,1568475638.5116577
191,-25.035380865304514,1568475640.5139809
192,-25.58517879294731,1568475642.5167294
193,-27.623000756393488,1568475645.6247454
194,-24.515440862105024,1568475648.732492
195,-26.542327306905626,1568475651.8416767
196,-26.38593116816498,1568475653.8462472
197,-24.5838672454744,1568475656.9533632
198,-24.435340922419464,1568475658.9562364
199,-26.819558381932044,1568475662.0647678
200,-26.422316829082916,1568475664.068098
201,-28.277385223171045,1568475666.0711544
202,-24.614136823267767,1568475669.179861
203,-27.2504473098572,1568475671.18331
204,-27.837010219166952,1568475674.289953
205,-40.48585891723633,1568475677.3971407
206,-25.796417502218645,1568475680.5021782
207,-46.0820198059082,1568475683.6098063
208,-26.703987015916315,1568475686.7169688
209,-26.773750096715233,1568475688.7198114
210,-24.375586324015426,1568475691.8281674
211,-23.998332662731098,1568475693.8313508
212,-23.399549001652346,1568475695.833725
213,-25.295719720640726,1568475698.9437964
214,-26.60009632448534,1568475702.0530245
215,-24.78601178723572,1568475704.0558572
216,-27.266356177546957,1568475707.162731
217,-24.72403972821474,1568475710.2695985
218,-23.126279339859806,1568475712.2727637
219,-25.53948479308955,1568475714.276208
220,-25.891130083574247,1568475717.3841143
221,-26.925196658831506,1568475719.3874097
222,-25.525142614371312,1568475722.4951031
223,-23.754525224386242,1568475724.4974205
224,-27.364005500135704,1568475727.6042452
225,-26.83577314339527,1568475730.7124984
226,-28.036391738450135,1568475733.8198476
227,-28.960607796626373,1568475735.8226593
228,-25.14306247057144,1568475738.9291542
229,-134.110689163208,1568475742.042507
230,-72.6173467322699,1568475745.14993
231,-26.06823622515512,1568475748.257536
232,-44.39973831176758,1568475751.3656619
233,-25.43541107323132,1568475754.4737875
234,-22.58459517842062,1568475757.578235
235,-22.42067158418137,1568475759.5809035
236,-25.465775670968814,1568475761.5826054
237,-26.954461404313452,1568475763.5849488
238,-130.8276653289795,1568475767.6947513
239,-26.69365912777465,1568475770.8022192
240,-25.028806440431016,1568475772.805761
241,-27.083780838244145,1568475775.9126215
242,-45.1737642288208,1568475779.0207148
243,-24.019329224612317,1568475782.1270633
244,-26.25460623607952,1568475785.2340195
245,-28.280944440111977,1568475788.3422518
246,-22.94538366303168,1568475791.4496002
247,-26.715058038932433,1568475794.5571277
248,-41.185736656188965,1568475797.6621022
249,-26.32968586579808,1568475800.7709332
250,-22.699404760746067,1568475803.8782153
251,-26.716457526124827,1568475806.986287
252,-51.22482776641846,1568475810.0940607
253,-26.067378430534564,1568475813.1986773
254,-23.35516552162697,1568475816.3059154
255,-27.002912026617803,1568475819.4134667
256,-21.123705571033174,1568475822.5209975
