# iterator, reward, timestamp 
1,-222.62942790985107,1568715614.6312318
2,-209.53261852264404,1568715615.6322255
3,-211.148738861084,1568715616.6336582
4,-210.58261394500732,1568715617.6352177
5,-212.63360977172854,1568715618.636374
6,-211.50290966033936,1568715619.6381617
7,-209.0541124343872,1568715620.6394427
8,-211.66181564331058,1568715621.6409998
9,-210.58642864227295,1568715622.6413164
10,-208.86778831481934,1568715623.6417344
11,-213.55462074279785,1568715624.642945
12,-212.21435070037842,1568715625.6442564
13,-211.1368179321289,1568715626.645486
14,-214.888334274292,1568715627.6466136
15,-213.13560009002686,1568715628.6475143
16,-210.7337713241577,1568715629.6487293
17,-210.21950244903564,1568715630.6503785
18,-209.8560333251953,1568715631.651383
19,-212.25404739379886,1568715632.6529906
20,-211.49182319641113,1568715633.6542041
21,-211.25543117523193,1568715634.6542354
22,-215.64519405364993,1568715635.6556492
23,-213.04476261138913,1568715636.6561136
24,-211.22682094573975,1568715637.6574085
25,-213.3373022079468,1568715638.6586258
26,-212.0013236999512,1568715639.659504
27,-211.0114097595215,1568715640.6606188
28,-211.51244640350342,1568715641.6613462
29,-211.5471363067627,1568715642.6624722
30,-210.67702770233154,1568715643.663337
31,-210.5245590209961,1568715644.6640165
32,-213.0136489868164,1568715645.6654794
33,-211.78781986236575,1568715646.6662548
34,-210.81221103668213,1568715647.6667292
35,-213.34552764892578,1568715648.6681278
36,-213.0368947982788,1568715649.6698477
37,-212.4394178390503,1568715650.6698568
38,-211.76612377166748,1568715651.6705925
39,-215.76309204101562,1568715652.6719422
40,-213.88673782348636,1568715653.6731381
41,-210.69538593292236,1568715654.6745155
42,-214.68102931976318,1568715655.676499
43,-215.1052951812744,1568715656.6792533
44,-214.0824794769287,1568715657.6807008
45,-215.99626541137698,1568715658.6829998
46,-215.1836156845093,1568715659.6838198
47,-214.25819396972656,1568715660.6860359
48,-219.76304054260254,1568715661.6873474
49,-217.7711725234985,1568715662.6890678
50,-216.55166149139404,1568715663.6900885
51,-215.09861946105957,1568715664.691211
