# iterator, reward, timestamp 
1,-128.5306215286255,1568883746.3388567
2,-131.90138339996338,1568883749.3435044
3,-134.00864601135254,1568883754.351273
4,-130.15210628509521,1568883757.3564527
5,-133.46564769744873,1568883760.362064
6,-129.97829914093018,1568883764.3684602
7,-136.14070415496826,1568883767.3724785
8,-129.2492151260376,1568883770.3770018
9,-140.59603214263916,1568883774.3836198
10,-136.21759414672852,1568883778.3906221
11,-136.405348777771,1568883781.3937268
12,-128.828763961792,1568883784.3987353
13,-134.00328159332275,1568883788.4058402
14,-133.71551036834717,1568883792.412523
15,-133.5819959640503,1568883796.417228
16,-134.98437404632568,1568883799.4216561
17,-137.2774839401245,1568883802.4265025
18,-137.83740997314453,1568883805.4295845
19,-139.68074321746826,1568883809.4361572
20,-137.6509666442871,1568883813.4411206
21,-131.68704509735107,1568883816.446249
22,-139.0700340270996,1568883820.452845
23,-137.67993450164795,1568883826.4611077
24,-135.14578342437744,1568883829.4637809
25,-139.78075981140137,1568883832.4678261
26,-139.27865028381348,1568883836.473312
27,-138.1392478942871,1568883840.4788868
28,-140.08736610412598,1568883843.4828668
29,-138.91339302062988,1568883847.4891152
30,-135.5597972869873,1568883850.49324
31,-137.57383823394775,1568883853.4973073
32,-138.20993900299072,1568883856.501837
