# iterator, reward, timestamp 
1,-722.649269812474,1568215869.0465853
2,-1657.0794201026333,1568215875.1609302
3,-1656.7505134776868,1568215877.1621459
4,-2029.3165445327759,1568215881.2711756
5,-1654.672997486741,1568215884.379022
6,-1291.42128718931,1568215888.4865308
7,-946.1617520582067,1568215890.4886687
8,-901.9037231814654,1568215895.5981545
9,-1072.0361836579334,1568215897.601674
10,-1151.7900787748783,1568215902.7130249
11,-937.2827002767887,1568215904.7154698
12,-882.6103210457109,1568215908.8245952
13,-1331.6596119542417,1568215912.9323344
14,-1197.0554400845049,1568215917.0399904
15,-1179.0645306000238,1568215922.1532443
16,-1186.1940166362467,1568215924.1584206
17,-1322.1648931503296,1568215928.2650306
18,-1243.7922876996367,1568215935.376685
19,-1521.3491916656494,1568215939.4866822
20,-1244.062403566817,1568215943.5958333
21,-1518.1961059570312,1568215949.7098277
22,-1252.952589139138,1568215954.81953
23,-775.7253849074857,1568215958.927695
24,-2029.836654663086,1568215964.038164
25,-1655.8141881066213,1568215968.1455138
26,-1230.0090450623409,1568215971.2523925
27,-983.5357852672205,1568215975.3607266
28,-1179.9357655507415,1568215981.47134
29,-1654.3417139706155,1568215986.581326
30,-1041.149526908572,1568215991.691338
31,-1121.000062405047,1568215993.6934285
32,-900.6210526412104,1568215997.80113
33,-1168.4836125359107,1568216002.9098687
34,-1240.3895806016264,1568216004.9127767
35,-966.8056059002739,1568216009.0215113
36,-1396.8119621276855,1568216012.1283362
37,-1397.5846767425537,1568216014.1317391
38,-1657.1599488789745,1568216019.241054
39,-1175.2980781618974,1568216023.348207
40,-1657.1519335746548,1568216026.4551315
41,-1656.0752323103318,1568216028.4576213
42,-1172.2868455055245,1568216031.564526
43,-1177.0198452617844,1568216033.566804
44,-1020.1805830001831,1568216037.6751053
45,-1521.4478969573975,1568216039.6784105
46,-1226.466639228781,1568216046.7899227
47,-500.03629826266666,1568216050.8972738
48,-1256.3592991183011,1568216055.0051203
49,-958.9968477222122,1568216059.1127112
50,-1181.6983302770975,1568216065.224912
51,-523.3447551727295,1568216068.3309968
52,-1241.2082315807445,1568216076.4438236
53,-1107.9464963046985,1568216080.55252
54,-1087.90104877788,1568216082.5551078
55,-1293.911763817365,1568216085.6613252
56,-1557.072045410122,1568216090.7711735
57,-1686.0672699526517,1568216092.7744105
58,-1096.2316655149193,1568216097.882794
59,-924.2672172885632,1568216099.8847122
60,-480.3236676479879,1568216103.9921565
61,-1256.8990628028214,1568216108.1004508
62,-942.1490544951405,1568216112.2099764
63,-1170.016015932138,1568216115.3175976
64,-1234.7357273101804,1568216119.4281063
65,-1244.842256547998,1568216123.5362225
66,-1261.7257425390897,1568216125.538246
67,-1521.8912363052368,1568216130.6472325
68,-1244.6628914565065,1568216134.753958
69,-579.7673986677607,1568216138.8617444
70,-1273.1011125026357,1568216142.9685485
71,-1045.8641175793236,1568216147.0770786
72,-1176.196796570495,1568216151.1854434
73,-1653.7074859703946,1568216154.2922866
74,-1653.845832858968,1568216156.2952678
75,-1234.1004939847771,1568216160.404032
76,-1430.8463762868741,1568216164.5130885
77,-1177.0983669418436,1568216169.620619
78,-1186.1121760277742,1568216171.6230488
79,-1196.3311724097796,1568216173.6256852
80,-1212.1162913846545,1568216175.6287582
81,-1228.4573056461575,1568216177.6303015
82,-1655.4192392778718,1568216180.7361841
83,-1292.8986904164321,1568216184.8448074
84,-1047.7663489908452,1568216186.8479104
85,-656.142432837031,1568216190.9557881
86,-1288.089443498377,1568216192.9580457
87,-1193.670149518966,1568216201.070763
88,-1200.4732664505868,1568216203.0735114
89,-1214.6767260860615,1568216205.07615
90,-1233.8251508529715,1568216207.0793383
91,-1253.9768031250112,1568216209.0810313
92,-1277.4964023194175,1568216211.0836866
93,-1305.076216766067,1568216213.0854526
94,-1333.001437195052,1568216215.0872412
95,-1364.1821029223304,1568216217.089164
96,-1481.0128211975098,1568216221.1975725
97,-1237.1127919889059,1568216224.304454
98,-1240.3169067909018,1568216226.3071604
99,-959.2255490043788,1568216230.4152822
100,-1204.7058968079814,1568216234.5224464
101,-942.2847366088037,1568216237.6291773
102,-1279.1059344811686,1568216241.7364182
103,-1018.9441924903565,1568216246.8436291
104,-1268.4179434797184,1568216249.949928
105,-1128.0061097061746,1568216253.057122
106,-1268.029980843739,1568216257.1638117
107,-1243.3029467498131,1568216259.1673586
108,-1523.9274501800537,1568216268.2813103
109,-1526.7494916915894,1568216270.2832096
110,-1256.2615362043173,1568216275.3914642
111,-1276.4608832271624,1568216277.3952222
112,-1278.7865455085707,1568216279.3978956
113,-1309.5496867872457,1568216281.399798
114,-1353.9750813999387,1568216283.4030273
115,-1524.038314819336,1568216287.5106869
116,-1241.4213223794022,1568216291.6185734
117,-947.151298892206,1568216295.7266827
118,-969.4399128372852,1568216298.8345313
119,-1150.2824081076512,1568216303.9441917
120,-1175.038655629769,1568216307.049643
121,-1176.8942774960897,1568216309.051458
122,-1184.338261116406,1568216311.0537052
123,-1193.8279432912757,1568216313.0570061
124,-1206.357072964097,1568216315.059115
125,-1225.4025716166127,1568216317.0625966
126,-1246.4762407138332,1568216319.0646744
127,-1269.4623403378953,1568216321.0674818
128,-1293.9918018140966,1568216323.070244
129,-1322.3654536471677,1568216325.072103
130,-1352.9158876981826,1568216327.0752442
131,-1381.4706214835162,1568216329.0772564
132,-1415.9544488647346,1568216331.0796704
133,-1660.6454073186671,1568216336.1882648
134,-1022.2948279481925,1568216341.296756
135,-1190.8749544772706,1568216345.4043167
136,-1472.9682262816405,1568216349.5133665
137,-1361.4495735168566,1568216351.5162947
138,-1003.3605936500713,1568216355.6236885
139,-1000.4598965119275,1568216360.7344706
140,-1139.3384186238718,1568216364.8414245
141,-1300.2792523647818,1568216369.9502635
142,-1154.6305814490531,1568216374.0568893
143,-1656.6306937198117,1568216376.0593536
144,-1037.572980088875,1568216381.1691976
145,-1077.4337146348867,1568216384.2753208
146,-1260.2731066037495,1568216388.384487
147,-959.4016128921053,1568216392.4933565
148,-1238.979570075956,1568216395.6007903
149,-1077.0325792031554,1568216399.7096055
150,-997.517828377298,1568216404.8181431
151,-1120.2407834660964,1568216408.9240623
152,-1145.295977557031,1568216414.0344746
153,-1136.4258480996036,1568216418.1418855
154,-1278.0560327069013,1568216422.2514489
155,-1061.6848158480125,1568216426.3596985
156,-1016.3110815265305,1568216431.4702168
157,-713.1672308446114,1568216435.5795004
158,-1235.7912202208138,1568216439.6871352
159,-815.7403156762507,1568216443.7943263
160,-996.2516806511684,1568216448.903229
161,-1100.968911049951,1568216453.0121713
162,-1300.9290322166391,1568216458.1185603
163,-928.5931969220919,1568216462.228887
164,-1034.219327701814,1568216467.338485
165,-806.2134164418134,1568216471.4460912
166,-1013.7897023774723,1568216476.5562084
167,-687.4663908749778,1568216480.6651216
168,-1231.4766780102757,1568216484.7719626
169,-1424.9159532269025,1568216488.880047
170,-997.5770802432525,1568216493.9901114
171,-1085.4314447588017,1568216498.098574
172,-1294.8496345100025,1568216502.2065315
173,-1151.4415675219159,1568216506.3135886
174,-1192.5520837373163,1568216509.4212592
175,-1228.11990044981,1568216512.5282843
176,-1014.636432782139,1568216517.6365485
177,-1298.2455766446726,1568216521.7445772
178,-1001.1002973143784,1568216526.8539386
179,-1176.2868896934385,1568216530.963083
180,-1313.55938463535,1568216535.0715456
181,-816.2653286243367,1568216538.1786146
182,-1176.4725986583906,1568216543.289377
183,-1184.6570221559618,1568216545.2908657
184,-1195.1947458099617,1568216547.2937675
185,-1206.4208763853953,1568216549.2967703
186,-1223.6136968352862,1568216551.2988048
187,-1243.9719937957418,1568216553.3013022
188,-1269.2291919579063,1568216555.3046198
189,-1293.7441177625585,1568216557.3070815
190,-1318.4022940264967,1568216559.3098161
191,-1348.9626821569761,1568216561.313277
192,-1384.7909745554937,1568216563.317353
193,-1416.1634399061961,1568216565.3205032
194,-1518.2015895843506,1568216570.4315708
195,-1243.5162091813704,1568216575.53971
196,-1046.3821481820244,1568216579.6482131
197,-1011.4724830889203,1568216584.758326
198,-1269.1450247708315,1568216588.8663957
199,-997.0121339649584,1568216593.9755712
200,-1150.7703094964281,1568216598.083612
201,-993.9834908141064,1568216603.192414
202,-1045.0512242335399,1568216607.2992072
203,-1286.2330824173732,1568216611.4062238
204,-1110.1342031431063,1568216616.516415
205,-1263.7259502243032,1568216620.6249938
206,-982.425291971923,1568216624.7331097
207,-1239.8825587965296,1568216627.839233
208,-1094.8301374075331,1568216631.9479432
209,-996.8874872578155,1568216637.058711
210,-1134.1181597440157,1568216641.166846
211,-1299.9028820548897,1568216646.2766538
212,-1022.8502678457743,1568216650.385708
213,-1280.9385992950179,1568216654.493915
214,-1083.938007016793,1568216659.6025057
215,-1187.4990570947198,1568216662.7092724
216,-1218.2917703982203,1568216665.8160636
217,-1007.1626103764104,1568216670.9242582
218,-1230.0083053185506,1568216675.0334566
219,-1328.7220204369155,1568216679.1419134
220,-852.0208432649518,1568216682.2474918
221,-1177.4665338109592,1568216687.3557484
222,-1185.8046975774103,1568216689.3583107
223,-1196.4230903468133,1568216691.3601894
224,-1210.024112177963,1568216693.3632846
225,-1228.4222405933886,1568216695.3650835
226,-1249.0352004007952,1568216697.3675277
227,-1269.9079617932498,1568216699.3699434
228,-1296.9639395925205,1568216701.3736866
229,-1322.4609138472938,1568216703.3774626
230,-1353.6583977022153,1568216705.380435
231,-1386.4841691248766,1568216707.3835046
232,-1419.978883593312,1568216709.3849256
233,-1438.2703441288868,1568216711.3883538
234,-1525.009036064148,1568216718.499709
235,-1245.045724446717,1568216723.6088796
236,-480.29740927802146,1568216727.717495
237,-1256.728148420215,1568216731.827567
238,-937.0658360759644,1568216735.936097
239,-1234.71451830649,1568216739.0438128
240,-1041.7549367871197,1568216743.1519508
241,-995.9371581754732,1568216748.260531
242,-1094.9353000500803,1568216752.3701088
243,-1294.7709366078805,1568216756.478497
244,-1167.8994318236744,1568216760.5863106
245,-1271.2366222386386,1568216764.6956172
246,-1272.514950664851,1568216767.8022537
247,-1013.4911231933538,1568216772.9115474
248,-685.3186531952549,1568216777.0212429
249,-1234.6340310700186,1568216781.1288657
250,-1421.1770905563121,1568216785.2378302
251,-1318.5183335274005,1568216789.3463016
252,-824.6571998938907,1568216792.4544892
253,-1186.1853018480385,1568216799.5637803
254,-996.6940879821777,1568216804.6738982
255,-1245.650365412903,1568216809.783011
256,-1519.46222782135,1568216816.893815
257,-1242.4311841552235,1568216822.003596
258,-1239.89672174884,1568216824.0065064
259,-955.2945016273851,1568216828.1144505
260,-1342.0072793960571,1568216831.2207537
261,-2032.8103303909302,1568216833.2242367
262,-1655.4193889551862,1568216837.3328557
263,-1215.9074795294694,1568216840.4391956
264,-959.9739902461595,1568216844.545732
265,-1397.5657760160702,1568216848.6536653
266,-1171.9060238897025,1568216852.7622428
267,-1831.5359354019165,1568216855.869896
268,-1655.8534693088193,1568216859.9765246
269,-1175.666896085429,1568216864.085732
270,-495.4419136047363,1568216867.192519
271,-1240.8265114098397,1568216871.3019323
272,-809.692385655347,1568216875.4095132
273,-1175.2096612142639,1568216880.5190485
274,-1036.306381225586,1568216885.6281903
275,-1244.3775888383934,1568216889.735414
276,-512.4113386346454,1568216893.8438835
277,-1200.0775811525361,1568216902.9598787
278,-834.728479385376,1568216907.067581
279,-1239.2737073076703,1568216911.1747808
280,-901.7632627311933,1568216915.2828286
281,-1178.0580462875487,1568216920.3917341
282,-1186.4155530929565,1568216924.5008225
283,-1243.8390382112566,1568216931.6126761
284,-873.1058786064059,1568216935.7209609
285,-1179.278408893238,1568216940.829526
286,-832.1300745010376,1568216944.9378288
287,-1241.3481552842516,1568216951.0485704
288,-1068.1558944305377,1568216955.1570194
289,-1205.644236381569,1568216965.2741215
290,-666.5453910827637,1568216968.3806057
291,-1242.530433925604,1568216980.4989002
292,-775.444080856027,1568216984.6067119
293,-1184.329797654742,1568216991.7198184
294,-1048.1879711151123,1568216994.8269644
295,-1240.0523877575838,1568216998.9354959
296,-1090.0059639104568,1568217003.0436494
297,-1179.1602570158354,1568217008.1544511
298,-1476.742148399353,1568217012.2647429
299,-1242.7882989324712,1568217016.372864
300,-863.2246088429297,1568217020.4807298
301,-1190.053297720945,1568217028.5921383
302,-1235.5098724365234,1568217032.700167
303,-1242.683090969127,1568217035.807532
304,-570.4408849130024,1568217039.9167662
305,-1173.6766643542267,1568217044.025361
306,-725.0950336456299,1568217048.1324728
307,-1241.8544156036417,1568217053.2412539
308,-929.1078896078425,1568217056.3494794
309,-1175.4483809405838,1568217061.4599118
310,-417.40572452545166,1568217064.5671556
311,-1241.4569653704507,1568217072.6811216
312,-744.8087778584425,1568217076.7891166
313,-1176.289154967012,1568217081.8993075
314,-916.1648750305176,1568217086.0086365
315,-1243.2916809767871,1568217089.1154344
316,-1056.261917106915,1568217093.2236228
317,-1175.1147673561625,1568217097.3331053
318,-1368.1175708770752,1568217101.4400704
319,-1239.7472670528277,1568217104.5474765
320,-822.804944610318,1568217108.6557307
321,-1189.4467552650267,1568217116.7685125
322,-1174.1727590560913,1568217121.8787644
323,-1242.973534247752,1568217124.987183
324,-527.77452968786,1568217129.0958905
325,-1179.2702978510565,1568217134.2052443
326,-700.5801200866699,1568217138.312607
327,-1244.0963077668225,1568217150.4294653
328,-919.5735531715675,1568217154.5380697
329,-1186.917664404699,1568217161.647428
330,-1283.685803413391,1568217165.757319
331,-1242.1331135316743,1568217168.8639748
332,-1266.3822602401783,1568217173.9720953
333,-1171.5119900552654,1568217177.0789914
334,-779.9379825592041,1568217181.1876342
335,-1243.9151644439576,1568217189.3018909
336,-1019.075944286253,1568217193.4109926
337,-1178.8475071836015,1568217198.5205219
338,-500.31197071075445,1568217201.6285915
339,-1244.6372151821988,1568217206.7380178
340,-954.8141656744925,1568217209.846071
341,-1110.76856293372,1568217213.9546297
342,-997.2687085870866,1568217218.0629623
343,-943.8090329219693,1568217223.1731327
344,-1055.146259295193,1568217228.2815676
345,-1401.0277145221203,1568217232.3888774
346,-1283.5819344597428,1568217236.4978614
347,-1542.18314374236,1568217240.6062362
348,-1445.435459861819,1568217242.609629
349,-928.2949537635699,1568217245.7154818
350,-995.612344095995,1568217250.8251834
351,-1105.9483741133738,1568217254.9327457
352,-1298.64389711315,1568217259.039312
353,-1184.0880171087415,1568217263.1475167
354,-1179.5193957868298,1568217268.25648
355,-800.4310131072998,1568217272.3639133
356,-1242.8741932163891,1568217276.470172
357,-983.3413999295907,1568217280.5777378
358,-1172.9916802417774,1568217284.6849391
359,-1265.3499841690063,1568217288.7932117
360,-1241.3047086072927,1568217291.9002419
361,-764.608258813721,1568217296.008678
362,-1173.03826354325,1568217300.1184783
363,-1519.771933555603,1568217305.2276757
364,-1243.292139927325,1568217310.3363075
365,-1078.3931185617432,1568217314.444536
366,-1177.1946964858748,1568217319.5530431
367,-1448.6331939697266,1568217323.6600814
368,-1241.699082607954,1568217326.7661433
369,-849.8052110285493,1568217330.8734024
370,-1177.3057433393153,1568217336.9815702
371,-282.346248626709,1568217340.0883565
372,-1244.7393620948221,1568217346.1994798
373,-559.3326233891347,1568217350.3059058
374,-1175.816687151617,1568217354.4132001
375,-712.5298976898194,1568217358.5225534
376,-1242.7615536068913,1568217361.630434
377,-923.8797020868749,1568217364.737134
378,-1175.923229365107,1568217369.8471777
379,-1252.9479265213013,1568217374.9552474
380,-1244.3970627848728,1568217380.0655735
381,-729.551577424506,1568217384.1746073
