# iterator, reward, timestamp 
1,-21.3536024094,1568206237.7119093
2,-22.4674940109,1568206239.7145176
3,-23.0655670166,1568206241.717526
4,-20.0406312943,1568206243.7202985
5,-24.4392156601,1568206245.722492
6,-19.7297334671,1568206247.725215
7,-22.2690105438,1568206249.7279074
8,-20.0725793839,1568206251.7295167
9,-24.631023407,1568206253.733026
10,-22.2918987274,1568206255.7359822
11,-28.9732217789,1568206257.7383394
12,-22.7966308594,1568206259.7410927
13,-20.9940671921,1568206261.74368
14,-22.2456455231,1568206263.7470353
15,-17.0327425003,1568206265.750053
16,-26.2421369553,1568206267.752687
17,-21.7527151108,1568206269.7560897
18,-22.0068693161,1568206271.758128
19,-16.1056518555,1568206273.7611048
20,-16.8014764786,1568206275.763077
21,-25.3496170044,1568206277.765951
22,-22.5425958633,1568206279.7691684
23,-15.9276723862,1568206281.771295
24,-26.3912677765,1568206283.774161
25,-27.7018547058,1568206285.777592
26,-21.1921930313,1568206287.7807703
27,-15.0103569031,1568206289.7845514
28,-18.9498662949,1568206291.7881162
29,-19.3914175034,1568206293.7906315
30,-11.5749835968,1568206295.792672
31,-19.9762582779,1568206297.7953727
32,-17.1370506287,1568206299.7982612
33,-14.7080421448,1568206301.8015075
34,-20.8804607391,1568206303.8039193
35,-21.391749382,1568206305.8072531
36,-15.0309801102,1568206307.809858
37,-21.9584703445,1568206309.8135326
38,-25.5001783371,1568206311.815925
39,-20.4772949219,1568206313.8169005
40,-20.5863714218,1568206315.820524
41,-23.0548381805,1568206317.823523
42,-21.3921070099,1568206319.8265166
43,-20.3132629395,1568206321.8286278
44,-20.717382431,1568206323.8323183
45,-19.0868377686,1568206325.834571
46,-24.9596834183,1568206327.8367078
47,-22.6019620895,1568206329.8390617
48,-23.2011079788,1568206331.84194
49,-20.2914476395,1568206333.84464
50,-26.034116745,1568206335.847077
51,-20.9223031998,1568206337.8500774
52,-20.3937292099,1568206339.8523457
53,-20.2921628952,1568206341.8558426
54,-17.5150632858,1568206343.8573494
55,-22.244811058,1568206345.8605604
56,-18.1802511215,1568206347.8633213
57,-16.3336992264,1568206349.8669658
58,-19.8163986206,1568206351.870332
59,-18.7977552414,1568206353.8727574
60,-17.3547267914,1568206355.8755543
61,-18.4986591339,1568206357.8795352
62,-18.7931060791,1568206359.8819785
63,-17.6366567612,1568206361.8853028
64,-23.7081050873,1568206363.8877635
65,-20.8538770676,1568206365.8895655
66,-24.690747261,1568206367.8927393
67,-17.6346302032,1568206369.895768
68,-17.6131725311,1568206371.898744
69,-18.0569887161,1568206373.899953
70,-19.8124647141,1568206375.9036396
71,-19.3413496017,1568206377.906665
72,-17.5447463989,1568206379.9094987
73,-22.723197937,1568206381.9130123
74,-15.3033733368,1568206383.9160345
75,-19.9587345123,1568206385.918789
76,-18.2554721832,1568206387.9207518
77,-19.9702978134,1568206389.9236765
78,-19.1416740417,1568206391.92573
79,-17.8527832031,1568206393.9285216
80,-15.4365301132,1568206395.9308817
81,-17.3697471619,1568206397.933301
82,-24.1513252258,1568206399.9366033
83,-20.198225975,1568206401.9395359
84,-17.8426504135,1568206403.9417222
85,-18.9634561539,1568206405.943168
86,-18.5180902481,1568206407.9464128
87,-19.8019742966,1568206409.948912
88,-23.66065979,1568206411.9518237
89,-19.5659399033,1568206413.9545262
90,-18.3390378952,1568206415.9564967
91,-19.6344852448,1568206417.9583826
92,-17.4993276596,1568206419.9609606
93,-15.7936811447,1568206421.964119
94,-17.2609090805,1568206423.9656446
95,-17.7819728851,1568206425.968767
96,-17.5697803497,1568206427.9715674
97,-16.9106721878,1568206429.9745517
98,-18.9101696014,1568206431.9771562
99,-18.3809995651,1568206433.9798045
100,-24.5188474655,1568206435.9816058
101,-18.7845230103,1568206437.9844952
102,-18.5670852661,1568206439.9870002
103,-17.1580314636,1568206441.9900963
104,-23.9255428314,1568206443.9927335
105,-16.0448551178,1568206445.9957602
106,-19.4462537766,1568206447.998022
107,-18.6915397644,1568206450.0003276
108,-20.9563970566,1568206452.002916
109,-18.1792974472,1568206454.0059047
110,-17.8703069687,1568206456.0078456
111,-18.3960199356,1568206458.010992
112,-16.4734125137,1568206460.013025
