# iterator, reward, timestamp 
1,-113.777816296,1568237686.0369515
2,-24.7187740683,1568237689.1422622
3,-30.0038450926,1568237692.2477288
4,-23.5742883362,1568237695.353685
5,-36.5374088287,1568237698.4582124
6,-23.8829924232,1568237701.5623555
7,-26.2826154617,1568237704.6660597
8,-23.8617576412,1568237707.7719934
9,-41.085600853,1568237710.8778095
10,-23.6818693716,1568237713.9836454
11,-29.0013563971,1568237717.0895085
12,-23.1182745572,1568237720.195181
13,-35.3422164917,1568237723.3012521
14,-23.1558435397,1568237726.407212
15,-28.3400346099,1568237729.513423
16,-23.6412098138,1568237732.6179001
17,-45.4249382019,1568237735.7228134
18,-24.5741479722,1568237738.8277411
19,-27.3954420874,1568237741.9339082
20,-23.506158372,1568237745.038934
21,-36.1602306366,1568237748.1446452
22,-23.8070322736,1568237751.2496235
23,-28.5816353855,1568237754.3557014
24,-23.7386294435,1568237757.4619224
25,-32.643198967,1568237760.567307
26,-23.5871392816,1568237763.6732955
27,-27.225860167,1568237766.779648
28,-23.6949468676,1568237769.8856852
29,-40.8216714859,1568237772.9914007
30,-24.5861430237,1568237776.0963774
31,-27.8319651018,1568237779.2010412
32,-24.0273408941,1568237782.3076138
33,-38.3969545364,1568237785.4126146
34,-23.3922650454,1568237788.5173965
35,-26.8059577474,1568237791.6227717
36,-24.1975582877,1568237794.7273483
37,-41.8034791946,1568237797.8334725
38,-24.0161662615,1568237800.9392827
39,-27.9196113198,1568237804.0439584
40,-23.8413761266,1568237807.1491024
41,-42.68014431,1568237810.2537255
42,-23.8254397837,1568237813.3588169
43,-25.9003139626,1568237816.4645422
44,-23.7544975326,1568237819.5705433
45,-37.7057790756,1568237822.675822
46,-23.6971708688,1568237825.7816856
47,-26.1102830587,1568237828.8865185
48,-23.5757086256,1568237831.9918761
49,-42.1429872513,1568237835.0973067
50,-24.0757159732,1568237838.2039106
51,-25.6573772606,1568237841.3093061
52,-23.0394934066,1568237844.414158
53,-34.2433452606,1568237847.5187945
54,-22.8969189721,1568237850.6220522
55,-28.0731254754,1568237853.727166
56,-23.3728630115,1568237856.8316538
57,-41.5066480637,1568237859.9374223
58,-23.2700961423,1568237863.04239
59,-26.1233711432,1568237866.1473134
60,-24.0258483692,1568237869.2527752
61,-41.7150259018,1568237872.3588712
62,-23.727691641,1568237875.4651198
63,-26.3589553825,1568237878.5697553
64,-23.7122578161,1568237881.674725
65,-31.6885709763,1568237884.7803497
66,-23.9181183499,1568237887.8867483
67,-28.6655139553,1568237890.9922397
68,-23.9783909316,1568237894.0973463
69,-38.6259555817,1568237897.2033105
70,-23.6971231706,1568237900.3091676
71,-27.1214212217,1568237903.4147623
72,-23.3093977829,1568237906.5196018
73,-34.1110229492,1568237909.624932
74,-24.5870377925,1568237912.730585
75,-26.2098304227,1568237915.8353498
76,-24.724389541,1568237918.940521
77,-40.8047437668,1568237922.0461118
78,-24.5994111676,1568237925.151979
79,-27.5406351713,1568237928.2571003
80,-23.9478234327,1568237931.36342
81,-39.5517349243,1568237934.4693463
82,-24.4974647302,1568237937.5754948
83,-26.2858932037,1568237940.6804209
84,-23.5807126129,1568237943.785389
85,-34.1490507126,1568237946.8903575
86,-24.2455430365,1568237949.9942248
87,-27.5944682587,1568237953.100484
