# iterator, reward, timestamp 
1,21.7819809914,1568266248.422667
2,23.167014122,1568266251.527734
3,24.2592493693,1568266254.6329632
4,21.5408802032,1568266257.7379456
5,24.0049759547,1568266260.843995
6,20.3485488892,1568266263.949594
7,24.2636203766,1568266267.0556
8,23.099899292,1568266270.1605096
9,24.2011944453,1568266273.2673388
10,21.8284130096,1568266276.3730862
11,23.6539443334,1568266279.478972
12,21.0952758789,1568266282.5833352
13,24.2813825607,1568266285.6892624
14,23.8521099091,1568266288.7945685
15,24.0831772486,1568266291.90063
16,19.9885368347,1568266295.0068016
17,23.5822598139,1568266298.1127274
18,21.7965841293,1568266301.2203453
19,23.1935183207,1568266304.325571
20,20.494222641,1568266307.4317806
21,25.0387589137,1568266310.5366423
22,23.1943130493,1568266313.6421936
23,24.2201884588,1568266316.7478237
24,26.713848114,1568266319.8512087
25,23.8904158274,1568266322.956397
26,22.5960016251,1568266326.0612338
27,25.9863932927,1568266329.16702
28,22.1257209778,1568266332.2729504
29,24.4362751643,1568266335.3785157
30,22.3696231842,1568266338.4843335
31,24.1439739863,1568266341.5908692
32,22.3516225815,1568266344.6969352
33,24.5571136475,1568266347.80224
34,21.5661525726,1568266350.9076936
35,24.0791638692,1568266354.0118763
36,22.9624509811,1568266357.1157928
37,24.4074662526,1568266360.2206593
38,21.0956335068,1568266363.3249986
39,24.0991512934,1568266366.430353
40,22.1194028854,1568266369.5342
41,24.1369803747,1568266372.6394694
42,21.9390392303,1568266375.744131
43,24.6606270472,1568266378.8484757
44,26.3766050339,1568266381.9524727
45,25.1452525457,1568266385.0568738
46,21.784901619,1568266388.163166
47,24.0238110224,1568266391.2688613
48,21.5698480606,1568266394.3760624
49,24.3012110392,1568266397.4818313
50,22.4003791809,1568266400.5878167
51,24.4472424189,1568266403.6931705
52,22.2817659378,1568266406.7988286
53,24.7796376546,1568266409.9044783
54,21.7010974884,1568266413.0099952
55,25.3985325495,1568266416.1159987
56,22.6449966431,1568266419.2215347
57,24.2247184118,1568266422.3271668
58,22.6483345032,1568266425.4320738
