# iterator, reward, timestamp 
1,-509.4506185181685,1568237709.4325538
2,-963.8900694087981,1568237714.543301
3,-1166.7993939154005,1568237718.652391
4,-1328.635987610087,1568237722.7610734
5,-992.2554311994033,1568237724.764236
6,-1516.9588327407837,1568237727.8710663
7,-1243.7069774336308,1568237730.9774704
8,-899.3437446742814,1568237735.088781
9,-2030.7183265686035,1568237739.196031
10,-1656.5957073776892,1568237742.304288
11,-1170.155318899977,1568237745.4131389
12,-1432.744860649109,1568237749.521869
13,-1242.5926556052545,1568237754.6312058
14,-1522.8667259216309,1568237759.7395656
15,-1243.0680604610611,1568237766.851067
16,-1104.6370154401143,1568237770.9583051
17,-939.971008432993,1568237774.0636733
18,-1193.6509711307851,1568237778.1730697
19,-2023.2802629470825,1568237782.2797728
20,-1652.6554591191946,1568237785.3876452
21,-2029.1221141815186,1568237790.4967344
22,-2028.4929275512695,1568237792.4990351
23,-1655.4697237633375,1568237797.6094494
24,-1649.1426118211796,1568237799.6117713
25,-1000.6067206316625,1568237804.7210405
26,-965.1495226558487,1568237806.7237413
27,-868.0276335139347,1568237810.8335187
28,-833.717131161416,1568237812.8370144
29,-1655.428367964212,1568237814.8427854
30,-996.85572963952,1568237819.9541433
31,-1121.468851652398,1568237824.0627117
32,-1462.6632142132478,1568237828.1713667
33,-1395.9466903576904,1568237830.174208
34,-667.391359245417,1568237834.281497
35,-1293.7976881512564,1568237836.283996
36,-1170.219900470968,1568237839.3902493
37,-1175.9038658758843,1568237841.3925698
38,-1655.3921151423006,1568237846.50249
39,-1008.0380186942706,1568237851.613787
40,-679.769186624031,1568237855.720853
41,-1000.8242763384713,1568237860.830021
42,-1186.9507614068932,1568237864.9376404
43,-1178.5198030537808,1568237871.0493896
44,-1654.9734331672578,1568237874.1567342
45,-1170.6804153085052,1568237877.2641683
46,-1172.9865001134222,1568237879.2679188
47,-1522.9915380477905,1568237884.3778448
48,-1522.0024585723877,1568237886.3800802
49,-1241.255887341834,1568237893.4931712
50,-880.38905144724,1568237897.6008892
51,-1326.5105173391248,1568237901.7093437
52,-1185.3034964864523,1568237905.8167775
53,-1225.833533810633,1568237909.925234
54,-1000.3784922559965,1568237911.9271986
55,-1515.9130096435547,1568237915.0352418
56,-1246.5488293842695,1568237919.1454298
57,-1258.2588529476272,1568237921.1487403
58,-989.5394151420604,1568237924.2552614
59,-1284.692852954137,1568237928.3623908
60,-1058.3863507377946,1568237932.469967
61,-1268.646203236778,1568237935.5763395
62,-1197.3218011085119,1568237937.5790544
63,-981.6150964202911,1568237940.6865182
64,-1050.4321044856,1568237942.6885273
65,-1542.5863030000414,1568237944.6903543
66,-1201.3431557074505,1568237947.7977018
67,-1135.1363177445435,1568237951.9052157
68,-1232.6482442673807,1568237955.0130599
69,-1296.777519050669,1568237958.1195414
70,-1138.8154215289492,1568237961.227028
71,-1655.1538020691219,1568237967.33779
72,-1172.190936717489,1568237970.4454973
73,-1175.0507988938002,1568237972.4477427
74,-1184.2467135879344,1568237974.449561
75,-1193.6898655742482,1568237976.4519355
76,-1205.166663214701,1568237978.45368
77,-1223.1215325682429,1568237980.4575474
78,-1159.2155694961548,1568237984.5661805
79,-1241.856160629968,1568237991.6798189
80,-1241.7698553356256,1568237993.680147
81,-842.7848079325672,1568237996.7898498
82,-1060.6940928385902,1568237999.8955307
83,-1171.9698853836735,1568238001.8992198
84,-903.5409969444427,1568238006.0067136
85,-872.4453977633025,1568238008.0103328
86,-872.5091130363545,1568238010.013363
87,-1660.440629743945,1568238012.016376
88,-1327.4117229371038,1568238016.1244788
89,-856.1247858756188,1568238019.2315147
90,-1199.1012351356167,1568238029.3465703
91,-1187.892198562622,1568238034.4568186
92,-1189.0199184417725,1568238036.4587893
93,-1240.4540024463524,1568238039.5652564
94,-487.0186795319848,1568238043.6722183
95,-1199.1250862175195,1568238052.7851632
96,-799.6765375137329,1568238056.8917208
97,-1247.433673170938,1568238060.9986458
98,-1522.963523864746,1568238069.1116855
99,-1517.076849937439,1568238071.1147766
100,-1242.5104597891936,1568238074.222253
101,-1103.083380156553,1568238078.3307745
102,-941.0935436544025,1568238081.441958
103,-1092.3399256374967,1568238085.5500867
104,-1176.4635549309578,1568238089.657453
105,-1180.8757474627,1568238091.660056
106,-1184.089148562629,1568238093.6634657
107,-1198.2043916337248,1568238095.6661246
108,-1214.5213994304297,1568238097.669417
109,-1231.214604755014,1568238099.672801
110,-1253.166018901646,1568238101.6747482
111,-1276.2180628309131,1568238103.6779919
112,-1302.4021844995862,1568238105.6804397
113,-1653.944184189427,1568238109.7886267
114,-1178.6293889242243,1568238112.8961413
115,-1108.007592166116,1568238117.0051212
116,-1210.3477401167797,1568238120.1115973
117,-1142.5081377851145,1568238124.219115
118,-1231.6595115400426,1568238127.3252523
119,-1302.6949167251587,1568238130.4317942
120,-1240.2341285676396,1568238135.5421817
121,-562.5702578355127,1568238139.650492
122,-1181.4097904130242,1568238145.7621968
123,-793.410062789917,1568238149.8711312
124,-1238.1592682000528,1568238153.9796224
125,-996.6776816111413,1568238157.0860486
126,-906.9450127912606,1568238161.193417
127,-846.4356354225895,1568238165.301378
128,-992.9286886048454,1568238170.4117754
129,-1067.594433136171,1568238174.5223882
130,-1298.5130802992899,1568238179.631896
131,-1098.5193603433995,1568238182.7379456
132,-1268.7086321436864,1568238186.847581
133,-1240.3416550971576,1568238188.85006
134,-1146.5619213907987,1568238192.9601111
135,-1176.2671331859042,1568238197.0699797
