# iterator, reward, timestamp 
1,644.681771596,1568343333.333058
2,1361.60635948,1568343338.442383
3,1357.07660516,1568343340.444941
4,691.776037216,1568343345.554937
5,1357.55987962,1568343348.6623583
6,690.252343814,1568343351.7695954
7,1357.66601562,1568343355.8784149
8,1357.16998577,1568343359.9828093
9,689.284761747,1568343363.0902405
10,688.499172529,1568343365.093161
11,1357.04108079,1568343374.2095416
12,2029.5689106,1568343378.3179903
13,1355.06522655,1568343381.4263482
14,2022.3493576,1568343386.5351422
15,1357.1515878,1568343393.6482599
16,1359.10507043,1568343395.6514726
17,1014.90493615,1568343400.761461
18,790.424903234,1568343403.8691885
19,1250.50795078,1568343407.977499
20,1359.49897766,1568343414.0857575
21,813.740928968,1568343417.1934652
22,987.021883329,1568343419.1956198
23,962.098836899,1568343423.3063169
24,880.213499069,1568343425.3097134
25,1183.14691385,1568343427.3121126
26,959.810574849,1568343430.419008
27,826.119820277,1568343434.5274956
28,920.982082685,1568343437.6347077
29,1521.80695534,1568343441.7430708
30,1047.81123002,1568343445.8504822
31,1479.41243649,1568343449.9608858
32,1519.27471161,1568343451.9638171
33,1057.45593707,1568343456.0714378
34,501.986265182,1568343460.1773663
35,692.468802134,1568343466.2875683
36,1360.15689373,1568343470.3967202
37,1361.00681623,1568343472.4001386
38,693.175355593,1568343477.5106282
39,693.236788114,1568343479.5142703
40,693.736751874,1568343481.517453
41,290.360569954,1568343484.6256256
42,1020.53145568,1568343488.733192
43,972.08515803,1568343492.8430173
44,1030.59339523,1568343495.9490466
45,2030.45678139,1568343497.9534616
46,1358.80454381,1568343502.0610619
47,884.140928586,1568343507.170509
48,982.865134875,1568343511.2770722
49,938.632249832,1568343516.3867671
50,1522.93133736,1568343521.4977512
51,1025.5613327,1568343524.603948
52,1024.48340257,1568343526.6072779
53,751.403490702,1568343530.7156386
54,840.053637822,1568343535.8244019
55,529.478351275,1568343538.9321768
56,896.344304085,1568343544.041664
57,927.476922671,1568343547.1481142
58,926.690856616,1568343551.2539485
59,749.198675156,1568343555.3614292
60,689.857840538,1568343558.4693522
61,396.353006363,1568343561.5756936
62,1050.64503352,1568343565.6842728
63,1517.50338078,1568343569.7928946
64,1025.07952849,1568343575.9045835
65,675.671299299,1568343580.013214
66,692.192832629,1568343585.1220315
67,690.781434377,1568343587.123828
68,1358.78483454,1568343592.2334304
69,827.625393867,1568343595.3397558
70,958.214998245,1568343598.449265
71,974.766492844,1568343602.557578
72,1078.22096348,1568343606.6655824
73,896.932403247,1568343610.7736611
74,917.888085047,1568343612.7745502
75,1023.20253849,1568343614.7782161
76,639.210343361,1568343617.886862
77,550.420006116,1568343620.9932947
78,547.260483106,1568343622.9960852
79,692.010442416,1568343624.9991965
80,691.159407298,1568343627.002393
81,691.763559977,1568343629.0045898
82,686.049381892,1568343631.0078743
83,690.608382225,1568343633.0102034
84,691.301981608,1568343635.0125299
85,694.047013919,1568343637.0147536
86,694.97124354,1568343639.0171328
87,693.81248951,1568343641.0196311
88,691.52434667,1568343643.0224307
89,692.310571671,1568343645.0283468
90,693.680564562,1568343647.0309136
91,693.299452464,1568343649.0326142
92,692.032496134,1568343651.0355864
93,692.905942599,1568343653.0366907
94,691.968679428,1568343655.0408056
95,691.625952721,1568343657.043494
96,692.066987356,1568343659.0464587
97,692.974726359,1568343661.0480049
98,690.049807231,1568343663.0516653
99,692.897637685,1568343665.054301
100,692.531704903,1568343667.0577855
101,691.872596741,1568343669.0595827
102,692.902207375,1568343671.0618749
103,692.633191744,1568343673.0620794
