# iterator, reward, timestamp 
1,-29.0329644849,1568160537.6935163
2,-32.8690961351,1568160539.6964557
3,-41.5002957438,1568160541.7001364
4,-43.9391700147,1568160543.70311
5,-52.9408110881,1568160545.7067773
6,-56.0316855173,1568160547.7103486
7,-59.5546563302,1568160549.713523
8,-65.7197184556,1568160551.7159598
9,-521.305680275,1568160554.8221917
10,-1062.85899119,1568160558.9298801
11,-335.157182553,1568160563.0363061
12,-33.4157835062,1568160566.1414924
13,-36.8281084873,1568160568.143969
14,-40.3269193951,1568160570.146921
15,-47.3931425638,1568160572.149401
16,-50.6479678284,1568160574.1514032
17,-56.3113959971,1568160576.1538696
18,-24.7398636006,1568160579.2599976
19,-27.3687099284,1568160582.3657346
20,-222.217559814,1568160585.4699929
21,-949.509548909,1568160588.5758991
22,-24.3458393764,1568160591.6804113
23,-24.1317181843,1568160593.6837134
24,-24.2362513744,1568160595.6875088
25,-24.4797639166,1568160597.6901314
26,-24.5683066779,1568160599.6930916
27,-24.7891040161,1568160601.6967711
28,-25.1154515722,1568160603.6999934
29,-24.7180262107,1568160605.7028885
30,-24.4367614521,1568160607.7061052
31,-25.190091581,1568160609.7096865
32,-24.3621614291,1568160611.7123098
33,-24.0389780492,1568160613.7146952
34,-25.0555286937,1568160615.7175245
35,-23.9014406264,1568160617.7203753
36,-24.2347903242,1568160619.7233822
37,-24.4259137707,1568160621.726699
38,-25.7094591984,1568160623.730004
39,-24.616336853,1568160625.7331057
40,-24.5488088165,1568160627.7361662
41,-24.8894107319,1568160629.7383955
42,-25.1609197022,1568160631.74159
43,-25.0269906476,1568160633.744292
44,-24.7817712938,1568160635.7473292
45,-24.8291260857,1568160637.749322
46,-24.6473382931,1568160639.7526119
47,-24.196125146,1568160641.7555263
48,-25.2305757354,1568160643.758534
49,-24.6628305037,1568160645.761635
50,-24.3655997101,1568160647.7645905
51,-24.1464057982,1568160649.7676294
52,-25.1092935601,1568160651.7706656
53,-24.5573409746,1568160653.7737901
54,-24.8206857997,1568160655.776908
55,-24.4159561611,1568160657.7798235
56,-24.8588376278,1568160659.7828743
57,-24.5637244902,1568160661.785868
58,-24.8541579889,1568160663.7888129
59,-24.1861490254,1568160665.7918763
60,-24.7737561692,1568160667.795542
61,-24.271315618,1568160669.798284
62,-24.5215449931,1568160671.801601
63,-24.6222476695,1568160673.8047752
64,-24.9057415795,1568160675.808386
65,-24.4117376199,1568160677.8111289
66,-24.3999137145,1568160679.8140616
67,-25.2149879419,1568160681.817601
68,-24.5507095128,1568160683.820667
69,-24.1949152647,1568160685.823367
70,-25.0162412812,1568160687.8265867
71,-24.5985644797,1568160689.8290458
72,-24.7975377679,1568160691.8322997
73,-25.3822415721,1568160693.834379
74,-24.5629898787,1568160695.8364818
75,-24.2840290036,1568160697.8391821
76,-24.9798711296,1568160699.842112
77,-24.28027353,1568160701.8445938
78,-24.4226362693,1568160703.846993
79,-24.2439844078,1568160705.8496418
80,-24.6471523521,1568160707.8526223
81,-24.5905786044,1568160709.855521
82,-24.4533332152,1568160711.8583524
83,-25.4282696358,1568160713.8610196
84,-24.9294703827,1568160715.864469
85,-24.7540637058,1568160717.8664517
86,-24.9673264071,1568160719.869458
87,-24.8120198204,1568160721.8726487
88,-24.6179488503,1568160723.8756192
89,-24.8714174268,1568160725.8784533
90,-24.4471602,1568160727.8806238
91,-24.2233092135,1568160729.8834152
92,-24.219362291,1568160731.885628
93,-24.9523627094,1568160733.8881845
94,-24.2515208429,1568160735.890716
95,-24.3163969922,1568160737.892854
96,-24.5780480423,1568160739.8950684
97,-24.0798545944,1568160741.897381
98,-24.7733165574,1568160743.9002173
99,-25.6634517149,1568160745.902181
100,-25.7433832704,1568160747.9045238
101,-24.1947450073,1568160749.9075403
102,-25.2440632261,1568160751.910283
103,-25.2889811446,1568160753.913195
104,-24.4130586785,1568160755.9155948
105,-24.8611163398,1568160757.918042
106,-24.7999927175,1568160759.9196646
107,-22.1320716594,1568160761.9225173
108,-25.0916538787,1568160763.924834
109,-24.7432169262,1568160765.9278414
110,-24.3072247626,1568160767.9302547
111,-24.3648993831,1568160769.9326677
112,-25.325250849,1568160771.9353096
113,-24.2216240552,1568160773.9370615
114,-25.6511806042,1568160775.9392743
115,-24.8397532878,1568160777.941929
116,-24.7607482776,1568160779.9455519
117,-24.824569,1568160781.9478836
118,-23.675767811,1568160783.9517143
119,-22.8424161756,1568160785.954254
120,-22.8869978038,1568160787.956172
121,-23.0639208277,1568160789.9587443
122,-23.0884062891,1568160791.961711
123,-23.1966214126,1568160793.9646304
124,-23.3430788475,1568160795.967357
125,-23.4568833579,1568160797.9701371
126,-23.8093179074,1568160799.973427
127,-22.2832179564,1568160801.9760194
128,-21.9269498665,1568160803.978021
129,-21.739402463,1568160805.981228
130,-22.345008004,1568160807.984225
131,-21.9868410627,1568160809.9876063
132,-23.0121767447,1568160811.9909685
133,-22.3289429013,1568160813.9931145
134,-22.1399591663,1568160815.9954526
135,-22.3005969493,1568160817.9980469
136,-21.9937797562,1568160820.0014439
137,-21.9141000356,1568160822.0038035
138,-22.3194197737,1568160824.0065084
139,-21.8896259592,1568160826.0097234
140,-21.866917501,1568160828.0120947
141,-21.9382336609,1568160830.014305
142,-22.3755473511,1568160832.0165992
143,-22.312273641,1568160834.0192015
144,-21.9659663927,1568160836.0220628
145,-22.1664280111,1568160838.0249317
146,-22.0886110093,1568160840.027859
