# iterator, reward, timestamp 
1,-1548.97391796,1568188662.4471765
2,-1552.2840023,1568188664.4502769
3,-1551.92232132,1568188666.4549177
4,-1550.16589165,1568188668.4572062
5,-1542.78302193,1568188670.4592874
6,-1546.58293724,1568188672.46479
7,-1550.10104179,1568188674.4691358
8,-1550.26710033,1568188676.4720042
9,-1550.59874058,1568188678.4755595
10,-1553.8315773,1568188680.4784718
11,-1552.46436596,1568188682.4845312
12,-1545.08054256,1568188684.4880824
13,-1552.80637741,1568188686.4934402
14,-1547.34814167,1568188688.4971504
15,-1545.72379589,1568188690.5006983
16,-1546.09000683,1568188692.5052724
17,-1548.68245125,1568188694.510463
18,-1549.68261719,1568188696.512185
19,-1552.89721489,1568188698.5139942
20,-1551.36966705,1568188700.5191095
21,-1552.68442631,1568188702.5233617
22,-1547.8079319,1568188704.527589
23,-1550.30477047,1568188706.5321267
24,-1551.31781101,1568188708.5395849
25,-1547.88684845,1568188710.542595
26,-1544.58391666,1568188712.547318
27,-1548.62642288,1568188714.5516448
28,-1545.44365406,1568188716.5540414
29,-1547.98853397,1568188718.5600514
30,-1548.35355282,1568188720.5650456
31,-1546.54741287,1568188722.5699725
32,-1546.22268677,1568188724.5716968
33,-1547.71697521,1568188726.5747771
34,-1549.68976974,1568188728.5765114
35,-1556.36250973,1568188730.57792
36,-1554.32021618,1568188732.5839503
37,-1552.46007442,1568188734.5902233
38,-1555.64594269,1568188736.5925393
39,-1556.07736111,1568188738.5992029
40,-1552.15620995,1568188740.6016707
41,-1550.29666424,1568188742.6056519
42,-1543.77365112,1568188744.608883
43,-1550.68838596,1568188746.6124015
44,-1551.97548866,1568188748.6162999
45,-1548.79307747,1568188750.6196535
46,-1546.2269783,1568188752.62347
47,-1542.13917255,1568188754.6284647
48,-1554.4308424,1568188756.630151
49,-1547.12247849,1568188758.6371036
50,-1554.80909348,1568188760.6388958
51,-1551.32484436,1568188762.6418252
52,-1549.7418642,1568188764.643961
53,-1549.91221428,1568188766.6475532
54,-1549.6070385,1568188768.6536622
55,-1545.03965378,1568188770.6568012
56,-1553.47716808,1568188772.6622255
57,-1552.03461647,1568188774.667271
58,-1554.95655537,1568188776.6711192
59,-1554.41117287,1568188778.6738386
60,-1554.35204506,1568188780.6792774
61,-1545.86827755,1568188782.6821692
62,-1549.93855953,1568188784.684112
63,-1555.93490601,1568188786.6883862
64,-1552.64782906,1568188788.6929822
65,-1549.96931553,1568188790.6943598
66,-1545.13299465,1568188792.6970148
67,-1554.45504189,1568188794.6990921
68,-1551.92816257,1568188796.702984
69,-1552.50120163,1568188798.7047725
70,-1552.56688595,1568188800.710111
71,-1552.8550148,1568188802.7121553
72,-1550.20201206,1568188804.7158139
73,-1554.54289913,1568188806.7184186
74,-1547.39379883,1568188808.7218995
75,-1553.15089226,1568188810.7251577
76,-1550.55296421,1568188812.7294428
77,-1552.0427227,1568188814.7329757
78,-1547.37687111,1568188816.7364821
79,-1549.82674122,1568188818.7403612
80,-1551.4549017,1568188820.745136
81,-1549.59380627,1568188822.747106
82,-1554.08418179,1568188824.750074
83,-1552.15251446,1568188826.7518587
84,-1552.28471756,1568188828.7539697
85,-1553.59113216,1568188830.7560074
86,-1557.035923,1568188832.757952
87,-1552.51467228,1568188834.7601736
88,-1545.52650452,1568188836.7627559
89,-1554.37242985,1568188838.764766
90,-1555.09471893,1568188840.7676778
91,-1548.59852791,1568188842.76889
92,-1545.87650299,1568188844.7713726
93,-1548.2558012,1568188846.773895
94,-1549.88026619,1568188848.7767534
95,-1551.90682411,1568188850.7797697
96,-1549.33404922,1568188852.7815719
97,-1550.50826073,1568188854.7850153
98,-1555.67717552,1568188856.7878065
99,-1545.71938515,1568188858.789943
100,-1555.37879467,1568188860.7927535
101,-1549.00085926,1568188862.7969632
102,-1548.3123064,1568188864.7990346
103,-1556.30981922,1568188866.8024774
104,-1554.96799946,1568188868.804819
105,-1546.84185982,1568188870.8083837
106,-1554.52728271,1568188872.8120022
107,-1556.82182312,1568188874.814875
108,-1546.36847973,1568188876.8173375
109,-1549.41153526,1568188878.8196192
110,-1554.23390865,1568188880.8224833
111,-1553.5889864,1568188882.8258038
112,-1554.53753471,1568188884.8271425
113,-1555.61113358,1568188886.8304062
114,-1553.70020866,1568188888.8333
115,-1553.50542068,1568188890.8358939
116,-1553.82359028,1568188892.8390305
117,-1554.26323414,1568188894.842423
118,-1553.70736122,1568188896.8449054
119,-1554.26847935,1568188898.848013
120,-1550.45449734,1568188900.850423
121,-1554.43143845,1568188902.854802
122,-1556.37776852,1568188904.8573885
123,-1554.78107929,1568188906.86044
124,-1550.60589314,1568188908.8637137
125,-1544.67272758,1568188910.865499
126,-1552.82688141,1568188912.8689766
127,-1558.67910385,1568188914.8719423
128,-1551.60999298,1568188916.8732076
129,-1548.08974266,1568188918.875681
130,-1548.13945293,1568188920.8791177
131,-1555.04333973,1568188922.8824377
132,-1556.15401268,1568188924.8851197
133,-1551.12051964,1568188926.887351
134,-1549.39043522,1568188928.8906364
135,-1551.03981495,1568188930.8928678
136,-1552.46901512,1568188932.8958566
137,-1554.32868004,1568188934.898769
138,-1556.60831928,1568188936.9022174
139,-1557.27934837,1568188938.905166
140,-1555.03058434,1568188940.9081714
141,-1551.88381672,1568188942.911208
142,-1557.28161335,1568188944.9147387
143,-1551.81503296,1568188946.9172196
144,-1314.88859653,1568188948.9199681
145,-1543.08521748,1568188950.9223146
146,-1560.6867075,1568188952.9250145
147,-1560.05561352,1568188954.9279418
148,-1553.28154564,1568188956.9307058
149,-1555.36878109,1568188958.9343953
150,-1557.20448494,1568188960.938206
151,-1559.94486809,1568188962.9416695
152,-1553.46739292,1568188964.9450753
