# iterator, reward, timestamp 
1,-106.98916023149553,1568847163.0922475
2,-85.06578042072721,1568847166.1971977
3,-83.88943183218674,1568847170.2014368
4,-86.06741945438024,1568847173.2051418
5,-109.71312831132107,1568847176.310759
6,-70.93887463267195,1568847179.4167004
7,-52.65128801119048,1568847182.4209418
8,-36.99838796274491,1568847185.4249628
9,-29.34136719103267,1568847188.4305365
10,-29.537844413264818,1568847191.4347842
11,-26.896275478260737,1568847194.4395907
12,-31.02222969184273,1568847197.44417
13,-104.95978693785496,1568847200.550859
14,-72.05685155341392,1568847203.656879
15,-109.83113964689339,1568847206.7633357
16,-109.24223893091796,1568847209.766892
17,-127.47681140899658,1568847213.8746462
18,-105.57915734276786,1568847216.9817004
19,-86.35235225514016,1568847221.0881512
20,-108.6242698068538,1568847225.1957753
21,-69.24179986420299,1568847228.3011477
22,-102.18667984008789,1568847232.407101
23,-24.25786459268055,1568847235.5139349
24,-103.6074161529541,1568847238.6214256
25,-27.99783479158036,1568847241.7287204
26,-109.60648050920666,1568847244.8346894
27,-129.4797658920288,1568847249.943652
28,-104.88932737564598,1568847255.053312
29,-83.00625621140563,1568847258.1596437
30,-110.33197622001738,1568847261.2679875
31,-129.59039211273193,1568847267.3782365
32,-107.27182956311297,1568847271.4844506
33,-87.75717962749401,1568847274.5900013
34,-106.15841736940847,1568847279.6994383
35,-84.85277023170597,1568847282.804934
36,-85.38024962484714,1568847287.8105245
37,-107.27310180664062,1568847295.922588
38,-104.08997535705566,1568847301.9306448
39,-84.93915447911776,1568847306.0383637
40,-111.52996375633563,1568847310.1466644
41,-111.70321681977026,1568847313.150599
42,-87.19728130628229,1568847316.256377
43,-108.42929960048211,1568847322.3646924
44,-70.0371771081907,1568847325.46981
45,-50.40139930031773,1568847328.4719963
46,-35.91209477866939,1568847331.4769704
47,-27.82013892881802,1568847334.4802105
48,-27.96910901045198,1568847337.483391
49,-29.188127572955775,1568847340.4863172
50,-25.93949562496056,1568847343.4898844
51,-26.96194112749216,1568847346.493626
52,-28.520853069492354,1568847349.4974217
53,-27.752667403550124,1568847352.5013273
54,-26.513707714983376,1568847355.5052016
55,-28.241894894598467,1568847358.5101717
56,-27.160246130418468,1568847361.513403
57,-27.519565350333462,1568847364.5163586
58,-25.880964170224484,1568847367.519159
59,-29.008129178320043,1568847370.5223782
60,-28.07498818865871,1568847373.5270598
61,-28.188954573210573,1568847376.5303063
62,-28.91568362393767,1568847379.5336099
63,-29.226553732559474,1568847382.5376952
64,-103.25932502746582,1568847387.6480875
65,-87.39811493429862,1568847390.7543278
66,-105.68714141845703,1568847393.8613374
67,-29.335230526406402,1568847396.966993
68,-29.298300275869842,1568847399.970659
69,-28.91623344374021,1568847402.9734077
70,-28.96063444337028,1568847405.9774652
71,-29.94674485888709,1568847408.9809835
72,-29.42860038415744,1568847411.983856
73,-28.529274326885343,1568847414.986718
74,-29.58489549054962,1568847417.9903395
75,-28.32189779279195,1568847420.9938066
76,-28.172762870458257,1568847423.9988856
77,-28.36829038724243,1568847427.0037308
78,-27.925448661298528,1568847430.0063372
79,-26.951502001432246,1568847433.0100093
80,-27.85317504206127,1568847436.0174472
81,-31.19372056178704,1568847439.0225859
82,-31.63984661275268,1568847442.028392
83,-28.144485477734705,1568847445.0344653
84,-26.20523501478358,1568847448.042894
85,-25.76957428920937,1568847451.0467627
86,-27.67881773388367,1568847454.0516827
87,-27.739780926437376,1568847457.058415
88,-28.025547064495438,1568847460.064517
89,-27.3048335036985,1568847463.0679083
90,-27.291950859642327,1568847466.0735774
91,-27.453057262249263,1568847469.0794628
92,-28.24203595208809,1568847472.0828557
93,-20.693907912654822,1568847475.0917673
94,-27.352265663969902,1568847478.093665
95,-28.959641991243387,1568847481.0974808
96,-34.686703954106946,1568847484.1027215
97,-27.148736617481845,1568847487.107247
98,-27.39591968879012,1568847490.111448
99,-32.35555877275449,1568847493.1160502
100,-28.160556006825065,1568847496.1209233
101,-28.573274467118313,1568847499.125807
102,-28.212384125840313,1568847502.1308296
103,-28.450302258713283,1568847505.1354704
104,-29.594175690686953,1568847508.1403224
105,-28.54232645719454,1568847511.1443093
106,-27.895394274114267,1568847514.1490035
107,-27.262788370486728,1568847517.1537335
108,-28.646507826975416,1568847520.158115
109,-27.887914144913694,1568847523.1620524
110,-27.165346242569992,1568847526.166308
111,-28.543073144900546,1568847529.170836
112,-27.864824941507248,1568847532.1762471
113,-26.765730875596628,1568847535.1811981
114,-28.262360965839843,1568847538.1866949
115,-28.365049500418596,1568847541.191581
116,-29.711700335215017,1568847544.1968372
117,-29.43508989750719,1568847547.2015297
118,-26.222339336269993,1568847550.2058544
119,-28.881787613400437,1568847553.211069
120,-26.681260772937012,1568847556.2159226
121,-26.423704414177607,1568847559.2203884
122,-30.229226079673403,1568847562.2248106
123,-28.345430743072406,1568847565.2300904
124,-33.658994491054706,1568847568.2338138
