# iterator, reward, timestamp 
1,-890.155345662,1568329011.6980524
2,-1240.31118528,1568329013.7000935
3,-786.654629999,1568329016.805548
4,-694.342600766,1568329019.9096606
5,-1519.40727234,1568329027.0188863
6,-1517.95935631,1568329029.022364
7,-1241.27173128,1568329033.1299334
8,-1240.3941894,1568329035.132298
9,-975.120008617,1568329039.2400517
10,-1421.32639885,1568329042.345629
11,-1656.37655425,1568329048.4558935
12,-913.147855883,1568329053.563819
13,-590.309808496,1568329057.6722064
14,-2022.41241932,1568329061.7787178
15,-1655.06273469,1568329067.8883805
16,-2026.06332302,1568329071.996563
17,-1652.54001281,1568329077.104788
18,-1251.63139064,1568329081.2113981
19,-1086.45754819,1568329085.317016
20,-1165.03330149,1568329090.4244685
21,-799.576044083,1568329093.5297775
22,-1211.69528717,1568329096.6347988
23,-489.864322695,1568329100.741817
24,-1000.48309366,1568329102.744168
25,-1170.31686666,1568329105.8487813
26,-1636.00359538,1568329108.9547522
27,-1208.54836164,1568329113.0603187
28,-1256.18493557,1568329116.1656575
29,-1239.39565677,1568329121.2732334
30,-927.59836333,1568329124.3781435
31,-637.478786207,1568329126.3794627
32,-937.962487236,1568329128.3819747
33,-985.780719527,1568329131.4873455
34,-642.786156742,1568329134.5926611
35,-1030.49386274,1568329136.5953164
36,-1042.09528244,1568329139.7011473
37,-737.923043403,1568329142.8074417
38,-758.640944068,1568329147.9123662
39,-606.81650056,1568329152.0202088
40,-1085.58857441,1568329155.125791
41,-2024.71995354,1568329157.1275344
42,-1653.41920712,1568329162.2348635
43,-1653.51222827,1568329164.2371435
44,-1200.04345819,1568329167.34339
45,-982.431039335,1568329171.4508576
46,-1019.1523838,1568329174.5569882
47,-681.914742902,1568329177.6618044
48,-1170.8008824,1568329182.7696986
49,-1148.6629951,1568329184.7716053
50,-1588.36568979,1568329188.8775818
51,-1168.52110112,1568329191.9825368
52,-1176.92089081,1568329196.0881405
53,-1239.38134105,1568329201.1950824
54,-1237.7436745,1568329203.197262
55,-779.420355061,1568329207.3017266
56,-789.307398552,1568329212.4099126
57,-356.833769623,1568329215.5152564
58,-916.887179423,1568329218.6202219
59,-754.06238505,1568329221.7256284
60,-755.785148985,1568329226.833442
61,-550.896546727,1568329229.9386551
62,-757.797418424,1568329233.043194
63,-1043.16695709,1568329236.1491456
64,-773.47755325,1568329241.2564003
65,-708.185560047,1568329244.3609474
66,-545.659937293,1568329247.466131
67,-661.807783015,1568329249.4683917
68,-837.120351665,1568329251.4709148
69,-1185.68092746,1568329253.4739091
70,-976.950828341,1568329257.5796204
71,-827.327644075,1568329260.685426
72,-569.55060634,1568329264.7925632
73,-391.390198352,1568329268.898137
74,-491.946375595,1568329273.0036273
75,-605.045883083,1568329276.10691
76,-218.469443513,1568329279.2120862
77,-322.045701181,1568329282.3168275
78,-370.911981299,1568329285.4227424
79,-424.281388071,1568329289.528723
80,-527.820202916,1568329293.6357796
81,-425.858213347,1568329297.7432578
82,-435.593426315,1568329300.8493361
83,-366.460847413,1568329303.9556499
84,-407.180484877,1568329308.0624235
