# iterator, reward, timestamp 
1,1160.25050481,1568315512.7505472
2,1022.69077301,1568315519.8622782
3,1023.16749096,1568315521.8656914
4,769.715746244,1568315524.9718807
5,673.011461894,1568315529.07743
6,1520.27368546,1568315534.1848862
7,1014.529109,1568315538.2914207
8,508.028785388,1568315542.3987107
9,2034.2130661,1568315553.5111613
10,1360.02457142,1568315557.6167467
11,788.00034523,1568315560.7225924
12,834.563533465,1568315564.828017
13,689.39769268,1568315567.9326239
14,1347.40960598,1568315571.0375645
15,1356.1214606,1568315573.0399802
16,2028.72931957,1568315576.144535
17,1359.33419069,1568315580.251974
18,1360.08230845,1568315582.2542539
19,2024.96397495,1568315587.363781
20,1359.15768147,1568315595.4740791
21,688.375870387,1568315600.5822551
22,676.113168399,1568315602.5849245
23,557.258963585,1568315606.6908
24,1022.98883597,1568315611.7963793
25,726.006746292,1568315614.9016569
26,712.684869766,1568315618.007257
27,680.248816808,1568315622.1133575
28,594.23494339,1568315625.218825
29,509.55526034,1568315629.32552
30,921.228408813,1568315631.3281255
31,985.386808713,1568315635.4357007
32,766.449371974,1568315637.4380426
33,423.114577929,1568315641.5462031
34,688.660581907,1568315645.6521282
35,1333.92842611,1568315648.7555797
36,1357.15933641,1568315650.7577724
37,925.824205081,1568315654.8650234
38,634.776035945,1568315656.8679879
39,665.735244751,1568315660.9753351
40,550.14582475,1568315664.080337
41,950.062274933,1568315668.1861045
42,1522.98641205,1568315670.1873405
43,1015.52387079,1568315674.292826
44,938.73000145,1568315676.295202
45,1280.92038631,1568315680.4024754
46,1022.65326182,1568315685.509989
47,778.861641884,1568315689.6149533
48,773.874958356,1568315692.719926
49,503.358681997,1568315695.8253274
50,376.664876938,1568315698.9315207
51,562.573273977,1568315702.036777
52,424.613793691,1568315705.142102
53,415.293097496,1568315708.2472136
54,326.649268468,1568315711.3529382
55,355.337977409,1568315714.4576502
56,306.785504023,1568315717.5625813
57,357.961893082,1568315721.6690037
58,286.329944928,1568315725.7754614
59,378.715554873,1568315728.8810966
60,225.434740384,1568315731.9861927
61,401.417613029,1568315735.0911565
62,317.286690076,1568315738.1965194
63,362.000346184,1568315741.302547
64,312.143007914,1568315744.4088306
65,343.859910965,1568315747.513541
66,307.689388593,1568315750.6195781
