# iterator, reward, timestamp 
1,-75.34638639426838,1568548340.9933326
2,-24.777824467624217,1568548346.104987
3,-128.55374813079834,1568548352.2145913
4,-25.742593581667197,1568548357.3235974
5,-25.134473919620827,1568548359.3276253
6,-25.874339292385983,1568548361.329991
7,-26.5826373806994,1568548366.439891
8,-27.023157231911167,1568548368.442633
9,-25.835816912534373,1568548370.445782
10,-28.189166651616787,1568548372.4492571
11,-27.24936924706161,1568548374.4527254
12,-28.650944367049455,1568548376.455501
13,-27.031373849466778,1568548378.458404
14,-27.74566099226747,1568548380.4613166
15,-27.731257810001747,1568548382.4649405
16,-25.458093993940132,1568548387.575493
17,-26.2161470816538,1568548392.6857543
18,-27.65619577182531,1568548394.6878757
19,-27.61293274356436,1568548396.691703
20,-27.65900626527746,1568548398.6945505
21,-26.752417212521706,1568548400.6977174
22,-26.730409499187388,1568548402.701674
23,-28.096166262529117,1568548404.7056215
24,-26.701484698669013,1568548406.7090864
25,-27.437647384233667,1568548408.7128737
26,-25.696915748078872,1568548413.8268712
27,-129.3126344680786,1568548418.9366875
28,-24.613958530810418,1568548424.0473077
29,-29.14884339081005,1568548429.1574383
30,-25.96626533287809,1568548434.2687368
31,-27.365909462226334,1568548439.3794432
32,-25.85181526788086,1568548444.488803
33,-28.319751910770442,1568548449.5982232
34,-24.10883124172592,1568548454.7097034
35,-27.961952712654405,1568548459.819685
36,-25.469898224577715,1568548464.9328556
37,-28.081989663706896,1568548470.0431907
38,-23.561770463371353,1568548475.1536634
39,-28.371970633717023,1568548480.2644129
40,-25.346665630449827,1568548485.376583
41,-26.102328468566597,1568548490.487846
42,-24.125835626483187,1568548495.5973935
43,-27.671662160131568,1568548500.7078946
44,-30.012845993041992,1568548505.8182735
45,-27.94504165649414,1568548507.821437
46,-29.680967330932617,1568548509.8249435
47,-31.595349311828613,1568548511.8283193
48,-31.908512115478516,1568548513.831449
49,-30.812382698059082,1568548515.8346858
50,-29.506802558898926,1568548517.8377805
51,-31.206369400024414,1568548519.8412879
52,-27.62920109187955,1568548524.9507973
53,-24.738112186954258,1568548530.0619085
54,-28.236471181179255,1568548535.171623
