# iterator, reward, timestamp 
1,-64.6510829798,1568668464.0940988
2,-83.4168961483,1568668467.1988792
3,-84.5169004471,1568668471.303396
4,-110.052216726,1568668477.4129603
5,-68.6929624157,1568668480.5176349
6,-103.736519814,1568668483.6225395
7,-83.2817075701,1568668486.7277837
8,-105.599699596,1568668490.8348467
9,-69.3783720815,1568668493.9398196
10,-105.266486837,1568668497.0462248
11,-65.5553931725,1568668500.151795
12,-48.9420871723,1568668503.1547563
13,-106.202509147,1568668511.266763
14,-127.430558205,1568668515.3736587
15,-103.714508101,1568668519.4804254
16,-104.971111656,1568668522.4844084
17,-105.795518286,1568668527.4916127
18,-85.0146844099,1568668530.5963404
19,-106.097802006,1568668533.701809
20,-105.894749922,1568668537.706261
21,-85.4321335925,1568668541.8136141
22,-105.170205498,1568668544.918911
23,-87.0732551938,1568668548.0247371
24,-85.632084069,1568668551.029702
25,-104.861855507,1568668554.1348734
26,-106.343388557,1568668558.1379046
27,-28.2861014013,1568668561.2431467
28,-26.8830920808,1568668564.246626
29,-26.8847261473,1568668567.249762
30,-27.8108063674,1568668570.2537298
31,-27.6789233646,1568668573.2562346
32,-29.6839390308,1568668576.259839
33,-27.8462674359,1568668579.2635224
34,-26.5884064327,1568668582.266787
35,-26.2451722772,1568668585.2706165
36,-27.2328500698,1568668588.2743945
37,-27.7919720476,1568668591.2780235
38,-28.5772880922,1568668594.281521
39,-27.8128474803,1568668597.2844405
40,-27.3874141315,1568668600.2890105
41,-27.2347739888,1568668603.2920969
42,-27.9720353475,1568668606.295713
43,-27.766592531,1568668609.3003325
44,-108.334179889,1568668612.405744
45,-133.814096451,1568668616.513646
46,-106.88714544,1568668619.6208098
47,-131.37614727,1568668624.7277765
48,-108.494684637,1568668630.8354928
49,-105.962959149,1568668635.8422315
50,-87.5719826679,1568668641.9507082
51,-85.3877254192,1568668644.9543653
52,-106.696248055,1568668648.060361
53,-84.9962375498,1568668651.165625
54,-107.556169997,1568668654.271052
55,-86.7808673667,1568668657.3761125
56,-108.6006655,1568668660.481287
57,-108.664092822,1568668663.485503
58,-89.1418650719,1568668671.5974581
59,-88.5822250586,1568668675.6029775
60,-104.679226875,1568668680.7114394
61,-26.7480683652,1568668683.817606
62,-28.0847571048,1568668686.8217044
63,-28.8602371882,1568668689.8265688
64,-28.710869683,1568668692.8309321
65,-26.3688620923,1568668695.8369315
66,-27.1449564174,1568668698.8416965
67,-103.716850281,1568668701.9466667
68,-31.6430230403,1568668705.0525017
69,-28.0456937153,1568668708.0554998
70,-28.0521728625,1568668711.0589583
71,-28.9659552489,1568668714.062486
72,-27.8379508332,1568668717.0662038
73,-26.2878336549,1568668720.0690873
74,-27.190191572,1568668723.0730767
75,-27.7253902416,1568668726.0762284
76,-27.9890465737,1568668729.0811346
77,-27.8687718817,1568668732.0848777
78,-26.8373307925,1568668735.0873806
79,-27.5656392991,1568668738.0902553
80,-27.9726707776,1568668741.0951548
81,-29.1004433928,1568668744.0978067
82,-27.4824235085,1568668747.101087
83,-27.1304309742,1568668750.10511
84,-28.3076484059,1568668753.1088264
85,-29.0251011407,1568668756.1113884
86,-27.2608680599,1568668759.1149948
87,-26.9964296888,1568668762.1183608
88,-27.8981616357,1568668765.1220202
89,-27.6876213721,1568668768.1250424
90,-27.4857038947,1568668771.1289406
91,-27.6765970669,1568668774.1323166
92,-27.8722659805,1568668777.13519
93,-27.6763794509,1568668780.1393259
94,-27.2590144287,1568668783.1435368
95,-26.8140019892,1568668786.1474967
96,-27.8099126741,1568668789.1508527
