# iterator, reward, timestamp 
1,-79.5844115394399,1568599203.0612607
2,-27.005212109615226,1568599207.170113
3,-27.767017046074315,1568599208.1709673
4,-27.083616687771652,1568599209.1722865
5,-31.193440604397598,1568599213.2811005
6,-27.056049844317243,1568599217.390171
7,-32.69859655119783,1568599221.4998271
8,-41.258931159973145,1568599225.608995
9,-28.376999022309843,1568599229.7158344
10,-28.279974920475695,1568599233.82411
11,-26.961906552321377,1568599237.9321702
12,-25.443216283680236,1568599242.0435808
13,-36.27034432057422,1568599246.1522245
14,-28.53095531463623,1568599250.261443
15,-33.876895904541016,1568599251.2619016
16,-29.24420476506889,1568599255.3738396
17,-27.68196783308409,1568599259.4815428
18,-29.50976449361897,1568599263.5928283
19,-27.91533263930291,1568599267.7007267
20,-32.92693644576426,1568599271.810509
21,-37.631869316101074,1568599275.9186208
22,-31.406760215759277,1568599276.921268
23,-29.39785776053594,1568599281.030622
24,-26.647666390240328,1568599285.1384625
25,-31.679346442440945,1568599289.2481382
26,-30.509030881380923,1568599290.249925
27,-30.562281608581543,1568599294.3584857
28,-36.35895252227783,1568599295.3604722
29,-36.57829761505127,1568599296.3631675
30,-28.383759999317984,1568599300.4721754
31,-27.99223357983948,1568599304.5816722
32,-29.17032126202622,1568599308.6900558
33,-28.979049401065843,1568599309.6916726
34,-30.450940132141113,1568599313.8023188
35,-26.815836810081077,1568599317.913035
36,-27.364089959727583,1568599322.0212977
37,-137.46178150177002,1568599327.131201
38,-28.521184303117746,1568599331.2402186
39,-25.653553453923685,1568599335.3517773
40,-29.537121443461476,1568599339.461555
41,-26.31361260804601,1568599343.5723352
42,-27.51505208190109,1568599344.5740173
43,-28.89464097443648,1568599345.575232
44,-27.71048877561093,1568599349.6869314
45,-30.49441195436983,1568599353.7962112
46,-28.422250118309044,1568599357.905432
47,-30.28661363215737,1568599362.0131643
48,-30.640602111816406,1568599366.1221166
49,-31.017184257507324,1568599367.124114
50,-34.30384409970888,1568599371.2338622
51,-24.10428895852205,1568599375.3412101
52,-25.28804266278539,1568599376.3428524
53,-28.875241848354726,1568599377.343813
54,-27.23872045001527,1568599378.3465915
55,-29.622737147551447,1568599382.4565787
56,-35.120330686965126,1568599383.4589293
57,-27.64206401987,1568599387.5702934
58,-26.367590036228226,1568599388.5727398
59,-29.154143304241774,1568599392.6817715
60,-29.905361495094155,1568599396.7906063
61,-136.8633508682251,1568599402.9036117
62,-25.985981828751367,1568599407.0110106
63,-28.477028953720644,1568599408.0123332
64,-29.877683825381713,1568599412.1256247
65,-27.865594742359463,1568599416.2338343
66,-25.161890079534412,1568599417.235956
67,-127.63345241546631,1568599421.3449416
68,-27.168973044593365,1568599425.4533148
69,-30.150460510839057,1568599429.563339
70,-31.369328498840332,1568599433.6739178
71,-32.173465740293054,1568599437.782215
72,-27.05854894106526,1568599441.8896742
73,-140.60544967651367,1568599446.9994876
74,-31.366254903370805,1568599451.1100743
75,-32.11071853534779,1568599455.2184918
76,-33.22834144751897,1568599456.2209542
77,-32.83834457397461,1568599460.3298457
78,-28.95780743959648,1568599464.4401202
79,-27.219528565021644,1568599468.5485442
80,-134.99212265014648,1568599472.6591783
81,-30.81080585108907,1568599476.7694871
82,-27.920374403291046,1568599477.7702997
83,-26.73399137650741,1568599478.7711391
84,-28.68899317586534,1568599479.7736883
85,-31.450637619453076,1568599483.8846269
86,-26.626282865571543,1568599487.9950876
87,-31.703855271235344,1568599492.103848
88,-29.3278219023332,1568599493.1061413
89,-30.583937972891558,1568599494.1090887
90,-31.331472182551714,1568599495.111087
91,-29.23903871148128,1568599496.1124804
92,-29.875204551049777,1568599500.2210307
93,-31.108116917245287,1568599504.333807
94,-33.43516412371992,1568599508.4431489
95,-31.77216989831903,1568599512.5521317
96,-30.378467239851584,1568599516.659776
97,-29.992195154214286,1568599520.7703366
98,-29.08424515993085,1568599524.8810527
99,-27.481791557975097,1568599528.9895806
100,-27.18839132849014,1568599529.990463
101,-29.870069296250897,1568599534.0985196
102,-31.72185805572113,1568599538.2081182
103,-33.12852560224721,1568599542.3182948
104,-29.00005936886821,1568599546.4351733
105,-32.82797336578369,1568599550.5463963
106,-31.828726071616227,1568599554.6557388
107,-28.697320849645273,1568599555.6573224
108,-28.04522944098591,1568599556.6599395
109,-32.16172666127882,1568599557.662406
110,-28.622833309195556,1568599561.7760127
111,-131.14404678344727,1568599565.886185
112,-25.092319382101433,1568599569.9953198
113,-28.724970624768808,1568599574.103489
114,-25.271158503049268,1568599578.2113156
115,-28.108531946191363,1568599579.212244
116,-29.377726239249004,1568599583.3223813
117,-33.242225646972656,1568599587.4310987
118,-28.29031245085217,1568599591.5399182
119,-26.147614134803046,1568599595.6473901
120,-28.704425581860104,1568599599.7571123
121,-29.433012008666992,1568599603.8651397
122,-24.885169961948144,1568599607.9755058
123,-22.91362784996186,1568599612.0838184
124,-27.725016495803786,1568599616.1942716
125,-30.108332633972168,1568599620.3023846
126,-29.355863943427934,1568599624.412061
127,-28.997605925546434,1568599628.5219553
128,-31.11171594235232,1568599632.6293771
129,-30.11538134490871,1568599633.6331313
130,-32.914184110355656,1568599637.7429287
131,-27.969975194771926,1568599641.851181
132,-35.309923753387935,1568599645.9614217
133,-27.774548778462925,1568599646.9631817
134,-29.206521769222146,1568599651.0734594
135,-28.897415630610368,1568599655.1828568
136,-24.937627584686872,1568599656.1836662
137,-26.449675920891,1568599657.1832569
138,-32.18922388929451,1568599658.1857088
139,-30.99386498898054,1568599662.2933614
140,-29.875636100769043,1568599666.4017348
141,-30.719033256157484,1568599670.5114799
142,-27.623650403647016,1568599674.6221151
143,-131.31999969482422,1568599678.7289073
144,-30.02747918402993,1568599682.837728
145,-25.1455945961057,1568599686.9475317
146,-29.078269036724798,1568599691.0596979
147,-23.59588962475792,1568599692.060852
148,-28.49202508464414,1568599696.1712658
149,-23.579775533463483,1568599700.279363
150,-20.888826328416027,1568599704.3885536
151,-34.253597259521484,1568599708.4943416
152,-30.126214027404785,1568599709.4958932
153,-30.657291412353516,1568599710.4990973
154,-27.98545326822252,1568599714.6080976
155,-25.491225825797766,1568599718.718015
156,-25.52695385924242,1568599719.719719
157,-24.92027667227896,1568599723.8274736
158,-36.00573539733887,1568599727.9355679
159,-31.156282351842137,1568599732.0449064
160,-26.652153615280266,1568599736.153366
161,-23.178823842993648,1568599737.1566763
162,-24.307399615892503,1568599741.265661
163,-29.291249222670306,1568599745.3716638
164,-29.17199285561852,1568599749.481745
165,-33.15234184265137,1568599753.5908918
166,-27.269740794911744,1568599757.697755
167,-24.732283671114196,1568599761.8077688
168,-29.380781451404776,1568599762.8098695
169,-28.284293159882022,1568599766.9161186
170,-26.57853195899826,1568599771.0256684
171,-29.813252752187488,1568599772.0281699
172,-26.517773794900794,1568599776.1375504
173,-27.708134120532236,1568599780.2473452
174,-29.97214082549025,1568599784.3556073
175,-26.035487013230878,1568599788.46202
176,-32.99764044340849,1568599792.5707896
177,-33.11681404031728,1568599793.574104
178,-30.295564330448105,1568599797.6820593
179,-27.88418792422828,1568599798.6825993
180,-22.458840753751545,1568599799.6859202
181,-133.0587863922119,1568599803.7953033
182,-20.84681646230422,1568599807.9046762
183,-32.169342193199014,1568599812.0093458
184,-26.73882578931819,1568599816.1193626
185,-128.30698490142822,1568599821.228352
186,-26.083892556696497,1568599825.3384917
187,-32.55339114375703,1568599829.447681
188,-32.358646392822266,1568599833.556782
189,-32.770890607121125,1568599837.665848
190,-25.150647435914276,1568599841.7761157
191,-32.18942858573257,1568599845.8846204
192,-26.456356048583984,1568599849.9949596
193,-33.65893783503602,1568599854.1034596
194,-25.493736406601812,1568599858.2138615
195,-30.898441836549907,1568599859.2147696
196,-28.97609722057336,1568599863.3257399
197,-28.48135708264294,1568599864.3259513
198,-37.1243953704834,1568599868.4361105
199,-26.34563892131813,1568599872.5441246
200,-25.925435587406234,1568599876.6533768
201,-24.621492680267874,1568599877.6540499
202,-23.889153032555267,1568599878.6558287
203,-34.515406844376706,1568599882.7650266
204,-26.28486349081318,1568599886.8749707
205,-134.42397117614746,1568599890.983334
206,-30.750466053003883,1568599895.091875
207,-29.921119280790506,1568599899.200607
208,-25.33409046569445,1568599903.3092735
209,-29.79181459410781,1568599907.419607
210,-28.851664215370658,1568599908.4215498
211,-24.112797866226884,1568599912.5304956
212,-33.37343048822904,1568599916.6400585
213,-23.899574116395392,1568599920.7508593
214,-30.00954218325264,1568599924.859165
215,-24.351188636127603,1568599928.9671965
216,-35.21164111676644,1568599933.0801687
217,-27.617624904452224,1568599937.1889565
218,-28.738638849814407,1568599941.295529
219,-26.962158277019594,1568599945.404697
220,-28.50126504615107,1568599949.5153203
221,-30.281901359558105,1568599953.6229768
222,-30.906321165006297,1568599957.7319324
223,-24.99371767463393,1568599961.84016
224,-25.248852017559543,1568599965.9501367
225,-26.024045780811605,1568599970.059711
226,-22.931771333139338,1568599974.1696799
227,-23.564958372524774,1568599978.2807574
228,-27.184230497039852,1568599982.3914087
229,-28.262044327485828,1568599983.3922856
230,-37.45460510253906,1568599987.501533
231,-29.581605870406413,1568599991.608717
232,-31.87716007232666,1568599995.71625
233,-27.785400129577578,1568599999.8253982
234,-26.77199610279039,1568600000.8303232
235,-28.509116468653975,1568600004.9343228
236,-22.41509973211247,1568600005.935984
237,-27.806497675477754,1568600006.9373415
238,-28.863179084342303,1568600011.0472174
239,-30.323298396540675,1568600015.1580737
240,-30.11084386745847,1568600019.2676556
241,-22.259093745742774,1568600023.3769085
242,-28.55321793537129,1568600027.4873562
243,-24.629550796008385,1568600031.5954754
244,-27.866411794163852,1568600032.595501
245,-30.605848402702854,1568600036.7044199
246,-33.57803821563721,1568600040.813924
247,-30.6788700057979,1568600044.924394
248,-26.89252080346638,1568600045.9265223
249,-30.800223350524902,1568600050.0352066
250,-31.33159847493714,1568600054.1445553
251,-31.78536891937256,1568600058.25361
252,-26.9345514436023,1568600062.3629036
253,-23.071718297505505,1568600066.4739606
254,-30.827661082354663,1568600070.5809777
255,-24.25957036070838,1568600071.5822477
256,-28.363386195877485,1568600072.583886
257,-22.155941732987127,1568600076.692144
258,-23.078423203928246,1568600080.8010037
259,-31.52477741241455,1568600084.9083395
260,-28.415681069882073,1568600089.0165527
261,-26.982392707584186,1568600090.0187
262,-20.98265250993654,1568600091.0206554
263,-36.2721030684346,1568600092.0226185
264,-25.161170115999393,1568600096.1308846
265,-28.5991509551879,1568600100.2399452
266,-26.347281454498457,1568600104.3503418
267,-26.75579457329738,1568600108.4596684
268,-25.539723650897002,1568600112.5700924
269,-28.840075803699392,1568600116.6798954
270,-32.55355358123779,1568600120.7888021
271,-28.056747680408368,1568600124.8997414
272,-25.955812631871233,1568600129.008376
273,-25.363703564846684,1568600133.1184595
274,-32.51290321350098,1568600137.2251325
275,-31.27419948577881,1568600138.2264569
276,-31.468312235419383,1568600142.3349478
277,-29.72722053527832,1568600146.4448402
278,-30.99643571118797,1568600150.555468
279,-24.91440219539713,1568600154.664741
280,-24.560240063037256,1568600155.6663868
281,-26.931194977600867,1568600156.6694558
282,-28.167517937071942,1568600160.7794235
283,-26.775623452943194,1568600164.888818
284,-27.32338311614881,1568600168.996629
285,-12.922950150041174,1568600173.1044247
286,-31.0499772993421,1568600174.105746
287,-30.129383067702566,1568600178.2141938
288,-34.22497752511825,1568600179.2161133
289,-27.953407791353587,1568600183.325838
290,-28.760681223019237,1568600187.435696
291,-25.949251126044786,1568600191.5459852
292,-127.96163558959961,1568600195.6560006
293,-24.714564556537464,1568600199.7644238
294,-26.154909283393653,1568600200.766145
295,-25.720464252770533,1568600201.767959
296,-35.97176734757829,1568600202.7700408
297,-26.686903347981225,1568600206.8785915
298,-27.82063999184126,1568600210.9861822
