# iterator, reward, timestamp 
1,-65.5474885406,1568559452.8302886
2,-108.082629004,1568559454.8328915
3,-106.705164295,1568559456.83555
4,-85.7572552591,1568559461.944752
5,-108.719988298,1568559467.052514
6,-85.1735092024,1568559473.1607883
7,-88.9083957372,1568559479.2678082
8,-88.2009599077,1568559481.2703264
9,-87.0546056518,1568559483.2725832
10,-109.611674433,1568559490.3835373
11,-86.1823128916,1568559495.491619
12,-106.40001297,1568559500.6000106
13,-26.347617451,1568559505.7079494
14,-110.215182748,1568559516.8236551
15,-86.9689115412,1568559521.9316745
16,-108.623745988,1568559527.0434685
17,-85.9892890309,1568559532.1514297
18,-107.471227646,1568559539.2615588
19,-26.9165542183,1568559544.3697915
20,-109.285708151,1568559549.4777222
21,-107.248135021,1568559551.48042
22,-109.363175734,1568559553.4834683
23,-56.9578640473,1568559558.5932698
24,-107.817313296,1568559564.7040477
25,-131.861567497,1568559571.8149529
26,-106.793340066,1568559580.929251
27,-107.704966711,1568559582.9317284
28,-61.8156550516,1568559588.0404136
29,-106.575131416,1568559593.1495733
30,-104.434967041,1568559595.1530342
31,-83.4278672205,1568559601.2614183
32,-85.865025155,1568559603.264077
33,-106.180895392,1568559608.371412
34,-108.343883127,1568559610.3735511
35,-86.1020338297,1568559615.4828234
36,-108.646650167,1568559622.5946336
37,-133.139014244,1568559627.7043166
38,-106.207117768,1568559636.8138292
39,-85.6515527311,1568559643.9233565
40,-107.713793287,1568559652.0345876
41,-56.2454126946,1568559657.1434927
42,-44.3953034825,1568559659.1470056
43,-33.1477951413,1568559661.1499937
44,-25.7055552151,1568559663.1520298
45,-25.5585774299,1568559665.154815
46,-24.5824446236,1568559667.157351
47,-25.0890472633,1568559669.1600323
48,-24.8370865676,1568559671.1634068
49,-24.2103532926,1568559673.1657026
50,-23.810020585,1568559675.1686275
51,-26.7508260779,1568559677.170991
52,-23.1228677623,1568559679.1740723
53,-24.614834134,1568559681.176263
54,-24.5603065741,1568559683.1783924
55,-24.4875036332,1568559685.1807992
56,-25.0225253511,1568559687.1837556
57,-23.9455592104,1568559689.1869717
58,-25.2804689627,1568559691.1896744
59,-24.323608941,1568559693.1926713
60,-24.9241165803,1568559695.1956756
61,-24.9599758162,1568559697.1985006
62,-24.695301355,1568559699.2009459
63,-24.6084254211,1568559701.2046611
64,-24.9778858599,1568559703.2069232
65,-28.5912980323,1568559705.2086296
66,-24.0272807388,1568559707.2114584
67,-25.0145666752,1568559709.2145784
68,-24.3765462371,1568559711.2170453
69,-25.3300905136,1568559713.2194648
70,-24.1241418849,1568559715.221792
71,-26.4290137993,1568559717.2244983
72,-25.5314068136,1568559719.2267885
73,-25.2935712258,1568559721.2298477
74,-25.1362663316,1568559723.2327318
75,-23.9401919165,1568559725.2348874
76,-25.5839880681,1568559727.2377625
77,-22.7470912366,1568559729.2404034
78,-25.7345331847,1568559731.2434273
79,-24.1819735432,1568559733.245331
80,-22.8683791124,1568559735.2473474
81,-24.7573755627,1568559737.2492101
82,-25.4432303702,1568559739.2517722
83,-25.2062895266,1568559741.253998
84,-23.6838459665,1568559743.257653
85,-25.1256184268,1568559745.2607822
86,-24.0383827716,1568559747.2637398
87,-25.4558046922,1568559749.2667003
88,-24.9557882272,1568559751.269035
89,-25.9201827846,1568559753.2723653
90,-21.8944921381,1568559755.2745829
91,-24.9521378679,1568559757.276688
92,-24.1059751558,1568559759.2799432
93,-23.8745493373,1568559761.2826495
94,-25.0404848896,1568559763.285577
95,-23.9712292551,1568559765.2877178
96,-23.592240017,1568559767.2903092
97,-22.9720241687,1568559769.2922158
98,-25.8331405863,1568559771.295259
99,-25.0604338781,1568559773.2975914
100,-23.8396911116,1568559775.3000717
101,-24.7760610289,1568559777.3023417
102,-23.6646471477,1568559779.3044612
103,-25.6411091916,1568559781.307488
104,-24.2507508395,1568559783.3103747
105,-25.9038336825,1568559785.3125672
106,-24.0255745178,1568559787.3143923
107,-26.1970294765,1568559789.3173108
108,-24.7501734332,1568559791.3197663
109,-24.1867124197,1568559793.3226883
110,-24.0742734788,1568559795.3252747
111,-26.6120695467,1568559797.3276494
112,-24.463154753,1568559799.3301468
113,-24.37299957,1568559801.3327265
114,-24.799290128,1568559803.3354478
115,-23.7925898095,1568559805.3381648
116,-26.4190198185,1568559807.341198
117,-24.5562337772,1568559809.3439405
118,-24.8066521091,1568559811.3475626
119,-24.2701169537,1568559813.3501828
120,-23.6590102017,1568559815.3527927
121,-25.1088284227,1568559817.3552792
122,-24.136943645,1568559819.3575904
123,-26.1267995631,1568559821.359936
124,-23.9116896623,1568559823.36225
125,-24.2968021775,1568559825.3635156
126,-24.8791520591,1568559827.3651261
127,-24.7593706714,1568559829.3676665
128,-24.7327729435,1568559831.3702984
129,-23.8978735238,1568559833.3728764
130,-25.2387331182,1568559835.375645
131,-23.6124079306,1568559837.3780744
132,-24.7801924065,1568559839.379747
133,-24.6702111851,1568559841.3825393
134,-23.7852867386,1568559843.3851895
135,-24.7923146408,1568559845.3885984
136,-24.9073002648,1568559847.3907
137,-26.5209989476,1568559849.3931773
138,-24.1068646567,1568559851.3956733
139,-24.1724150992,1568559853.3975391
140,-24.9898348048,1568559855.4003472
141,-24.7232644751,1568559857.4033127
142,-24.7621958299,1568559859.405249
143,-23.6655372379,1568559861.406877
144,-24.9745788025,1568559863.4096384
145,-24.1915813876,1568559865.4113483
146,-25.1164527796,1568559867.4135828
147,-25.0215817771,1568559869.4157672
148,-23.7208133307,1568559871.4185832
149,-25.0735700239,1568559873.4204934
150,-24.1797671576,1568559875.4225216
151,-25.8226396062,1568559877.424657
152,-24.2971054687,1568559879.4263136
153,-25.4035484986,1568559881.4283319
154,-23.8938032778,1568559883.4303257
155,-24.6922315373,1568559885.432741
156,-23.7184630912,1568559887.435042
157,-25.4292238814,1568559889.437634
158,-24.2420505219,1568559891.4400556
159,-24.9942816953,1568559893.4429224
160,-25.5106001112,1568559895.4447799
161,-23.838490271,1568559897.4476917
162,-24.8859397534,1568559899.4502883
163,-24.8960436713,1568559901.4525535
164,-25.9131216742,1568559903.4548378
165,-25.2756744726,1568559905.4569445
166,-24.4840580078,1568559907.4588695
167,-24.9296382326,1568559909.4606154
168,-24.0762351916,1568559911.4627678
169,-23.5372430085,1568559913.4650905
170,-23.8319480499,1568559915.4676018
171,-25.3897118989,1568559917.4706206
172,-24.2873080151,1568559919.4730885
173,-25.463212044,1568559921.4756284
174,-24.244604359,1568559923.476984
175,-24.1676099336,1568559925.4796793
176,-25.1233844341,1568559927.4817421
177,-26.8683419339,1568559929.4842768
178,-24.4358517382,1568559931.4867783
179,-23.5208877664,1568559933.4889588
180,-24.5585823765,1568559935.4911542
181,-22.7615184463,1568559937.4941065
182,-25.8037765322,1568559939.496389
183,-23.3594598612,1568559941.4981475
184,-25.056222552,1568559943.4998899
185,-24.8332945712,1568559945.5030267
186,-24.565540622,1568559947.5050848
187,-25.9407498627,1568559949.5073588
188,-23.5657450071,1568559951.5102715
189,-24.2757286572,1568559953.512008
190,-24.1467334284,1568559955.514126
191,-24.6762112451,1568559957.5162673
192,-24.3219871852,1568559959.5184767
193,-24.7690155938,1568559961.5209339
194,-24.6540967824,1568559963.5234296
195,-23.7193950138,1568559965.5252213
196,-26.3254466564,1568559967.5283465
197,-24.2484550935,1568559969.53115
198,-25.8849219496,1568559971.5328426
199,-24.4955653198,1568559973.534304
200,-24.9696717044,1568559975.5371764
201,-24.2067255534,1568559977.5396295
202,-25.1518418827,1568559979.5427182
203,-24.4790525278,1568559981.5455213
204,-25.2942613159,1568559983.5479257
205,-23.8187434759,1568559985.5508378
206,-25.6669771591,1568559987.5523896
207,-24.5672764608,1568559989.555161
208,-24.3857820181,1568559991.5574286
209,-25.3073139627,1568559993.5602558
210,-23.1768158413,1568559995.5643969
211,-23.7618805943,1568559997.5674505
212,-24.1278239205,1568559999.5715573
213,-23.7156811048,1568560001.5749485
214,-25.5019274622,1568560003.5793996
215,-23.4222046864,1568560005.5837588
216,-24.1758268468,1568560007.5877776
217,-23.6860359385,1568560009.5916944
218,-24.7419997055,1568560011.5945272
219,-24.4373793432,1568560013.5972714
220,-23.5004646915,1568560015.6017485
221,-24.4909279843,1568560017.6058345
222,-25.0729507791,1568560019.609851
223,-25.6687192148,1568560021.6140747
224,-24.7381460876,1568560023.6172464
225,-25.8350172774,1568560025.6197505
226,-23.5492773912,1568560027.623283
227,-25.6520107985,1568560029.6278036
228,-23.7738308346,1568560031.6309335
229,-25.3989527808,1568560033.6359453
230,-24.9361456916,1568560035.6393392
231,-23.5519047025,1568560037.6425302
232,-25.5905808272,1568560039.64671
233,-23.6299451775,1568560041.6507936
234,-27.1473601905,1568560043.6543958
235,-25.0135829185,1568560045.6586967
236,-23.3035827977,1568560047.662899
237,-25.3645615634,1568560049.6661553
238,-24.1157752035,1568560051.6704602
239,-25.9576751267,1568560053.6749616
240,-23.6970316854,1568560055.6785934
241,-25.2780312528,1568560057.6824775
242,-24.5256349049,1568560059.6856604
243,-24.5336877723,1568560061.691296
244,-24.7519721593,1568560063.6964974
245,-23.9308766411,1568560065.6989937
246,-26.0564125712,1568560067.7040105
247,-23.590076377,1568560069.7081316
248,-24.611024934,1568560071.712821
249,-23.1608445171,1568560073.7172692
250,-24.3058254039,1568560075.722214
251,-24.2804381697,1568560077.7253025
252,-23.6298658105,1568560079.7296903
253,-24.2272755689,1568560081.7336936
254,-24.3997618213,1568560083.737238
255,-24.3314445838,1568560085.7415776
256,-25.1883996616,1568560087.745509
257,-24.1593183915,1568560089.7501163
258,-23.3589237361,1568560091.754901
259,-24.7546023596,1568560093.7590709
260,-23.9480886183,1568560095.763245
261,-25.6149711302,1568560097.767105
262,-22.9622307799,1568560099.7723134
263,-23.9656523889,1568560101.7763507
264,-24.4566156667,1568560103.7808785
265,-23.3136585994,1568560105.7855923
266,-25.7961866228,1568560107.7897332
267,-23.5933064833,1568560109.7921267
268,-25.5464155437,1568560111.7965581
269,-25.1786435601,1568560113.801205
270,-23.6945346986,1568560115.8049366
271,-25.9447431711,1568560117.809198
272,-23.864072705,1568560119.8142896
273,-23.9260110836,1568560121.8170202
274,-25.0013048789,1568560123.820461
275,-24.0181525863,1568560125.8248487
276,-24.7214835279,1568560127.8297443
277,-24.6234796908,1568560129.833281
278,-22.9984073992,1568560131.8371947
279,-24.7804055332,1568560133.843612
280,-27.2387185912,1568560135.8481405
281,-22.7862498544,1568560137.8506658
282,-24.708277033,1568560139.8538835
283,-23.5696734846,1568560141.8582482
284,-22.3344653822,1568560143.8612592
285,-23.4342344047,1568560145.8644187
286,-23.9233128267,1568560147.870008
287,-24.2917945764,1568560149.8726912
288,-21.8316823997,1568560151.8784306
289,-22.8333786436,1568560153.882133
290,-24.2966313756,1568560155.8867123
291,-26.9705572243,1568560157.890597
292,-28.4183687558,1568560159.8939593
293,-30.5206637048,1568560161.8977044
294,-27.4889976824,1568560163.9011037
295,-28.0645311571,1568560165.9042792
296,-27.5076490647,1568560167.907541
297,-27.7631296289,1568560169.9106283
298,-108.514949789,1568560175.0187469
299,-57.164383036,1568560180.126602
300,-45.776824701,1568560182.1292288
301,-34.2330771119,1568560184.131329
302,-28.828371962,1568560186.1342607
303,-26.6026352936,1568560188.1361508
304,-30.6861575012,1568560190.138325
305,-26.5851912309,1568560192.1406748
306,-29.8465780324,1568560194.143172
307,-28.0546743496,1568560196.1464148
308,-28.8844495296,1568560198.1490846
309,-26.7895073666,1568560200.1514509
310,-28.134166883,1568560202.1532025
311,-27.9362138033,1568560204.156018
312,-28.1681330574,1568560206.1584105
313,-27.6909251916,1568560208.1599004
314,-27.369981018,1568560210.1623213
315,-28.5377984628,1568560212.164951
316,-28.6001762824,1568560214.1679578
317,-27.5197804814,1568560216.1698709
318,-27.8498064956,1568560218.1728852
319,-27.8077600294,1568560220.1752422
320,-27.1795987282,1568560222.1777627
321,-28.5357320624,1568560224.179887
322,-27.2813714803,1568560226.1824806
323,-29.730800517,1568560228.184437
324,-27.9758721667,1568560230.1870136
325,-28.1012423165,1568560232.189135
326,-28.1608686936,1568560234.1912572
327,-26.9595278029,1568560236.1937938
328,-29.6988953967,1568560238.1967516
329,-26.9463107352,1568560240.1987274
330,-28.9175116331,1568560242.2020626
331,-27.1547784829,1568560244.204147
332,-27.5435117728,1568560246.2062533
333,-27.5644302564,1568560248.2091134
334,-27.1204774881,1568560250.2112956
335,-29.1368359335,1568560252.2133977
336,-27.87379372,1568560254.2157385
337,-28.3081122209,1568560256.2190874
338,-27.6843002029,1568560258.2215579
339,-27.9473995048,1568560260.2242277
340,-27.7884725777,1568560262.2271771
341,-27.3728205837,1568560264.2300322
342,-27.262992297,1568560266.2320538
343,-28.0578352298,1568560268.2342577
344,-26.7460807688,1568560270.2369833
345,-28.7968469673,1568560272.2393937
346,-27.013227415,1568560274.2419949
347,-28.2038702454,1568560276.2435365
348,-27.7392813346,1568560278.246859
349,-27.9632580515,1568560280.2496362
350,-27.4125465668,1568560282.2526097
351,-28.4494370269,1568560284.253768
352,-27.656419323,1568560286.2570052
353,-28.2410036178,1568560288.2600176
354,-28.7310991042,1568560290.2624614
355,-27.6730962461,1568560292.2641945
356,-28.2049516789,1568560294.265789
357,-27.3443556297,1568560296.268188
358,-27.5089424132,1568560298.2706542
359,-26.5567712454,1568560300.2732656
360,-26.895505705,1568560302.2756305
361,-27.2840673513,1568560304.278184
362,-28.3426911846,1568560306.280679
363,-29.7778571462,1568560308.2826552
364,-27.7167107866,1568560310.2848775
365,-28.1968806359,1568560312.287138
366,-28.5859408239,1568560314.2892299
367,-27.102280079,1568560316.2915618
368,-29.4550699388,1568560318.29399
369,-27.0559196253,1568560320.2967174
370,-29.5260724328,1568560322.298469
371,-27.5384538006,1568560324.300477
372,-28.2911881625,1568560326.302935
373,-26.9480382655,1568560328.3053222
374,-28.7191513087,1568560330.3070412
375,-26.8174822459,1568560332.308578
376,-28.8255459933,1568560334.3116097
377,-26.7623214271,1568560336.3142273
378,-27.3059005459,1568560338.317389
379,-28.5902502673,1568560340.319173
380,-27.2704925323,1568560342.3233736
381,-29.0222548393,1568560344.3258638
382,-26.5688131683,1568560346.3286283
383,-28.1864578712,1568560348.3308103
384,-28.0912982399,1568560350.3327165
385,-28.8096419917,1568560352.3347626
386,-27.4200457913,1568560354.3372118
387,-28.1516726746,1568560356.3395433
388,-26.9819722239,1568560358.3417296
389,-27.5139514737,1568560360.3444786
390,-27.5011469932,1568560362.346805
391,-27.5263419937,1568560364.348563
392,-26.9583123607,1568560366.3517332
393,-27.3053446459,1568560368.354258
394,-26.499078388,1568560370.356086
395,-27.1944020474,1568560372.359128
396,-27.9327480528,1568560374.36197
397,-27.170514507,1568560376.3641107
398,-28.111641402,1568560378.3663945
399,-27.0640989199,1568560380.3687296
400,-28.0368346902,1568560382.3707652
401,-29.2318003606,1568560384.373576
402,-27.9589588113,1568560386.375882
