# iterator, reward, timestamp 
1,26.4792641004,1568552991.2860732
2,24.4504610697,1568552993.2895443
3,28.5343726476,1568552995.2923615
4,26.6522963842,1568552997.2938654
5,28.2123088837,1568552999.2944853
6,26.7285108566,1568553001.2995296
7,27.2297064463,1568553003.3017282
8,26.8286069234,1568553005.3045204
9,27.9580354691,1568553010.4146292
10,28.3009211222,1568553015.523228
11,21.7444499334,1568553020.6357198
12,24.9013503393,1568553025.7455661
13,23.299296697,1568553030.8513644
14,30.2934646606,1568553035.9638822
15,19.9055274328,1568553041.0721612
16,28.5564661026,1568553046.1824346
17,26.2867212296,1568553051.2938595
18,26.3936122259,1568553056.4020183
19,22.1072832743,1568553061.5104544
20,27.7671416601,1568553066.620956
21,23.606856664,1568553071.7322237
22,24.9467293421,1568553076.8426223
23,30.3678512573,1568553078.8466144
24,23.6863692602,1568553080.8501446
25,26.6230503718,1568553082.8521788
26,27.0967086156,1568553084.8555028
27,26.8592834473,1568553086.8582802
28,23.8757530848,1568553088.865232
29,26.6414880753,1568553090.8692791
30,25.4371166229,1568553092.870171
31,28.2026529312,1568553097.9785025
32,26.9707043966,1568553103.0908444
33,24.0807533264,1568553108.201116
34,26.1462132136,1568553113.3115332
35,21.8448638916,1568553118.4196422
36,25.9896119436,1568553123.5290465
37,21.7100779215,1568553128.6398451
38,25.5816777547,1568553133.748114
39,24.8679717382,1568553138.8567638
40,24.6724685033,1568553143.966683
41,26.1148611705,1568553145.969133
42,27.1053314209,1568553151.0776815
43,21.7431386312,1568553153.0783553
44,25.3117879232,1568553155.0815272
45,17.5208250682,1568553157.0847363
46,23.1835444768,1568553159.0866597
47,23.3016411463,1568553161.0901623
48,25.6374279658,1568553166.1999965
49,26.0473489761,1568553171.30877
50,25.2474149068,1568553176.4215307
51,23.5726833344,1568553181.5312397
52,25.7885456085,1568553186.639605
53,24.5730479558,1568553191.7479408
54,24.9746243159,1568553196.858105
55,22.708217303,1568553201.9693432
56,22.4585930506,1568553207.0776632
57,22.8569507599,1568553212.1875243
58,24.0307648977,1568553217.2951581
59,28.5799105962,1568553222.4020376
60,29.1392803192,1568553227.5144515
61,28.2216469447,1568553232.6247337
62,27.3217360179,1568553237.73583
63,30.6140184402,1568553242.8453045
64,27.8168916702,1568553247.9545758
65,25.8063475291,1568553253.065908
66,27.8429985046,1568553258.175376
67,28.9472341537,1568553263.2858515
68,27.4739265442,1568553268.395005
69,33.2120656967,1568553273.5064702
70,26.6923507055,1568553278.6163423
71,30.5422544479,1568553283.7276738
72,27.8706947962,1568553288.8359375
73,31.7528247833,1568553293.944965
74,28.1795660655,1568553299.0562592
75,33.9678525925,1568553304.1661437
76,27.2301832835,1568553309.2730212
77,24.5895783106,1568553314.3816586
78,28.8994312286,1568553319.4907303
79,25.692542394,1568553324.5999115
80,28.4601847331,1568553329.7091057
81,26.1040528615,1568553334.8167028
82,25.722026825,1568553339.9235508
83,24.959007899,1568553345.0329633
84,26.7279545466,1568553350.1424544
85,29.6888748805,1568553355.2524076
86,134.874582291,1568553360.3600166
87,25.7524649302,1568553365.4709606
88,27.2285540899,1568553367.4730272
89,25.5683263143,1568553369.4760966
90,22.3993062973,1568553371.477398
91,27.1262725194,1568553376.5863743
92,26.7097155253,1568553378.5884864
93,28.3966461817,1568553383.6995134
94,26.1373519897,1568553385.702347
95,30.0982793172,1568553390.8131344
96,26.4804363251,1568553395.9228866
97,24.1939226786,1568553401.027291
98,25.1601139704,1568553406.1356869
99,26.7938375473,1568553411.2446604
100,25.1605510712,1568553416.3539808
101,28.5336573919,1568553421.4624834
102,22.763689359,1568553426.5680532
103,29.8946698507,1568553431.6728601
104,30.5391550064,1568553436.7817428
105,28.6535024643,1568553441.8927455
106,27.028520902,1568553447.0009644
107,127.925038338,1568553452.1112018
108,26.566584905,1568553457.2225144
109,28.2237529755,1568553462.333184
110,30.0488471985,1568553467.4420207
111,29.0528138479,1568553472.552033
112,36.1039638519,1568553477.658023
113,27.9791752497,1568553482.7689476
114,27.8519789378,1568553484.772277
115,24.1887172063,1568553489.8822086
116,27.1219412486,1568553491.8853319
117,28.1960964203,1568553496.9929411
118,30.2382707596,1568553502.102219
119,29.8136472702,1568553504.105383
120,36.149263382,1568553506.108299
121,31.4050912857,1568553511.2173765
122,31.9561958313,1568553516.327339
123,31.0000975927,1568553521.438095
124,24.8418649038,1568553526.5459173
125,28.1637907028,1568553531.657922
126,26.890039444,1568553536.767332
127,29.2687813441,1568553541.8795922
128,25.5090792974,1568553546.986765
129,25.3899892171,1568553548.9920516
130,23.7259864807,1568553550.9938881
131,28.5955270131,1568553556.1038702
132,25.8980989456,1568553561.2117312
133,26.8249511719,1568553566.3217099
134,25.5675713221,1568553571.4335983
135,25.1034895579,1568553573.4357047
136,25.4633029302,1568553575.4379416
137,28.9239088694,1568553580.5479596
138,27.5271733602,1568553582.55087
139,29.6216011047,1568553584.5534208
140,27.8486808141,1568553586.5537753
141,25.7529020309,1568553588.5561209
142,26.3558626175,1568553593.6672494
143,25.3208875656,1568553595.670478
144,29.162367185,1568553600.7814045
145,27.3170471191,1568553605.8907945
146,129.669904709,1568553611.001758
147,132.133722305,1568553613.0044916
148,22.8006045024,1568553618.1112828
149,32.7705542247,1568553623.2199335
150,26.0676145554,1568553628.3305628
151,25.4530906677,1568553630.333445
152,25.4923502604,1568553632.3363662
153,24.8939196269,1568553634.340177
154,136.514306068,1568553641.452592
155,26.5152057012,1568553646.5622478
156,24.3035157522,1568553651.6704686
157,30.3254127502,1568553656.7817593
158,28.5291274389,1568553661.8914857
159,24.2607990901,1568553667.001715
160,25.0691572825,1568553669.0048482
161,28.7094116211,1568553674.1135726
162,27.2713899612,1568553679.2237325
163,29.3322006861,1568553684.3307948
