# iterator, reward, timestamp 
1,-118.35092747,1568960016.4249265
2,-84.7200285748,1568960020.5321465
3,-86.1451270931,1568960023.6348274
4,-106.362700462,1568960026.741492
5,-85.2674885174,1568960030.8489976
6,-86.6192624008,1568960033.8520331
7,-111.921634126,1568960038.9595459
8,-88.0728004661,1568960042.0665638
9,-109.04186741,1568960045.1724205
10,-109.093097188,1568960048.176115
11,-72.1409844963,1568960051.2834148
12,-104.198217392,1568960055.3903425
13,-28.47808191,1568960058.4955735
14,-28.9018803959,1568960061.4991565
15,-108.419089667,1568960064.6045988
16,-70.6159388378,1568960067.7099094
17,-108.486819947,1568960070.8159523
18,-130.707979202,1568960078.9311757
19,-105.391012769,1568960083.038106
20,-71.8630687979,1568960086.144687
21,-106.406715366,1568960089.2505639
22,-107.164431684,1568960092.2545958
23,-130.777835846,1568960095.3608599
24,-129.796743393,1568960100.3678694
25,-104.547262538,1568960103.4742932
26,-130.079030991,1568960106.5791724
27,-107.422517946,1568960109.685638
28,-84.7553107959,1568960112.7917702
29,-110.325408977,1568960118.903663
30,-88.4177709392,1568960123.0105152
31,-86.8803739927,1568960126.0145507
32,-108.285430174,1568960129.1209068
33,-86.9782904106,1568960134.2298954
34,-108.715295792,1568960138.3367116
35,-87.533592799,1568960141.4430556
36,-106.729910389,1568960144.5475793
37,-107.303584676,1568960147.5517652
38,-86.0276922602,1568960151.6587732
39,-106.369287622,1568960154.7642384
40,-135.251283646,1568960160.8745105
41,-108.616349149,1568960165.9833846
42,-71.1638728619,1568960169.090645
43,-54.4563536778,1568960172.094179
44,-105.991532905,1568960175.2001975
45,-129.27532196,1568960179.3062181
46,-107.225799469,1568960184.4141839
47,-87.005354199,1568960187.5224357
48,-105.568170547,1568960195.633656
49,-107.345461845,1568960198.636759
50,-28.3870210144,1568960201.742769
51,-29.4443999751,1568960204.7465165
52,-27.6504972396,1568960207.7503564
53,-26.7386127573,1568960210.7530997
54,-27.6447030201,1568960213.7560344
55,-27.9917774459,1568960216.7587857
56,-27.7896614205,1568960219.7625053
57,-28.4387190023,1568960222.7665932
58,-28.0001795855,1568960225.7700853
59,-26.9362451396,1568960228.7721965
60,-27.2163720639,1568960231.7750518
61,-28.6819306327,1568960234.778132
62,-27.0331921659,1568960237.7819645
63,-26.9990582641,1568960240.7859955
64,-27.9270355996,1568960243.789178
65,-27.7152749275,1568960246.791435
66,-28.2970977769,1568960249.7944012
67,-28.2978605958,1568960252.7967565
68,-26.6606893242,1568960255.8005245
69,-27.1929987161,1568960258.804251
70,-29.146232992,1568960261.8084412
71,-28.7075006311,1568960264.8120184
72,-26.2259694498,1568960267.8151617
73,-26.7922665773,1568960270.8188047
74,-28.0587304309,1568960273.8218136
75,-29.1375823685,1568960276.8248665
76,-26.4358951964,1568960279.8290389
77,-27.2185218506,1568960282.8353672
78,-27.8654554355,1568960285.8425632
79,-28.945988603,1568960288.8494196
80,-28.4894235916,1568960291.8560684
81,-27.4467441444,1568960294.8624048
82,-27.9166798504,1568960297.8685582
83,-29.3298077754,1568960300.8741467
84,-27.5464325045,1568960303.8808997
85,-27.9099978028,1568960306.8884964
