# iterator, reward, timestamp 
1,-96.7246294022,1569029264.546946
2,-97.8412628174,1569029268.5508296
3,-70.3710478733,1569029290.6760328
4,-68.3743953705,1569029293.7811768
5,-70.0980742479,1569029297.8881261
6,-68.4829950333,1569029300.9936705
7,-69.4437142381,1569029304.0998297
8,-98.3058214188,1569029312.2098446
9,-67.5740250736,1569029316.315426
10,-68.4957475552,1569029324.3225234
11,-93.9861536026,1569029328.430214
12,-75.3601664089,1569029331.5351343
13,-83.4657638686,1569029334.5391855
14,-82.3939598536,1569029338.545263
15,-98.8936424255,1569029357.6669135
16,-80.8352887144,1569029361.7727299
17,-68.0468082428,1569029365.8791797
18,-51.981269745,1569029368.9837182
19,-98.0100631714,1569029374.0909185
20,-23.6632919241,1569029378.1978025
21,-69.0425634384,1569029381.304111
22,-67.577123642,1569029386.3102083
23,-52.5695364879,1569029390.4169176
24,-66.0500073889,1569029393.4199753
25,-83.7929807558,1569029396.4241288
26,-66.9791698456,1569029400.5297456
27,-66.3948059082,1569029403.5337782
28,-50.3579273427,1569029407.640624
29,-66.9029951096,1569029414.751834
30,-69.7544076846,1569029417.857912
31,-70.1556102917,1569029422.863154
32,-68.1891441345,1569029429.9727838
33,-67.1291351318,1569029435.9778817
34,-68.073510472,1569029439.0829747
35,-69.2043669057,1569029445.0898194
36,-96.9158411026,1569029450.1981504
37,-68.079610168,1569029458.3101432
38,-66.8070316315,1569029463.4179184
39,-56.1913294309,1569029468.5265124
40,-99.2901325226,1569029479.6401882
41,-75.0588976499,1569029482.7466273
42,-68.1420564651,1569029489.8552017
43,-67.9123401642,1569029494.8609297
44,-68.8345286945,1569029498.9669015
45,-96.1917638779,1569029504.0740268
46,-100.030064583,1569029512.0833175
47,-100.516557693,1569029526.1008592
48,-67.7468652126,1569029529.2055333
49,-67.1056520516,1569029532.2075121
50,-92.8164720535,1569029537.3155928
51,-79.4136170916,1569029540.421416
52,-81.1431712545,1569029543.4249957
53,-97.4658727646,1569029548.535053
54,-67.7594506128,1569029552.6436296
55,-66.9407844543,1569029557.752185
56,-49.2448833799,1569029560.8577456
57,-66.6289329529,1569029563.963568
58,-65.8540725708,1569029568.9694843
59,-70.2564310888,1569029575.0789368
60,-68.6948616391,1569029578.0829577
61,-66.9000148773,1569029586.1938403
62,-49.786335097,1569029589.299158
63,-69.7290411088,1569029593.3039021
64,-68.4739351273,1569029596.4093387
65,-68.1692361832,1569029604.4180567
66,-49.9869636613,1569029607.523455
67,-67.6885843277,1569029612.6320453
68,-70.1404816493,1569029616.739539
69,-67.045211792,1569029619.8462503
70,-56.2866659755,1569029624.9530385
71,-70.4301429815,1569029627.956967
72,-66.8069124222,1569029633.0626373
73,-51.0906342787,1569029636.167754
74,-98.7722873688,1569029640.2741582
75,-81.8410389432,1569029643.3795812
76,-68.9333677292,1569029648.487791
77,-69.3234205246,1569029653.4938574
78,-67.9817960711,1569029660.6049807
79,-69.8292335907,1569029663.609353
80,-99.2342233658,1569029666.7141473
81,-65.6002885143,1569029671.8232021
82,-67.9587758955,1569029675.8276875
83,-67.2314167023,1569029678.9352589
84,-51.0935858852,1569029683.0427694
85,-64.8869808113,1569029686.0462527
86,-66.3834810257,1569029692.1549447
87,-67.3372745514,1569029697.1603434
88,-69.8403587401,1569029702.2664597
89,-69.8132228434,1569029705.2688286
90,-97.8742837906,1569029708.3733883
91,-99.547624588,1569029722.3908172
92,-69.1885208442,1569029730.5018008
93,-68.6271190643,1569029733.6081374
94,-52.8826077305,1569029737.7149584
95,-67.0298337936,1569029740.820096
96,-53.3800083417,1569029744.9273567
97,-73.3226006848,1569029748.9327862
98,-97.288608551,1569029752.0388682
99,-74.193585494,1569029756.145572
100,-67.4459934235,1569029759.2511613
101,-70.0321338987,1569029767.3614767
102,-66.6033029556,1569029770.4670477
103,-49.7806450752,1569029773.5722957
104,-66.9113397598,1569029776.677924
105,-66.4439201355,1569029779.6806204
106,-49.8590384745,1569029782.786364
107,-67.0298337936,1569029787.8953693
108,-65.1755332947,1569029790.899659
109,-58.1312342888,1569029796.0081835
110,-79.9878559356,1569029800.0129972
111,-67.5014257431,1569029805.1225858
112,-69.64889611,1569029832.2526164
113,-70.9251497353,1569029836.2567432
114,-67.6702260971,1569029839.3625338
115,-58.5343348087,1569029844.4704804
116,-70.1818466187,1569029849.5783153
117,-68.5625288745,1569029855.68796
118,-97.9022979736,1569029866.8034625
119,-66.6524999168,1569029872.9139054
120,-66.7442083359,1569029876.018995
121,-67.4670934677,1569029880.0247602
122,-48.9527465601,1569029883.1321883
123,-66.5390491486,1569029887.2393594
124,-59.1531675507,1569029892.3468547
125,-65.5881166458,1569029896.4532378
126,-66.4978027344,1569029900.4574974
127,-63.7378820859,1569029906.5658116
128,-67.2799348831,1569029910.6733487
129,-49.4187853368,1569029913.7794838
130,-59.8472075363,1569029916.783697
131,-79.6852146561,1569029920.7895179
132,-66.3582086563,1569029923.8950331
133,-53.1763889667,1569029928.0014231
134,-66.7539834976,1569029933.1099963
135,-50.7025540534,1569029937.2162144
136,-65.4755830765,1569029940.322932
137,-50.1080281117,1569029943.429193
138,-65.1117563248,1569029946.534765
139,-61.8450286764,1569029952.6448207
140,-64.5532608032,1569029956.7520988
141,-48.5109647751,1569029959.8578238
142,-65.1023387909,1569029963.9660127
