# iterator, reward, timestamp 
1,66.6961967945,1569099614.6545136
2,101.696968079,1569099618.659356
3,102.290630341,1569099623.6647127
4,147.979617119,1569099629.7733016
5,194.165468216,1569099633.8810155
6,197.456121445,1569099643.89297
7,116.331338882,1569099648.0008266
8,101.311922073,1569099652.1088982
9,143.194973469,1569099660.2203784
10,196.024417877,1569099686.3581572
11,145.734906197,1569099691.4671297
12,146.230757236,1569099698.4766743
13,99.8206138611,1569099701.5844488
14,144.674360752,1569099708.694833
15,97.7098941803,1569099713.8021362
16,100.090265274,1569099716.8049908
17,99.352478981,1569099720.8091552
18,147.888302803,1569099728.9226875
19,148.506820202,1569099732.92871
20,102.082133293,1569099738.0371902
21,146.778225899,1569099745.1475077
22,199.282050133,1569099753.259013
23,146.836280823,1569099764.3738282
24,62.3219609261,1569099772.3837817
25,199.041724205,1569099789.5085475
26,208.297252655,1569099822.5473857
27,145.321965218,1569099828.6580365
28,104.408383369,1569099836.769746
29,101.720333099,1569099840.7736366
30,145.608365536,1569099843.8793774
31,146.90220356,1569099850.8874643
32,103.694677353,1569099855.9962485
33,149.404704571,1569099874.1212053
34,148.917615414,1569099881.1282275
35,103.043198586,1569099885.2364056
36,101.652741432,1569099888.2397885
37,148.676693439,1569099895.35088
38,195.702910423,1569099899.4577534
39,147.027134895,1569099908.5696416
40,145.553648472,1569099915.5772884
41,105.156898499,1569099919.6840918
42,103.902935982,1569099922.687268
43,146.725952625,1569099926.794637
44,193.261623383,1569099929.8989596
45,194.47016716,1569099940.911644
46,146.844863892,1569099955.027718
47,103.638291359,1569099959.1342468
48,104.008197784,1569099966.142363
49,149.782121181,1569099971.2494252
50,106.870412827,1569099974.3551002
51,105.957508087,1569099979.3614404
52,147.444248199,1569099983.468015
53,148.74380827,1569099990.477294
54,103.584051132,1569099995.5865707
55,103.853106499,1569100002.5971012
56,148.984968662,1569100008.7058702
57,202.342152596,1569100022.8223283
58,148.318529129,1569100026.9295282
59,147.132575512,1569100030.9353735
60,192.509293556,1569100040.0473013
61,107.334196568,1569100049.1591434
62,62.9720687866,1569100057.169395
63,148.189783096,1569100063.176046
64,104.934096336,1569100069.2843838
65,103.450417519,1569100074.2921495
66,149.16741848,1569100083.4046474
67,103.230953217,1569100089.5146627
68,104.040384293,1569100097.525349
69,103.388905525,1569100103.532437
70,103.081464767,1569100109.5394788
71,147.654652596,1569100116.6502872
72,151.006221771,1569100126.6630998
73,102.287173271,1569100129.7690644
74,148.755252361,1569100137.8805711
75,103.782296181,1569100141.9875054
76,103.478550911,1569100150.9965444
77,103.685259819,1569100153.9992135
78,103.577613831,1569100159.0043013
79,102.385878563,1569100164.009269
80,103.776574135,1569100170.0161989
81,146.520614624,1569100186.1356854
82,103.021740913,1569100189.2405148
83,104.839682579,1569100206.256237
84,150.322020054,1569100222.3753023
85,151.47382021,1569100232.3856208
86,104.355812073,1569100239.496738
87,103.499293327,1569100252.5128267
88,106.598496437,1569100261.5238075
89,108.366012573,1569100267.5307386
90,108.367204666,1569100282.546718
91,109.815478325,1569100289.5545077
92,149.901270866,1569100300.670371
93,200.249433517,1569100310.784468
94,201.977610588,1569100314.7887943
95,146.891355515,1569100322.899011
96,194.608330727,1569100333.0138357
97,119.722962379,1569100337.1218758
98,102.950334549,1569100341.2294466
99,102.601051331,1569100345.2348514
100,104.076385498,1569100354.2481637
101,146.835923195,1569100357.3532598
102,148.51307869,1569100363.3588846
103,101.030111313,1569100366.4646354
104,102.295398712,1569100369.4676943
105,103.23870182,1569100372.4717662
106,103.47533226,1569100376.4751248
107,103.036761284,1569100384.4831605
108,103.960633278,1569100387.485876
109,105.863809586,1569100404.5043764
110,106.500029564,1569100410.5105846
111,104.274868965,1569100413.513759
112,106.901168823,1569100416.5167465
113,106.650233269,1569100421.5220556
114,108.813524246,1569100430.5322301
115,108.04104805,1569100436.5383554
116,109.540104866,1569100443.545769
117,110.301971436,1569100450.5534513
118,111.220002174,1569100461.5651362
119,148.55837822,1569100480.6860359
120,103.09946537,1569100485.7937555
121,149.922132492,1569100495.908865
122,100.086569786,1569100499.015488
123,103.251457214,1569100507.027244
124,102.64480114,1569100514.0365012
125,104.190707207,1569100525.0508063
126,103.03580761,1569100531.0597734
127,104.220747948,1569100534.0635636
128,104.423165321,1569100539.0692475
129,105.707526207,1569100544.0766144
130,104.12800312,1569100555.0917923
131,107.399582863,1569100563.1027067
132,107.944369316,1569100571.111885
133,108.427882195,1569100577.1197734
134,108.56628418,1569100580.1235611
135,106.314778328,1569100583.1271865
136,107.731461525,1569100589.1369069
137,110.416173935,1569100599.1492245
138,110.360264778,1569100608.1591077
139,111.648917198,1569100613.1660178
140,112.646222115,1569100624.181576
141,112.240195274,1569100630.1886125
142,112.290143967,1569100637.197684
143,112.10000515,1569100640.2021585
144,110.20565033,1569100644.207062
145,113.152265549,1569100648.2123885
146,110.778927803,1569100651.2164226
147,112.787604332,1569100656.2225835
148,114.226937294,1569100663.2315998
149,148.442208767,1569100669.342607
150,198.92513752,1569100681.4632125
151,199.618935585,1569100685.4709506
152,108.691692352,1569100694.5836558
153,108.354389668,1569100698.5891502
154,101.370692253,1569100701.6949437
155,99.9842882156,1569100704.6984155
156,102.882385254,1569100715.710919
157,102.115750313,1569100718.714348
158,102.063417435,1569100721.7178082
159,102.311730385,1569100724.7213573
160,102.456092834,1569100727.724676
161,103.587627411,1569100735.7330644
162,104.345560074,1569100739.7369168
163,104.852795601,1569100749.7497563
164,103.381156921,1569100756.758257
165,106.891274452,1569100765.7682672
166,104.798197746,1569100769.7725449
167,106.933832169,1569100777.7827616
168,108.680486679,1569100785.7904568
169,109.593272209,1569100793.800456
170,108.163833618,1569100797.8047893
171,110.681176186,1569100805.8141844
