# iterator, reward, timestamp 
1,-47.642287235557326,1570397465.024632
2,-73.22075076912584,1570397469.130204
3,-64.62912942993039,1570397475.2380323
4,-49.588084883203834,1570397478.3433168
5,-41.44993958899462,1570397485.455071
6,-62.684006139625644,1570397490.5623503
7,-52.40640791701948,1570397497.6728075
8,-79.8150957890166,1570397501.781019
9,-71.49213873623435,1570397508.9496818
10,-88.0950329023774,1570397515.0002272
11,-80.50595195274293,1570397518.1085515
12,-70.12930715972347,1570397521.2151625
13,-71.47220838563304,1570397524.3179674
14,-53.757604209284544,1570397533.432024
15,-66.91998146630328,1570397544.5478334
16,-73.82820383957446,1570397547.6565888
17,-81.14400364315934,1570397557.769398
18,-89.79098720703057,1570397561.879523
19,-73.22261508623924,1570397564.9830704
20,-77.63806504647116,1570397568.988782
21,-58.81016861010569,1570397574.0968964
22,-42.62283222286196,1570397577.201689
23,-43.547169810574516,1570397581.2056408
24,-53.194548721974556,1570397587.315865
25,-61.9182573409986,1570397591.321498
26,-51.71837617900602,1570397595.4272778
27,-57.04152584075928,1570397600.536305
28,-70.75284451536443,1570397613.6500182
29,-74.24910460910365,1570397617.7582285
30,-64.60256805603562,1570397620.862066
31,-68.7444570955486,1570397624.971193
32,-63.35616182645724,1570397631.0868828
33,-65.79443297830541,1570397636.1953459
34,-83.34309563468524,1570397642.302294
35,-85.10198322598336,1570397647.3120978
36,-79.23468456650694,1570397650.4138656
37,-62.94912612071075,1570397658.5273492
38,-67.76033764010911,1570397665.6374002
39,-57.718930307876285,1570397669.7441652
40,-54.47675910463482,1570397677.8551066
41,-52.54593679087651,1570397686.9688888
42,-56.087493896484375,1570397690.0754416
43,-50.09921766983438,1570397701.19259
44,-41.88387926660534,1570397707.3029766
45,-42.352224308056726,1570397711.3046906
46,-59.042688185360404,1570397715.4140096
47,-64.61011077882793,1570397718.5170176
48,-65.9280755377951,1570397723.6243184
49,-72.352452384882,1570397730.7346187
50,-63.519917025613715,1570397733.8403513
51,-72.18381733972524,1570397744.953224
52,-76.02061302860314,1570397754.066757
53,-76.96434572708942,1570397764.0795383
54,-62.01824258168691,1570397768.1972296
55,-49.951830364220626,1570397772.2985873
56,-65.89779521788498,1570397777.4072802
57,-55.101477426329076,1570397787.518968
58,-71.03234083084956,1570397790.5234306
59,-66.78769993869436,1570397793.628923
60,-75.3120030200181,1570397798.737919
61,-93.76726792973307,1570397819.862965
62,-106.7420244216919,1570397822.9679384
63,-92.9438060487361,1570397827.0733302
64,-95.4538742720057,1570397843.191099
65,-89.4641653980761,1570397854.304695
66,-72.70798865584027,1570397858.4134128
67,-73.98190037596049,1570397861.4178274
68,-56.86980659088875,1570397864.525043
69,-60.11366765911207,1570397869.6336508
70,-85.06858290511968,1570397884.7576814
71,-75.85880761161815,1570397887.8608165
72,-72.60939942770551,1570397891.9677887
73,-73.20377075708149,1570397896.973139
74,-65.44150920599085,1570397904.0858185
75,-82.03490253888245,1570397907.1889234
76,-85.722609106296,1570397912.2968411
77,-72.6600112901458,1570397917.4070442
78,-69.26293509117734,1570397920.5132854
79,-49.2391299347108,1570397923.6207943
80,-52.811951997546394,1570397927.7277808
81,-81.6746733254168,1570397931.8320198
82,-50.226397359217444,1570397935.9403048
83,-80.70322996582159,1570397943.0525515
84,-81.93764818585059,1570397946.1590827
85,-88.08830050138198,1570397950.2661793
86,-86.62592209662294,1570397954.3731835
87,-97.90688715397185,1570397973.496566
88,-101.01277546409024,1570397985.510324
89,-109.23302173614502,1570397999.6272345
90,-95.01657998381437,1570398005.7356856
91,-80.36417859383621,1570398008.84387
92,-53.7926089143268,1570398011.951565
93,-87.39294971402207,1570398015.0590377
