# iterator, reward, timestamp 
1,-528.27942406,1568372618.1806707
2,-1237.62706149,1568372622.2885408
3,-663.968028017,1568372626.397322
4,-354.177271181,1568372629.5040424
5,-340.335062515,1568372632.6121185
6,-201.17834388,1568372635.7170506
7,-243.206777883,1568372638.8246374
8,-196.176881477,1568372641.9292593
9,-225.07852211,1568372645.0349565
10,-266.396280813,1568372649.145185
11,-325.460314278,1568372653.2550218
12,-141.876696495,1568372656.361909
13,-132.921763613,1568372659.4677672
14,-1290.94982147,1568372662.5746417
15,-1655.96493573,1568372667.6846995
16,-1186.55846209,1568372670.7898371
17,-969.333494709,1568372672.7931895
18,-583.283418233,1568372675.9010952
19,-738.428181933,1568372679.007679
20,-562.754072385,1568372682.1154785
21,-1077.80873775,1568372686.2210162
22,-1660.1479857,1568372692.3305812
23,-1174.92797582,1568372695.43577
24,-899.09529686,1568372698.5453198
25,-1229.32480931,1568372701.6498313
26,-909.615139826,1568372705.758167
27,-472.468616009,1568372708.8640816
28,-575.833914599,1568372711.9726107
29,-1231.43422604,1568372715.079911
30,-1654.01627506,1568372718.187295
31,-2031.94403648,1568372721.293486
32,-1654.98117767,1568372724.399817
33,-2030.53116798,1568372729.5084963
34,-1658.26911408,1568372736.6201541
35,-684.89215557,1568372741.7303386
36,-204.584875082,1568372744.8344357
37,-787.700974072,1568372747.9405875
38,-468.617427103,1568372751.0469208
39,-800.707265436,1568372756.1560557
40,-826.279044151,1568372759.2619824
41,-1239.02010727,1568372763.3712032
42,-816.339905299,1568372767.4793434
43,-917.813899259,1568372770.5878828
44,-659.794874373,1568372772.5904586
45,-621.919814237,1568372774.5937817
46,-878.533362101,1568372776.5965073
47,-846.908711843,1568372779.7035456
48,-849.010317637,1568372782.8098428
49,-382.694785516,1568372784.812494
50,-593.664359566,1568372786.8148
51,-1040.94791412,1568372789.921351
52,-1243.11653064,1568372793.030084
53,-1243.03507081,1568372795.0322888
54,-572.773297386,1568372799.1432178
55,-805.543626237,1568372804.2543025
56,-439.968038045,1568372808.3637478
57,-886.943091613,1568372810.3664978
58,-1656.68767244,1568372812.370075
59,-644.658183834,1568372817.479956
60,-791.798464343,1568372821.5867112
61,-1515.188694,1568372824.6930041
62,-1647.33260078,1568372829.8005414
63,-2021.37351036,1568372832.9082918
64,-1655.98556412,1568372836.0136144
65,-1178.14469492,1568372839.1220686
66,-695.37369484,1568372842.2282312
67,-622.481999472,1568372847.3383887
68,-877.229920258,1568372851.4443116
69,-1141.73586962,1568372856.5534937
70,-1063.60185146,1568372860.6635737
71,-1031.95597943,1568372865.7730072
72,-1059.99839306,1568372868.8801103
73,-1214.20030161,1568372872.988674
74,-1294.38984394,1568372877.0973415
75,-1240.7255619,1568372881.2067003
76,-637.640298222,1568372885.3140314
77,-469.99819264,1568372888.4213283
78,-330.792308252,1568372892.5315945
79,-140.706139783,1568372895.6389976
80,-132.09261791,1568372898.7462952
81,-222.514666046,1568372901.8521261
82,-1406.62491322,1568372905.9614906
83,-1209.3246669,1568372910.0699384
84,-1272.0669508,1568372914.1793609
85,-1242.15774704,1568372918.2877226
86,-637.941993514,1568372922.3952057
87,-465.253907498,1568372925.5025103
88,-778.702259064,1568372928.6090207
89,-1242.79299679,1568372933.7184598
90,-1522.73225784,1568372938.8288805
91,-1037.24793919,1568372943.938691
92,-1071.08569145,1568372947.0469072
93,-1241.84294747,1568372952.1562092
94,-1241.45013466,1568372954.1588237
95,-1519.70374584,1568372958.2670674
96,-1243.37590278,1568372969.383628
97,-1237.93205165,1568372971.3860762
98,-1523.23365211,1568372982.5027983
99,-1244.3245168,1568372986.6103737
100,-1129.19437885,1568372989.7186933
101,-1241.76327209,1568372993.826824
102,-666.29716415,1568372997.9340322
103,-353.65994394,1568373001.040203
104,-338.500052391,1568373004.1481519
105,-413.733947097,1568373006.1496243
106,-747.590293718,1568373008.1529315
107,-438.988012299,1568373012.2597222
108,-554.352868237,1568373015.3674903
109,-999.227372415,1568373017.3703685
110,-996.560945442,1568373019.3748038
111,-2030.95924854,1568373022.4814258
112,-1658.97699769,1568373026.5908113
113,-1141.87503389,1568373031.7014184
114,-1107.71405697,1568373035.8084393
115,-1242.44628753,1568373043.9206073
116,-1242.5929093,1568373045.9242797
117,-829.360048025,1568373049.0329583
118,-556.025255753,1568373052.140003
119,-619.401180938,1568373055.2473884
120,-323.56687289,1568373058.354417
121,-773.883461952,1568373061.4622912
122,-1237.62812533,1568373065.57264
123,-648.035139241,1568373069.6802773
124,-370.240558537,1568373072.7864463
125,-798.33256936,1568373076.8933825
126,-905.376368954,1568373080.0006592
127,-879.081531957,1568373083.1079905
128,-1216.29313341,1568373087.2185302
129,-545.842260207,1568373090.324051
130,-343.463348323,1568373093.4306786
131,-228.909707878,1568373096.5393481
132,-673.167347908,1568373099.6455576
133,-1654.16841258,1568373104.754872
134,-1176.91260449,1568373107.861391
135,-952.678552086,1568373111.9696114
136,-2031.0049057,1568373118.0821745
137,-1651.50770941,1568373121.1890268
138,-2029.13665771,1568373125.2978053
139,-2033.48708153,1568373127.2995598
140,-1661.96252736,1568373131.410464
141,-1205.66603869,1568373135.5178905
142,-525.47947689,1568373138.6221619
143,-649.399668486,1568373140.625023
144,-977.909225883,1568373142.6288755
145,-1304.0033684,1568373144.632685
146,-977.382598703,1568373148.7441394
147,-455.18440755,1568373151.8511858
148,-414.453390915,1568373154.9579604
149,-134.255524848,1568373158.0664208
150,-219.310106457,1568373161.1744068
151,-1402.58944035,1568373165.2809062
152,-1240.16781234,1568373168.39042
153,-904.96613766,1568373171.4968925
154,-655.800736183,1568373174.603518
155,-493.197850795,1568373178.7123125
156,-933.358502047,1568373180.7160044
157,-627.694180674,1568373185.8257735
158,-325.97680612,1568373189.9346278
159,-143.845086446,1568373193.0410247
160,-307.681260248,1568373196.147829
161,-871.2030366,1568373199.2545035
162,-461.077900658,1568373202.3608632
163,-375.300605159,1568373205.4671226
164,-239.11295046,1568373208.5747948
165,-197.357473556,1568373211.6819782
166,-420.50010138,1568373213.6839366
167,-498.594442797,1568373216.7926335
168,-820.972844754,1568373220.9017787
169,-356.404763331,1568373225.0100486
170,-268.103338005,1568373228.1179006
171,-288.23809359,1568373231.2254455
172,-450.020831987,1568373233.2288866
173,-332.35426031,1568373236.3373423
174,-259.678857509,1568373239.444068
175,-198.637400203,1568373242.5504975
176,-236.570306829,1568373245.658232
177,-200.882288321,1568373248.7653468
178,-413.902251512,1568373250.7693796
179,-347.914069723,1568373254.87876
180,-258.176411107,1568373258.9876175
181,-173.188573871,1568373262.0928013
182,-584.704995155,1568373265.1988645
183,-1423.15459251,1568373267.2008677
184,-1655.14038449,1568373270.308196
185,-2023.81956577,1568373274.4179308
186,-1654.33080539,1568373279.5257936
187,-1178.26456837,1568373282.6317937
188,-1150.31848979,1568373286.742965
189,-808.741713647,1568373291.8499613
190,-342.747390733,1568373295.9580388
191,-139.6215383,1568373299.0621037
192,-146.737299125,1568373302.1678703
193,-234.960272166,1568373305.275018
194,-276.231215694,1568373308.3837578
195,-209.291009801,1568373311.4891832
196,-248.754060512,1568373314.5946732
197,-198.030232916,1568373317.6992865
198,-522.626614509,1568373320.8083596
199,-700.923619313,1568373323.918073
200,-535.846477179,1568373327.0310376
201,-623.169619652,1568373330.1340547
202,-145.931391073,1568373333.2422173
203,-1346.88949585,1568373336.346904
204,-1648.40828515,1568373341.4564548
205,-1646.06477106,1568373343.458253
