# iterator, reward, timestamp 
1,-90.541896183,1568373121.956012
2,-843.191146851,1568373123.9586937
3,-1243.03604323,1568373127.0655751
4,-782.722177483,1568373132.1719646
5,-877.44756162,1568373134.1752737
6,-953.413735874,1568373138.280656
7,-851.687669754,1568373141.3843234
8,-1240.76839453,1568373145.4883375
9,-1241.12307529,1568373147.4907718
10,-830.989676838,1568373151.5965805
11,-979.653566927,1568373154.7022412
12,-1524.18255806,1568373158.8088174
13,-1242.13607028,1568373161.9135115
14,-1180.32439877,1568373163.9165673
15,-1357.85901546,1568373168.0236304
16,-1357.34510422,1568373170.02547
17,-1242.14990442,1568373173.1303432
18,-1237.66790219,1568373175.1328654
19,-522.140826863,1568373179.238429
20,-1164.55655839,1568373184.345346
21,-1609.35147514,1568373188.451584
22,-1170.56383003,1568373193.5589025
23,-1625.63728952,1568373196.6638389
24,-780.266160679,1568373201.7703843
25,-369.934746064,1568373204.8754003
26,-1603.01232338,1568373207.9800706
27,-1657.32376832,1568373213.0878992
28,-1657.34289004,1568373215.090483
29,-1188.70543904,1568373218.1969416
30,-723.753896106,1568373221.3024032
31,-1167.45469218,1568373226.4109082
32,-1147.18304608,1568373228.4134493
33,-1226.77206993,1568373232.5187025
34,-1242.30493062,1568373236.6261315
35,-737.912545842,1568373240.7327824
36,-947.279930115,1568373243.8385065
37,-1650.67434311,1568373245.8411636
38,-1658.37838977,1568373248.947973
39,-904.214336536,1568373254.0554068
40,-713.662143884,1568373257.1622622
41,-589.098511095,1568373259.1640494
42,-989.442734831,1568373261.1670072
43,-1016.54857587,1568373264.271084
44,-691.979325378,1568373267.3766987
45,-1144.80243123,1568373269.37987
46,-2026.7329216,1568373274.4884627
47,-1654.52152995,1568373277.59369
48,-1207.50460703,1568373281.701335
49,-749.716505429,1568373285.8065994
50,-924.728158384,1568373289.912882
51,-447.848248793,1568373293.0190074
52,-369.577700071,1568373296.1235652
53,-374.252526625,1568373299.2275403
54,-324.951685016,1568373302.3326693
55,-428.739754877,1568373306.4394767
56,-620.439130347,1568373309.5442815
57,-222.300402818,1568373312.6498027
58,-327.263665098,1568373315.7552896
59,-382.685443225,1568373318.860381
60,-316.34549134,1568373321.966575
61,-359.860841724,1568373325.0708485
62,-316.492418985,1568373328.1754434
63,-344.295434649,1568373331.278796
64,-327.569202065,1568373334.383577
65,-425.627889981,1568373338.4892108
66,-620.306806595,1568373341.59424
67,-219.153201382,1568373344.7003074
68,-324.153931531,1568373347.8061373
69,-381.830593518,1568373350.9096994
70,-314.435259823,1568373354.0161393
71,-357.38896426,1568373357.121648
72,-318.412227778,1568373360.226878
73,-343.049989611,1568373363.3327084
74,-362.016857062,1568373367.4395785
75,-481.521482618,1568373371.5459933
76,-616.985001013,1568373374.653664
77,-219.576083018,1568373377.7577639
78,-324.586288257,1568373380.863053
79,-377.86242445,1568373383.968804
80,-314.460454085,1568373387.0746038
81,-356.468911704,1568373390.1801019
82,-316.528103901,1568373393.284755
83,-342.947834375,1568373396.3900769
84,-357.538782842,1568373400.4964645
85,-481.284394209,1568373404.6019607
86,-609.770220957,1568373407.7077386
87,-219.428045317,1568373410.8135915
88,-324.628931215,1568373413.9196098
89,-330.308719393,1568373418.0274265
90,-424.737879805,1568373421.132257
91,-351.377789143,1568373424.2376294
92,-320.185378969,1568373427.3427238
93,-343.303999657,1568373430.4474463
94,-354.207637207,1568373434.5545027
95,-420.387781629,1568373438.6623998
96,-495.083179639,1568373441.7682738
97,-216.834161536,1568373444.8730128
98,-321.570486497,1568373447.9787092
99,-370.522865208,1568373451.0822694
100,-420.64087467,1568373455.1883972
101,-527.188023833,1568373459.2964063
102,-423.898308929,1568373463.4030921
103,-435.083815588,1568373466.5080967
104,-371.310691882,1568373469.6141634
105,-407.879849312,1568373473.72025
106,-498.63112653,1568373476.8249176
107,-216.691068909,1568373479.9298582
108,-322.793863265,1568373483.0348022
109,-372.037760463,1568373486.140362
110,-417.39008755,1568373490.2475274
111,-522.463555778,1568373494.3546999
112,-421.882080551,1568373498.4612467
113,-437.889108473,1568373501.566398
114,-369.306533142,1568373504.6716921
115,-402.457468948,1568373508.7780411
116,-502.6611752,1568373511.8823419
117,-214.619157738,1568373514.9878216
118,-319.75496004,1568373518.0928688
119,-364.608856079,1568373521.198915
120,-316.480028073,1568373524.3057678
121,-346.802146755,1568373527.4109447
122,-325.25724978,1568373530.516632
123,-441.783641632,1568373534.6231894
124,-343.179790711,1568373538.7290168
125,-444.526210634,1568373541.8347504
126,-229.868093053,1568373544.9404988
127,-405.009575552,1568373548.0451813
128,-320.220242983,1568373551.1517186
129,-366.279735142,1568373554.2576647
130,-316.646016065,1568373557.3625627
131,-346.236689895,1568373560.4683247
132,-322.31596921,1568373563.572383
133,-431.775504758,1568373567.6793265
134,-337.927501809,1568373571.785901
135,-446.982687023,1568373574.8909624
136,-227.774110644,1568373577.996045
137,-404.993682229,1568373581.1008377
138,-317.817632519,1568373584.2068677
139,-364.565350319,1568373587.3134298
140,-315.983966622,1568373590.4181168
141,-348.025263808,1568373593.5225182
142,-323.873532547,1568373596.6279073
143,-428.002010935,1568373600.7338696
144,-337.027496118,1568373604.838594
145,-446.244172019,1568373607.9433558
146,-227.020266956,1568373611.048634
147,-404.11835915,1568373614.154041
148,-316.345173867,1568373617.2602086
149,-362.633265298,1568373620.3667963
150,-316.952948182,1568373623.4720027
151,-345.91003351,1568373626.5765865
152,-326.277289275,1568373629.6833916
153,-425.082422319,1568373633.7893832
154,-616.156409469,1568373636.8948996
155,-220.228084864,1568373639.999752
156,-325.814637459,1568373643.1049347
157,-379.720803836,1568373646.209326
158,-316.581878725,1568373649.314267
159,-360.746745746,1568373652.4189005
160,-317.442794689,1568373655.5242696
161,-343.739447963,1568373658.629395
162,-364.390871792,1568373662.7351594
163,-486.338225352,1568373666.8408463
164,-615.322503442,1568373669.945667
165,-222.025522266,1568373673.0503347
166,-325.698848297,1568373676.1554325
167,-376.503499021,1568373679.2602673
168,-316.807445491,1568373682.3652606
169,-353.432774142,1568373685.4701068
170,-320.956266893,1568373688.5756435
171,-340.396002278,1568373691.6809726
172,-359.840121774,1568373695.7879872
173,-480.869809279,1568373699.8940768
174,-609.29457561,1568373702.999086
175,-220.337711907,1568373706.103435
176,-322.660255982,1568373709.2084188
177,-377.937878266,1568373712.3141677
178,-314.45206003,1568373715.4181085
179,-354.691113444,1568373718.5227358
180,-321.248381107,1568373721.628576
181,-341.837136929,1568373724.7329648
182,-356.149092527,1568373728.8389046
183,-427.626337949,1568373732.9454157
184,-606.134295583,1568373736.0500307
185,-217.639900558,1568373739.1550782
186,-323.720567882,1568373742.2614229
187,-372.527676289,1568373745.3668694
188,-423.163888805,1568373749.4744143
189,-529.623201128,1568373753.5812414
190,-423.675630144,1568373757.6869056
191,-435.915947689,1568373760.7926774
192,-368.01627701,1568373763.8984075
193,-408.988398058,1568373768.0042279
194,-601.8974617,1568373771.109853
195,-218.812624649,1568373774.215868
196,-322.861377416,1568373777.3215995
197,-367.850928699,1568373780.4272501
198,-419.333585174,1568373784.5335944
199,-524.767900362,1568373788.6397784
200,-426.014769437,1568373792.7445872
201,-435.574106802,1568373795.850628
202,-372.035937437,1568373798.9570506
203,-406.007333154,1568373803.061602
204,-498.155854171,1568373806.1673393
205,-216.602518939,1568373809.2742379
206,-320.88537266,1568373812.3788052
207,-365.563478912,1568373815.484667
208,-316.327583802,1568373818.5905225
209,-351.95034587,1568373821.6969903
210,-320.409366627,1568373824.8030329
211,-440.096933638,1568373828.909097
212,-345.872256737,1568373833.0149555
213,-444.280468472,1568373836.1192067
214,-227.740692794,1568373839.2240787
215,-410.749428711,1568373842.3287547
216,-318.985414795,1568373845.4335425
217,-364.185874222,1568373848.5386941
218,-317.793396471,1568373851.6446157
219,-349.036218692,1568373854.7499006
220,-325.494527391,1568373857.8557186
221,-434.742898602,1568373861.9613893
222,-341.006073738,1568373866.067608
223,-445.53402179,1568373869.1731863
224,-226.799506185,1568373872.2785637
225,-405.8086326,1568373875.3842294
226,-319.375839131,1568373878.4889472
227,-366.152141565,1568373881.596197
228,-315.967721973,1568373884.7015686
229,-347.187132166,1568373887.8073728
230,-324.746110146,1568373890.9122744
231,-437.683694823,1568373895.0192623
232,-335.693837647,1568373899.1255343
233,-446.880974591,1568373902.230812
234,-226.638372479,1568373905.3358846
235,-403.233439471,1568373908.4412472
236,-318.506780998,1568373911.5461645
237,-359.068121641,1568373914.6516128
238,-317.908193774,1568373917.758078
239,-342.459169946,1568373920.8640566
240,-324.80293802,1568373923.968468
241,-431.026769902,1568373928.0759118
242,-619.322616367,1568373931.1812325
243,-220.541741707,1568373934.2859685
244,-327.07663834,1568373937.3899279
245,-385.305038685,1568373940.4961035
246,-316.208608735,1568373943.6020327
247,-361.831776422,1568373946.7075386
248,-317.486838241,1568373949.8123133
249,-346.377659403,1568373952.917553
250,-328.037968635,1568373956.0239537
251,-422.622412247,1568373960.129486
252,-619.207726202,1568373963.2357903
253,-218.363004797,1568373966.3408933
254,-324.220332753,1568373969.445737
255,-382.163646228,1568373972.5522654
256,-315.293521351,1568373975.658758
257,-357.035890435,1568373978.7644072
258,-321.014303998,1568373981.8703399
259,-343.076228258,1568373984.9753034
260,-359.912370603,1568373989.0824046
261,-482.622675016,1568373993.189519
262,-610.442783544,1568373996.2946389
263,-218.090845001,1568373999.4006612
264,-323.082739472,1568374002.5053384
265,-375.708241702,1568374005.6094584
266,-314.70494305,1568374008.7142634
267,-356.587403359,1568374011.8199897
268,-318.74203292,1568374014.9257638
269,-344.273740796,1568374018.0316982
270,-356.552492543,1568374022.1386676
271,-421.994296112,1568374026.243503
272,-610.321458224,1568374029.348344
273,-220.645977565,1568374032.453386
274,-322.829342049,1568374035.5579712
275,-375.423427077,1568374038.6642928
276,-424.082294056,1568374042.7703383
277,-530.374748865,1568374046.8774562
278,-424.132242469,1568374050.985302
279,-436.684726373,1568374054.0904236
280,-370.17318269,1568374057.1959362
281,-408.043917381,1568374061.3028364
282,-605.264930617,1568374064.4078243
283,-219.085105601,1568374067.5132236
284,-321.181143611,1568374070.6180902
285,-371.999789864,1568374073.7237601
286,-416.689304174,1568374077.8300593
287,-523.026998123,1568374081.9360168
288,-425.33297503,1568374086.0409257
289,-434.219601195,1568374089.1454387
290,-369.971622905,1568374092.250851
291,-405.083471546,1568374096.3563886
292,-498.929036408,1568374099.4622524
293,-215.631748404,1568374102.5677207
294,-320.91914022,1568374105.6740305
295,-367.273718794,1568374108.778213
296,-316.051045461,1568374111.8850493
297,-348.289921586,1568374114.9911757
298,-321.783254678,1568374118.0965064
299,-443.686408529,1568374122.2034836
300,-344.889242965,1568374126.310755
301,-442.821954172,1568374129.4160247
302,-230.201296144,1568374132.5221148
303,-408.456727744,1568374135.6923969
304,-317.430011297,1568374138.7972224
305,-359.239394984,1568374141.9033813
306,-316.53932921,1568374145.009539
307,-345.258183743,1568374148.1142693
308,-326.775985626,1568374151.2197654
309,-420.199626419,1568374155.327761
310,-618.180037816,1568374158.432461
311,-220.827326787,1568374161.5381184
312,-324.447925874,1568374164.6444962
313,-378.809096192,1568374167.749304
314,-315.749562978,1568374170.8550842
