# iterator, reward, timestamp 
1,-28.174384222359706,1570796615.909805
2,-25.03392811984215,1570796619.0165808
3,-28.185362677005216,1570796622.1225393
4,-21.012641088828246,1570796625.2274437
5,-27.221527076504092,1570796628.3337786
6,-22.676274599776388,1570796631.4398112
7,-26.49024741366317,1570796634.5467582
8,-24.39955029948912,1570796637.654113
9,-25.094074866366316,1570796640.7596
10,-23.203628847667567,1570796643.8676152
11,-25.054310843480277,1570796646.9746692
12,-23.50906679423575,1570796650.080454
13,-26.945875523568464,1570796653.1863596
14,-25.035884682856647,1570796656.291611
15,-28.649810571713402,1570796659.398053
16,-24.853395970051853,1570796662.5046158
17,-25.229199104619827,1570796665.6119506
18,-20.968919655623992,1570796668.717139
19,-27.774537530426915,1570796671.8223917
20,-25.167965894160453,1570796674.9302912
21,-32.17950708782012,1570796678.0356593
22,-24.785650227663286,1570796681.1427755
23,-28.61657249243932,1570796684.2485673
24,-24.497055432664023,1570796687.3557792
25,-27.957469803870598,1570796690.461849
26,-24.667578047605524,1570796693.567717
27,-29.210644860374444,1570796696.6753213
28,-26.047237196193073,1570796699.7810597
29,-28.365157471458538,1570796702.8891292
30,-26.065290889266453,1570796705.9958558
31,-28.000274687887725,1570796709.1030042
32,-24.90978565646852,1570796712.2090664
33,-26.375530636270557,1570796715.3151097
34,-25.341119815782797,1570796718.420557
35,-23.96241465094377,1570796721.5283582
36,-25.196617762562685,1570796724.6339736
37,-26.726178128662507,1570796727.7398171
38,-25.52354121398933,1570796730.847341
39,-25.338594307583346,1570796733.9527235
40,-26.347854384684744,1570796737.0585575
41,-24.66528396309067,1570796740.1642153
42,-25.31894461177348,1570796743.2709908
43,-26.903762098642733,1570796746.3765368
44,-22.951720610072506,1570796749.4814515
45,-27.248146880536215,1570796752.5881176
46,-22.199233089810626,1570796755.6957197
47,-26.81337451615993,1570796758.8024647
48,-25.33163919825951,1570796761.9077847
49,-27.554273114275766,1570796765.0137916
50,-20.018860831330013,1570796768.1203291
51,-26.360649791314636,1570796771.2274165
52,-23.455234291962757,1570796774.333555
53,-24.92006471064001,1570796777.4401844
54,-21.569993235531154,1570796780.5453868
55,-24.46283963752609,1570796783.6521003
56,-21.45980864413967,1570796786.7590044
57,-23.592882181206324,1570796789.8657012
58,-22.892369056826215,1570796792.971579
59,-24.364119148097025,1570796796.0782306
60,-21.338195742723958,1570796799.1848366
61,-23.401362181834905,1570796802.2904348
62,-23.334657377722536,1570796805.3970277
63,-24.34804410874383,1570796808.5045993
64,-20.63599022452927,1570796811.608547
65,-23.732777156940905,1570796814.7155964
66,-20.392621037202915,1570796817.8218658
67,-24.599187024422942,1570796820.928106
68,-22.31968168877807,1570796824.0353568
69,-21.42814295516814,1570796827.1412702
70,-21.845280662487703,1570796830.2472234
71,-26.025899469402425,1570796833.3533998
72,-21.259867844474805,1570796836.4599535
73,-22.24195872964049,1570796839.566058
74,-20.762802056582526,1570796842.6725147
75,-18.56766757406361,1570796845.7796237
76,-22.26081608386176,1570796848.886586
77,-22.90787800414567,1570796851.9939802
78,-29.04942051550105,1570796855.0997236
79,-24.920796813999576,1570796858.2056856
80,-22.780638807913128,1570796861.3116422
81,-23.300476242161515,1570796864.4176347
82,-20.852629298843247,1570796867.5235674
83,-22.628404206516198,1570796870.6291552
84,-18.94024174547031,1570796873.734212
85,-24.64173891900266,1570796876.839966
86,-23.322476875380445,1570796879.9464629
87,-25.041166855362537,1570796883.053525
88,-22.109917542412468,1570796886.158805
89,-21.7308143086996,1570796889.2639575
90,-22.80356890264454,1570796892.3709717
91,-24.811251384454913,1570796895.4773502
92,-20.511791309953466,1570796898.5860598
93,-25.071063119017992,1570796901.693991
94,-21.89842498773794,1570796904.7982054
95,-25.324875312223583,1570796907.9038873
96,-22.042371973807878,1570796911.0103195
97,-23.48277144695013,1570796914.116178
98,-19.780553597177537,1570796917.2223136
99,-22.328281326667785,1570796920.3282151
100,-23.631422995795702,1570796923.4342635
101,-22.442235435697693,1570796926.5402174
102,-20.767874110465115,1570796929.6452596
103,-23.511546441095827,1570796932.7510757
104,-21.804198096547285,1570796935.856522
105,-24.969061184574063,1570796938.9635975
106,-19.517339878165103,1570796942.0698304
107,-25.50803317839371,1570796945.177835
108,-21.957903687708733,1570796948.284706
109,-25.860589486423343,1570796951.3912344
110,-22.175802714855323,1570796954.4970558
111,-25.546560153504792,1570796957.60501
112,-21.964231364130807,1570796960.710992
113,-20.570389830275875,1570796963.8146644
114,-21.58128041005248,1570796966.9202852
115,-25.182509450111663,1570796970.0270486
116,-22.614132946958268,1570796973.1333694
117,-26.67790091119112,1570796976.239521
118,-21.20236355640004,1570796979.3463805
119,-24.06974101489587,1570796982.4509683
120,-21.081862948571533,1570796985.557152
121,-22.458804413881122,1570796988.6636717
122,-22.688411152549012,1570796991.7696238
123,-22.50803626293265,1570796994.8766468
124,-20.448398214822447,1570796997.9821804
125,-25.32731586739753,1570797001.0881531
126,-21.858328287894043,1570797004.1951406
127,-25.04402198259692,1570797007.3017023
128,-21.677984275376254,1570797010.4080052
129,-24.1865316495692,1570797013.5136015
130,-18.1931081279103,1570797016.6190226
131,-27.489059871541855,1570797019.7239904
132,-21.739021204354945,1570797022.832157
133,-25.84036740946915,1570797025.9379866
134,-20.66295894399092,1570797029.0433583
135,-24.281209932643563,1570797032.152474
136,-21.81944810926303,1570797035.2563145
137,-24.89707029230883,1570797038.3615863
138,-20.432376725494063,1570797041.467922
139,-23.26688269931646,1570797044.5743027
140,-21.800619951131893,1570797047.6821122
141,-22.217844190245295,1570797050.7886226
142,-22.08404518074361,1570797053.8939455
143,-24.743467111450617,1570797057.0005379
144,-20.238301976730774,1570797060.1088743
145,-23.826127500400077,1570797063.2151113
146,-22.798369055784583,1570797066.3211746
147,-23.073940200248376,1570797069.426908
148,-22.97743426829288,1570797072.5333085
149,-26.89052779254234,1570797075.6399195
150,-23.720562224915742,1570797078.7445922
151,-25.769691654784214,1570797081.849505
152,-23.900992436435068,1570797084.9550579
153,-26.224204682675367,1570797088.059744
154,-25.226480531455387,1570797091.166247
155,-26.644478391027853,1570797094.2722661
156,-21.701593356567194,1570797097.3801198
157,-24.45524377839832,1570797100.4875028
158,-22.081195934461594,1570797103.5951233
159,-24.86766034309041,1570797106.69935
160,-21.96287351950932,1570797109.806892
161,-24.794757045628273,1570797112.9127004
162,-20.255013598846325,1570797116.017959
163,-21.868083964037023,1570797119.1272235
164,-21.836055305592353,1570797122.2330663
165,-22.14163644412168,1570797125.3406198
166,-20.873801588543987,1570797128.4477785
167,-22.77735232071191,1570797131.5552268
168,-22.562953063055712,1570797134.6639755
169,-24.31500307547995,1570797137.769514
170,-21.769232153216432,1570797140.8763604
171,-21.955245605554982,1570797143.9814472
172,-20.260103966484383,1570797147.0879555
173,-24.03088294983064,1570797150.196157
174,-21.55390977333472,1570797153.3008876
175,-25.988581347444683,1570797156.4051216
176,-20.034298656937583,1570797159.512389
177,-21.95983330616209,1570797162.6193573
178,-21.716043822044572,1570797165.725763
179,-24.845739930538695,1570797168.830683
180,-21.479802578157763,1570797171.9392452
181,-24.53044687378441,1570797175.0430305
182,-23.15621039562056,1570797178.1485004
183,-26.063751911676228,1570797181.2555308
184,-22.968638828118692,1570797184.3615348
185,-26.105007627375848,1570797187.4684737
186,-26.505835656341812,1570797190.57826
187,-25.13671534307839,1570797193.6812735
188,-22.660956956621337,1570797196.7872016
189,-25.62074315457488,1570797199.8941078
190,-24.843884754982692,1570797202.9990234
191,-26.255217035880378,1570797206.1049721
192,-24.876743972682906,1570797209.2104235
193,-28.073177215596196,1570797212.3182454
194,-24.432549929774417,1570797215.4256551
195,-26.495796481509664,1570797218.5319488
196,-23.521654802119887,1570797221.6385605
197,-26.214339269541604,1570797224.7459388
198,-23.55996109800191,1570797227.8546326
199,-25.87792441557631,1570797230.9601326
200,-24.32839923200643,1570797234.0654602
201,-26.694099272581393,1570797237.1714299
202,-25.40853706655906,1570797240.277484
203,-23.449217154935294,1570797243.3857708
204,-23.90058017615708,1570797246.4912245
205,-26.432817272223446,1570797249.596928
206,-23.29851565193398,1570797252.704049
207,-26.007123484190398,1570797255.812203
208,-25.371967626567532,1570797258.9203095
209,-27.881652759981815,1570797262.0264874
210,-23.148149752817176,1570797265.132413
211,-26.326363912433408,1570797268.2382777
212,-23.85403507108312,1570797271.3457236
213,-25.797806023556237,1570797274.4522634
214,-21.702374265836472,1570797277.5590856
215,-24.138529150586805,1570797280.6657882
216,-22.054552925496218,1570797283.7724593
217,-23.869605810999914,1570797286.8810506
218,-21.153120045081,1570797289.9881117
219,-22.444092719558203,1570797293.0932982
220,-22.15230779017024,1570797296.1988866
221,-22.799125092779178,1570797299.306451
222,-19.91961648098778,1570797302.413904
223,-21.954485191358668,1570797305.520413
224,-20.432544527269965,1570797308.6264608
225,-22.739953568747264,1570797311.7328708
226,-16.611767961445786,1570797314.839993
227,-22.099849303934867,1570797317.9472215
228,-21.854148039571264,1570797321.0543787
229,-23.74981281526616,1570797324.1609325
230,-18.740147231623524,1570797327.2660184
231,-23.392596990933,1570797330.3764668
232,-22.534716212226424,1570797333.479157
233,-23.105199572689237,1570797336.5863929
234,-21.167096498271647,1570797339.6940134
235,-24.43383382715193,1570797342.7987561
236,-20.675488762304234,1570797345.9051602
237,-20.928644822698313,1570797349.0123005
238,-21.13598901193751,1570797352.1208463
239,-23.358260035708188,1570797355.229002
240,-16.623302907504264,1570797358.3332198
241,-23.277051075360216,1570797361.4400446
242,-18.4217167896458,1570797364.5463905
243,-18.958218488985395,1570797367.6535811
244,-21.077468315410744,1570797370.7589283
245,-24.348290048286056,1570797373.8650794
246,-21.476719139238902,1570797376.9712517
247,-23.561161117293036,1570797380.07869
248,-23.64148220122864,1570797383.1875157
249,-24.641619785773226,1570797386.290973
250,-20.842098194812266,1570797389.3974125
251,-24.022300815248997,1570797392.5030231
252,-20.37633644152981,1570797395.6078093
253,-22.988404127582307,1570797398.7135568
254,-26.068757007333904,1570797401.819004
255,-30.607655503704034,1570797404.9248266
256,-25.15142452642496,1570797408.0320954
257,-28.786268229079685,1570797411.1392615
258,-25.26530540231555,1570797414.24976
259,-28.191206591267218,1570797417.3561661
260,-26.498397589800053,1570797420.4627054
261,-28.606849107120468,1570797423.5686681
262,-26.99254682535517,1570797426.675092
263,-31.06808258841647,1570797429.7806337
264,-25.88203462164778,1570797432.8861175
265,-27.85371374831351,1570797435.9918406
266,-24.75476706668258,1570797439.100083
267,-27.92889591027467,1570797442.2074919
268,-26.11004445076417,1570797445.311343
269,-28.958650722930066,1570797448.4156985
270,-25.087430791267696,1570797451.522327
271,-28.17709449898322,1570797454.6289966
272,-25.1261964531446,1570797457.7349193
273,-28.76243586403069,1570797460.8403783
274,-25.577659737927956,1570797463.9448256
275,-27.72610622375778,1570797467.0513086
276,-24.92059764568024,1570797470.1582868
277,-27.650786991441716,1570797473.265195
278,-24.204677440945797,1570797476.371763
279,-27.874320945683568,1570797479.4771929
280,-25.857367367015627,1570797482.5831764
281,-27.559352387527547,1570797485.690514
282,-24.75185074467482,1570797488.7966886
283,-28.271581382937104,1570797491.904254
284,-25.848576360731006,1570797495.0107577
285,-27.393431131407567,1570797498.1172106
286,-25.170809709774467,1570797501.2224743
287,-26.44747011524799,1570797504.3298676
288,-25.53431092324927,1570797507.4362228
289,-28.835325248654367,1570797510.5421376
290,-25.673201332046876,1570797513.6485507
291,-27.271871579840756,1570797516.759091
292,-25.56698978443302,1570797519.8636124
293,-27.3962573820646,1570797522.970831
294,-25.935395436718675,1570797526.0775394
295,-27.483847694309826,1570797529.1833107
296,-25.856117923559715,1570797532.291234
297,-27.773246557127226,1570797535.3997147
298,-24.24741286321615,1570797538.5061917
299,-27.429776617426718,1570797541.6114628
300,-25.26624432853486,1570797544.717178
301,-27.13127930781562,1570797547.8235755
302,-24.917905782995508,1570797550.929826
303,-28.61055141531114,1570797554.0351512
304,-25.991082989006213,1570797557.1404605
305,-27.337921966749033,1570797560.247696
306,-25.205546968763223,1570797563.3550975
307,-28.638915035132445,1570797566.4632294
308,-25.316663596744608,1570797569.571
309,-27.267338717432196,1570797572.678316
310,-24.58499992909906,1570797575.7849047
311,-27.28609963740994,1570797578.8919842
312,-24.95076310711126,1570797581.9980423
313,-25.22917940658567,1570797585.1033692
314,-25.521040963575825,1570797588.2096827
315,-25.26135128099182,1570797591.3165712
316,-23.345129421337667,1570797594.424265
317,-25.584575778341716,1570797597.5309792
318,-23.308170281474723,1570797600.6378171
319,-26.344831940417052,1570797603.7431235
320,-24.665211090244043,1570797606.8498614
321,-24.822504721004314,1570797609.955678
322,-20.94355962326995,1570797613.0632389
323,-27.044624745032177,1570797616.1699793
324,-21.645010266920703,1570797619.275553
325,-25.34045900507973,1570797622.3808527
326,-21.89915446408613,1570797625.4887936
327,-25.267081638965944,1570797628.595104
328,-24.12112990104651,1570797631.7012959
329,-27.34653521140024,1570797634.8076887
330,-25.90309806695083,1570797637.9159803
331,-27.222887314978752,1570797641.0233915
332,-24.31054139528343,1570797644.1298974
333,-25.439224684817525,1570797647.238205
334,-25.771949451594708,1570797650.3424644
335,-27.61800317011126,1570797653.4495914
336,-14.532796966070313,1570797656.556206
337,-26.15669453798256,1570797659.6628132
338,-24.96294003721747,1570797662.7683618
339,-28.92923355888504,1570797665.8729722
340,-24.293980019175162,1570797668.9802256
341,-24.179066479864503,1570797672.0882695
342,-24.96467193711628,1570797675.195438
343,-26.99148119747803,1570797678.3013196
344,-25.37056334535357,1570797681.4068646
345,-27.945130926185488,1570797684.513425
346,-22.30493631091642,1570797687.6216002
347,-28.81387505240577,1570797690.7321222
348,-23.329903992116055,1570797693.8332217
349,-23.28051201380399,1570797696.9373841
350,-23.324707592073423,1570797700.0435336
351,-27.04418946481277,1570797703.1512208
352,-24.704570770059963,1570797706.2579074
353,-30.259254356711516,1570797709.3637145
354,-23.263064898555413,1570797712.4701247
355,-27.093240137873337,1570797715.578014
356,-25.27000568165438,1570797718.6839907
357,-25.70903981729177,1570797721.7923224
358,-23.100563520783762,1570797724.8981352
359,-27.908521905833975,1570797728.0043266
360,-24.495414612162577,1570797731.1105347
361,-27.509496489330434,1570797734.2169354
362,-25.295302049331376,1570797737.323759
363,-24.01119203381703,1570797740.4277005
364,-24.156545632918995,1570797743.534218
365,-30.76188075134901,1570797746.6403635
366,-25.35085421887055,1570797749.7462432
367,-25.79279360043717,1570797752.8521848
368,-21.566879105134312,1570797755.9587398
369,-23.84896822474323,1570797759.0643852
370,-25.41256422328994,1570797762.1713436
371,-29.453943737064524,1570797765.2782123
372,-24.557816435192432,1570797768.3865135
373,-28.208711552130737,1570797771.4929357
374,-22.16834367984417,1570797774.5983593
375,-26.78014667708262,1570797777.7049186
376,-23.35514383188697,1570797780.8111498
377,-28.55161402614048,1570797783.9170895
378,-22.148609118068016,1570797787.023011
379,-27.66491122867515,1570797790.12827
380,-24.915782384542187,1570797793.2350268
381,-27.692301703633852,1570797796.3423343
382,-24.808197102271137,1570797799.449636
383,-27.159924716097347,1570797802.5542026
384,-23.246694054109927,1570797805.6600757
385,-25.82981981596403,1570797808.7678423
386,-105.6840636733788,1570797813.8758473
387,-83.33325958822073,1570797816.982935
388,-100.91722011566162,1570797823.0924966
389,-103.36589813232422,1570797826.0962558
390,-26.728962514231167,1570797829.2026021
391,-104.78863380538634,1570797832.307184
392,-106.76057522485058,1570797836.311541
393,-126.04391574859619,1570797846.4280105
394,-103.00609444460726,1570797852.536888
395,-86.75529453439223,1570797858.6464095
396,-107.95779124046544,1570797864.757128
397,-82.82072218570936,1570797868.8659205
398,-99.73084926605225,1570797874.9732442
399,-27.680071862090156,1570797878.0798995
400,-105.69394398613993,1570797881.185731
401,-69.58746973116185,1570797884.2912958
402,-100.83949565887451,1570797887.3965545
403,-26.645019822223937,1570797890.5027463
404,-26.962589943969814,1570797893.5072656
405,-27.21344989355188,1570797896.5117364
406,-26.080238812145,1570797899.5148456
407,-28.18659749927406,1570797902.5183995
408,-28.56695348824107,1570797905.5224361
409,-24.7067203009088,1570797908.5254707
410,-25.547441441928875,1570797911.5301998
411,-26.189828508703712,1570797914.5343962
412,-28.038424375301176,1570797917.538153
413,-26.929109052170773,1570797920.5424898
414,-26.068294844878846,1570797923.5473971
415,-26.372801471306282,1570797926.5518918
416,-24.269855554167627,1570797929.5556414
417,-24.715005352068317,1570797932.5589087
418,-26.906807031374345,1570797935.562954
419,-25.86338684424925,1570797938.5665617
420,-27.035969740131723,1570797941.5706332
421,-28.07252220666457,1570797944.5736613
422,-26.891598862578505,1570797947.578781
423,-31.83493487347698,1570797950.583556
424,-28.920765618321195,1570797953.5858111
425,-29.38255051382599,1570797956.5892487
426,-27.4987170160826,1570797959.5942624
427,-28.853847782089886,1570797962.5976279
428,-27.282175942266772,1570797965.6010406
429,-30.683646835304646,1570797968.6038892
430,-29.113638919555477,1570797971.6077194
431,-29.30321276495428,1570797974.6117327
432,-29.60942762158722,1570797977.6144204
433,-28.17419609337858,1570797980.6184027
434,-27.638932913387496,1570797983.6223073
435,-27.628440190198162,1570797986.6268332
436,-27.544225381469943,1570797989.6288416
437,-28.423836130551788,1570797992.6325638
438,-27.245829897748905,1570797995.6352148
439,-26.981909192830678,1570797998.639437
440,-29.191155081346245,1570798001.6434343
441,-27.77138731564259,1570798004.6473696
442,-26.31705407029482,1570798007.6525662
443,-25.285413586401898,1570798010.655818
444,-27.496375174167785,1570798013.6591403
445,-29.268881327597917,1570798016.662388
446,-26.955501799595936,1570798019.66725
447,-28.331022279176484,1570798022.67034
448,-26.633000004307245,1570798025.6745877
449,-25.91195394777581,1570798028.678477
450,-30.763093383051014,1570798031.6828978
451,-27.290653764026693,1570798034.686288
452,-27.882606070713496,1570798037.6894162
453,-28.29987307909471,1570798040.6928194
454,-25.80867184960368,1570798043.6965847
455,-25.609013647853438,1570798046.700841
456,-26.769582539024363,1570798049.7045135
457,-26.36663512507038,1570798052.7076015
458,-27.285462584445437,1570798055.7121334
459,-26.583017700433246,1570798058.7165647
460,-26.510013324735926,1570798061.7201676
461,-25.107243248329084,1570798064.723677
462,-26.284127286554558,1570798067.7276423
463,-24.942765535980346,1570798070.7311974
464,-27.977803658120056,1570798073.735037
465,-28.38369567193687,1570798076.7394843
466,-28.38249668876877,1570798079.743796
467,-27.84037308391309,1570798082.7470043
468,-27.759480311907172,1570798085.751088
469,-27.70530239245428,1570798088.754091
470,-28.13296545473962,1570798091.756857
471,-31.844036887817605,1570798094.7599945
472,-26.824234278686216,1570798097.7623336
473,-26.55213775797919,1570798100.7661242
474,-28.033286495116215,1570798103.769429
475,-31.09098570306998,1570798106.7734377
476,-26.32262651859506,1570798109.7771118
477,-30.281335974226433,1570798112.7814896
478,-27.211154029818477,1570798115.7847095
479,-25.819945272582164,1570798118.788349
480,-26.901185976466177,1570798121.7917447
481,-26.550964994407824,1570798124.7965496
482,-28.401517046298192,1570798127.7993824
483,-28.155106627434854,1570798130.802453
484,-27.80551881017699,1570798133.8064697
485,-25.19637788373925,1570798136.810424
486,-27.628324494740436,1570798139.8129966
487,-25.57666779815438,1570798142.81641
488,-26.985113397388094,1570798145.8192494
