# iterator, reward, timestamp 
1,-65.19918515975895,1570557186.2842393
2,-63.227205353098476,1570557192.3897269
3,-99.61327242391252,1570557206.504715
4,-62.71601700616722,1570557210.6141365
5,-54.680493879641205,1570557213.7174785
6,-51.26020168585549,1570557218.8241308
7,-34.310041718015775,1570557221.9299183
8,-110.75128025460295,1570557229.0437968
9,-118.53628079256517,1570557243.1549733
10,-71.99203968048096,1570557247.266053
11,-61.404272852703016,1570557253.3700962
12,-63.35946328482003,1570557257.502966
13,-65.70417713449604,1570557261.4852054
14,-111.78639576177167,1570557279.6016827
15,-106.37821607514005,1570557283.709029
16,-129.16537721902034,1570557289.8184068
17,-97.35449275253286,1570557303.9344916
18,-104.91275787353516,1570557315.0518446
19,-94.53366551112315,1570557319.158498
20,-126.20511543500348,1570557323.267027
21,-156.58153841858936,1570557330.377752
22,-121.36748386158389,1570557334.480368
23,-109.26472329899852,1570557338.587823
24,-124.94495087589318,1570557357.7123098
25,-140.29891895903134,1570557367.8239138
26,-142.76861065358747,1570557380.8433857
27,-120.67239708649159,1570557384.9735668
28,-153.61829966595903,1570557395.0603302
29,-147.74583809881318,1570557414.1830072
30,-109.43887936745998,1570557423.2970312
31,-111.61062162910083,1570557440.4175453
32,-110.10441068615566,1570557447.5255861
33,-103.51076448284657,1570557467.649836
34,-60.76249132535382,1570557471.7559183
35,-61.02112430153129,1570557475.8617208
36,-80.36938864726677,1570557481.9699852
37,-43.03139679844354,1570557490.0819783
38,-50.281390481332934,1570557495.187527
39,-53.501686729845716,1570557498.2966027
40,-57.337045669555664,1570557501.4025416
41,-108.63180965098103,1570557504.5076487
42,-105.87889166290593,1570557512.651705
43,-146.63059323469653,1570557519.7384667
44,-142.30038505816256,1570557522.8448532
45,-154.67174081461195,1570557543.9777133
46,-109.03742433198482,1570557550.090956
47,-105.04103847344763,1570557554.193952
48,-109.93024913997786,1570557564.3102117
49,-103.4333421532965,1570557569.4184263
50,-102.98602695679517,1570557577.4294398
51,-142.78360384418883,1570557582.5377269
52,-145.28280579614204,1570557586.5410945
53,-173.89154400473132,1570557600.6599836
54,-143.31170653035605,1570557618.7838852
55,-143.45889065006318,1570557639.9086459
56,-110.37087707410481,1570557650.0572422
57,-110.08855801316427,1570557655.130849
58,-61.79086369701812,1570557671.2562115
59,-63.26647679231752,1570557674.361797
60,-107.44826084341743,1570557684.4791498
61,-110.69532457817351,1570557688.5779579
62,-107.9111739016224,1570557700.695723
63,-142.59681304154986,1570557706.8083797
64,-142.48872699638224,1570557710.912868
65,-103.69628191800408,1570557716.0218298
66,-109.13211553774579,1570557722.1325111
67,-72.88659525474347,1570557726.2407203
68,-72.76972196607336,1570557730.34971
69,-64.32966924835239,1570557734.4579391
70,-63.17164857872671,1570557738.459106
71,-49.402526924205404,1570557744.6024218
72,-42.52673000976047,1570557754.6847801
73,-59.31994359860716,1570557762.7993915
74,-114.69006341856677,1570557767.9064267
75,-79.32479730387291,1570557772.017241
76,-91.005418701547,1570557781.1266363
77,-78.20967329356327,1570557792.242764
78,-82.12051807042006,1570557796.3470252
79,-116.34841702421411,1570557809.470539
80,-121.66722215475879,1570557816.5802348
81,-112.54778688910812,1570557826.6979327
82,-73.46229560646464,1570557836.8097827
83,-74.3610494815656,1570557852.8270388
84,-72.43975673044244,1570557857.9324327
85,-77.73536274205979,1570557863.0413358
86,-82.28083578831101,1570557889.1126268
87,-116.5540700377753,1570557893.1914196
88,-79.84701246997973,1570557898.2979665
89,-93.83234383837187,1570557905.4048288
90,-125.17182231472935,1570557911.5169752
91,-120.20737419610471,1570557923.6399665
92,-121.56418504568263,1570557932.6464288
93,-77.44437856511205,1570557937.7578347
94,-84.72983277731139,1570557942.8668668
95,-54.02488823814559,1570557945.9723377
96,-110.69931704153045,1570557951.0803175
97,-142.32313811750114,1570557959.193781
98,-150.32665313324085,1570557968.3056712
99,-110.70654466055949,1570557972.4138193
100,-108.81351447438168,1570557979.5223281
101,-63.676070477053685,1570557983.6535225
102,-66.37908959246384,1570557986.7334402
