# iterator, reward, timestamp 
1,123.655319214,1567057733.0540779
2,151.507417361,1567057737.5162575
3,23.9915847778,1567057740.9809425
4,96.6875553131,1567057744.4426284
5,23.9232778549,1567057747.9043791
6,100.715239843,1567057751.3659542
7,26.5135367711,1567057754.8280432
8,108.978470167,1567057758.2911832
9,24.3382453918,1567057761.7532492
10,151.224136353,1567057766.2142107
11,24.4237581889,1567057769.6745725
12,118.354201317,1567057773.1376588
13,25.8672634761,1567057776.6018987
14,114.384969076,1567057780.0681088
15,25.3054300944,1567057783.529804
16,116.803208987,1567057786.9908345
17,25.3455638885,1567057790.452885
18,114.773591359,1567057793.9130735
19,151.038169861,1567057797.3744268
20,25.0761508942,1567057800.8355408
21,109.395821889,1567057804.2975614
22,25.0901778539,1567057807.7600176
23,115.026752154,1567057811.2256777
24,24.8990853628,1567057814.689682
25,116.690039635,1567057818.1530445
26,26.3271729151,1567057821.6159778
27,116.059422493,1567057825.0783608
28,149.89177386,1567057829.5426867
29,25.2551635106,1567057833.0045161
30,117.257316907,1567057836.4671292
31,25.3400405248,1567057839.928307
32,107.80775547,1567057843.3930764
33,24.2486000061,1567057846.8524318
34,113.182703654,1567057850.3161855
35,29.1726986567,1567057853.7838097
36,116.318265597,1567057857.2477043
37,115.612864494,1567057860.7105176
38,25.5332390467,1567057864.1727571
39,117.919445038,1567057868.6363273
40,26.6359647115,1567057872.10031
41,47.8261709213,1567057875.5598419
42,25.1348018646,1567057879.0196452
43,75.6962696711,1567057882.48183
44,28.0556678772,1567057885.9429498
45,103.436748187,1567057889.403543
46,118.84355545,1567057892.8627727
47,117.720882098,1567057894.8646882
48,24.0321556727,1567057898.3262463
49,151.189605395,1567057902.7882743
50,26.4778137207,1567057906.2480762
51,117.023428281,1567057910.7124355
52,151.746908824,1567057915.174251
53,37.1607542038,1567057918.634991
54,118.908246358,1567057922.0964835
55,23.9977836609,1567057925.5588672
56,117.466410001,1567057929.0207481
57,23.9074230194,1567057932.4834962
58,116.516153018,1567057935.9461203
59,25.3229935964,1567057939.408923
60,117.270986239,1567057942.8700337
61,25.6046056747,1567057946.3328378
62,116.253932317,1567057955.8015347
63,149.900476138,1567057960.2630413
64,25.9754260381,1567057963.7219765
65,116.57444636,1567057967.184117
66,25.5080858866,1567057970.645901
67,118.159453074,1567057974.1063159
68,25.3372589747,1567057977.5703611
69,117.013216019,1567057981.0336375
70,149.400830269,1567057986.5003402
71,24.4428714116,1567057989.9599228
72,117.551287015,1567057993.4262784
73,27.8157393138,1567057996.88786
74,117.163817088,1567058000.348637
75,136.865735054,1567058003.8124645
76,21.5136210124,1567058007.272681
77,116.679032644,1567058010.7347267
78,23.774822553,1567058014.1990187
79,86.2772862116,1567058017.6618295
80,22.4574406942,1567058021.1278563
81,216.368198395,1567058027.592852
82,22.8521029154,1567058031.0562155
83,114.683032036,1567058034.5197034
84,22.5656827291,1567058037.981961
85,23.1835842133,1567058039.985155
86,117.349187533,1567058043.4482286
87,23.649096489,1567058046.9094892
88,23.7714449565,1567058048.912005
89,24.1415103277,1567058050.9151585
90,25.2323945363,1567058052.917493
91,22.7967898051,1567058054.9202914
92,22.9506889979,1567058056.9230695
93,24.2400566737,1567058058.925661
94,23.7226088842,1567058060.927778
95,23.8216320674,1567058062.93023
96,24.0502357483,1567058064.9326663
97,23.6645539602,1567058066.934832
98,24.0631103516,1567058068.937319
99,24.1547028224,1567058070.9396198
100,24.0952968597,1567058072.9416435
101,25.1626968384,1567058074.944383
102,24.586280187,1567058076.9477718
103,25.2482891083,1567058078.950304
104,25.5404313405,1567058080.95381
105,25.6885290146,1567058082.9567652
106,26.5872875849,1567058084.9592662
107,25.0188509623,1567058086.962373
108,24.5559215546,1567058088.9646914
109,25.0774224599,1567058090.9675076
110,24.9587694804,1567058092.9705617
111,25.2301692963,1567058094.9731848
112,24.9706109365,1567058096.9756656
113,25.6257851919,1567058098.9778247
114,25.9879827499,1567058100.9796598
115,25.0289042791,1567058102.9827487
116,27.1449486415,1567058104.985542
117,28.923312823,1567058106.9878218
118,26.7221132914,1567058108.9905171
119,26.8385410309,1567058110.9925866
120,26.7817974091,1567058112.995525
121,152.380784353,1567058116.455434
122,24.3261257807,1567058119.9151168
123,24.1279999415,1567058121.9175508
124,24.5414177577,1567058123.9201527
125,24.5919624964,1567058125.9230735
126,25.6448984146,1567058127.9252079
127,25.7769823074,1567058129.9270942
128,25.1411994298,1567058131.9298928
129,26.1013110479,1567058133.9323268
130,151.516119639,1567058137.391228
131,24.0250428518,1567058140.8497014
132,24.7284968694,1567058142.8518565
133,25.4284143448,1567058144.8552341
134,116.255799929,1567058148.3206859
135,33.1329107285,1567058151.7852263
136,29.4428269068,1567058153.788173
137,27.3187160492,1567058155.7910643
