# iterator, reward, timestamp 
1,-180.23109436035156,1567097691.6570098
2,-316.0126209259033,1567097693.6592014
3,-104.90595278777512,1567097696.7659123
4,-319.39196586608887,1567097709.8857024
5,-124.12780195480474,1567097712.993369
6,-315.31333923339844,1567097716.1001716
7,-141.90243209417463,1567097719.2063465
8,-319.1061019897461,1567097722.3138103
9,-162.96560926624664,1567097725.420614
10,-319.39005851745605,1567097728.527274
11,-86.31848734621792,1567097731.6351254
12,-314.9862289428711,1567097737.7462325
13,-317.5029754638672,1567097740.8506153
14,-271.8755722264971,1567097744.9595814
15,-303.1259085032044,1567097748.0665686
16,-175.248630470293,1567097751.1738968
17,-174.42831556338302,1567097753.1775246
18,-278.47843202516816,1567097755.180916
19,-274.5920903947034,1567097758.2857509
20,-130.35732195966105,1567097761.39229
21,-46.522236357539285,1567097763.393994
22,-44.447344168620745,1567097765.396689
23,-48.09681287582226,1567097767.3980985
24,-278.01641155964694,1567097770.5041726
25,-141.03227184948355,1567097773.610329
26,-47.40743521231304,1567097775.6124685
27,-43.857121484433215,1567097777.6143982
28,-41.703228703352714,1567097779.617317
29,-40.93861585726735,1567097781.620752
30,-44.888043220760004,1567097783.6225705
31,-46.70500458344158,1567097785.624305
32,-43.05691000577317,1567097787.6272125
33,-46.92131161990199,1567097789.6288788
34,-43.63324055016114,1567097791.6317155
35,-45.3101649254911,1567097793.6331484
36,-44.07156290915229,1567097795.6345382
37,-44.48881223516224,1567097797.636726
38,-44.0285345075303,1567097799.6388686
39,-45.76023184128414,1567097801.6416914
40,-272.5321219564338,1567097806.750718
41,-88.38395137689099,1567097809.8579786
42,-47.25682110421196,1567097811.8604105
43,-43.68823265905138,1567097813.862178
44,-43.22516467694265,1567097815.8648508
45,-45.560205255855216,1567097817.867205
46,-46.76084581605957,1567097819.8703134
47,-44.81648316195463,1567097821.8724892
48,-44.22801407976876,1567097823.8747413
49,-45.02733350759194,1567097825.8771331
50,-366.46477351357623,1567097828.9842732
51,-82.04677249928542,1567097832.0908043
52,-277.80447459147496,1567097836.197943
53,-116.00002469340045,1567097839.3051567
54,-45.92254636249826,1567097841.3079102
55,-43.98825077182927,1567097843.3107336
56,-46.55225292424656,1567097845.3140988
57,-46.223510866879394,1567097847.317216
58,-43.84274702875188,1567097849.3207138
59,-194.12072949005994,1567097852.427923
60,-129.2005325215441,1567097855.533696
61,-46.100960819812094,1567097857.534306
62,-42.44449834711334,1567097859.5356517
63,-42.82259717564154,1567097861.53726
64,-43.529363950344866,1567097863.5393836
65,-44.533487437494166,1567097865.540826
66,-45.547372781512195,1567097867.5438566
67,-44.10981034840649,1567097869.547235
68,-47.38048553527647,1567097871.5515625
69,-45.561330235655525,1567097873.555639
70,-40.393888148183855,1567097875.5628903
71,-42.40838863324679,1567097877.5667377
72,-46.51439795121226,1567097879.568511
73,-44.18749357499651,1567097881.572286
74,-48.01757741998388,1567097883.5764048
75,-45.73547398199141,1567097885.5803587
76,-45.425294065823934,1567097887.5833192
77,-44.70916247727364,1567097889.5872254
78,-368.0883127900416,1567097892.6944969
79,-43.83754674272721,1567097896.8027916
80,-46.74495637146831,1567097898.8053815
81,-44.95898642485085,1567097900.8076909
82,-45.161667672203095,1567097902.809967
83,-41.651890127417815,1567097904.812546
84,-45.78434516569609,1567097906.8146842
85,-46.12180186581011,1567097908.8178592
86,-46.375999373340456,1567097910.819897
87,-46.57823871174749,1567097912.821974
88,-44.70063446756764,1567097914.8243933
89,-48.32904432525487,1567097916.8275533
90,-44.24693623688653,1567097918.8299992
91,-46.72745821646328,1567097920.83211
92,-44.677889167668624,1567097922.8335547
93,-41.856732904069744,1567097924.836254
94,-46.089056306868144,1567097926.83847
95,-45.47430744856246,1567097928.840686
96,-44.82614344773077,1567097930.8425848
97,-44.626424209605325,1567097932.8448997
98,-45.836554841052994,1567097934.847361
99,-44.246332080914385,1567097936.8497727
100,-44.39272945438017,1567097938.8520908
101,-45.617644017108105,1567097940.853992
102,-44.545433960453124,1567097942.8571024
103,-44.60778610460627,1567097944.8588285
104,-46.01581173578213,1567097946.8613327
105,-42.398117640545415,1567097948.8635137
106,-270.6661448492206,1567097951.9701612
107,-319.2751407623291,1567097959.0810208
108,-114.50006256055774,1567097962.1895475
109,-226.66034819807442,1567097965.2965024
110,-368.8707428955721,1567097972.4092264
111,-112.8408297618182,1567097975.5151398
112,-48.10986605716755,1567097977.517791
113,-44.62436542733762,1567097979.5202446
114,-44.61185898681052,1567097981.5227044
115,-45.203477740129806,1567097983.5257227
