# iterator, reward, timestamp 
1,-47.2225904322,1567202664.2945106
2,-51.8101471323,1567202667.9096973
3,-45.4503655903,1567202671.526833
4,-45.4132244436,1567202675.1425552
5,-47.6543102033,1567202678.7579536
6,-289.668560028,1567202682.3789046
7,-50.1769957378,1567202685.9928033
8,-48.4735658296,1567202689.6046357
9,-45.8231245665,1567202693.2193506
10,-47.2806219034,1567202696.8340607
11,-43.5789211595,1567202700.4499254
12,-44.5799954326,1567202704.065684
13,-48.4079723744,1567202707.6833968
14,-372.746241509,1567202711.297814
15,-44.8551280196,1567202714.9137132
16,-42.5179922757,1567202718.5310645
17,-47.6376790132,1567202722.146912
18,-46.9150207799,1567202725.763225
19,-52.9875690928,1567202729.3791475
20,-39.3483786469,1567202732.9940076
21,-46.0700606104,1567202736.6075692
22,-49.0765218082,1567202740.2272086
23,-47.6866922624,1567202743.8438423
24,-54.2833518084,1567202747.4568808
25,-53.9169560517,1567202751.07454
26,-52.471377689,1567202754.6894615
27,-54.4696117112,1567202758.3065019
28,-50.9773968813,1567202761.9221466
29,-319.753144771,1567202765.5401418
30,-46.2410651154,1567202769.1552866
31,-55.4149372868,1567202772.7704782
32,-124.171413599,1567202776.3856943
33,-43.0993438789,1567202780.0030484
34,-47.5054824906,1567202783.6186378
35,-43.787146201,1567202787.2360363
36,-53.2615260906,1567202790.8530073
37,-43.7840996747,1567202794.466915
38,-49.1734114588,1567202798.0836332
39,-41.8241949323,1567202801.6992426
40,-46.4980955289,1567202805.3159132
41,-42.5849877307,1567202808.9311314
42,-47.6941719059,1567202812.5470166
43,-50.0101968947,1567202816.1606312
44,-55.3603803767,1567202819.7763705
45,-369.542240528,1567202823.393732
46,-279.293139431,1567202827.008021
47,-52.4356599339,1567202830.622569
48,-49.1400986887,1567202834.2366588
49,-50.6523819001,1567202837.852735
50,-52.39829066,1567202841.4680061
51,-46.9529607368,1567202845.0805016
52,-373.816871293,1567202848.6991942
53,-55.2958952838,1567202852.311528
54,-50.7181889385,1567202855.927092
55,-331.31237291,1567202859.5422761
56,-51.0256405508,1567202863.1523092
57,-51.2101489754,1567202866.7678516
58,-43.9792933753,1567202870.3855114
59,-48.8677060412,1567202874.0004787
60,-50.801607745,1567202877.6161509
61,-48.5717344143,1567202881.230846
62,-308.613286659,1567202886.8454933
63,-280.116357065,1567202890.4631782
64,-47.2219273851,1567202894.071523
65,-48.1474658658,1567202897.6917253
66,-46.9753649878,1567202901.310249
67,-50.2472188077,1567202904.92305
68,-46.6692167198,1567202908.540541
69,-52.4179560726,1567202912.1582625
70,-46.506726323,1567202915.7700381
71,-50.9381217151,1567202919.3839095
72,-45.0579371949,1567202922.9988964
