# iterator, reward, timestamp 
1,-109.01634445,1567126201.0474112
2,-43.1539635581,1567126204.6655946
3,-50.1521259935,1567126208.2811558
4,-46.9249134649,1567126211.8957362
5,-48.9035280924,1567126215.511038
6,-48.3089539009,1567126219.1254058
7,-48.913036999,1567126222.7378986
8,-41.6856856736,1567126226.353671
9,-56.4143491147,1567126229.970815
10,-48.9070805231,1567126233.5826702
11,-43.0723172897,1567126237.1981378
12,-309.436531041,1567126240.8082168
13,-48.1815686882,1567126244.426723
14,-42.2162089653,1567126248.038245
15,-45.0232157159,1567126251.6529949
16,-47.0225974031,1567126255.2692482
17,-47.323391473,1567126258.8824155
18,-46.6394663125,1567126262.498844
19,-49.4694602967,1567126266.114282
20,-45.4321082013,1567126269.7296271
21,-48.5621087961,1567126273.346664
22,-50.3628258818,1567126276.9595175
23,-49.882897496,1567126280.574807
24,-43.0924800003,1567126284.1907997
25,-43.3340125522,1567126287.805302
26,-48.0972554989,1567126291.421644
27,-47.6959304716,1567126295.0369437
28,-48.7554986125,1567126298.6526818
29,-43.695561214,1567126302.2699974
30,-48.3242116694,1567126305.886418
31,-43.5390103535,1567126309.5031893
32,-48.0632106176,1567126313.117849
33,-42.2242625274,1567126316.733734
34,-49.388528125,1567126320.3508224
35,-37.9149058009,1567126323.9672863
36,-48.7531597963,1567126327.582156
37,-44.7031982623,1567126331.1969354
38,-54.3474473281,1567126334.8133578
39,-38.1039253932,1567126338.4310474
40,-50.2216615752,1567126342.0465057
41,-47.248180453,1567126345.6625986
42,-47.9587655987,1567126349.2782543
43,-44.2915680679,1567126352.8911767
44,-50.6841525563,1567126356.5063503
45,-45.2744964702,1567126360.1219757
46,-50.2096305632,1567126363.7383003
47,-372.34513537,1567126367.3474662
48,-51.6755657859,1567126370.9625707
49,-44.6421754917,1567126374.5798395
50,-278.322544957,1567126380.194612
51,-55.5686905383,1567126383.8085759
52,-48.8846456924,1567126387.4253168
53,-50.2916448208,1567126391.0397859
54,-48.052489025,1567126394.6593492
55,-48.5053485718,1567126398.27228
56,-46.1196182204,1567126401.8872247
57,-50.3689311332,1567126405.502728
58,-47.2783847734,1567126409.115653
59,-51.8987600456,1567126412.728989
60,-47.6999915539,1567126416.3446636
61,-46.8419253735,1567126419.9582646
62,-41.1616116088,1567126423.5740488
63,-44.1004509935,1567126427.1892798
64,-43.8600672266,1567126430.8043296
65,-39.9392191775,1567126434.419743
66,-40.1843810024,1567126436.422682
67,-36.2545888622,1567126438.4258044
68,-315.076828003,1567126442.0382273
69,-44.7668721521,1567126445.6502836
70,-37.098266451,1567126449.2628736
71,-31.5138601488,1567126451.2666416
72,-37.414891406,1567126453.2693372
73,-39.8871789395,1567126455.2726324
74,-34.3460928436,1567126457.2753086
75,-39.6316026405,1567126459.2785196
76,-303.04260658,1567126462.8889625
77,-35.1461570761,1567126466.5049634
78,-36.1076013551,1567126470.12193
79,-40.4648457426,1567126472.1245515
80,-35.4399477191,1567126474.1263788
81,-39.342596366,1567126476.1254015
82,-37.8693729483,1567126478.132053
83,-31.2259852394,1567126480.1354249
84,-41.837903676,1567126482.1387935
85,-35.4612644882,1567126484.1424234
86,-31.2516494761,1567126487.7551262
87,-42.0385530573,1567126491.3685486
88,-40.0688911921,1567126494.9848657
89,-44.9766022383,1567126496.988313
90,-40.8651294956,1567126500.6042697
91,-424.513339996,1567126507.2196798
92,-45.2523351173,1567126510.8347082
93,-43.6047720698,1567126514.4527974
94,-40.5781123036,1567126516.4550302
95,-44.5757652242,1567126520.0722876
96,-38.2240622454,1567126523.6867018
97,-41.7316665685,1567126527.302648
98,-32.8625554351,1567126529.3022883
99,-43.2010955834,1567126531.3075175
100,-34.4842287629,1567126533.3085766
101,-38.0615364735,1567126535.3139775
102,-38.0657563279,1567126537.3143044
103,-263.889628106,1567126540.9282598
104,-38.7382238472,1567126544.5414948
105,-42.2308884801,1567126546.5439527
106,-42.9754498647,1567126548.5464582
107,-40.4167865035,1567126550.5518188
108,-47.573084761,1567126552.5523403
109,-44.9973170856,1567126556.1683211
110,-43.6178513758,1567126559.7807178
111,-38.8183589145,1567126563.39655
112,-43.632804269,1567126567.0174878
113,-42.3862218304,1567126570.6301143
114,-40.6706394734,1567126574.2423675
115,-41.8159345205,1567126577.857738
116,-41.9427731139,1567126581.4700723
117,-38.7590227152,1567126585.0856082
118,-43.3994376022,1567126588.7009702
119,-36.2292263838,1567126592.3131518
120,-40.7317277521,1567126595.929022
121,-41.3289831958,1567126599.5455222
122,-42.683400287,1567126603.1592374
123,-39.7380726023,1567126606.7746274
124,-38.4132274586,1567126610.3893583
125,-52.9838633795,1567126613.9980795
126,-43.4597248019,1567126617.6190915
127,-41.1614843505,1567126621.2342896
128,-364.051665379,1567126627.8533945
129,-46.6631670231,1567126631.4652755
130,-273.919750553,1567126635.0744221
131,-109.772937628,1567126638.6903694
132,-39.0479145248,1567126642.3028255
133,-42.9756477348,1567126645.9155755
134,-36.6381383231,1567126649.532641
135,-49.4245815358,1567126653.1498218
136,-41.8311471262,1567126656.7618425
137,-39.8495543603,1567126660.376063
138,-38.4416460271,1567126662.379055
139,-42.006220217,1567126664.3821704
140,-38.8896708602,1567126666.3850727
