# iterator, reward, timestamp 
1,-86.396955511,1566747938.1306295
2,-32.5551536909,1566747940.132869
3,-33.2817389436,1566747942.1348276
4,-33.8282717153,1566747944.1373425
5,-32.9660853284,1566747946.1400318
6,-32.8500326212,1566747948.142887
7,-33.0174499592,1566747950.1451774
8,-156.81472913,1566747953.4526765
9,-214.492357337,1566747955.4550488
10,-92.3039771303,1566747958.7640746
11,-229.607938492,1566747965.0764883
12,-65.1009724042,1566747968.3842578
13,-32.9565585185,1566747970.3856394
14,-33.0169313953,1566747972.3887992
15,-32.6543544404,1566747974.392151
16,-305.474794623,1566747983.7065125
17,-32.6073024982,1566747988.0165925
18,-36.1445914614,1566747990.019726
19,-225.191285943,1566747994.3303707
20,-79.7901048498,1566747997.6385455
21,-37.7897924121,1566747999.6414878
22,-35.8475177741,1566748001.643858
23,-35.5281514979,1566748003.6462207
24,-36.5324056375,1566748005.6494427
25,-35.8610199309,1566748007.6511993
26,-221.091409108,1566748010.9577591
27,-59.3020809004,1566748014.2663364
28,-36.2044281282,1566748016.2690456
29,-36.4347047891,1566748018.271531
30,-36.3416826826,1566748020.2741451
31,-36.9543741076,1566748022.2760572
32,-36.5080506844,1566748024.2787673
33,-36.3632424519,1566748026.28204
34,-36.3180504321,1566748028.2850692
35,-36.6432680488,1566748030.2881298
36,-35.8544155136,1566748032.2898352
37,-35.7665794273,1566748034.2926805
38,-36.3938458709,1566748036.2959647
39,-36.0648627333,1566748038.2989504
40,-35.3955992551,1566748040.3023574
41,-35.6454857237,1566748042.3049295
42,-36.7026055383,1566748044.3073065
43,-36.3240975346,1566748046.3095436
44,-35.81102354,1566748048.3113256
45,-36.4353511924,1566748050.313435
46,-35.795798211,1566748052.3165584
47,-36.5319437228,1566748054.318809
48,-36.7018956439,1566748056.321509
49,-35.9144776085,1566748058.3251069
50,-36.3313047071,1566748060.3275657
51,-36.324170819,1566748062.3299751
52,-35.9007483339,1566748064.3322444
53,-36.269099631,1566748066.3344903
54,-35.6374629052,1566748068.3373501
55,-35.8900270968,1566748070.3401182
56,-37.0666764391,1566748072.3423977
57,-36.3903022431,1566748074.3450952
58,-36.2161698114,1566748076.3478339
59,-36.2122051836,1566748078.3501778
60,-36.3002843414,1566748080.352293
61,-36.549809308,1566748082.35425
62,-36.9714261959,1566748084.3565605
63,-36.3729841355,1566748086.3595715
64,-35.2531294559,1566748088.3627439
65,-36.2658945486,1566748090.3647432
66,-36.1696248504,1566748092.3675206
67,-36.454284,1566748094.3703883
68,-36.6481159714,1566748096.3734946
69,-305.551839062,1566748099.680389
70,-98.1194763412,1566748102.98737
71,-36.7364222914,1566748104.9903011
72,-36.2366851326,1566748106.9922981
73,-35.8521616152,1566748108.9954743
74,-36.0828136973,1566748110.998499
75,-307.478961563,1566748118.3106632
76,-228.930048581,1566748121.6193893
77,-86.3988304468,1566748124.927514
78,-36.2261057038,1566748126.9301457
79,-36.4694849157,1566748128.932853
80,-36.1886855973,1566748130.9357386
81,-36.6953529101,1566748132.938203
82,-36.3094732101,1566748134.939986
83,-36.3551895669,1566748136.9427552
84,-35.672222386,1566748138.9455943
85,-35.9264661486,1566748140.9482505
86,-227.184326116,1566748145.258263
87,-66.425423266,1566748148.5652635
88,-37.2623027269,1566748150.5681286
89,-36.8573011479,1566748152.570532
90,-36.1629914319,1566748154.573143
91,-36.3394153151,1566748156.575743
92,-36.0118775955,1566748158.579299
93,-37.1674761274,1566748160.580995
94,-35.5605806526,1566748162.583651
95,-36.2854680039,1566748164.586526
96,-36.1499205842,1566748166.5889146
97,-35.5581749838,1566748168.5920525
98,-37.1255180707,1566748170.5946734
99,-35.8891344562,1566748172.5968506
100,-304.770436491,1566748177.905517
101,-111.61642289,1566748181.212774
102,-36.6065554186,1566748183.21538
103,-226.083787607,1566748186.523088
104,-77.4497811757,1566748189.8310642
105,-36.5523810873,1566748191.8334596
106,-35.5602878622,1566748193.8359184
107,-36.2277128733,1566748195.8387284
108,-35.3163878207,1566748197.842481
109,-36.4646374721,1566748199.846077
110,-37.1023406655,1566748201.8486304
111,-36.6526659803,1566748203.8514798
112,-36.2099656263,1566748205.8541033
113,-36.3298825418,1566748207.8579586
114,-36.9833272053,1566748209.86154
115,-36.6890162796,1566748211.8644247
116,-36.3354697772,1566748213.867354
117,-36.0877042472,1566748215.871407
118,-35.5531347412,1566748217.875297
119,-36.3076449587,1566748219.8788662
120,-35.6492922282,1566748221.882278
121,-35.8213963116,1566748223.8851418
122,-36.8131606603,1566748225.8884177
123,-35.5378374745,1566748227.8913083
124,-36.4778278888,1566748229.893852
125,-37.7134275822,1566748231.8970194
126,-35.9251744903,1566748233.9001815
127,-35.7809588438,1566748235.9021997
128,-36.2710657,1566748237.9051738
129,-35.9199525353,1566748239.908165
130,-36.3562192321,1566748241.9107485
131,-35.1915215452,1566748243.9144132
132,-272.59081189,1566748247.222843
133,-37.4461275807,1566748250.5300221
134,-36.2414123418,1566748252.5323882
135,-166.568180004,1566748255.8417923
136,-92.8433401112,1566748259.1510959
137,-36.6581666592,1566748261.15398
138,-35.5642361538,1566748263.1568801
139,-228.780342975,1566748272.4701397
140,-67.4956495248,1566748275.7771318
141,-108.640618765,1566748279.0858195
142,-35.7174130042,1566748282.393785
143,-35.3263255157,1566748284.3952987
144,-35.4410004659,1566748286.3979378
145,-34.6116916516,1566748288.3999887
146,-36.0073976315,1566748290.4031374
147,-34.702361089,1566748292.4058096
148,-35.7585267776,1566748294.4073179
149,-36.2445682679,1566748296.4089208
150,-36.0755984765,1566748298.4110694
151,-36.0963223124,1566748300.4129932
152,-35.9318658145,1566748302.4150023
153,-36.1416972558,1566748304.4179535
154,-35.539048903,1566748306.420123
155,-34.6209016635,1566748308.421751
156,-35.6171501237,1566748310.4239495
157,-35.2157959658,1566748312.4257221
158,-35.3707306074,1566748314.4286027
159,-35.5570753335,1566748316.4311454
160,-36.27897782,1566748318.4332073
161,-35.8851932807,1566748320.4354262
162,-36.8944326422,1566748322.4382365
163,-227.013378498,1566748325.745675
164,-226.906999852,1566748327.7479467
165,-80.5677779724,1566748331.0553436
166,-35.6570039112,1566748333.0585196
167,-36.5924937925,1566748335.0608697
168,-36.1928513103,1566748337.0636833
169,-36.145916111,1566748339.0663362
170,-36.4631037201,1566748341.0690644
171,-35.0843059441,1566748343.0711699
172,-35.6070857796,1566748345.073791
173,-214.918441036,1566748348.3812096
174,-40.9119704674,1566748351.6911914
175,-155.424764682,1566748355.001865
176,-99.2943742534,1566748358.3097813
177,-36.3199028188,1566748360.3117049
178,-36.8633526992,1566748362.3147256
179,-35.2075692746,1566748364.3163488
180,-35.4609125919,1566748366.3187218
181,-35.2083820304,1566748368.3209548
182,-36.3972180885,1566748370.3235013
183,-36.5198500731,1566748372.3259304
184,-231.710560471,1566748375.6330235
185,-69.6896049423,1566748378.9405773
186,-35.5125525125,1566748380.9428973
187,-35.6602463296,1566748382.9450586
188,-306.2280431,1566748386.2532003
189,-229.63912716,1566748390.5629199
190,-64.330950643,1566748393.8708625
191,-35.7897058472,1566748395.873346
192,-36.8607567486,1566748397.8756626
193,-36.1636976885,1566748399.8775916
194,-36.3753081729,1566748401.8801286
195,-36.2883807092,1566748403.8820615
196,-35.7955657601,1566748405.884363
197,-35.6329319826,1566748407.8864686
198,-35.9097030931,1566748409.8882813
199,-36.1128941574,1566748411.890657
200,-36.346328655,1566748413.8935983
201,-36.4205637403,1566748415.8955047
202,-35.2291665198,1566748417.8981714
203,-306.139197543,1566748423.209608
204,-108.601148696,1566748426.5174024
205,-35.6401333839,1566748428.5195217
206,-36.0447473424,1566748430.5222332
207,-308.915831923,1566748434.832351
208,-68.3988943837,1566748438.1400192
209,-285.400419265,1566748441.4479392
210,-36.0656323799,1566748444.7550952
211,-36.5887760547,1566748446.7571332
212,-35.3006336571,1566748448.759118
213,-35.5050240123,1566748450.761394
214,-35.3989153921,1566748452.7643244
215,-36.2251890669,1566748454.766697
216,-35.3352698602,1566748456.7690961
217,-36.4550135811,1566748458.771938
218,-36.3955298582,1566748460.774516
219,-36.2662908982,1566748462.7772174
220,-36.6323834423,1566748464.7789018
221,-36.6307555719,1566748466.780624
222,-35.6248611649,1566748468.7835054
223,-37.1879895579,1566748470.786124
224,-36.7859483471,1566748472.7895455
225,-36.5870105975,1566748474.791612
226,-35.8865081308,1566748476.794715
227,-36.3724176052,1566748478.797091
228,-36.7583324846,1566748480.8002362
229,-35.9903839253,1566748482.8036122
230,-36.7013567244,1566748484.8057837
231,-35.0265260408,1566748486.8089724
232,-36.0371774305,1566748488.8113887
233,-36.7069913899,1566748490.8126261
234,-35.4370480473,1566748492.8157413
235,-216.453762536,1566748496.1242864
236,-92.2025524013,1566748499.434466
237,-35.6283953022,1566748501.4382083
238,-35.9051565569,1566748503.4408398
239,-36.0870694714,1566748505.4439678
240,-35.9278455721,1566748507.4462302
241,-36.0028931182,1566748509.4493504
242,-37.0338661394,1566748511.452801
243,-36.5098571682,1566748513.4550838
244,-36.6069300541,1566748515.457564
245,-36.9627034554,1566748517.460305
246,-36.2266425172,1566748519.463442
247,-35.8102079058,1566748521.466894
248,-217.253593508,1566748528.78211
249,-56.4503630661,1566748532.090605
