# iterator, reward, timestamp 
1,89.5204544067,1566749140.9017084
2,24.6242284775,1566749144.009318
3,23.1959819794,1566749146.0130596
4,22.7583646774,1566749148.015778
5,22.3271846771,1566749150.0187836
6,22.4202871323,1566749152.0217094
7,21.5290784836,1566749154.0249527
8,20.179271698,1566749156.027373
9,22.7390527725,1566749158.0309687
10,20.6211805344,1566749160.0333557
11,23.2754945755,1566749162.0362942
12,22.5231647491,1566749164.0395963
13,20.9550857544,1566749166.0431058
14,23.2075452805,1566749168.0458724
15,22.4502086639,1566749170.048637
16,22.554397583,1566749172.0512288
17,19.6259021759,1566749174.0545533
18,21.1405754089,1566749176.0581656
19,21.5318202972,1566749178.069012
20,22.5071907043,1566749180.070716
21,23.819565773,1566749182.0731065
22,20.3542709351,1566749184.0765355
23,21.6617584229,1566749186.0791829
24,22.2638845444,1566749188.08233
25,20.0372934341,1566749190.0857778
26,23.1450796127,1566749192.0893624
27,21.8152999878,1566749194.0928943
28,21.7455625534,1566749196.095564
29,22.4556922913,1566749198.098456
30,23.112654686,1566749200.1017067
31,23.0013132095,1566749202.1038375
32,21.9839811325,1566749204.1068897
33,23.086309433,1566749206.1105525
34,22.0175981522,1566749208.1138687
35,22.6432085037,1566749210.1166763
36,21.6629505157,1566749212.1196105
37,22.8250026703,1566749214.1219323
38,25.8141756058,1566749216.1250775
39,24.0520238876,1566749218.1276984
40,25.7349014282,1566749220.1306953
41,25.3213644028,1566749222.1341853
42,25.0195264816,1566749224.1369715
43,215.809702873,1566749229.246044
44,39.8219823837,1566749232.35408
45,24.6311426163,1566749234.3572671
46,22.9544639587,1566749236.3589072
47,23.2512950897,1566749238.3613112
48,25.3947973251,1566749240.3637304
49,24.0000486374,1566749242.366942
50,26.5257358551,1566749244.3703592
51,24.9410867691,1566749246.3734243
52,24.7350931168,1566749248.3762596
53,23.9983797073,1566749250.3796675
54,24.8652696609,1566749252.382241
55,39.4266843796,1566749255.4901135
56,25.2184867859,1566749258.596581
57,24.6276855469,1566749260.5996249
58,215.147614479,1566749264.7088375
59,25.8460044861,1566749267.816672
60,216.222524643,1566749272.924473
61,116.681516171,1566749276.0324073
62,159.858822823,1566749280.1398733
63,30.3375720978,1566749283.2482512
64,25.1708030701,1566749285.2508328
65,25.0625610352,1566749287.2526426
66,24.6633291245,1566749289.2570198
67,25.1579284668,1566749291.2599673
68,24.2013931274,1566749293.2632852
69,24.5276689529,1566749295.2668123
70,24.2127180099,1566749297.269153
71,25.3518819809,1566749299.2736666
72,25.4448652267,1566749301.276979
