# iterator, reward, timestamp 
1,-60.155396580760545,1574360314.2215395
2,-45.23868960162329,1574360316.3276236
3,-67.77398698023659,1574360319.4340098
4,-74.79926578545881,1574360323.5415769
5,-41.469450327153396,1574360325.6473825
6,-74.83286338306152,1574360327.7530785
7,-81.87265270091304,1574360329.8586562
8,-59.88606864981493,1574360332.0181334
9,-54.40942293987558,1574360334.0758018
10,-70.11224488943188,1574360341.1873622
11,-70.57934035381983,1574360344.296329
12,-56.28118067334916,1574360347.404431
13,-75.17063159827423,1574360352.5132291
14,-74.46372655572226,1574360354.6175876
15,-81.16083807434335,1574360357.7270205
16,-69.19684602491749,1574360360.8340144
17,-56.7766705514095,1574360362.9433403
18,-69.56216138455257,1574360365.0479982
19,-75.14520728344775,1574360367.1561856
20,-57.45903080597922,1574360369.2615733
21,-68.56106425969125,1574360371.3654096
22,-75.24672825526427,1574360373.474223
23,-67.51211723077742,1574360376.580984
24,-73.80568103592819,1574360381.699008
25,-74.00708862611177,1574360385.8088582
26,-55.613662236092495,1574360389.9154496
27,-56.512135638650605,1574360392.0255573
28,-43.26927304561648,1574360394.1349678
29,-72.97015084585229,1574360397.2459471
30,-57.66660581411445,1574360399.3533654
31,-73.67616830032428,1574360403.4596648
32,-72.96530944915449,1574360406.5623105
33,-39.181647548833844,1574360408.6701217
34,-55.55698652652355,1574360410.777024
35,-41.51356179500918,1574360412.8834543
36,-63.67668883817434,1574360414.9901102
37,-57.22491278802228,1574360418.1013694
38,-74.14229014781388,1574360420.2071137
39,-72.03516302312401,1574360423.3107562
40,-79.57902414548666,1574360427.418725
41,-57.60038035296312,1574360429.5263395
42,-68.72663477866317,1574360431.6314762
43,-57.25075662067643,1574360433.7376404
44,-78.42770277329907,1574360435.843013
45,-68.45564933328423,1574360437.9512308
46,-79.34661539736564,1574360442.0566504
47,-66.04440437110564,1574360444.1641867
48,-79.22023357520813,1574360447.2720509
49,-72.26883004776607,1574360449.3790414
50,-59.96358007686904,1574360451.4850569
51,-86.14597548456119,1574360461.5995085
52,-84.85009372921601,1574360463.7048833
53,-72.37784605939176,1574360465.814918
54,-80.51703819977615,1574360467.92132
55,-84.41120232836411,1574360479.0442612
56,-74.5958423101684,1574360482.148235
57,-86.30627256440508,1574360484.2545335
58,-83.08058659826833,1574360487.3598619
59,-74.76379537471244,1574360492.4715233
60,-73.51695926125457,1574360494.5821319
61,-75.16433023684148,1574360496.684796
62,-89.90641946995852,1574360499.7957735
63,-73.7825779206409,1574360505.9043527
64,-84.93315865508302,1574360509.012127
65,-84.42561906728992,1574360515.1224213
66,-89.7688174971333,1574360521.2352984
67,-80.99856389731465,1574360523.3424923
68,-70.87370118632302,1574360525.4505892
69,-69.5366772863501,1574360527.5554798
70,-92.63528437398914,1574360530.6631098
71,-79.19756822369685,1574360534.770777
72,-83.10668595816757,1574360541.8839643
73,-84.52263780497594,1574360545.9910426
74,-88.9292852277955,1574360550.1023335
75,-83.9496912025642,1574360552.2082362
76,-72.89335564696032,1574360554.315119
77,-56.85040451194188,1574360556.4196897
78,-68.23385273876211,1574360558.5270526
79,-51.07898962431112,1574360560.6348293
80,-67.68698497725698,1574360562.7422683
81,-58.514621532342574,1574360564.8484874
82,-51.270994930070046,1574360566.9517064
83,-56.977461002150065,1574360569.0576215
84,-69.27692699913239,1574360571.1606169
85,-72.62530771606508,1574360573.2696855
86,-62.65772397071491,1574360578.3800776
87,-66.8872685929231,1574360582.4886377
88,-70.04262543266054,1574360586.59958
89,-62.86019253474566,1574360590.7101958
90,-70.31410427017394,1574360593.8142903
91,-57.02220150753642,1574360595.9171374
92,-72.45124200303454,1574360599.027363
93,-63.73960224464002,1574360601.1328783
94,-41.79951921797274,1574360603.241782
95,-51.93039614113073,1574360605.3478093
96,-71.9066759088226,1574360608.458262
97,-53.87042497953433,1574360611.564791
98,-61.04555116592164,1574360613.6713493
99,-70.18178900232236,1574360617.7792616
100,-72.6371046282747,1574360619.8854098
101,-58.124249275534716,1574360621.9925685
102,-65.38155641282083,1574360624.0996857
103,-59.18652447908526,1574360627.2059803
104,-69.93786470056685,1574360629.3190491
105,-62.68574093193966,1574360631.4271173
106,-52.70778872208762,1574360634.5347164
107,-73.29084625440758,1574360641.6406846
108,-68.61565877435727,1574360644.7526598
109,-68.27639470433647,1574360650.8621159
110,-50.8335877652481,1574360655.9718218
111,-73.85938401917824,1574360659.0803614
112,-49.787064706346264,1574360661.1889822
113,-69.4960006424342,1574360663.3002152
114,-72.39367163576067,1574360669.4042249
