# iterator, reward, timestamp 
1,40.1312410831,1574439894.6180267
2,56.2490224838,1574439899.6711364
3,74.8618543148,1574439902.7897282
4,77.5362253189,1574439905.897103
5,77.6945352554,1574439911.0059783
6,67.8067803383,1574439913.1092787
7,38.1534397602,1574439915.2165403
8,63.1839931011,1574439917.3259373
9,58.5696697235,1574439926.4266226
10,64.4547939301,1574439928.5430317
11,59.7849488258,1574439930.6362827
12,59.3155920506,1574439932.752602
13,72.5110769272,1574439935.868462
14,74.4663178921,1574439938.9604511
15,78.4804522991,1574439941.066472
16,81.3792943954,1574439944.1875374
17,80.2234113216,1574439955.302881
18,69.5401132107,1574439958.409879
19,80.3745388985,1574439960.519705
20,81.7080438137,1574439968.5386057
21,60.5680644512,1574439971.6435697
22,64.2459392548,1574439973.6376472
23,61.3139271736,1574439975.7521176
24,70.0798928738,1574439977.8595965
25,47.6036667824,1574439980.9588826
26,51.4017641544,1574439987.9652793
27,66.0701990128,1574439990.0732503
28,52.7372658253,1574439996.198873
29,49.6293306351,1574439998.1891263
30,63.5368227959,1574440000.300957
31,55.7121038437,1574440002.4073346
32,56.8912625313,1574440004.5083375
33,75.4477381706,1574440007.6680405
34,76.8586099148,1574440009.6165068
35,79.0756642818,1574440013.7368555
36,66.6017234325,1574440017.849324
37,81.1353027821,1574440020.9481091
38,89.1032516956,1574440027.0725722
39,78.7797868252,1574440030.1830316
40,78.3154964447,1574440033.186705
41,58.3731532097,1574440035.294616
42,40.3132140636,1574440037.4025989
43,42.8150892258,1574440039.3960466
44,52.4376034737,1574440041.5027235
45,52.7106523514,1574440044.6213064
46,68.0992305279,1574440048.7300553
47,62.8633201122,1574440050.835203
48,59.9105358124,1574440052.9417279
49,80.4759860039,1574440057.0516381
50,69.5191323757,1574440060.157434
51,75.9585797787,1574440062.2620687
52,80.0103843212,1574440067.37258
53,76.3010978699,1574440071.3672767
54,77.0133137703,1574440076.4903479
55,68.8247978687,1574440079.5976562
56,78.1126320362,1574440082.7055566
57,70.5139040947,1574440085.8127632
58,79.2137086391,1574440087.9136512
59,69.9199438095,1574440090.0150957
60,78.7637531757,1574440094.133602
61,78.8308382034,1574440096.138458
62,78.5878002644,1574440098.2436972
63,68.4391260147,1574440100.3477607
64,76.3412714005,1574440109.4680068
65,66.6830837727,1574440111.5604153
66,76.4409005642,1574440114.6694274
67,77.7699649334,1574440117.7822406
68,91.8394327164,1574440119.8809435
69,76.4514803886,1574440125.9880197
70,76.87535882,1574440132.1235657
71,57.1899712086,1574440134.2298398
72,71.0121691227,1574440136.3294606
73,69.8443353176,1574440138.3381817
74,56.276589632,1574440143.439379
75,54.7670722008,1574440146.4406016
76,68.168759346,1574440149.5526552
77,61.8287622929,1574440152.6540864
78,70.1927542686,1574440154.7602317
79,65.4130578041,1574440157.8725767
80,67.3730075359,1574440159.9715214
81,69.1775679588,1574440161.9832656
82,53.9446473122,1574440165.0837204
83,54.7575950623,1574440168.188844
84,56.5967261791,1574440170.3100522
85,67.7578747272,1574440173.4078882
86,70.3469216824,1574440176.5078712
87,69.1905319691,1574440179.6185956
88,53.5326302052,1574440181.730035
89,55.8822751045,1574440185.8460271
90,52.7740120888,1574440187.950305
91,66.7084753513,1574440190.0449426
92,54.0896952152,1574440192.150613
93,67.1266913414,1574440195.2693167
94,65.7739043236,1574440197.373369
95,47.7152764797,1574440201.4834967
96,43.7171757221,1574440203.5917506
97,57.0847094059,1574440205.698661
98,69.1723525524,1574440208.8037336
99,59.8021447659,1574440210.9136162
100,60.9521269798,1574440213.0173533
101,62.3518824577,1574440216.0254364
102,63.8827085495,1574440218.119678
103,67.7643418312,1574440221.1388
104,56.5011501312,1574440224.2451499
105,43.5368418694,1574440226.338759
106,71.2403357029,1574440228.4560134
107,79.178750515,1574440230.566985
108,79.5263946056,1574440232.6755447
109,68.5496032238,1574440235.7815268
110,69.7472989559,1574440238.8868058
111,55.0696253777,1574440242.9971304
112,68.5894489288,1574440245.1050823
113,55.1455318928,1574440247.213623
114,52.3943901062,1574440249.3178513
115,79.3346166611,1574440252.4170752
116,75.9571790695,1574440254.520329
117,78.8106620312,1574440256.534391
118,67.8503811359,1574440258.6436076
119,73.3157396317,1574440260.7503319
120,80.2161097527,1574440263.7538667
121,62.4821782112,1574440265.8617938
122,63.4326636791,1574440267.8531308
123,57.3293566704,1574440269.969559
124,67.7007138729,1574440271.9672163
125,67.4386024475,1574440276.0788598
126,67.7427947521,1574440278.1884966
127,70.10820508,1574440282.287286
128,57.2129487991,1574440285.4045918
129,82.9941928387,1574440287.5110266
130,84.365606308,1574440289.5227268
131,75.4155516624,1574440294.6266403
132,81.5272331238,1574440297.7282765
133,80.8792412281,1574440299.7387896
134,55.3499758244,1574440301.8445287
135,63.6905431747,1574440303.9500146
136,61.2441897392,1574440306.057568
137,48.9844381809,1574440308.1566143
138,49.4420826435,1574440310.2748127
139,49.5683252811,1574440312.3836951
140,48.4717488289,1574440314.5020347
141,53.0967712402,1574440318.6101916
142,62.1600747108,1574440320.7180464
143,54.7346770763,1574440323.8159325
