# iterator, reward, timestamp 
1,-53.09907698503304,1574440014.3300745
2,-66.80241200643182,1574440018.4372785
3,-76.70779674757298,1574440025.545495
4,-67.19049324838956,1574440027.6527817
5,-52.25138302973641,1574440030.7580743
6,-53.41920446771998,1574440034.8670535
7,-51.510616038097645,1574440036.9728153
8,-75.44376112136393,1574440039.0775309
9,-51.944494526964526,1574440044.1853776
10,-66.13958649627887,1574440047.2918627
11,-53.17419487384276,1574440050.3977187
12,-64.62265520473774,1574440053.5047665
13,-72.3317239332453,1574440055.610629
14,-66.2746424574333,1574440058.7156818
15,-52.30180419187143,1574440061.8205338
16,-66.42957286855994,1574440064.9258337
17,-64.10489635130392,1574440068.0317159
18,-65.83714499886632,1574440071.1374931
19,-84.79073018073952,1574440076.286445
20,-67.10370732863856,1574440080.3548958
21,-84.73417135004335,1574440085.46432
22,-82.83331689109257,1574440088.5708091
23,-85.56276501794795,1574440092.676831
24,-85.84929277807622,1574440096.78513
25,-65.18460632057032,1574440099.8936305
26,-85.07677492650323,1574440103.999465
27,-86.73862086310388,1574440109.108788
28,-85.16849244238749,1574440113.217179
29,-84.40438272714016,1574440116.3225465
30,-52.1663288034795,1574440119.42597
31,-85.48209609304065,1574440124.5352726
32,-77.6186135431443,1574440127.6431851
33,-85.90352718972218,1574440130.750166
34,-85.60204289861642,1574440133.8552668
35,-85.79388029912488,1574440137.9626813
36,-86.04411445934359,1574440141.0687823
37,-85.03044959802416,1574440143.1738029
38,-66.61055092504309,1574440145.2799857
39,-81.01376932524279,1574440150.3867145
40,-79.84431836390672,1574440152.4935453
41,-82.54453129164764,1574440155.6011364
42,-87.35093112602395,1574440161.7102268
43,-83.02527803388172,1574440163.8148506
44,-76.78164236320683,1574440165.9214847
45,-85.75057910964999,1574440169.028632
46,-77.24275928183204,1574440171.133689
47,-101.37399439195259,1574440183.249199
48,-77.68970489900619,1574440185.3548517
49,-84.92880606009362,1574440188.4601464
50,-84.4291871585058,1574440196.571381
51,-87.32471083433266,1574440200.6796606
52,-102.24754051965041,1574440205.7887874
53,-86.26220260203407,1574440211.8994808
54,-76.04420434304929,1574440216.006179
55,-81.66648122082688,1574440221.115634
56,-87.0782279351286,1574440229.2255883
57,-82.45042699628776,1574440234.3346746
58,-79.37600705100266,1574440236.439508
59,-82.67493114845362,1574440239.5461812
60,-67.04243988550131,1574440241.6505797
61,-52.001172217079414,1574440243.7545724
62,-74.31136314214274,1574440250.8649209
63,-51.19868894497852,1574440252.9716256
64,-69.09656237750738,1574440256.0776165
65,-51.74167666593342,1574440260.1860027
66,-50.069644991467825,1574440262.2915428
67,-63.84981969259944,1574440264.3984902
68,-48.39608241384567,1574440266.503093
69,-67.14174474494712,1574440269.609249
70,-49.08288240679654,1574440272.711456
71,-60.725374104868656,1574440275.8215535
72,-71.78111928147072,1574440277.9278944
