# iterator, reward, timestamp 
1,-58.2535313839,1575310792.6004162
2,-69.78477696,1575310793.6525812
3,-64.8598515272,1575310798.66647
4,-50.5939569367,1575310800.7717814
5,-57.6903268143,1575310802.8779964
6,-62.0177907134,1575310803.9854732
7,-39.6360837549,1575310806.0929112
8,-20.3782474169,1575310808.2020745
9,-21.8879662439,1575310809.3056862
10,-52.8214454121,1575310811.41236
11,-75.3801194552,1575310813.5197089
12,-81.3456480036,1575310817.6299448
13,-65.672058338,1575310819.7395024
14,-78.9905040064,1575310821.7468739
15,-64.5037476661,1575310822.8436055
16,-54.162642618,1575310824.9493973
17,-72.6511479519,1575310826.0653691
18,-64.4830069645,1575310828.1769466
19,-41.3430378994,1575310830.285247
20,-42.9187770173,1575310831.3921826
21,-54.1219370236,1575310833.4992425
22,-41.3108945729,1575310835.6077118
23,-43.733234742,1575310836.7239208
24,-54.2541024848,1575310841.82547
25,-65.964660358,1575310844.9401903
26,-51.6182966468,1575310847.0492566
27,-46.5319846322,1575310850.1559746
28,-25.3422338034,1575310852.2646143
29,-42.4233646532,1575310854.3588352
30,-46.533158854,1575310855.4624178
31,-71.8454067078,1575310857.5824723
32,-68.8004494167,1575310858.688032
33,-63.428714301,1575310859.821784
34,-23.6434823641,1575310861.8974063
35,-43.7492443634,1575310864.0059507
36,-41.9992824962,1575310865.1044269
37,-54.6101804368,1575310867.1175005
38,-65.8815324341,1575310869.222371
39,-70.1828142536,1575310872.3337197
40,-69.1090282019,1575310873.33281
41,-61.1414709668,1575310874.441301
42,-70.3304527556,1575310876.5457664
43,-69.8486837634,1575310881.5503855
44,-55.7789095075,1575310883.6559637
45,-38.2609163082,1575310885.756977
46,-47.762104102,1575310886.8713999
47,-95.1409748398,1575310890.980887
48,-92.8255735096,1575310892.9829302
49,-96.014412698,1575310897.09257
50,-73.968838898,1575310899.1964185
51,-67.120592323,1575310908.1976452
52,-60.2909372716,1575310910.3199034
53,-38.0345053115,1575310911.4164383
54,-33.3442448203,1575310912.5200543
55,-42.1344266653,1575310913.6347368
56,-43.5146997603,1575310914.73693
57,-47.5745687243,1575310915.8408506
58,-58.0490035447,1575310921.9497337
59,-53.3402209637,1575310924.0581684
60,-59.4458022972,1575310927.158729
61,-60.2197487189,1575310928.1656394
62,-70.8868863594,1575310929.2661598
63,-54.729103978,1575310931.3757632
64,-42.8781794492,1575310933.4886088
65,-54.2545022411,1575310934.4803627
66,-79.3012994955,1575310937.586784
67,-56.9934781655,1575310939.6878936
68,-42.0772519171,1575310940.8051925
69,-46.8551362746,1575310942.9131358
70,-52.4288714518,1575310950.0246804
71,-60.3761315289,1575310952.1326277
72,-54.2147832083,1575310953.2456203
73,-43.0831828171,1575310955.345149
74,-58.1940580103,1575310958.348096
75,-55.5929697368,1575310959.455911
76,-38.1971029187,1575310961.5606863
77,-34.0240354857,1575310962.667224
78,-52.0285584274,1575310964.7728574
79,-61.6061108553,1575310966.8729203
80,-75.5862516514,1575310967.9866047
81,-78.9887624973,1575310970.0911372
82,-75.8732225078,1575310971.1945634
83,-63.8074081882,1575310973.2991045
84,-75.6280342981,1575310975.405023
85,-75.9214221762,1575310977.4067802
86,-54.1737887773,1575310979.514091
87,-46.7379212478,1575310980.6064835
88,-40.4996419506,1575310981.618184
89,-36.9692059391,1575310984.725574
90,-37.948492522,1575310986.824652
91,-70.485659213,1575310991.9424872
92,-43.88828982,1575310994.0519361
93,-44.1423014506,1575310996.1508324
94,-51.5882031443,1575310998.264797
95,-49.9371002465,1575311000.367258
96,-47.6764509407,1575311001.3707125
97,-48.0410619546,1575311002.4764771
98,-41.8340809421,1575311003.4767349
99,-25.2766714857,1575311005.577752
100,-38.4109528754,1575311007.6884403
101,-45.8539525784,1575311008.7994893
102,-61.4183012548,1575311009.9042842
103,-62.2657568461,1575311012.0060236
104,-53.0665745485,1575311014.1209514
105,-64.4636412121,1575311020.2406523
106,-56.766524779,1575311030.3472297
107,-57.0037373954,1575311035.352747
108,-57.2142353981,1575311038.4604285
109,-43.6902707548,1575311041.5589035
110,-45.7782236826,1575311042.6752236
111,-65.7558674151,1575311044.7729893
112,-63.928084698,1575311045.7749918
113,-44.7246634657,1575311049.8801932
114,-34.9658126015,1575311050.9872892
115,-37.7834760683,1575311053.1029055
116,-34.1609952558,1575311054.2107885
117,-31.828125196,1575311055.3144226
118,-38.7376826664,1575311056.4202092
