# iterator, reward, timestamp 
1,-44.2386310137,1575474472.9924524
2,-43.239267435,1575474474.0535939
3,-23.0533530409,1575474476.161881
4,-41.6043727602,1575474479.2721024
5,-55.1591940712,1575474482.3761802
6,-43.5213880648,1575474486.4804893
7,-41.1391299403,1575474487.588889
8,-47.2893304267,1575474488.6965997
9,-42.3051130906,1575474489.800778
10,-42.0165639249,1575474494.9133148
11,-43.5713468836,1575474496.0151525
12,-49.3317275916,1575474497.120679
13,-44.1584506014,1575474498.2136545
14,-45.0709319739,1575474502.3295112
15,-38.9265112741,1575474503.4367702
16,-45.0361951349,1575474505.5431473
17,-57.4955557887,1575474508.6493187
18,-49.3523528132,1575474509.7548137
19,-41.0912043295,1575474510.8594842
20,-48.6976235957,1575474511.9640455
21,-42.5865211351,1575474513.060411
22,-45.42788184,1575474516.1746697
23,-42.2263234699,1575474518.2797058
24,-44.5660739184,1575474520.3872077
25,-58.4012343469,1575474522.4943373
26,-44.8644574174,1575474526.6009765
27,-42.3829859873,1575474527.710152
28,-44.9041138676,1575474529.8122988
29,-41.8766802757,1575474530.9180474
30,-47.7874913229,1575474532.0252814
31,-42.1615835133,1575474533.1281598
32,-44.1140161236,1575474536.238752
33,-41.1680193728,1575474537.3426132
34,-44.065917874,1575474539.4869926
35,-56.1894649892,1575474542.5521152
36,-44.0811276322,1575474544.6583066
37,-42.1125869098,1575474545.7694476
38,-43.9730938109,1575474549.8751621
39,-55.867486359,1575474551.9839933
40,-43.8870612521,1575474554.0838075
41,-38.7759364591,1575474555.1924694
42,-43.7273432561,1575474559.3030279
43,-41.1886837587,1575474560.4087734
44,-43.6051140115,1575474562.5107205
45,-42.4652277024,1575474564.618501
46,-44.1790355357,1575474566.7231977
47,-42.8337596095,1575474567.8230278
48,-44.0159342669,1575474569.9304168
49,-56.9239847141,1575474574.0439966
50,-48.8374230148,1575474575.1487722
51,-47.3149345212,1575474577.2560768
52,-43.1638938222,1575474579.363684
53,-56.2920076547,1575474587.4762976
54,-48.7366766275,1575474588.582418
55,-56.6997542693,1575474591.6898823
56,-44.3931547118,1575474594.7986217
57,-39.471478922,1575474595.902979
58,-44.6017502488,1575474602.0108917
59,-41.6206435721,1575474603.1196644
60,-47.4310525932,1575474604.2220716
61,-41.4868510761,1575474605.3296914
62,-43.9206573975,1575474607.4331827
63,-56.4326301944,1575474610.5281267
64,-39.3677763791,1575474612.6480296
65,-42.4175064212,1575474613.752687
66,-45.7892472497,1575474617.8595674
67,-42.2992771009,1575474618.966611
68,-44.1796005228,1575474621.0695004
69,-56.3551295511,1575474624.1806488
70,-42.8749558284,1575474628.288493
71,-37.543324678,1575474629.3940604
72,-45.0648222729,1575474632.502217
73,-42.2202898151,1575474633.610025
74,-48.697094916,1575474634.7145658
75,-41.3240282445,1575474635.8277855
76,-47.0837889673,1575474636.9257054
77,-56.5808098641,1575474641.036828
78,-44.5004651182,1575474643.1402469
79,-52.7084379898,1575474645.2448857
80,-48.7260584161,1575474646.3554444
81,-56.7608595829,1575474649.4621778
82,-39.97706295,1575474651.5684886
83,-55.735735424,1575474653.6639159
84,-43.781992598,1575474656.7836175
85,-45.119419472,1575474657.878675
86,-45.2583560138,1575474659.9932358
87,-41.4501542492,1575474661.0996802
88,-42.4588822674,1575474663.2024379
89,-42.1865410018,1575474664.3075325
90,-42.6612753577,1575474667.4153125
91,-24.4809983316,1575474668.5210464
92,-40.5982724646,1575474670.6289797
93,-56.311797042,1575474672.731867
94,-46.4335840294,1575474674.8331974
95,-43.9935221248,1575474675.9465988
96,-44.9442612858,1575474678.0472825
97,-37.7628148148,1575474679.141106
98,-46.2846971509,1575474681.255996
99,-38.0631529939,1575474682.3491745
100,-45.2726420167,1575474684.466454
101,-42.4054944885,1575474685.5737987
102,-49.3162572746,1575474686.677977
103,-56.7773018286,1575474691.785317
104,-49.5806299427,1575474692.8909135
105,-44.2379955172,1575474693.9994705
106,-41.5708340157,1575474696.1058137
107,-56.7306923578,1575474699.2077026
108,-44.3278469274,1575474703.3079693
109,-47.9970826719,1575474705.4224255
110,-42.9943304285,1575474709.5324435
111,-56.5221260882,1575474711.6387367
112,-45.6275403488,1575474714.7483306
113,-42.823653897,1575474715.855083
114,-49.4827972396,1575474716.9588456
115,-43.1812688871,1575474718.0657032
116,-45.7418716665,1575474723.171751
117,-44.0805390953,1575474724.2781136
118,-44.1150214163,1575474729.3766644
119,-45.3304397242,1575474731.4924023
120,-49.0689755809,1575474732.6001234
121,-57.8608446204,1575474734.70628
122,-44.9786486255,1575474736.814409
123,-43.9900729182,1575474737.905307
124,-49.0368952733,1575474739.0240424
125,-43.4920286532,1575474740.1264884
126,-49.8416813843,1575474741.2195263
127,-42.0180509741,1575474742.3236165
128,-48.7909996881,1575474743.4389412
129,-43.7372515062,1575474744.5432582
130,-38.1268797413,1575474747.641178
131,-35.8342484977,1575474749.7428594
132,-38.8872178068,1575474754.8531053
133,-51.0476545678,1575474757.9548786
134,-44.6056593783,1575474760.0720696
135,-41.1311466598,1575474761.1687028
136,-45.59191147,1575474763.2838514
137,-43.115422507,1575474764.3890705
138,-41.678313903,1575474766.4936576
139,-43.5347082192,1575474767.6018178
140,-51.9132710308,1575474768.7048438
141,-41.8914124291,1575474769.8125944
142,-49.7251208197,1575474770.9162002
143,-40.8892264458,1575474772.0082939
144,-46.2175775219,1575474775.1271238
145,-41.7082330697,1575474776.2403977
146,-49.8753965473,1575474777.3378367
147,-43.5643982915,1575474778.4440758
148,-49.1280423067,1575474779.5486908
149,-42.8390174921,1575474780.656549
150,-50.1934629494,1575474781.7597384
151,-56.3621772688,1575474785.8670914
152,-49.7108467657,1575474786.9721396
153,-43.7723688471,1575474788.0784671
154,-46.7559945837,1575474792.1854393
155,-57.4427683274,1575474794.2914264
156,-49.1724603708,1575474795.3956454
157,-49.5940013791,1575474797.5001457
158,-46.1856697814,1575474800.5999684
159,-56.1296533753,1575474805.716289
160,-45.6958281961,1575474812.8274016
161,-56.9307073525,1575474815.9366157
162,-45.8927872957,1575474819.0385613
163,-42.968368577,1575474820.1381135
164,-49.4696594545,1575474821.2519212
165,-42.7444282875,1575474822.3505669
166,-46.761349395,1575474825.499339
167,-49.7877363038,1575474828.5798025
168,-49.5845375246,1575474829.6714683
169,-44.3623483875,1575474830.7895305
170,-51.2614441303,1575474831.895118
171,-56.7296150974,1575474833.9997356
172,-42.8412360168,1575474837.1112783
173,-44.5025274812,1575474839.2165148
174,-47.5192344535,1575474841.323284
175,-58.3138075222,1575474844.431163
176,-49.8651824989,1575474845.5371656
177,-43.1058628111,1575474846.6462119
178,-48.8082182745,1575474847.7488208
179,-58.2217695425,1575474849.853967
180,-46.4923190755,1575474851.9633784
181,-43.1545087019,1575474853.0710876
182,-50.1339923569,1575474854.171108
183,-43.791713998,1575474855.2778203
184,-45.9420367286,1575474861.3849752
185,-42.5061586788,1575474862.491825
186,-45.3002715928,1575474865.5981317
187,-44.5448001018,1575474867.7035668
188,-44.9793321059,1575474869.809978
189,-43.3686510908,1575474870.9143615
190,-49.1918838197,1575474872.0087955
191,-57.2078206472,1575474876.1253853
192,-45.3153989058,1575474878.234976
193,-57.2872838009,1575474880.3376515
194,-45.3402271538,1575474885.4474452
195,-43.8769122328,1575474886.5536227
196,-48.2519807184,1575474887.6598508
197,-42.800403896,1575474888.7673166
198,-44.7025014828,1575474891.8725083
199,-42.2586754991,1575474892.9775906
200,-44.2928687243,1575474896.0848594
201,-43.6675900308,1575474897.191324
202,-46.5184679875,1575474900.295671
203,-43.6919027856,1575474901.4020147
204,-46.2678748086,1575474909.5166814
205,-53.5300324227,1575474911.6229818
206,-41.1957365697,1575474913.7304082
207,-44.2477167496,1575474915.8366601
208,-45.8351401498,1575474917.9444299
209,-58.2560802585,1575474920.0519004
210,-49.189665661,1575474921.161204
211,-57.0865351113,1575474925.2624614
212,-45.0542524831,1575474929.3735917
213,-57.3661990095,1575474931.4777918
214,-42.185296489,1575474934.5858734
215,-42.581200351,1575474935.6923888
216,-47.2234622048,1575474936.80097
217,-58.3753053037,1575474941.9079943
218,-46.9768145669,1575474944.015042
219,-58.7890177074,1575474946.1196153
220,-38.012022222,1575474948.2306035
221,-35.6639696134,1575474949.3323994
222,-46.7909477467,1575474951.4397366
223,-42.9670862372,1575474952.5439646
224,-45.419518559,1575474955.6510496
225,-43.7428952605,1575474956.742777
226,-46.9912550961,1575474957.8603947
227,-38.2077322114,1575474958.9641123
228,-49.4018598201,1575474960.067961
229,-42.2978280782,1575474961.1771228
230,-47.3681529802,1575474964.2698267
231,-43.9966237544,1575474965.3854077
232,-45.7036139095,1575474967.4939663
233,-43.2450340006,1575474968.5988793
234,-50.0898573285,1575474969.704299
235,-57.4922819653,1575474972.803229
236,-47.6913547025,1575474973.9074438
237,-43.2884433264,1575474975.0188518
238,-47.0172482357,1575474980.1291368
239,-57.1449871139,1575474982.2379792
240,-46.330978346,1575474984.329536
241,-44.1916937328,1575474985.445203
242,-50.7513816183,1575474986.5505726
243,-46.3909240926,1575474987.6564376
244,-46.3893111947,1575474991.7652183
245,-43.0080825644,1575474992.8727965
246,-50.4173947796,1575474993.9754105
247,-57.030506071,1575474997.0830817
248,-51.0639976607,1575474998.188908
249,-43.7761459476,1575475000.2953377
250,-47.3525859901,1575475002.4002662
251,-45.2279411431,1575475003.5069926
252,-46.5516346107,1575475005.6101263
253,-55.4158784967,1575475007.71856
254,-50.2418087648,1575475009.8238769
255,-60.2789829161,1575475013.934928
256,-54.0850558398,1575475015.041057
257,-41.0688397301,1575475016.1344926
258,-49.8787073514,1575475017.2426732
259,-58.8891092195,1575475020.35442
260,-45.2369667086,1575475022.462252
261,-47.7497783265,1575475023.567257
262,-46.9724159166,1575475025.672527
263,-59.6175107814,1575475028.779541
264,-51.6823723753,1575475029.885307
265,-45.4658034046,1575475030.9917507
266,-49.6157814935,1575475033.099436
267,-43.6905038346,1575475034.1985264
268,-46.0914379568,1575475036.3118894
269,-57.5307038809,1575475038.4162827
270,-41.222457657,1575475042.5277176
