# iterator, reward, timestamp 
1,-39.669227866741544,1575550275.058975
2,-39.55239249854021,1575550277.162601
3,-38.34782616552574,1575550279.2682345
4,-73.19240252185858,1575550281.3724136
5,-51.927632299972196,1575550282.4771218
6,-39.88557255076841,1575550283.5814776
7,-56.68241760926081,1575550284.6851423
8,-37.83656169284887,1575550285.788894
9,-29.712080321059773,1575550286.893599
10,-19.760774208706152,1575550288.9998598
11,-40.132376312601984,1575550291.1048434
12,-52.38528082278177,1575550292.2099643
13,-57.39590876159985,1575550295.3129613
14,-56.84538225340211,1575550298.4185543
15,-62.685923136635466,1575550300.5238647
16,-46.303370532763466,1575550304.630526
17,-49.499836570297354,1575550305.7357547
18,-45.03322390201198,1575550306.8408318
19,-50.78008076761042,1575550307.9843757
20,-50.073087051811584,1575550309.0482607
21,-62.162737899423334,1575550310.1522732
22,-57.30807033658397,1575550312.2563725
23,-62.921932092264186,1575550314.3623137
24,-57.345933010014775,1575550316.467936
25,-40.85095259575149,1575550320.575436
26,-59.48335504910258,1575550322.6790771
27,-37.02037823888065,1575550324.782722
28,-59.384761311805896,1575550326.8892465
29,-45.95228829061801,1575550329.997261
30,-48.30895658251777,1575550331.1007478
31,-48.54736449563566,1575550334.2065773
32,-76.09346389402155,1575550337.3110468
33,-76.63520641854446,1575550342.418553
34,-53.161921685180324,1575550345.5242844
35,-58.6419055591367,1575550346.6287508
36,-60.22827084268569,1575550348.7344909
37,-62.07190148465981,1575550349.8377388
38,-76.13421919741299,1575550351.9430234
39,-65.32274009211201,1575550355.046443
40,-69.72580508610486,1575550359.1542675
41,-58.656353312574225,1575550360.2580903
42,-63.1493696999236,1575550361.3629732
43,-58.2705956546121,1575550364.4700465
44,-70.22820429821742,1575550366.5762503
45,-47.784110607163576,1575550368.6805077
46,-69.12581979295051,1575550370.7857332
47,-75.43640347624466,1575550372.8918653
48,-76.33173793440874,1575550373.9958546
49,-63.39684359426691,1575550380.1045954
50,-75.81341218142369,1575550383.2118428
51,-91.0954963388411,1575550386.317278
52,-74.71949391534548,1575550387.4203558
53,-71.50353275734163,1575550389.5266929
54,-75.47829051615174,1575550390.632072
55,-91.20151577288759,1575550395.7405388
56,-75.08450026989281,1575550396.8432703
57,-86.14513249701213,1575550398.9486854
58,-87.51142604974817,1575550403.0542254
59,-58.15907838136104,1575550405.1588793
60,-75.83075648454161,1575550415.2748284
61,-63.41214110913917,1575550417.3795376
62,-93.23918175804953,1575550425.4925866
63,-60.80744147627973,1575550429.599286
64,-74.28483832356052,1575550435.707966
65,-73.89891495969675,1575550441.8186178
66,-72.7875304706224,1575550443.9238117
67,-46.786150553332945,1575550448.0302353
68,-62.92261416041728,1575550450.1359005
69,-58.68849062504629,1575550451.2416372
70,-78.42715125090047,1575550452.346104
71,-62.46605246119757,1575550455.4513416
72,-72.6938156064908,1575550456.5546892
73,-68.23188774662587,1575550461.6624694
74,-71.30995729126013,1575550462.766967
75,-69.4346646804058,1575550463.8717873
76,-52.0758852169858,1575550464.975314
77,-94.29199143481658,1575550467.0816243
78,-69.62414431701878,1575550471.1895642
79,-41.72437842571045,1575550473.2943175
80,-47.35445336727762,1575550474.3981764
81,-62.12135656065712,1575550476.5021677
82,-35.46721424087854,1575550479.6100073
83,-43.302665608455406,1575550480.7146795
84,-62.18984668822705,1575550482.8184674
85,-54.27716886297882,1575550484.924517
86,-55.37981982843631,1575550486.0277889
87,-35.4000613656628,1575550491.138142
88,-42.89594720293469,1575550492.2425537
89,-35.329355652706745,1575550495.3501527
90,-36.20816290145494,1575550496.4537342
91,-63.15902624279453,1575550501.5612726
92,-54.511298866359404,1575550503.6607184
93,-55.36162514116303,1575550505.7706747
94,-67.62167401430487,1575550508.8775816
95,-36.62692424396683,1575550510.983393
96,-43.76859888322065,1575550512.0886717
97,-35.39485305230839,1575550514.1953895
98,-37.71180377727728,1575550515.300285
99,-63.83898544570188,1575550516.406281
100,-55.27766435665998,1575550518.5096912
101,-54.92422815927927,1575550521.6167893
102,-55.990946655317664,1575550522.7217581
103,-55.41572177197558,1575550524.8270557
104,-28.21876859161287,1575550526.9309828
105,-38.30494937775934,1575550528.037068
106,-18.49329373315179,1575550530.1411343
107,-27.13028084752381,1575550531.2479563
108,-41.21173394991607,1575550533.3508384
109,-18.064947290894196,1575550535.456063
110,-28.511013490296488,1575550536.5606458
111,-39.909423951892585,1575550537.6644058
112,-52.92364727558034,1575550538.7677562
113,-37.56539003280476,1575550541.8760798
114,-37.36224519982263,1575550543.9813576
115,-55.564446722983135,1575550547.0898855
116,-48.76163162277237,1575550549.1954947
117,-56.115956231750495,1575550552.3014781
118,-39.40237029126346,1575550554.405371
119,-40.446044667688,1575550555.5104883
120,-44.35933518386031,1575550556.6178286
121,-42.29782941239163,1575550557.7192051
122,-27.249002219585407,1575550558.8230338
123,-53.843002575347256,1575550560.928791
124,-38.285590798886815,1575550562.0313728
125,-57.682138054305575,1575550564.1357036
126,-56.225651988103984,1575550566.242383
127,-51.894146306566455,1575550568.3476858
128,-49.8552490527405,1575550570.4525573
129,-37.44086086002174,1575550572.5581548
130,-47.31048712930194,1575550573.662733
131,-32.556353763373714,1575550574.7693264
132,-37.20571526441741,1575550576.8729706
133,-43.83973909640168,1575550578.9786694
134,-47.593946628149126,1575550580.0830986
135,-49.63261150364134,1575550581.1875582
136,-41.52016820498232,1575550583.2912898
137,-42.260331129928275,1575550584.3949022
138,-32.56949978863227,1575550585.4989977
139,-32.938247161183455,1575550586.6052372
140,-38.39844639993411,1575550587.710075
141,-42.444502570619356,1575550588.815129
142,-55.71143903510999,1575550591.9216435
143,-42.307004153925824,1575550594.0253716
144,-42.396695113375834,1575550595.1294346
145,-42.32342764123462,1575550596.2333293
146,-57.58152650265269,1575550598.3381577
147,-52.835883490447706,1575550599.4429538
148,-57.822652621018605,1575550602.5475616
149,-68.21366104870859,1575550604.654791
150,-68.1301123190462,1575550607.7597878
151,-67.4385490188409,1575550611.8957279
152,-63.73575908210102,1575550612.9715955
153,-68.49271137712599,1575550615.0780525
154,-63.95915268603245,1575550617.1836336
155,-45.020770149999365,1575550618.2867937
156,-42.493932662854675,1575550619.3934221
157,-48.21881411105544,1575550620.4940157
158,-57.175327582674285,1575550625.6024258
159,-57.818383025898754,1575550626.7063918
160,-39.23795073894984,1575550627.8110535
161,-18.960302064927966,1575550629.9175987
162,-31.791695322380356,1575550631.0221918
163,-30.375271804996075,1575550632.1261923
164,-41.58074910539685,1575550633.2310605
165,-39.65427116898828,1575550634.3327808
166,-55.767341917513896,1575550635.4365113
167,-19.849582292231943,1575550637.5395586
168,-20.169733969237996,1575550638.6438522
169,-31.41583864701264,1575550639.7502398
170,-21.88168476010854,1575550640.8843918
171,-38.796355693125335,1575550642.9892678
172,-41.307436543765846,1575550644.0931838
173,-58.26883073617679,1575550646.1981611
174,-62.79996588325996,1575550648.303653
175,-39.81534805440645,1575550650.4034562
176,-39.87006444060639,1575550651.5136707
177,-40.198429494781905,1575550654.6208038
178,-48.04719910396762,1575550655.7249653
179,-51.39598586923559,1575550657.8297436
180,-63.032986633711424,1575550661.936763
181,-57.79205978637142,1575550666.043598
182,-63.81515248457101,1575550670.1509225
183,-58.74500277982133,1575550671.2563744
184,-42.15753947228349,1575550673.3618746
185,-73.06591633116075,1575550675.4675112
186,-20.55820010901182,1575550677.5739543
187,-20.49679713320449,1575550678.6798363
188,-58.23274674326687,1575550680.7853012
189,-20.008108769580627,1575550682.8882945
190,-22.896975349665894,1575550683.991068
191,-68.62507712963577,1575550686.0946786
192,-58.848899775080916,1575550687.1998923
193,-61.823187363586044,1575550688.3023348
194,-38.23410198995201,1575550689.4100041
195,-43.10699318567825,1575550691.5155768
196,-55.07887204560088,1575550692.6197217
197,-55.98411379552501,1575550695.7256124
198,-58.504873540827354,1575550697.8292134
199,-63.270064174400254,1575550699.9346013
200,-51.099445759907304,1575550701.0382378
201,-41.56054452636081,1575550703.1443322
202,-52.3661120534401,1575550705.251606
203,-63.568593689291625,1575550710.353666
204,-45.40583132847653,1575550711.461924
205,-49.219848172719175,1575550712.5656269
206,-69.15675460149252,1575550717.6733851
207,-70.91249911326626,1575550718.7771988
208,-58.666842213427806,1575550720.8769941
209,-41.87782699404015,1575550722.9876666
