# iterator, reward, timestamp 
1,-38.6585911365,1566935849.9404194
2,-217.165492914,1566935851.9426937
3,-217.171308322,1566935855.0471544
4,-230.866274802,1566935860.1559694
5,-235.937889377,1566935867.2665062
6,-33.2783246622,1566935870.3734486
7,-229.335501264,1566935873.4790711
8,-47.008898555,1566935876.5862877
9,-178.969680118,1566935879.6953518
10,-63.7202278619,1566935882.8013158
11,-231.244247739,1566935888.9149241
12,-39.4394643673,1566935893.0253358
13,-40.5366778157,1566935895.027046
14,-39.6959072889,1566935897.0292022
15,-39.7671558764,1566935899.0330865
16,-39.7109347802,1566935901.0361974
17,-39.3357905159,1566935903.0383346
18,-39.226602602,1566935905.0410929
19,-234.944909626,1566935912.1516705
20,-38.7195520672,1566935915.2582285
21,-40.0943871426,1566935917.2607675
22,-39.2590541047,1566935919.263919
23,-38.7007698224,1566935921.2666783
24,-37.2077892258,1566935923.2693834
25,-39.3559153118,1566935925.2726247
26,-39.5802312657,1566935927.2749267
27,-41.2409819091,1566935929.2781577
28,-38.6027661507,1566935931.2809188
29,-37.9145643475,1566935933.2831511
30,-37.5858714701,1566935935.2858527
31,-40.7610978576,1566935937.2872076
32,-40.2248750232,1566935939.2903283
33,-39.6254184472,1566935941.2923841
34,-37.7064063106,1566935943.2941616
35,-39.5255233692,1566935945.2971668
36,-38.4886374707,1566935947.299571
37,-38.833077796,1566935949.3018758
38,-40.35986317,1566935951.3054516
39,-308.198155386,1566935955.413178
40,-309.178491083,1566935957.4156349
41,-41.3278099179,1566935960.522883
42,-32.0002251818,1566935962.5264919
43,-40.5731157068,1566935964.5289493
44,-39.531201997,1566935966.532093
45,-39.5066151657,1566935968.5342035
46,-38.0969035714,1566935970.538195
47,-40.7766711985,1566935972.5403159
48,-36.8273726676,1566935974.5432937
49,-38.4902646368,1566935976.5461
50,-38.4267069559,1566935978.5495033
51,-39.4352052747,1566935980.552144
52,-39.0920327808,1566935982.554616
53,-37.9662017876,1566935984.55731
54,-41.7650845564,1566935986.5602214
55,-37.8369126084,1566935988.5631135
56,-38.9349177074,1566935990.5655694
57,-39.4701904795,1566935992.567853
58,-38.5365944443,1566935994.5701046
59,-38.5120519073,1566935996.5727522
60,-40.9962142766,1566935998.5754018
61,-47.2183939374,1566936000.5788534
62,-50.0346719771,1566936002.5815613
63,-54.4870062502,1566936004.583933
64,-47.000787229,1566936006.587368
65,-45.6180628957,1566936008.5901852
66,-34.5267093768,1566936010.5929058
67,-36.9101650908,1566936012.595887
68,-41.5756128406,1566936014.5992296
69,-40.8234077186,1566936016.6012015
70,-39.3024498032,1566936018.6042352
71,-308.859355146,1566936023.7124987
72,-45.5412016866,1566936026.819105
73,-37.2733018041,1566936028.8225768
74,-37.2609211624,1566936030.8254938
75,-38.6636179762,1566936032.8286047
76,-39.300537877,1566936034.830906
77,-39.4047640652,1566936036.833603
78,-42.5414624978,1566936038.8357782
79,-38.8546372153,1566936040.8383257
80,-38.0176793551,1566936042.8405626
81,-39.2842860348,1566936044.843321
82,-38.4702026931,1566936046.8459277
83,-37.8897799199,1566936048.8491294
84,-39.18743557,1566936050.8519108
85,-233.282300746,1566936053.9605327
86,-66.5960497803,1566936057.0730863
87,-37.6975417729,1566936059.0755458
88,-35.5696721869,1566936061.0775602
89,-38.2702229207,1566936063.081137
90,-39.0209641351,1566936065.0844402
91,-38.7876982498,1566936067.085779
92,-37.2235849771,1566936069.0881774
93,-37.4008221676,1566936071.090915
94,-230.122467219,1566936075.1977956
95,-38.9868951019,1566936078.3057985
96,-36.3328626719,1566936080.3091936
97,-39.0786089119,1566936082.3125677
98,-38.6500958404,1566936084.3159895
99,-27.6872585086,1566936086.3186915
100,-39.5968612236,1566936088.3212216
101,-38.8912502094,1566936090.3240087
102,-36.9022296612,1566936092.3260455
103,-36.8054137889,1566936094.328444
104,-38.0504455444,1566936096.3327196
105,-37.409855269,1566936098.3339236
106,-37.2838340752,1566936100.3372235
107,-37.8770590951,1566936102.3401935
108,-36.7748648886,1566936104.3415914
109,-37.2367956312,1566936106.3444552
110,-228.212372045,1566936109.4508603
111,-37.5855331541,1566936112.5583417
112,-36.7810705704,1566936114.5615094
113,-37.2440056697,1566936116.5649135
114,-37.3998134004,1566936118.568502
115,-38.9720600413,1566936120.5721245
116,-38.4480315052,1566936122.5742705
117,-37.0997718359,1566936124.5780857
118,-39.3822855879,1566936126.581753
119,-227.821586465,1566936130.6891816
120,-36.2849181632,1566936133.7966154
121,-38.7002443522,1566936135.7992759
122,-37.3776412845,1566936137.802402
123,-36.8776058358,1566936139.805245
124,-37.9827982558,1566936141.8081014
125,-38.4215193879,1566936143.811303
126,-40.4944972851,1566936145.8141794
127,-35.9339862502,1566936147.8165448
128,-39.0633304126,1566936149.8194475
129,-36.7273606546,1566936151.8226206
130,-39.068643768,1566936153.8250506
131,-39.755637726,1566936155.8284166
132,-36.7648674676,1566936157.831521
133,-42.234369662,1566936159.8341556
134,-38.584833184,1566936161.837021
135,-38.3294885121,1566936163.8390388
136,-40.8315337684,1566936165.8420641
137,-36.8911364457,1566936167.844735
138,-35.2945046771,1566936169.8469555
139,-40.7450949646,1566936171.8493586
140,-36.8551890135,1566936173.8512588
141,-36.1863188381,1566936175.8548148
142,-40.0499004925,1566936177.857539
143,-38.5488246017,1566936179.8586533
144,-37.2971768564,1566936181.8620763
145,-37.4966726479,1566936183.8656232
146,-36.3743121624,1566936185.867979
147,-33.9404697202,1566936187.870356
148,-37.0816942082,1566936189.873418
149,-35.2171997799,1566936191.8770635
150,-37.162713563,1566936193.880212
151,-34.3264920849,1566936195.883111
152,-36.8969111353,1566936197.885852
153,-36.0148426972,1566936199.8882833
154,-34.264019186,1566936201.8914165
155,-34.9763987773,1566936203.89447
156,-29.4958459709,1566936205.897476
157,-33.4672591397,1566936207.9004261
158,-36.1149320706,1566936209.903876
159,-35.6483247751,1566936211.9062383
160,-34.7360149192,1566936213.909692
161,-34.5444973725,1566936215.9119227
162,-32.4893118136,1566936217.914525
163,-34.7482852819,1566936219.917337
164,-33.9432339654,1566936221.9196327
165,-36.5270369473,1566936223.9222796
166,-36.6251087114,1566936225.9249759
167,-36.1184943046,1566936227.9276228
168,-33.0664407619,1566936229.9297342
169,-34.7969915686,1566936231.932682
170,-35.782210931,1566936233.9352908
171,-228.526618947,1566936237.0426834
172,-49.0545352156,1566936240.1479192
173,-37.2790248878,1566936242.1507964
174,-34.7304828727,1566936244.1530368
175,-36.4618391676,1566936246.155456
176,-35.5519950925,1566936248.1583939
177,-34.4946756227,1566936250.1632755
178,-35.9777750765,1566936252.1683137
179,-229.506448881,1566936255.2766118
180,-36.1089701797,1566936259.3869202
181,-35.7185230767,1566936261.3890839
182,-35.2076229477,1566936263.391406
183,-35.6768708604,1566936265.3943017
184,-36.0388156037,1566936267.3963127
185,-35.0474386936,1566936269.3987854
186,-229.2975691,1566936274.506813
187,-230.532808936,1566936276.5092459
188,-34.9193098482,1566936279.6164408
189,-35.9835612697,1566936281.6191735
190,-35.8977466281,1566936283.6221604
191,-36.4079634327,1566936285.6243596
192,-35.1310953127,1566936287.6275487
193,-34.5767838417,1566936289.630854
194,-33.2067773286,1566936291.6345787
195,-35.5253580155,1566936293.637064
196,-35.3372943841,1566936295.6391335
197,-35.5090264072,1566936297.641395
198,-33.2219065243,1566936299.6435387
199,-36.8812676217,1566936301.645672
200,-34.0315500688,1566936303.6478066
201,-38.2293148542,1566936305.6508677
202,-33.3016500119,1566936307.6531534
203,-38.0318688195,1566936309.6558375
204,-35.7369721771,1566936311.6593535
205,-35.4469105033,1566936313.662112
206,-37.2857094228,1566936315.664943
207,-35.3166002723,1566936317.6672962
208,-37.4125438177,1566936319.6693742
209,-33.4641542899,1566936321.6729643
210,-19.6501925855,1566936323.6752918
211,-32.0961568896,1566936325.6778903
212,-34.2570699367,1566936327.6800914
213,-37.3507906983,1566936329.6835144
214,-33.8867357016,1566936331.6855674
215,-35.3596408063,1566936333.6881647
216,-34.9434511679,1566936335.690855
217,-231.488362286,1566936347.8100648
218,-34.610376056,1566936350.9180603
219,-304.336829713,1566936355.0263371
220,-36.0189451798,1566936358.1338892
221,-36.7689841089,1566936360.1364622
222,-37.4460262697,1566936362.1394284
223,-34.286176391,1566936364.1415272
224,-37.6403669975,1566936366.1440797
225,-34.0810700048,1566936368.146719
226,-34.0701615453,1566936370.1504688
227,-37.0951524378,1566936372.153793
228,-32.1150954266,1566936374.1565347
229,-35.0034757116,1566936376.1593506
230,-35.7518516114,1566936378.1620271
231,-34.8308918198,1566936380.1647446
232,-32.6151574286,1566936382.1672323
233,-35.9354691506,1566936384.1693902
234,-33.5607672901,1566936386.1723275
235,-35.2894042529,1566936388.1748095
236,-33.9882271084,1566936390.1783142
237,-34.2234324101,1566936392.1814187
238,-35.1741815978,1566936394.1842835
239,-304.551610053,1566936397.2912724
240,-304.773302476,1566936399.293307
241,-213.930555861,1566936403.4016752
242,-215.121659149,1566936405.4038339
243,-229.590742578,1566936408.5098996
244,-32.0346944648,1566936411.6178622
245,-33.4280100411,1566936413.6205812
246,-34.3642713813,1566936415.6233575
247,-35.5574995634,1566936417.626962
248,-34.6512559895,1566936419.6298904
249,-33.7609450553,1566936421.632024
250,-38.0076458706,1566936423.6339216
251,-34.1713786778,1566936425.6371026
252,-33.8279036762,1566936427.639332
253,-35.8473254186,1566936429.6413143
254,-35.4885135294,1566936431.6442642
255,-34.2938848672,1566936433.647088
256,-35.612083691,1566936435.6509151
257,-34.5516326289,1566936437.6535158
258,-35.4143295942,1566936439.6564286
259,-36.938820312,1566936441.6592007
