# iterator, reward, timestamp 
1,294.375,1575728572.811017
2,183.75,1575728572.8647597
3,75.0,1575728572.913561
4,213.75,1575728572.963405
5,213.75,1575728573.0141745
6,183.75,1575728573.0673754
7,267.5,1575728573.1165533
8,183.75,1575728573.1670609
9,295.0,1575728573.2175453
10,238.75,1575728573.267853
11,322.5,1575728573.3192039
12,322.5,1575728573.3708227
13,266.25,1575728573.4198475
14,265.0,1575728573.4710703
15,236.25,1575728573.522858
16,126.25,1575728573.5737474
17,72.5,1575728573.6239486
18,130.0,1575728573.6747797
19,211.25,1575728573.7278662
20,238.75,1575728573.7776883
21,211.25,1575728573.8261828
22,267.5,1575728573.876145
23,267.5,1575728573.9286723
24,211.25,1575728573.9795368
25,72.5,1575728574.029574
26,18.75,1575728574.0801146
27,130.0,1575728574.1302826
28,185.0,1575728574.1820045
29,130.0,1575728574.2332275
30,130.0,1575728574.2829313
31,268.75,1575728574.3326008
32,130.0,1575728574.386731
33,182.5,1575728574.4356363
34,182.5,1575728574.485792
35,130.0,1575728574.535591
36,213.75,1575728574.5874503
37,325.0,1575728574.6385524
38,213.75,1575728574.6878765
39,130.0,1575728574.7376246
40,130.0,1575728574.7899826
41,238.75,1575728574.8413477
42,72.5,1575728574.9097462
43,18.75,1575728574.9407072
44,73.75,1575728574.9931912
45,130.0,1575728575.0440598
46,130.0,1575728575.093897
47,73.75,1575728575.143688
48,75.0,1575728575.1959577
49,240.0,1575728575.2464414
50,75.0,1575728575.2962737
51,213.75,1575728575.3471398
52,130.0,1575728575.4011376
53,72.5,1575728575.4503245
54,127.5,1575728575.4998372
55,266.25,1575728575.5499644
56,127.5,1575728575.6026564
57,265.0,1575728575.6569288
58,72.5,1575728575.7036917
59,18.75,1575728575.7559607
60,130.0,1575728575.8069322
61,213.75,1575728575.8581693
62,130.0,1575728575.9077992
63,268.75,1575728575.9586692
64,130.0,1575728576.012238
65,182.5,1575728576.0628777
66,182.5,1575728576.1111975
67,293.75,1575728576.1613805
68,237.5,1575728576.214679
69,293.75,1575728576.265698
70,293.75,1575728576.3152382
71,295.0,1575728576.3656957
72,378.75,1575728576.4190757
73,325.0,1575728576.4700935
74,213.75,1575728576.521592
75,185.0,1575728576.569887
76,73.75,1575728576.6225748
77,18.75,1575728576.6732082
78,72.5,1575728576.7226853
79,18.75,1575728576.7723906
80,72.5,1575728576.8254564
81,18.75,1575728576.876482
82,72.5,1575728576.9272397
83,18.75,1575728576.9775753
84,72.5,1575728577.0293307
85,18.75,1575728577.0805216
86,72.5,1575728577.1301029
87,18.75,1575728577.180326
88,72.5,1575728577.2328827
89,18.75,1575728577.283074
90,72.5,1575728577.3380754
