# iterator, reward, timestamp 
1,-303.653527921,1575728572.8108401
2,-220.184581658,1575728572.8646202
3,-93.0053761887,1575728572.9134102
4,-233.144268641,1575728572.9632607
5,-233.144268641,1575728573.0140464
6,-223.95591084,1575728573.067219
7,-282.643768727,1575728573.1163816
8,-223.95591084,1575728573.1668954
9,-350.053567329,1575728573.217393
10,-328.928183651,1575728573.2676816
11,-371.382552094,1575728573.318965
12,-371.382552094,1575728573.3705304
13,-282.079332813,1575728573.419709
14,-302.220945667,1575728573.4709127
15,-295.730028912,1575728573.5227015
16,-166.677083008,1575728573.573587
17,-94.1408519188,1575728573.6237957
18,-153.337862252,1575728573.674597
19,-256.015136271,1575728573.7275949
20,-296.805913014,1575728573.7775204
21,-256.015136271,1575728573.826046
22,-282.643768727,1575728573.876011
23,-282.643768727,1575728573.9285047
24,-256.015136271,1575728573.9793503
25,-91.0357072802,1575728574.0294273
26,-18.8745860882,1575728574.079955
27,-153.337862252,1575728574.1301374
28,-193.7459677,1575728574.1818252
29,-153.337862252,1575728574.232987
30,-153.337862252,1575728574.2827775
31,-335.251771062,1575728574.3324633
32,-153.337862252,1575728574.3864825
33,-220.141999628,1575728574.4352276
34,-220.141999628,1575728574.4856262
35,-153.337862252,1575728574.53545
36,-233.144268641,1575728574.5872543
37,-356.002106735,1575728574.6383646
38,-233.144268641,1575728574.6877298
39,-153.337862252,1575728574.7374787
40,-153.337862252,1575728574.7898104
41,-296.805913014,1575728574.8411217
42,-91.0357072802,1575728574.909589
43,-18.8745860882,1575728574.9405699
44,-91.2756813176,1575728574.9930222
45,-153.337862252,1575728575.0438786
46,-153.337862252,1575728575.0937438
47,-91.2756813176,1575728575.1435566
48,-93.0053761887,1575728575.195782
49,-264.007575649,1575728575.2462795
50,-93.0053761887,1575728575.2961395
51,-233.144268641,1575728575.3469584
52,-153.337862252,1575728575.4009683
53,-94.1408519188,1575728575.4501517
54,-151.286152704,1575728575.4996967
55,-282.079332813,1575728575.5498292
56,-149.373692463,1575728575.602479
57,-302.220945667,1575728575.6566606
58,-91.0357072802,1575728575.7035427
59,-18.8745860882,1575728575.7557623
60,-153.337862252,1575728575.806764
61,-233.144268641,1575728575.8580031
62,-153.337862252,1575728575.9076645
63,-335.251771062,1575728575.9585109
64,-153.337862252,1575728576.0120738
65,-220.141999628,1575728576.0627127
66,-220.141999628,1575728576.111056
67,-299.593474562,1575728576.1612513
68,-273.084236088,1575728576.2145193
69,-299.092377034,1575728576.2654996
70,-299.092377034,1575728576.315094
71,-320.058588387,1575728576.3655422
72,-390.21628618,1575728576.4188988
73,-356.002106735,1575728576.4699292
74,-233.144268641,1575728576.5214188
75,-193.7459677,1575728576.5697641
76,-91.2756813176,1575728576.6223977
77,-18.8745860882,1575728576.6730616
78,-91.0357072802,1575728576.722552
79,-18.8745860882,1575728576.7722733
80,-91.0357072802,1575728576.825271
81,-18.8745860882,1575728576.8763282
82,-91.0357072802,1575728576.9270697
83,-18.8745860882,1575728576.9774237
84,-91.0357072802,1575728577.0291655
85,-18.8745860882,1575728577.0803351
86,-91.0357072802,1575728577.1299438
87,-18.8745860882,1575728577.180168
88,-91.0357072802,1575728577.2326703
89,-18.8745860882,1575728577.2829223
90,-91.0357072802,1575728577.337919
91,-18.8745860882,1575728577.383655
92,-91.0357072802,1575728577.4354746
93,-18.8745860882,1575728577.486662
94,-295.85680658,1575728577.5367122
95,-18.8745860882,1575728577.5878127
96,-91.0357072802,1575728577.638973
97,-18.8745860882,1575728577.6896398
98,-91.0357072802,1575728577.7398782
99,-18.8745860882,1575728577.791325
100,-91.0357072802,1575728577.849777
101,-18.8745860882,1575728577.9008641
102,-91.0357072802,1575728577.94996
103,-18.8745860882,1575728577.9938915
104,-91.0357072802,1575728578.0465035
105,-18.8745860882,1575728578.0969868
106,-91.0357072802,1575728578.146017
107,-18.8745860882,1575728578.196671
108,-91.0357072802,1575728578.2484798
109,-18.8745860882,1575728578.2994094
110,-91.0357072802,1575728578.3489969
111,-18.8745860882,1575728578.3994982
112,-91.0357072802,1575728578.4504273
113,-18.8745860882,1575728578.5010877
114,-91.0357072802,1575728578.5513623
115,-18.8745860882,1575728578.6025102
116,-91.0357072802,1575728578.6553676
117,-18.8745860882,1575728578.7063894
118,-91.0357072802,1575728578.7568984
119,-18.8745860882,1575728578.805234
120,-91.0357072802,1575728578.8586931
121,-18.8745860882,1575728578.9088883
122,-91.0357072802,1575728578.9583347
123,-18.8745860882,1575728579.0080607
124,-91.0357072802,1575728579.0626297
125,-18.8745860882,1575728579.1127217
126,-91.0357072802,1575728579.1616123
127,-18.8745860882,1575728579.2108183
128,-91.0357072802,1575728579.2621648
129,-18.8745860882,1575728579.312859
130,-91.0357072802,1575728579.3628252
131,-18.8745860882,1575728579.413083
132,-18.8745860882,1575728579.4638562
133,-18.8745860882,1575728579.5169163
134,-18.8745860882,1575728579.567984
135,-18.8745860882,1575728579.6160564
136,-18.8745860882,1575728579.6661162
