# iterator, reward, timestamp 
1,-51.5661855521,1567806039.0743983
2,-95.0724171435,1567806041.0768034
3,-94.9378747407,1567806043.0794067
4,-94.7255091503,1567806045.0810878
5,-94.9596051105,1567806047.0828485
6,-94.8486718709,1567806049.0882652
7,-95.0630416991,1567806051.088593
8,-93.2167377239,1567806060.199886
9,-81.356707673,1567806065.304641
10,-84.9520112766,1567806071.4127533
11,-73.8563519546,1567806075.5201967
12,-72.8686630335,1567806079.62768
13,-73.4399015858,1567806084.7332757
14,-73.3425612821,1567806086.736758
15,-89.1154112918,1567806096.8480113
16,-111.890407764,1567806101.952645
17,-94.6928894033,1567806112.0639038
18,-111.350153288,1567806118.169236
19,-94.7933488891,1567806123.3029962
20,-100.069362596,1567806127.3866444
21,-102.428528594,1567806132.4928448
22,-122.02713246,1567806142.6080797
23,-106.99889204,1567806147.7167256
24,-88.7763719618,1567806150.8259883
25,-106.980656407,1567806153.9308128
26,-88.0971363895,1567806158.0223045
27,-88.5622604862,1567806160.0375485
28,-86.8534341493,1567806162.0398073
29,-89.2148064836,1567806164.0407224
30,-88.8024669151,1567806166.042769
31,-88.8612833041,1567806168.047357
32,-88.553765555,1567806170.0466988
33,-88.8008323608,1567806172.0492313
34,-88.9392267568,1567806174.0517008
35,-88.8413621748,1567806176.0554268
36,-88.831296259,1567806178.054565
37,-89.0152434348,1567806180.0606601
38,-88.3806617878,1567806182.0842304
39,-88.8986670604,1567806184.0629978
40,-88.3980564408,1567806186.0687776
41,-58.3355367836,1567806193.1754162
42,-59.0679212258,1567806195.1776266
43,-59.4468363901,1567806197.1790812
44,-59.0218774385,1567806199.1827826
45,-59.2412443796,1567806201.18558
46,-59.1533490941,1567806203.1871254
47,-83.9008532791,1567806208.2947648
48,-107.22526431,1567806218.4059749
49,-88.6173018375,1567806228.5194933
50,-73.0320073261,1567806232.622396
51,-80.9042903428,1567806235.7282398
52,-77.492087976,1567806251.8529365
53,-80.8870950842,1567806254.9604678
54,-94.3502378019,1567806265.0698972
55,-81.2827156669,1567806269.1779263
56,-94.8540667181,1567806274.2836645
57,-81.3944246056,1567806279.4198177
58,-81.1223366207,1567806281.3951535
59,-74.1276534988,1567806285.498042
60,-81.0791265301,1567806288.6050699
61,-92.0119316902,1567806291.711929
62,-80.2980791502,1567806297.818622
63,-87.4810897849,1567806305.9291935
64,-99.4342039432,1567806310.039209
65,-118.408231608,1567806319.1482956
66,-107.55081783,1567806323.2542248
67,-118.86534297,1567806331.3629365
68,-112.832099374,1567806335.4704928
69,-124.976100543,1567806351.586841
70,-142.580573857,1567806355.6889822
71,-130.299115556,1567806359.7971408
72,-112.247868251,1567806366.908018
73,-103.862560765,1567806374.0200298
74,-91.9208508198,1567806382.1294055
75,-79.9596977062,1567806388.2397993
76,-72.272292616,1567806393.3692875
77,-79.2679384511,1567806397.455006
78,-76.6527071414,1567806401.5588841
79,-80.282739612,1567806407.6681006
80,-91.1356321395,1567806415.7810838
81,-78.7849074776,1567806420.8860736
82,-77.7488015465,1567806432.0038202
83,-90.2867455178,1567806439.111061
84,-79.3339957285,1567806450.2255256
85,-82.1832591868,1567806454.3319678
86,-75.1473933632,1567806457.4342866
87,-82.1259070126,1567806461.5425491
88,-78.6783886586,1567806464.64652
89,-82.0572768773,1567806470.7532964
90,-78.8327504287,1567806480.8624918
91,-82.0179123204,1567806487.9740763
