# iterator, reward, timestamp 
1,-652.634460029,1568058170.0230644
2,-785.643761831,1568058175.1314902
3,-224.239317838,1568058178.236482
4,-776.727004134,1568058181.3419847
5,-521.881933842,1568058184.4468548
6,-954.200794525,1568058186.448403
7,-654.779199118,1568058191.5549188
8,-470.564452476,1568058194.6606464
9,-555.785383236,1568058199.7689893
10,-581.543778,1568058201.771174
11,-822.305773109,1568058203.7739224
12,-943.762094856,1568058205.7767165
13,-1177.83916646,1568058207.7796338
14,-1517.63606071,1568058210.8850102
15,-1239.07211415,1568058214.9900732
16,-651.249139791,1568058219.0969136
17,-787.266730651,1568058224.2042892
18,-641.613012892,1568058227.3074346
19,-771.661295414,1568058230.4124935
20,-514.240031281,1568058233.5173266
21,-946.335163091,1568058235.5186517
22,-659.892647725,1568058240.6254113
23,-460.403074801,1568058243.7302575
24,-1654.74798243,1568058248.8362033
25,-1654.20240458,1568058250.8386176
26,-2030.65049648,1568058255.946771
27,-2032.10818768,1568058257.94974
28,-1656.67757203,1568058265.060748
29,-2025.53343773,1568058268.1659799
30,-1657.23256782,1568058272.2721813
31,-1657.24189966,1568058274.2751882
32,-2028.91135216,1568058280.383633
33,-1658.23852032,1568058284.489746
34,-2029.86645699,1568058290.5986247
35,-1655.95411318,1568058295.7063835
36,-1655.14701596,1568058297.708265
37,-674.036717387,1568058302.8158438
38,-282.492776264,1568058305.9224672
39,-288.308445528,1568058309.028457
40,-337.771234571,1568058312.1345832
41,-545.438591993,1568058314.1360314
42,-706.913100336,1568058317.2428825
43,-428.084304911,1568058320.3484395
44,-298.915559541,1568058324.4551928
45,-292.595605191,1568058327.560663
46,-253.437993023,1568058331.6672883
47,-415.582495221,1568058335.774075
48,-602.936126162,1568058338.8792772
49,-161.931759282,1568058341.9851525
50,-247.172572538,1568058345.0894978
51,-331.43541267,1568058348.1959171
52,-259.916635996,1568058351.3005047
53,-290.963036214,1568058354.405321
54,-279.380013715,1568058357.5117345
55,-252.974853761,1568058360.6179442
56,-246.925295004,1568058364.7251534
57,-814.609163552,1568058368.8303204
58,-1247.36880041,1568058370.8331828
59,-1248.67884634,1568058372.8353949
60,-1655.07400408,1568058374.8378205
61,-676.587694949,1568058379.9460306
62,-814.089346027,1568058384.0524197
63,-907.446750947,1568058387.157857
64,-885.914755582,1568058390.2622466
65,-942.875692798,1568058394.3688958
66,-404.31667483,1568058397.4749055
67,-287.546106864,1568058401.581348
68,-289.931035156,1568058404.6872807
69,-247.191159811,1568058408.7947376
70,-409.336862575,1568058412.9013548
71,-520.055999219,1568058416.0069664
72,-153.034006349,1568058419.1128461
73,-246.738846562,1568058422.2184505
74,-321.709061159,1568058425.3248968
75,-295.917236968,1568058429.4302523
76,-306.280211795,1568058432.5347614
77,-282.21411261,1568058435.6390464
78,-457.172492112,1568058438.7455547
79,-496.13222754,1568058443.8544378
80,-402.159163433,1568058447.960679
81,-525.192278865,1568058451.0661242
82,-148.179158134,1568058454.1716895
83,-248.330453428,1568058457.2772856
84,-319.541726229,1568058460.3813617
85,-263.067185647,1568058463.486744
86,-276.975194634,1568058466.5907757
87,-284.279128456,1568058469.6955807
88,-472.669482231,1568058472.8008306
89,-1239.31431841,1568058476.9065654
90,-1294.98958588,1568058481.0133703
91,-1212.00786591,1568058486.1208093
92,-1258.00096989,1568058489.2276578
93,-1241.64175564,1568058492.332014
94,-1520.51961422,1568058498.4419308
95,-1228.00488107,1568058502.5479577
96,-537.699180461,1568058506.6533668
97,-819.102647998,1568058511.760938
98,-761.539101601,1568058514.8655722
99,-1237.3250517,1568058518.9705026
100,-787.159441215,1568058523.0757635
101,-888.101685483,1568058526.1800773
102,-839.540456049,1568058529.2865567
103,-921.598690804,1568058533.3923876
104,-427.774328686,1568058536.4969687
105,-325.65666015,1568058539.603036
106,-574.568986893,1568058542.7093575
107,-1236.54673744,1568058546.8161373
108,-434.858215795,1568058550.9220152
109,-1192.23166762,1568058555.0297036
110,-566.115812701,1568058558.1344516
111,-730.252008045,1568058561.2387378
112,-331.073305397,1568058563.24137
113,-378.131884476,1568058566.3452892
114,-251.815863394,1568058569.4507008
115,-428.531800732,1568058571.4534557
116,-548.608582453,1568058573.4566574
117,-786.787993111,1568058575.4594402
118,-904.305995299,1568058577.4615543
119,-961.62516686,1568058581.5678656
120,-464.106581591,1568058584.674641
121,-723.206400871,1568058587.7805977
122,-1238.05045479,1568058591.886765
123,-1291.6996479,1568058595.9927187
124,-1239.53411725,1568058599.098825
125,-768.350894354,1568058603.207584
126,-874.654123774,1568058606.3120422
127,-850.039328128,1568058609.4159894
128,-926.613721197,1568058613.5219626
129,-270.451439128,1568058616.6273172
130,-816.825171255,1568058619.731487
131,-582.656506629,1568058622.836209
132,-640.734568552,1568058627.944715
133,-403.959281057,1568058631.0493922
134,-882.394194603,1568058634.1543596
135,-1655.37259999,1568058639.2617698
136,-1186.14389195,1568058643.3688316
137,-936.423301697,1568058646.4730823
138,-1240.87154679,1568058650.5796208
139,-962.689266899,1568058654.6848397
140,-724.617311306,1568058656.6873815
141,-930.765309774,1568058658.6897643
142,-803.935983586,1568058663.7967763
143,-834.80155468,1568058666.9029458
144,-1239.31619366,1568058671.010596
145,-840.517247144,1568058675.1163454
146,-1120.60847192,1568058680.2234108
147,-1068.11630726,1568058684.3311105
148,-1242.31834928,1568058689.437573
149,-1518.66900921,1568058694.546531
150,-1223.36529251,1568058698.652826
151,-577.743557257,1568058702.7586145
152,-806.449682523,1568058707.8647125
153,-413.358691191,1568058710.9692996
154,-253.978819959,1568058715.0753238
155,-417.995977435,1568058719.1806564
156,-841.468496356,1568058721.1819696
157,-590.274859126,1568058725.2872455
158,-790.544691454,1568058729.3938866
159,-1498.09145927,1568058732.4998841
160,-1654.89673409,1568058739.60658
161,-1207.70033198,1568058743.7118032
162,-479.277889921,1568058745.713399
163,-408.124042345,1568058748.8185441
164,-274.954588623,1568058751.922758
165,-255.700905369,1568058755.0286236
166,-248.595001457,1568058759.1351895
167,-416.161990827,1568058763.2412617
168,-599.846698623,1568058766.3463702
169,-157.427365331,1568058769.4506516
170,-246.019132414,1568058772.5552115
171,-327.607271323,1568058775.6604636
172,-1234.87448692,1568058779.7681491
173,-1655.21131712,1568058784.8756533
174,-1175.0712426,1568058787.9806507
175,-725.744979043,1568058791.0860221
176,-1662.88542747,1568058795.1932595
177,-1662.504673,1568058797.195403
178,-1654.89571684,1568058802.3042693
179,-1170.23999033,1568058805.4100785
180,-866.129361552,1568058807.4127913
181,-272.740592836,1568058810.5172923
182,-288.208393197,1568058813.622158
183,-1360.06093025,1568058817.7289503
184,-1222.12474282,1568058821.8359392
185,-556.622564401,1568058825.9430826
186,-811.677163503,1568058831.0581348
187,-633.266067682,1568058833.0628297
188,-502.350172435,1568058837.1713786
189,-244.603441914,1568058841.2773557
190,-400.897607625,1568058845.384384
191,-524.75279805,1568058848.4885886
192,-150.081066325,1568058851.595362
193,-247.672109087,1568058854.699906
194,-316.653401295,1568058857.8053486
195,-289.057214159,1568058861.9131057
196,-302.860585787,1568058865.0190609
197,-284.072986273,1568058868.1257243
198,-246.091010229,1568058871.2313724
199,-239.99036039,1568058875.339091
200,-187.181797982,1568058878.4450688
201,-246.927112721,1568058881.5510604
202,-146.519010207,1568058884.656013
203,-568.332238591,1568058886.6586778
204,-723.594678795,1568058889.7642696
205,-447.277528699,1568058892.8696814
206,-343.843835124,1568058895.9746478
207,-272.303705435,1568058899.0799255
208,-285.1437333,1568058902.1854618
209,-467.252016068,1568058905.292196
210,-1203.66884281,1568058910.3986104
211,-784.167772341,1568058914.5049655
212,-1487.9822731,1568058917.6102104
213,-1654.61933838,1568058921.715089
214,-773.973654694,1568058926.8229089
215,-438.772497097,1568058929.9286633
216,-287.940829544,1568058934.034858
217,-299.567431734,1568058937.1402414
218,-287.457457585,1568058940.2454185
219,-430.050767687,1568058944.3527188
220,-612.535889899,1568058947.4581406
