# iterator, reward, timestamp 
1,-915.887019241,1568064153.6996806
2,-897.009796659,1568064157.8078594
3,-1164.38651085,1568064161.917474
4,-1658.65097047,1568064169.0307722
5,-1658.25646103,1568064171.0344546
6,-2031.41081333,1568064180.1481073
7,-1658.83537339,1568064186.2625346
8,-1659.03825614,1568064188.2639358
9,-1097.49644995,1568064193.3738885
10,-1083.33962794,1568064197.4803982
11,-1115.1377124,1568064202.5897813
12,-1112.36346138,1568064205.6952858
13,-1164.26304562,1568064208.8040447
14,-1479.94858979,1568064211.9114847
15,-985.570481403,1568064217.020527
16,-653.722405434,1568064220.1282294
17,-1188.44842911,1568064222.1286926
18,-1244.8370201,1568064227.2377145
19,-1524.96993542,1568064232.347664
20,-1516.19172096,1568064234.3505228
21,-1242.35127482,1568064238.4602087
22,-671.601491767,1568064242.56775
23,-1047.42867234,1568064244.5706294
24,-1658.42256582,1568064246.5740783
25,-2024.90055561,1568064250.682211
26,-1657.61755318,1568064254.79088
27,-1169.96851802,1568064257.8939664
28,-199.71716404,1568064261.0018444
29,-1048.11378908,1568064264.1089814
30,-1273.61261845,1568064268.216386
31,-1240.29028745,1568064272.3242416
32,-572.262139224,1568064277.4362519
33,-825.079741472,1568064279.4382856
34,-993.240532775,1568064281.439136
35,-1614.86554146,1568064284.5473242
36,-1658.26765396,1568064291.6576464
37,-1659.19728039,1568064293.6603057
38,-1657.75685893,1568064295.6628938
39,-2032.44185448,1568064306.7786157
40,-1658.40740901,1568064309.8848338
41,-1178.70825636,1568064312.993247
42,-849.44625473,1568064317.100461
43,-839.651905153,1568064320.2066257
44,-700.022914016,1568064323.3136544
45,-1316.81013107,1568064326.4203718
46,-1653.55749783,1568064331.5288901
47,-1172.73614161,1568064334.635235
48,-1024.17011558,1568064336.6378903
49,-1216.09849821,1568064339.7438898
50,-1314.98227461,1568064341.7469614
51,-1314.99480949,1568064343.7488306
52,-1658.22599746,1568064345.75128
53,-2031.5246582,1568064349.8604357
54,-1656.3780856,1568064357.9720716
55,-1169.75553382,1568064361.0802867
56,-1055.57833814,1568064363.0829666
57,-892.072579526,1568064365.0866501
58,-728.020227283,1568064367.0885704
59,-706.205844879,1568064370.1956782
60,-1022.30549138,1568064373.3039703
61,-1240.82684517,1568064377.411297
62,-1243.42014243,1568064380.516234
63,-1240.76031628,1568064382.5206032
64,-715.551222405,1568064386.627932
65,-1091.59252107,1568064388.630279
66,-1656.12947761,1568064390.632881
67,-1657.31683286,1568064392.636281
68,-1662.27798282,1568064394.6385539
69,-1660.43539661,1568064396.6410851
70,-1661.34769085,1568064398.6424186
71,-1662.11370282,1568064400.6462893
72,-1662.49779844,1568064402.6488395
