# iterator, reward, timestamp 
1,-49.2646007347,1567712113.3093524
2,-46.3178698912,1567712115.3121536
3,-50.6538396877,1567712117.314031
4,-46.5637686433,1567712119.3167875
5,-47.7421337009,1567712121.3191333
6,-47.4332079383,1567712123.3214579
7,-226.563534529,1567712126.4270031
8,-85.5249564877,1567712129.5332599
9,-57.6884678956,1567712131.5363078
10,-48.5850730011,1567712133.5387092
11,-303.595874572,1567712136.644272
12,-99.7086203733,1567712139.7466767
13,-45.7009994289,1567712141.748901
14,-51.1164595803,1567712143.7517548
15,-48.8369315203,1567712145.7540004
16,-50.2521265042,1567712147.7569947
17,-151.5583992,1567712150.862766
18,-91.3651256313,1567712154.9679558
19,-47.1767378377,1567712156.9701285
20,-50.5162802188,1567712158.9717956
21,-46.3496147298,1567712160.9731505
22,-47.573520273,1567712162.9738877
23,-47.1535508737,1567712164.9761121
24,-49.2199097719,1567712166.978874
25,-50.3507631448,1567712168.9807432
26,-47.5328522312,1567712170.9837203
27,-52.2817364288,1567712172.9855046
28,-48.0961402992,1567712174.9872937
29,-47.69633751,1567712176.9892182
30,-44.7971738879,1567712178.990471
31,-48.865428904,1567712180.991902
32,-49.4718308121,1567712182.9943497
33,-48.0066320359,1567712184.9966123
34,-51.2943401552,1567712186.9989574
35,-49.051293106,1567712189.001771
36,-48.8628913144,1567712191.0035763
37,-49.5335709889,1567712193.0075798
38,-49.5066794025,1567712195.0108228
39,-49.5407618666,1567712197.0132065
40,-307.655103615,1567712204.123376
41,-50.9499927402,1567712207.2280102
42,-48.5967028585,1567712209.2304158
43,-49.4055221996,1567712211.2325537
44,-48.8345886604,1567712213.2358422
45,-50.0255577412,1567712215.2377045
46,-47.9759656448,1567712217.2397919
47,-53.0648352087,1567712219.2421079
48,-46.8109818039,1567712221.244815
49,-48.6985272361,1567712223.2471173
50,-47.301340178,1567712225.2492628
51,-48.8476074543,1567712227.252164
52,-49.1681838335,1567712229.2544212
53,-49.5280978442,1567712231.2577863
54,-52.3856451246,1567712233.2598104
55,-48.2188014033,1567712235.2619383
56,-48.5461157626,1567712237.2644227
57,-304.125100466,1567712240.370755
58,-67.1138572339,1567712243.4768398
59,-51.8197114661,1567712245.4793546
60,-47.5659464873,1567712247.4820035
61,-50.7046954003,1567712249.4844954
62,-47.1865839466,1567712251.4868488
63,-311.284945213,1567712254.5934012
64,-83.9755767074,1567712257.6985743
65,-48.5787170321,1567712259.7014008
66,-46.850989139,1567712261.7042058
67,-55.8174442257,1567712263.7072358
68,-46.41111889,1567712265.7099984
69,-49.5980848853,1567712267.713081
70,-45.8160156738,1567712269.7163746
71,-47.0694985592,1567712271.7192829
72,-49.8618133261,1567712273.7219052
73,-49.6327531708,1567712275.7254457
74,-49.4339869716,1567712277.7285304
75,-48.1731348392,1567712279.7306705
76,-50.9297000249,1567712281.7341728
77,-47.7040678121,1567712283.7365315
78,-47.4856388136,1567712285.7393599
79,-46.7287921246,1567712287.7418227
80,-49.2819766221,1567712289.7455385
81,-46.8669635325,1567712291.7480347
82,-53.2448738563,1567712293.7505662
83,-47.734550457,1567712295.7540214
84,-50.1213433359,1567712297.7572515
85,-47.4571171832,1567712299.7601988
86,-52.6298515462,1567712301.7633817
87,-47.489463753,1567712303.7654881
88,-50.2534432579,1567712305.768539
89,-49.0285047486,1567712307.7714233
90,-50.1763987311,1567712309.7740905
91,-49.2193994595,1567712311.7775385
92,-48.281528035,1567712313.7808025
93,-49.298448548,1567712315.7828598
94,-47.5427606075,1567712317.7855668
95,-48.6596369114,1567712319.7886379
96,-49.3708086299,1567712321.7911987
97,-49.771048033,1567712323.7943175
