# iterator, reward, timestamp 
1,-292.01345811649844,1567676206.6869001
2,-277.4303935803172,1567676210.7950354
3,-306.17287547599983,1567676214.901952
4,-276.66011550016657,1567676218.0096834
5,-301.8237910222234,1567676222.117644
6,-279.511930712791,1567676225.224356
7,-270.4956881179535,1567676227.2274191
8,-252.11569335146032,1567676230.334312
9,-94.62419282531017,1567676233.4417143
10,-223.9990234375,1567676236.5489953
11,-175.71068647271295,1567676239.6568067
12,-320.1591968536377,1567676245.7684338
13,-107.78382435714906,1567676248.876373
14,-322.2377300262451,1567676251.9828658
15,-125.16018419558155,1567676255.0894356
16,-320.8026885986328,1567676260.2001445
17,-136.73096900553554,1567676263.3076465
18,-319.00691986083984,1567676271.4201825
19,-155.81053411382442,1567676274.5266514
20,-320.86682319641113,1567676277.6336083
21,-170.49805405585457,1567676280.7414398
22,-315.01078605651855,1567676284.8495762
23,-109.3638312349939,1567676287.9580307
24,-318.42970848083496,1567676295.0712721
25,-123.06371235211026,1567676298.1779172
26,-319.92626190185547,1567676301.2862685
27,-147.96775522115308,1567676304.3931482
28,-320.3859329223633,1567676309.5025353
29,-164.38182893082936,1567676312.6094065
30,-312.9301071166992,1567676315.715564
31,-85.5237415327296,1567676319.8222141
32,-316.6375160217285,1567676324.931351
33,-111.40469718680048,1567676328.03977
34,-319.9026584625244,1567676334.151171
35,-124.58005374344823,1567676337.2594068
36,-319.4131851196289,1567676340.3664505
37,-138.97118921766096,1567676343.4745858
38,-308.6599828737752,1567676346.581311
39,-103.27191420121555,1567676349.6887174
40,-87.45382963224552,1567676352.7959023
41,-371.7632692199665,1567676355.9013278
42,-297.0727255376011,1567676359.0078645
43,-53.03272959062431,1567676362.114862
44,-309.15401343296674,1567676370.2277515
45,-70.81969454244359,1567676373.3346257
46,-304.37285203952723,1567676376.4421904
47,-89.55793140999285,1567676379.5475714
48,-198.13960402928757,1567676382.6546397
49,-109.87838491069476,1567676385.7618775
50,-62.621945682398724,1567676388.8695848
51,-274.56078680472444,1567676392.9777985
52,-321.3355541229248,1567676397.0831747
53,-107.64572765814067,1567676400.190686
54,-303.36122629332806,1567676403.297546
55,-283.3488462699971,1567676406.404267
56,-326.096773147583,1567676409.5108619
57,-150.54262920964266,1567676412.618151
58,-50.97936201511745,1567676414.620133
59,-187.33554222822414,1567676417.7270823
60,-110.0720825597598,1567676420.8329518
61,-48.08503249477673,1567676422.8361797
62,-51.293131254996965,1567676424.8392634
63,-307.8381947999142,1567676427.9454198
64,-279.6679246172154,1567676433.0557265
65,-322.85618782043457,1567676436.1603527
66,-320.13893127441406,1567676438.1652906
67,-118.60269930260776,1567676441.2772813
68,-48.31642168576872,1567676443.280408
69,-324.45311546325684,1567676446.3871894
70,-138.21779754522674,1567676449.4950109
71,-47.654939539052094,1567676451.4977074
72,-48.12950878253645,1567676453.5012417
73,-50.23220392382802,1567676455.5052052
74,-307.19801743431367,1567676458.613445
75,-210.46746292483232,1567676461.7207487
76,-326.70140266418457,1567676464.8274453
77,-169.923852975295,1567676467.9341018
78,-47.26385191992477,1567676469.9369519
79,-46.20650756892058,1567676471.9393172
80,-48.21343960781721,1567676473.942397
81,-52.29165367867768,1567676475.9452894
82,-52.80937839523317,1567676477.9476795
83,-48.617838012097515,1567676479.9504275
84,-47.822587250988086,1567676481.9536664
85,-49.42051472767636,1567676483.9565663
86,-303.4886295905867,1567676487.06539
87,-283.99796942295853,1567676492.173529
88,-318.225622177124,1567676496.2845564
89,-116.99948610545479,1567676499.3940918
90,-48.953655166813405,1567676501.3965192
91,-48.54885903160256,1567676503.3998647
92,-47.782167596994455,1567676505.4021568
93,-51.144614944912995,1567676507.405302
94,-46.32750797089575,1567676509.4081485
95,-321.1710453033447,1567676514.516963
96,-135.62636162049358,1567676517.6254525
97,-46.79045679459259,1567676519.628711
98,-54.709694716747435,1567676521.6313221
99,-45.50069803529461,1567676523.633998
100,-46.85891621745608,1567676525.6373146
101,-49.21480896266111,1567676527.6397414
102,-48.41492415886441,1567676529.6428738
103,-52.22680809828535,1567676531.6457067
104,-47.30576317840688,1567676533.6481452
105,-52.40161169641838,1567676535.6515133
106,-49.02694859392572,1567676537.654727
107,-49.39177156446974,1567676539.6571498
108,-48.82324594201891,1567676541.6606119
109,-45.16771168825203,1567676543.663969
110,-49.691885111341776,1567676545.6666212
111,-48.17750855329943,1567676547.6707344
112,-48.21515437352699,1567676549.6739383
113,-51.05987469106338,1567676551.676658
114,-51.414457359441215,1567676553.6800926
115,-54.45911648485788,1567676555.6840355
116,-46.86962377097995,1567676557.6872852
117,-52.68287747760654,1567676559.6900315
118,-49.17444450748254,1567676561.6929631
119,-46.46520288010382,1567676563.695849
120,-50.385943419576066,1567676565.698206
121,-49.642571021285384,1567676567.7001972
122,-51.600458247123925,1567676569.7030787
123,-51.876664951026974,1567676571.7066507
124,-52.62787320021811,1567676573.7099817
125,-54.796115781187225,1567676575.713134
126,-53.362657163116836,1567676577.715427
127,-52.644129865152564,1567676579.7186203
128,-50.07645073744802,1567676581.721685
129,-53.92698350020494,1567676583.7241051
130,-51.02732093945123,1567676585.7268395
131,-49.36929687409258,1567676587.7296505
132,-54.88094158531411,1567676589.7323217
133,-50.203223846640064,1567676591.7360163
134,-52.343645033151056,1567676593.7390394
135,-48.20247695506523,1567676595.7416072
136,-53.96491521686708,1567676597.7444172
137,-48.32760140620318,1567676599.747559
138,-51.18559481694467,1567676601.750973
139,-49.016979271094044,1567676603.753328
140,-49.81548526300214,1567676605.7559261
141,-52.0176182171795,1567676607.7588327
142,-53.48018380525509,1567676609.7623713
143,-54.78396175852309,1567676611.7656898
144,-49.4540532381482,1567676613.7688093
145,-53.62179006822553,1567676615.7719026
146,-52.036155195036955,1567676617.7741287
147,-52.62416377472973,1567676619.7775533
148,-55.02715923271619,1567676621.7800126
149,-51.52753994434457,1567676623.7837243
150,-50.51181335584877,1567676625.7864957
151,-50.228312161921146,1567676627.7886813
152,-53.336720302181675,1567676629.7925742
153,-52.75050480797684,1567676631.7942116
154,-56.67280983515735,1567676633.7970717
155,-50.12053574292749,1567676635.7999234
156,-43.79496585540812,1567676637.8013113
157,-52.92279792834314,1567676639.8056567
158,-51.71067053317093,1567676641.808362
159,-52.16573503373737,1567676643.8112357
160,-311.9526415196638,1567676646.9185436
161,-308.1705314887611,1567676648.922854
162,-287.2405155607878,1567676652.031167
163,-330.14845848083496,1567676656.1387854
164,-171.5357907730674,1567676659.2445004
165,-48.06009536767987,1567676661.2474625
166,-49.76434208406687,1567676663.2503104
167,-48.43097448308336,1567676665.2536614
168,-49.73524813766079,1567676667.2567422
169,-46.453192365451706,1567676669.26
170,-49.6053605111499,1567676671.2633164
171,-306.62946886664474,1567676676.3728285
172,-52.14635076594893,1567676679.4787745
173,-49.97693935117091,1567676681.4824128
174,-50.41302550344702,1567676683.4845986
175,-48.68019002681586,1567676685.4866195
176,-48.81890319574802,1567676687.489607
177,-51.21542335808921,1567676689.4919722
178,-47.67287420940708,1567676691.494546
179,-56.20350612059297,1567676693.4978728
180,-46.79811663219224,1567676695.5002854
181,-52.240079481333936,1567676697.5042844
182,-48.60813786787746,1567676699.5067265
183,-49.665588017948934,1567676701.5097866
184,-53.18690185227638,1567676703.5132182
185,-51.41116275299597,1567676705.5158186
186,-51.73112227265443,1567676707.5188825
187,-54.087475367332374,1567676709.5219927
188,-49.93150933136878,1567676711.5238643
189,-48.30328947597424,1567676713.5265503
190,-50.78956372580468,1567676715.5295386
191,-46.50864876074249,1567676717.5318885
192,-47.11618049874358,1567676719.5339684
193,-46.15802825011742,1567676721.5360327
194,-48.161177172605214,1567676723.5393362
195,-51.316906935380224,1567676725.5423477
196,-48.741888630313625,1567676727.5451796
197,-52.498719649218685,1567676729.5473673
198,-53.69030299456235,1567676731.5503414
199,-48.14307419170639,1567676733.553108
200,-309.4392791363516,1567676737.6613204
201,-69.75147069662982,1567676740.7679923
202,-48.28991230834833,1567676742.7703118
203,-47.65939708767405,1567676744.7729397
204,-222.08588836385897,1567676747.8801417
205,-310.4888064260969,1567676749.8823266
206,-306.2158954910065,1567676751.8854308
207,-278.8446357707653,1567676754.99193
208,-327.06737518310547,1567676759.1006143
209,-167.00180962669205,1567676762.2083042
210,-308.927119330507,1567676765.3155253
211,-49.13919826569677,1567676769.424302
212,-51.8830222365894,1567676771.4289532
213,-53.84272507958526,1567676773.4344525
214,-326.5681266784668,1567676777.5426142
215,-105.47879927627842,1567676780.6495886
216,-48.121971588686655,1567676782.6520875
217,-50.343623067186876,1567676784.6543546
218,-49.68878706415557,1567676786.6573384
219,-47.76753469721386,1567676788.6601207
220,-51.02354228662477,1567676790.6629734
221,-47.44479192771383,1567676792.6666772
222,-51.11328675885903,1567676794.6690288
223,-47.209925716371636,1567676796.67263
