# iterator, reward, timestamp 
1,213.085234165,1568104136.4974158
2,751.872936885,1568104138.5000486
3,2030.0693512,1568104141.605152
4,1361.63945993,1568104144.7096262
5,2031.68666363,1568104150.8173652
6,2031.97515011,1568104152.820366
7,1361.19866371,1568104160.931386
8,1361.69326305,1568104162.9341333
9,2030.59232235,1568104166.0395174
10,1361.20406787,1568104169.144192
11,818.295915922,1568104172.2507212
12,625.073075294,1568104175.3561668
13,1022.32209841,1568104179.4633048
14,532.139341036,1568104183.5697892
15,689.37699,1568104187.6773393
16,1156.91578388,1568104191.785611
17,1024.70799287,1568104195.8917198
18,676.729043325,1568104198.998531
19,634.844859441,1568104202.1041431
20,379.289944967,1568104204.1063755
21,365.632096926,1568104207.210388
22,250.661849976,1568104211.3153443
23,458.606918653,1568104214.420522
24,415.961583455,1568104217.525155
25,533.711910248,1568104219.5281503
26,781.279881795,1568104223.635187
27,691.411058108,1568104227.7419086
28,593.343257904,1568104229.745659
29,1027.99932162,1568104232.8502166
30,1233.51589839,1568104234.852546
31,618.485530217,1568104239.960285
32,1143.77200603,1568104243.0658107
33,1145.77889442,1568104245.0732408
34,1022.85385132,1568104249.1746364
35,725.067098935,1568104253.2799478
36,453.474760056,1568104256.3850245
37,456.02063338,1568104258.387021
38,407.854318619,1568104261.4922247
39,262.955625852,1568104264.5983412
40,326.453208923,1568104266.6010716
41,521.816849709,1568104268.6039765
42,1062.292099,1568104272.7119083
43,1025.59653918,1568104275.8180819
44,638.998150826,1568104279.9242837
45,466.927091281,1568104283.030223
46,234.190821648,1568104286.1347685
47,941.762963931,1568104288.1376343
48,932.192325592,1568104292.2439632
49,830.592393875,1568104296.3510675
50,830.612023671,1568104298.3537207
51,692.636489868,1568104301.4586465
52,1208.99601777,1568104304.5642388
53,892.199397087,1568104308.6713428
54,580.750505129,1568104310.6740062
55,616.703033447,1568104312.6756635
56,547.509590785,1568104316.7821987
57,206.382393837,1568104320.8883507
58,402.330239614,1568104322.8901641
59,595.902085304,1568104324.891456
60,534.101804097,1568104328.9990983
61,458.033998807,1568104332.1046872
62,297.561963399,1568104335.2104108
63,252.364953359,1568104338.3157327
64,266.887784004,1568104341.4208615
65,255.343874296,1568104344.5253885
66,252.693414688,1568104347.6298497
67,264.015555382,1568104350.7340174
68,362.548947334,1568104354.8413036
69,449.34686025,1568104357.9465635
70,154.844323794,1568104361.0532746
71,246.182401975,1568104364.1582878
72,292.660435041,1568104367.2645721
73,253.799796104,1568104370.3707812
74,263.232350349,1568104373.4760702
75,257.744868596,1568104376.5819354
76,247.166633606,1568104379.6867902
77,265.870690346,1568104382.7916327
78,359.329104424,1568104386.8983347
79,441.945791245,1568104390.004397
80,151.788036029,1568104393.1108418
81,250.65545241,1568104396.2172704
82,288.770238558,1568104399.323345
83,253.919800123,1568104402.4283333
84,261.389374733,1568104405.5342653
85,257.935523987,1568104408.6397946
86,251.236279806,1568104411.745448
87,264.478445053,1568104414.8516886
88,353.92733415,1568104418.9596877
89,438.495794932,1568104422.0654044
90,146.034359932,1568104425.1706765
91,249.812761943,1568104428.2766004
92,284.497499466,1568104431.382067
93,253.436048826,1568104434.4868543
94,259.256521861,1568104437.592176
95,258.167743683,1568104440.697525
96,246.962944667,1568104443.8035214
97,218.986272812,1568104447.909653
98,350.087245305,1568104452.0145688
99,433.834115664,1568104455.1189852
100,146.097580592,1568104458.2256513
101,252.418677012,1568104461.3306015
102,280.034065247,1568104464.435543
103,255.110065142,1568104467.5400143
104,256.824294726,1568104470.6463897
105,260.916034381,1568104473.7513466
106,244.978070259,1568104476.857127
107,215.282956759,1568104480.9633622
108,348.908344905,1568104485.0702753
109,430.850863457,1568104488.174751
110,142.118136088,1568104491.2799287
111,250.874638557,1568104494.3851132
112,275.152643522,1568104497.4907887
113,252.073407173,1568104501.5986655
114,307.332436244,1568104504.7042458
115,260.032097499,1568104507.810771
116,245.417078336,1568104510.9166436
117,214.874784152,1568104515.0216396
118,344.738483429,1568104519.1274328
119,524.313489596,1568104522.2322466
120,137.506127357,1568104525.3378463
121,253.083268801,1568104528.4429352
122,273.17972978,1568104531.5477886
123,253.01015377,1568104535.6546683
124,303.865909576,1568104538.7591403
125,261.504014333,1568104541.8660588
126,244.540572166,1568104544.9720616
127,212.58632342,1568104549.078498
128,338.248411814,1568104553.1844404
129,520.404100418,1568104556.29112
